alt,dst,lat,lon,mdata
219.000000,0.000000,38.614860,-122.427860,E:\Dropbox\website\dev2\climbing\climbs\Howell-Mountain-E.--Pope-Valley.tcx
218.800000,14.680000,38.614740,-122.427930,
218.900000,21.244000,38.614690,-122.427970,
219.100000,26.895000,38.614650,-122.428010,
219.300000,34.525000,38.614600,-122.428070,
219.500000,48.378000,38.614510,-122.428180,
219.700000,56.855000,38.614450,-122.428240,
220.000000,65.072000,38.614380,-122.428270,
220.500000,72.243000,38.614320,-122.428300,
221.200000,78.979000,38.614260,-122.428310,
222.800000,88.052000,38.614180,-122.428330,
224.600000,101.411000,38.614060,-122.428330,
226.400000,119.243000,38.613900,-122.428320,
227.700000,136.143000,38.613750,-122.428290,
228.900000,145.423000,38.613670,-122.428260,
231.100000,157.086000,38.613570,-122.428220,
232.600000,164.617000,38.613510,-122.428180,
233.500000,170.765000,38.613460,-122.428150,
234.300000,177.828000,38.613410,-122.428100,
235.400000,189.685000,38.613330,-122.428010,
236.200000,199.976000,38.613270,-122.427920,
237.200000,213.829000,38.613180,-122.427810,
237.600000,219.480000,38.613140,-122.427770,
237.700000,223.246000,38.613110,-122.427750,
237.700000,226.697000,38.613080,-122.427740,
237.700000,230.148000,38.613050,-122.427730,
237.700000,233.487000,38.613020,-122.427730,
237.700000,234.600000,38.613010,-122.427730,
237.600000,238.051000,38.612980,-122.427740,
237.500000,241.502000,38.612950,-122.427750,
237.400000,244.328000,38.612930,-122.427770,
237.500000,248.093000,38.612900,-122.427790,
237.200000,252.332000,38.612870,-122.427820,
236.700000,259.875000,38.612830,-122.427890,
236.500000,267.418000,38.612790,-122.427960,
236.800000,275.679000,38.612750,-122.428040,
236.700000,276.549000,38.612750,-122.428050,
236.700000,283.032000,38.612730,-122.428120,
236.700000,286.685000,38.612720,-122.428160,
236.800000,290.338000,38.612710,-122.428200,
236.500000,293.818000,38.612710,-122.428240,
236.400000,297.297000,38.612710,-122.428280,
236.200000,303.386000,38.612710,-122.428350,
236.000000,308.605000,38.612710,-122.428410,
235.700000,312.954000,38.612710,-122.428460,
235.500000,318.290000,38.612700,-122.428520,
235.600000,323.176000,38.612680,-122.428570,
236.000000,327.307000,38.612660,-122.428610,
237.100000,333.503000,38.612630,-122.428670,
238.300000,338.325000,38.612600,-122.428710,
240.200000,345.955000,38.612550,-122.428770,
242.300000,354.205000,38.612500,-122.428840,
244.500000,363.810000,38.612450,-122.428930,
245.800000,369.484000,38.612430,-122.428990,
247.500000,377.391000,38.612420,-122.429080,
249.700000,388.064000,38.612400,-122.429200,
251.500000,397.697000,38.612390,-122.429310,
255.100000,420.422000,38.612370,-122.429570,
258.100000,445.867000,38.612340,-122.429860,
258.400000,455.691000,38.612320,-122.429970,
258.700000,462.174000,38.612300,-122.430040,
258.900000,467.060000,38.612280,-122.430090,
258.600000,472.734000,38.612260,-122.430150,
258.600000,476.972000,38.612230,-122.430180,
258.600000,483.196000,38.612190,-122.430230,
258.800000,486.962000,38.612160,-122.430250,
259.200000,491.742000,38.612120,-122.430270,
259.700000,498.644000,38.612060,-122.430290,
260.200000,504.210000,38.612010,-122.430290,
260.600000,508.663000,38.611970,-122.430290,
261.000000,512.114000,38.611940,-122.430280,
262.200000,520.331000,38.611870,-122.430250,
263.200000,527.233000,38.611810,-122.430230,
263.800000,531.770000,38.611770,-122.430220,
264.300000,536.223000,38.611730,-122.430220,
264.700000,540.760000,38.611690,-122.430230,
265.100000,546.393000,38.611640,-122.430240,
265.300000,551.174000,38.611600,-122.430260,
265.500000,555.955000,38.611560,-122.430280,
265.400000,562.519000,38.611510,-122.430320,
265.100000,568.743000,38.611470,-122.430370,
265.100000,577.781000,38.611410,-122.430440,
265.400000,584.345000,38.611360,-122.430480,
265.700000,588.110000,38.611330,-122.430500,
266.100000,591.561000,38.611300,-122.430510,
266.300000,595.012000,38.611270,-122.430520,
266.400000,597.239000,38.611250,-122.430520,
266.600000,600.578000,38.611220,-122.430520,
266.900000,604.029000,38.611190,-122.430510,
267.300000,607.480000,38.611160,-122.430500,
267.800000,612.017000,38.611120,-122.430490,
268.800000,618.164000,38.611070,-122.430460,
270.100000,624.728000,38.611020,-122.430420,
273.100000,634.639000,38.610940,-122.430370,
275.800000,644.200000,38.610860,-122.430330,
278.300000,656.720000,38.610750,-122.430300,
279.600000,664.705000,38.610680,-122.430280,
280.400000,669.157000,38.610640,-122.430280,
281.300000,672.497000,38.610610,-122.430280,
282.100000,675.836000,38.610580,-122.430280,
282.600000,678.063000,38.610560,-122.430280,
283.300000,680.453000,38.610540,-122.430290,
283.600000,681.566000,38.610530,-122.430290,
284.000000,682.979000,38.610520,-122.430300,
284.300000,685.044000,38.610510,-122.430320,
284.700000,686.457000,38.610500,-122.430330,
285.100000,690.110000,38.610490,-122.430370,
285.400000,693.590000,38.610490,-122.430410,
285.800000,697.069000,38.610490,-122.430450,
286.000000,698.809000,38.610490,-122.430470,
286.200000,702.462000,38.610500,-122.430510,
286.500000,706.951000,38.610510,-122.430560,
285.900000,717.278000,38.610560,-122.430660,
285.800000,724.997000,38.610590,-122.430740,
285.700000,730.671000,38.610610,-122.430800,
285.600000,733.508000,38.610620,-122.430830,
