alt,dst,lat,lon,mdata
1507.700000,0.000000,37.202750,-119.240460,E:\Dropbox\website\dev2\climbing\climbs\Huntington-Lake-Road.tcx
1507.100000,85.871303,37.202900,-119.239510,
1506.800000,137.394006,37.202990,-119.238940,
1506.700000,179.200277,37.203020,-119.238470,
1507.300000,209.428564,37.203000,-119.238130,
1506.900000,248.135265,37.202940,-119.237700,
1504.900000,275.310971,37.202890,-119.237400,
1503.300000,298.471235,37.202870,-119.237140,
1506.800000,318.009364,37.202880,-119.236920,
1508.900000,339.452472,37.202960,-119.236700,
1509.300000,365.630668,37.203140,-119.236510,
1509.900000,392.030086,37.203340,-119.236350,
1509.900000,400.591544,37.203410,-119.236310,
1509.200000,409.671887,37.203490,-119.236290,
1506.900000,427.680428,37.203650,-119.236320,
1507.600000,436.974690,37.203730,-119.236350,
1508.100000,443.574532,37.203780,-119.236390,
1508.500000,451.273922,37.203830,-119.236450,
1508.800000,458.211349,37.203870,-119.236510,
1508.800000,463.978289,37.203890,-119.236570,
1508.600000,477.690797,37.203920,-119.236720,
1508.100000,501.691563,37.203980,-119.236980,
1507.800000,507.126631,37.203990,-119.237040,
1507.500000,513.720357,37.204010,-119.237110,
1504.600000,543.810446,37.204120,-119.237420,
1503.500000,558.692980,37.204180,-119.237570,
1494.400000,586.374482,37.204290,-119.237850,
1488.700000,615.656802,37.204400,-119.238150,
1490.700000,641.256368,37.204500,-119.238410,
1492.800000,661.099665,37.204580,-119.238610,
1494.000000,674.703309,37.204630,-119.238750,
1494.800000,688.415690,37.204660,-119.238900,
1495.400000,700.154972,37.204680,-119.239030,
1496.200000,712.765912,37.204700,-119.239170,
1496.200000,714.539178,37.204700,-119.239190,
1496.300000,723.405505,37.204700,-119.239290,
1496.300000,731.385199,37.204700,-119.239380,
1496.600000,748.267959,37.204710,-119.239570,
1496.400000,760.680815,37.204710,-119.239710,
1496.100000,773.143486,37.204720,-119.239850,
1496.100000,783.147330,37.204740,-119.239960,
1496.100000,794.681096,37.204780,-119.240080,
1496.900000,806.484983,37.204850,-119.240180,
1497.800000,817.585531,37.204910,-119.240280,
1498.200000,823.352404,37.204930,-119.240340,
1498.400000,828.672184,37.204930,-119.240400,
1498.400000,834.977635,37.204920,-119.240470,
1498.500000,841.283087,37.204910,-119.240540,
1498.300000,846.243893,37.204890,-119.240590,
1494.900000,877.462080,37.204710,-119.240860,
1494.700000,881.649518,37.204690,-119.240900,
1495.000000,885.196049,37.204690,-119.240940,
1495.700000,890.631068,37.204700,-119.241000,
1496.800000,901.328735,37.204710,-119.241120,
1497.700000,910.470314,37.204730,-119.241220,
1499.800000,934.485343,37.204830,-119.241460,
1502.000000,951.235067,37.204910,-119.241620,
1503.500000,961.543915,37.204940,-119.241730,
1505.400000,1013.935266,37.205030,-119.242310,
1505.300000,1056.547760,37.205110,-119.242780,
1508.600000,1089.839323,37.205340,-119.243020,
1509.200000,1096.776667,37.205380,-119.243080,
1509.800000,1104.415127,37.205420,-119.243150,
1510.100000,1111.849325,37.205440,-119.243230,
1510.300000,1123.588489,37.205460,-119.243360,
1510.700000,1147.553198,37.205470,-119.243630,
1511.500000,1173.289368,37.205480,-119.243920,
1511.600000,1195.566490,37.205460,-119.244170,
1511.700000,1195.998685,37.205462,-119.244174,
