alt,dst,lat,lon,mdata
329.400000,0.000000,37.017450,-119.526320,E:\Dropbox\website\dev2\climbing\climbs\Hwy-168-Fresno.tcx
330.000000,13.358000,37.017570,-119.526320,
330.300000,17.811000,37.017610,-119.526320,
330.900000,26.717000,37.017690,-119.526320,
332.000000,40.338000,37.017810,-119.526290,
333.500000,57.617000,37.017960,-119.526240,
334.500000,72.756000,37.018090,-119.526190,
335.700000,92.677000,37.018260,-119.526120,
337.100000,107.392000,37.018390,-119.526090,
337.800000,116.473000,37.018470,-119.526070,
338.300000,125.423000,37.018550,-119.526060,
338.500000,134.372000,37.018630,-119.526050,
338.800000,142.165000,37.018700,-119.526050,
339.300000,152.223000,37.018790,-119.526060,
340.000000,163.496000,37.018890,-119.526080,
340.900000,179.307000,37.019030,-119.526110,
342.100000,194.445000,37.019160,-119.526160,
347.900000,250.597000,37.019650,-119.526310,
349.700000,279.114000,37.019900,-119.526380,
348.100000,301.160000,37.020090,-119.526450,
345.000000,329.049000,37.020330,-119.526540,
347.500000,353.239000,37.020540,-119.526610,
349.900000,373.590000,37.020720,-119.526650,
352.000000,393.804000,37.020900,-119.526680,
354.200000,413.920000,37.021080,-119.526700,
360.000000,438.474000,37.021300,-119.526720,
364.500000,470.769000,37.021590,-119.526730,
367.200000,487.467000,37.021740,-119.526730,
369.700000,499.744000,37.021850,-119.526720,
373.900000,520.969000,37.022040,-119.526700,
377.400000,558.984000,37.022380,-119.526660,
378.700000,587.040000,37.022630,-119.526620,
378.800000,599.414000,37.022740,-119.526600,
378.300000,613.035000,37.022860,-119.526570,
378.100000,625.567000,37.022970,-119.526540,
378.800000,637.014000,37.023070,-119.526510,
380.600000,650.837000,37.023190,-119.526470,
382.800000,670.758000,37.023360,-119.526400,
386.200000,694.415000,37.023560,-119.526310,
390.000000,710.167000,37.023690,-119.526240,
392.000000,733.109000,37.023880,-119.526140,
391.000000,753.654000,37.024050,-119.526050,
387.300000,778.341000,37.024250,-119.525930,
385.200000,792.076000,37.024360,-119.525860,
384.600000,803.036000,37.024450,-119.525810,
385.400000,825.208000,37.024620,-119.525680,
387.800000,845.513000,37.024770,-119.525550,
389.500000,877.602000,37.025010,-119.525350,
393.000000,911.614000,37.025260,-119.525130,
394.300000,949.383000,37.025540,-119.524890,
397.900000,983.394000,37.025790,-119.524670,
401.400000,1028.976000,37.026110,-119.524350,
403.900000,1052.332000,37.026270,-119.524180,
406.400000,1074.665000,37.026410,-119.524000,
407.700000,1106.753000,37.026610,-119.523740,
410.900000,1138.840000,37.026810,-119.523480,
411.200000,1148.811000,37.026880,-119.523410,
411.000000,1159.674000,37.026960,-119.523340,
411.000000,1167.241000,37.027020,-119.523300,
411.200000,1175.476000,37.027090,-119.523270,
411.900000,1188.008000,37.027200,-119.523240,
412.100000,1197.304000,37.027280,-119.523210,
412.300000,1206.600000,37.027360,-119.523180,
412.800000,1215.682000,37.027440,-119.523160,
