alt,dst,lat,lon,mdata
1009.400000,0.000000,34.400430,-116.889790,E:\Dropbox\website\dev2\climbing\climbs\Hwy-18-North-Lucerne-Valley.tcx
1009.800000,11.245000,34.400410,-116.889910,
1015.400000,141.209000,34.399420,-116.889160,
1027.200000,456.825000,34.397010,-116.887350,
1039.000000,731.982000,34.394910,-116.885770,
1043.900000,799.578000,34.394390,-116.885390,
1047.600000,874.319000,34.393820,-116.884960,
1049.500000,933.351000,34.393370,-116.884620,
1049.900000,971.437000,34.393080,-116.884400,
1050.500000,996.191000,34.392890,-116.884260,
1054.900000,1109.018000,34.392030,-116.883610,
1064.600000,1339.894000,34.390260,-116.882300,
1067.100000,1413.694000,34.389700,-116.881870,
1068.800000,1458.448000,34.389360,-116.881610,
1069.300000,1477.022000,34.389220,-116.881500,
1070.000000,1497.228000,34.389080,-116.881360,
1070.600000,1513.978000,34.388960,-116.881250,
1071.500000,1535.627000,34.388810,-116.881100,
1071.900000,1567.137000,34.388600,-116.880870,
1072.000000,1594.161000,34.388430,-116.880660,
1072.100000,1624.713000,34.388240,-116.880420,
1071.900000,1657.318000,34.388060,-116.880140,
1071.200000,1684.975000,34.387910,-116.879900,
1070.700000,1700.618000,34.387830,-116.879760,
1070.300000,1712.731000,34.387770,-116.879650,
1070.500000,1724.268000,34.387720,-116.879540,
1075.000000,1800.731000,34.387390,-116.878810,
1075.700000,1830.245000,34.387260,-116.878530,
1075.800000,1887.399000,34.387020,-116.877980,
1077.200000,1924.962000,34.386860,-116.877620,
1079.700000,1953.678000,34.386730,-116.877350,
1081.400000,1976.528000,34.386620,-116.877140,
1083.600000,2000.754000,34.386500,-116.876920,
1085.200000,2040.507000,34.386290,-116.876570,
1087.700000,2073.842000,34.386110,-116.876280,
1090.400000,2097.230000,34.385980,-116.876080,
1094.400000,2171.661000,34.385570,-116.875440,
1100.700000,2276.564000,34.384990,-116.874540,
1106.000000,2354.592000,34.384570,-116.873860,
1109.700000,2402.780000,34.384300,-116.873450,
1111.100000,2427.580000,34.384160,-116.873240,
1111.900000,2461.665000,34.383950,-116.872970,
1112.900000,2483.088000,34.383810,-116.872810,
1116.900000,2527.251000,34.383500,-116.872510,
1118.200000,2572.631000,34.383170,-116.872220,
1122.700000,2661.949000,34.382520,-116.871650,
1130.800000,2784.762000,34.381630,-116.870860,
1134.700000,2844.911000,34.381190,-116.870480,
1138.500000,2937.654000,34.380520,-116.869880,
1139.200000,2961.064000,34.380350,-116.869730,
1140.000000,2976.941000,34.380240,-116.869620,
1140.500000,2984.774000,34.380190,-116.869560,
1141.500000,3004.135000,34.380060,-116.869420,
1141.900000,3018.366000,34.379970,-116.869310,
1142.200000,3032.596000,34.379880,-116.869200,
1142.700000,3062.494000,34.379690,-116.868970,
1143.800000,3130.664000,34.379270,-116.868430,
1144.800000,3150.527000,34.379150,-116.868270,
1146.300000,3174.028000,34.379000,-116.868090,
1147.300000,3189.695000,34.378900,-116.867970,
1148.200000,3209.902000,34.378760,-116.867830,
1148.900000,3232.422000,34.378600,-116.867680,
1149.400000,3259.618000,34.378400,-116.867510,
1150.100000,3290.098000,34.378170,-116.867330,
1151.400000,3334.854000,34.377830,-116.867070,
1154.100000,3386.777000,34.377440,-116.866760,
1154.800000,3414.892000,34.377230,-116.866590,
1154.900000,3436.862000,34.377070,-116.866450,
1156.200000,3465.729000,34.376870,-116.866250,
1159.300000,3526.491000,34.376470,-116.865800,
1159.700000,3561.350000,34.376250,-116.865530,
1159.800000,3569.184000,34.376200,-116.865470,
1160.200000,3584.774000,34.376110,-116.865340,
1160.600000,3607.449000,34.375980,-116.865150,
1161.200000,3633.667000,34.375830,-116.864930,
1161.900000,3657.134000,34.375710,-116.864720,
1162.100000,3660.677000,34.375690,-116.864690,
1163.900000,3788.874000,34.375050,-116.863530,
1163.800000,3820.811000,34.374880,-116.863250,
1164.400000,3932.754000,34.374330,-116.862230,
1164.800000,3957.754000,34.374210,-116.862000,
1166.800000,4070.311000,34.373650,-116.860980,
1167.300000,4090.158000,34.373540,-116.860810,
1167.900000,4105.056000,34.373450,-116.860690,
1168.600000,4121.533000,34.373340,-116.860570,
1169.600000,4145.035000,34.373190,-116.860390,
1170.600000,4179.099000,34.372950,-116.860160,
1170.900000,4195.850000,34.372830,-116.860050,
1171.100000,4206.835000,34.372750,-116.859980,
1172.100000,4227.314000,34.372590,-116.859870,
1173.100000,4241.145000,34.372480,-116.859800,
1173.300000,4254.001000,34.372380,-116.859730,
1173.400000,4269.838000,34.372250,-116.859660,
1173.500000,4287.069000,34.372110,-116.859580,
1173.900000,4307.056000,34.371940,-116.859510,
1174.100000,4325.701000,34.371780,-116.859450,
1174.500000,4343.887000,34.371620,-116.859410,
1175.300000,4372.258000,34.371370,-116.859350,
1187.800000,4498.282000,34.370250,-116.859150,
1198.000000,4671.915000,34.368710,-116.858850,
1213.400000,4906.902000,34.366610,-116.858590,
1225.400000,5085.156000,34.365020,-116.858360,
1226.400000,5100.983000,34.364880,-116.858330,
1227.400000,5116.995000,34.364740,-116.858290,
1229.200000,5140.441000,34.364540,-116.858210,
1230.100000,5151.463000,34.364450,-116.858160,
1230.800000,5165.914000,34.364330,-116.858100,
1231.400000,5183.146000,34.364190,-116.858020,
1232.400000,5202.205000,34.364040,-116.857920,
1233.300000,5217.916000,34.363920,-116.857830,
1235.500000,5236.681000,34.363790,-116.857700,
1237.100000,5247.666000,34.363710,-116.857630,
1239.400000,5261.261000,34.363620,-116.857530,
1243.500000,5282.686000,34.363480,-116.857370,
1244.300000,5298.355000,34.363380,-116.857250,
1244.500000,5321.081000,34.363240,-116.857070,
1244.400000,5337.559000,34.363130,-116.856950,
1244.300000,5365.251000,34.362960,-116.856730,
1245.900000,5381.579000,34.362860,-116.856600,
1248.700000,5407.959000,34.362690,-116.856400,
1251.000000,5426.505000,34.362570,-116.856260,
1252.300000,5439.496000,34.362480,-116.856170,
1253.400000,5454.272000,34.362370,-116.856080,
