alt,dst,lat,lon,mdata
431.700000,0.000000,34.172330,-117.278700,E:\Dropbox\website\dev2\climbing\climbs\Hwy-18-Waterman-Cyn-San-Bernardino.tcx
434.400000,32.282000,34.172620,-117.278700,
435.600000,53.453000,34.172810,-117.278710,
444.600000,233.811000,34.174430,-117.278740,
446.900000,271.670000,34.174770,-117.278730,
447.500000,280.623000,34.174850,-117.278720,
448.100000,288.470000,34.174920,-117.278710,
448.800000,298.657000,34.175010,-117.278690,
449.500000,309.049000,34.175100,-117.278660,
450.100000,318.143000,34.175180,-117.278640,
450.500000,325.072000,34.175240,-117.278620,
451.700000,342.660000,34.175390,-117.278560,
452.400000,351.984000,34.175470,-117.278530,
452.900000,357.847000,34.175520,-117.278510,
453.600000,365.475000,34.175580,-117.278470,
454.300000,374.094000,34.175650,-117.278430,
455.500000,389.349000,34.175770,-117.278350,
456.200000,398.401000,34.175840,-117.278300,
456.700000,404.180000,34.175880,-117.278260,
457.200000,409.420000,34.175920,-117.278230,
458.900000,424.207000,34.176030,-117.278140,
459.500000,429.179000,34.176060,-117.278100,
460.000000,434.958000,34.176100,-117.278060,
460.700000,440.737000,34.176140,-117.278020,
460.900000,443.626000,34.176160,-117.278000,
461.800000,452.295000,34.176220,-117.277940,
462.700000,460.812000,34.176270,-117.277870,
463.900000,474.300000,34.176350,-117.277760,
464.100000,479.273000,34.176380,-117.277720,
464.200000,485.678000,34.176420,-117.277670,
464.200000,492.775000,34.176460,-117.277610,
464.200000,502.759000,34.176510,-117.277520,
464.200000,507.731000,34.176540,-117.277480,
464.200000,515.820000,34.176570,-117.277400,
464.200000,522.277000,34.176600,-117.277340,
464.700000,530.112000,34.176640,-117.277270,
465.900000,538.201000,34.176670,-117.277190,
468.100000,546.809000,34.176710,-117.277110,
470.100000,555.745000,34.176740,-117.277020,
471.800000,567.660000,34.176780,-117.276900,
472.700000,583.412000,34.176830,-117.276740,
473.200000,593.208000,34.176860,-117.276640,
473.700000,605.637000,34.176890,-117.276510,
474.300000,616.009000,34.176910,-117.276400,
474.500000,626.201000,34.176920,-117.276290,
474.600000,637.474000,34.176940,-117.276170,
474.700000,647.666000,34.176950,-117.276060,
483.400000,733.439000,34.177070,-117.275140,
484.100000,760.355000,34.177100,-117.274850,
488.500000,854.489000,34.177230,-117.273840,
489.300000,871.399000,34.177260,-117.273660,
490.800000,878.851000,34.177270,-117.273580,
493.800000,892.843000,34.177290,-117.273430,
495.700000,902.639000,34.177320,-117.273330,
496.900000,913.011000,34.177340,-117.273220,
