alt,dst,lat,lon,mdata
489.000000,0.000000,36.754600,-119.184140,E:\Dropbox\website\dev2\climbing\climbs\Hwy-180-West-CA.tcx
491.800000,50.289000,36.754730,-119.183600,
495.100000,74.421000,36.754790,-119.183340,
498.000000,93.469000,36.754850,-119.183140,
499.000000,110.037000,36.754910,-119.182970,
499.600000,124.990000,36.754970,-119.182820,
499.600000,143.348000,36.755050,-119.182640,
500.000000,164.255000,36.755160,-119.182450,
499.800000,191.403000,36.755310,-119.182210,
497.900000,231.079000,36.755530,-119.181860,
498.600000,281.894000,36.755820,-119.181420,
499.100000,306.951000,36.755960,-119.181200,
499.500000,326.487000,36.756060,-119.181020,
499.600000,343.923000,36.756150,-119.180860,
499.500000,358.876000,36.756210,-119.180710,
501.300000,371.737000,36.756260,-119.180580,
504.400000,382.100000,36.756290,-119.180470,
510.300000,394.520000,36.756330,-119.180340,
511.700000,406.586000,36.756360,-119.180210,
511.000000,419.511000,36.756390,-119.180070,
507.600000,430.443000,36.756410,-119.179950,
503.100000,442.978000,36.756420,-119.179810,
502.500000,457.421000,36.756440,-119.179650,
502.400000,469.907000,36.756440,-119.179510,
502.400000,481.502000,36.756440,-119.179380,
502.500000,491.375000,36.756430,-119.179270,
502.500000,502.135000,36.756420,-119.179150,
502.500000,514.818000,36.756400,-119.179010,
503.900000,524.878000,36.756380,-119.178900,
507.800000,534.071000,36.756360,-119.178800,
512.600000,545.877000,36.756340,-119.178670,
514.300000,556.240000,36.756310,-119.178560,
517.500000,569.497000,36.756270,-119.178420,
521.800000,580.271000,36.756230,-119.178310,
525.000000,591.045000,36.756190,-119.178200,
525.500000,599.738000,36.756160,-119.178110,
524.900000,612.977000,36.756090,-119.177990,
524.300000,628.314000,36.756010,-119.177850,
523.500000,642.237000,36.755930,-119.177730,
522.500000,652.679000,36.755870,-119.177640,
521.100000,661.822000,36.755810,-119.177570,
519.000000,678.085000,36.755700,-119.177450,
518.100000,698.055000,36.755560,-119.177310,
