alt,dst,lat,lon,mdata
366.900000,0.000000,36.132170,-118.783980,E:\Dropbox\website\dev2\climbing\climbs\Hwy-190-Springville.tcx
368.100000,14.249000,36.132110,-118.783840,
368.700000,21.374000,36.132080,-118.783770,
369.200000,27.210000,36.132060,-118.783710,
369.800000,32.718000,36.132050,-118.783650,
370.200000,38.554000,36.132030,-118.783590,
370.700000,44.945000,36.132020,-118.783520,
371.200000,51.336000,36.132010,-118.783450,
371.600000,56.845000,36.132000,-118.783390,
372.300000,65.835000,36.132000,-118.783290,
373.000000,74.826000,36.132000,-118.783190,
373.900000,86.567000,36.132010,-118.783060,
374.600000,96.519000,36.132020,-118.782950,
375.900000,114.173000,36.132060,-118.782760,
376.100000,117.937000,36.132070,-118.782720,
377.200000,140.221000,36.132120,-118.782480,
377.700000,162.506000,36.132170,-118.782240,
377.800000,195.209000,36.132250,-118.781890,
378.600000,214.032000,36.132300,-118.781690,
378.700000,225.930000,36.132320,-118.781560,
379.400000,249.720000,36.132390,-118.781310,
379.800000,267.373000,36.132430,-118.781120,
382.900000,287.400000,36.132490,-118.780910,
385.000000,297.537000,36.132510,-118.780800,
386.200000,304.816000,36.132520,-118.780720,
387.000000,312.983000,36.132530,-118.780630,
387.400000,322.873000,36.132530,-118.780520,
387.700000,329.264000,36.132540,-118.780450,
387.800000,336.457000,36.132540,-118.780370,
387.700000,344.625000,36.132530,-118.780280,
387.700000,358.157000,36.132520,-118.780130,
387.400000,372.359000,36.132480,-118.779980,
387.400000,377.867000,36.132470,-118.779920,
387.400000,382.498000,36.132460,-118.779870,
387.400000,388.889000,36.132450,-118.779800,
387.700000,396.981000,36.132450,-118.779710,
387.800000,406.041000,36.132440,-118.779610,
388.200000,416.829000,36.132440,-118.779490,
388.700000,426.719000,36.132440,-118.779380,
389.400000,433.997000,36.132450,-118.779300,
390.600000,443.950000,36.132460,-118.779190,
391.800000,452.342000,36.132480,-118.779100,
393.100000,460.734000,36.132500,-118.779010,
393.900000,467.126000,36.132510,-118.778940,
394.500000,472.142000,36.132530,-118.778890,
395.000000,478.533000,36.132540,-118.778820,
395.500000,484.369000,36.132560,-118.778760,
395.700000,487.965000,36.132560,-118.778720,
395.900000,492.597000,36.132570,-118.778670,
396.100000,498.890000,36.132570,-118.778600,
396.200000,507.881000,36.132570,-118.778500,
