alt,dst,lat,lon,mdata
399.700000,0.000000,36.479860,-118.838710,E:\Dropbox\website\dev2\climbing\climbs\Hwy-198-Visalia.tcx
401.100000,22.215000,36.480030,-118.838580,
409.300000,73.263000,36.480420,-118.838280,
412.300000,102.095000,36.480640,-118.838110,
412.600000,110.671000,36.480710,-118.838070,
412.300000,127.155000,36.480850,-118.838010,
411.500000,135.397000,36.480920,-118.837980,
411.100000,142.135000,36.480980,-118.837970,
410.600000,147.773000,36.481030,-118.837960,
410.300000,154.452000,36.481090,-118.837960,
409.800000,162.244000,36.481160,-118.837960,
409.800000,166.786000,36.481200,-118.837970,
409.700000,173.701000,36.481260,-118.837990,
409.200000,179.338000,36.481310,-118.838000,
409.200000,183.128000,36.481340,-118.838020,
409.100000,190.706000,36.481400,-118.838060,
409.300000,199.692000,36.481470,-118.838110,
411.700000,209.658000,36.481550,-118.838160,
413.700000,217.237000,36.481610,-118.838200,
415.900000,223.416000,36.481660,-118.838230,
416.200000,229.263000,36.481710,-118.838250,
416.200000,233.805000,36.481750,-118.838260,
416.500000,239.442000,36.481800,-118.838270,
416.900000,246.181000,36.481860,-118.838280,
417.400000,251.819000,36.481910,-118.838290,
417.700000,256.271000,36.481950,-118.838290,
418.300000,261.837000,36.482000,-118.838290,
418.600000,265.295000,36.482030,-118.838280,
419.800000,273.138000,36.482100,-118.838270,
421.500000,279.877000,36.482160,-118.838260,
423.300000,285.724000,36.482210,-118.838240,
424.600000,290.266000,36.482250,-118.838230,
426.200000,297.181000,36.482310,-118.838210,
426.400000,304.759000,36.482370,-118.838170,
425.900000,318.130000,36.482480,-118.838110,
425.400000,324.310000,36.482530,-118.838080,
425.300000,327.767000,36.482560,-118.838070,
424.800000,330.624000,36.482580,-118.838050,
424.700000,334.081000,36.482610,-118.838040,
424.300000,339.928000,36.482660,-118.838020,
424.300000,345.565000,36.482710,-118.838010,
424.300000,352.304000,36.482770,-118.838000,
424.200000,356.846000,36.482810,-118.837990,
424.200000,363.585000,36.482870,-118.837980,
424.300000,370.324000,36.482930,-118.837970,
424.600000,378.116000,36.483000,-118.837970,
425.400000,390.361000,36.483110,-118.837970,
425.700000,399.311000,36.483190,-118.837960,
426.700000,408.217000,36.483270,-118.837960,
430.800000,431.594000,36.483480,-118.837960,
431.800000,486.169000,36.483970,-118.837940,
433.800000,515.112000,36.484230,-118.837940,
437.100000,554.084000,36.484580,-118.837930,
438.300000,594.199000,36.484940,-118.837910,
439.200000,608.698000,36.485070,-118.837900,
439.800000,627.622000,36.485240,-118.837900,
442.100000,659.954000,36.485530,-118.837880,
443.700000,675.565000,36.485670,-118.837870,
444.200000,680.017000,36.485710,-118.837870,
444.400000,682.244000,36.485730,-118.837870,
444.600000,685.701000,36.485760,-118.837860,
444.800000,690.500000,36.485800,-118.837840,
445.200000,696.347000,36.485850,-118.837820,
445.800000,703.925000,36.485910,-118.837780,
