alt,dst,lat,lon,mdata
258.100000,0.000000,36.501140,-119.021010,E:\Dropbox\website\dev2\climbing\climbs\Hwy-21-245-180-198-Visalia.tcx
259.300000,21.320000,36.501330,-119.021040,
262.300000,121.523000,36.502230,-119.021060,
265.500000,168.414000,36.502650,-119.021100,
267.600000,221.350000,36.503120,-119.021190,
273.800000,273.055000,36.503580,-119.021270,
273.100000,318.304000,36.503980,-119.021360,
277.400000,350.895000,36.504270,-119.021410,
286.200000,385.819000,36.504580,-119.021470,
296.700000,421.441000,36.504900,-119.021470,
287.800000,465.187000,36.505290,-119.021410,
275.300000,505.372000,36.505640,-119.021300,
266.900000,561.180000,36.506120,-119.021120,
260.300000,612.816000,36.506570,-119.020980,
255.900000,653.230000,36.506920,-119.020860,
254.300000,685.423000,36.507200,-119.020770,
253.300000,712.008000,36.507430,-119.020690,
251.700000,759.336000,36.507840,-119.020550,
250.300000,824.800000,36.508410,-119.020370,
249.900000,872.129000,36.508820,-119.020230,
249.400000,916.851000,36.509210,-119.020110,
249.600000,951.545000,36.509520,-119.020070,
249.700000,986.065000,36.509830,-119.020060,
250.300000,1036.286000,36.510280,-119.020100,
251.000000,1083.458000,36.510700,-119.020170,
251.500000,1133.838000,36.511150,-119.020230,
251.500000,1186.166000,36.511620,-119.020240,
252.000000,1235.220000,36.512060,-119.020210,
252.900000,1319.841000,36.512820,-119.020190,
254.100000,1381.301000,36.513370,-119.020130,
254.900000,1428.600000,36.513790,-119.020050,
255.000000,1492.014000,36.514350,-119.019920,
254.800000,1529.823000,36.514680,-119.019820,
255.100000,1561.044000,36.514960,-119.019800,
255.800000,1625.608000,36.515540,-119.019800,
256.000000,1686.834000,36.516090,-119.019800,
256.700000,1741.387000,36.516580,-119.019790,
257.100000,1760.312000,36.516750,-119.019790,
257.700000,1780.349000,36.516930,-119.019790,
257.300000,1806.015000,36.517160,-119.019770,
256.500000,1827.633000,36.517350,-119.019720,
256.100000,1842.387000,36.517470,-119.019650,
255.700000,1863.717000,36.517640,-119.019540,
255.300000,1885.139000,36.517790,-119.019390,
258.000000,2038.468000,36.518920,-119.018410,
258.200000,2068.248000,36.519150,-119.018240,
258.300000,2076.489000,36.519220,-119.018210,
272.000000,2252.455000,36.520800,-119.018150,
273.400000,2263.094000,36.520890,-119.018110,
274.900000,2273.674000,36.520960,-119.018030,
276.200000,2285.296000,36.521000,-119.017910,
277.300000,2296.539000,36.521030,-119.017790,
278.000000,2304.034000,36.521050,-119.017710,
278.900000,2314.123000,36.521070,-119.017600,
279.500000,2326.844000,36.521090,-119.017460,
279.800000,2341.834000,36.521130,-119.017300,
279.700000,2354.796000,36.521160,-119.017160,
280.200000,2370.313000,36.521230,-119.017010,
282.700000,2387.829000,36.521340,-119.016870,
285.400000,2400.381000,36.521410,-119.016760,
287.500000,2413.653000,36.521490,-119.016650,
289.200000,2435.303000,36.521620,-119.016470,
289.300000,2450.054000,36.521690,-119.016330,
289.800000,2466.800000,36.521780,-119.016180,
291.200000,2487.793000,36.521910,-119.016010,
291.600000,2518.478000,36.522080,-119.015740,
293.000000,2545.781000,36.522250,-119.015520,
295.200000,2559.053000,36.522330,-119.015410,
297.500000,2572.318000,36.522400,-119.015290,
298.600000,2586.266000,36.522480,-119.015170,
299.100000,2598.271000,36.522560,-119.015080,
298.500000,2609.637000,36.522650,-119.015020,
297.500000,2618.721000,36.522730,-119.015000,
295.800000,2635.514000,36.522880,-119.014980,
293.800000,2658.908000,36.523090,-119.014990,
290.300000,2721.656000,36.523650,-119.015070,
290.100000,2752.043000,36.523920,-119.015120,
291.300000,2763.318000,36.524020,-119.015100,
292.200000,2771.696000,36.524070,-119.015030,
293.100000,2782.938000,36.524100,-119.014910,
293.100000,2794.779000,36.524120,-119.014780,
292.400000,2808.381000,36.524140,-119.014630,
291.600000,2819.623000,36.524170,-119.014510,
290.800000,2830.424000,36.524210,-119.014400,
290.200000,2840.211000,36.524260,-119.014310,
289.900000,2851.636000,36.524340,-119.014230,
289.400000,2867.233000,36.524460,-119.014140,
289.900000,2885.835000,36.524620,-119.014080,
290.300000,2903.122000,36.524770,-119.014030,
289.500000,2920.271000,36.524910,-119.013950,
288.900000,2935.706000,36.525040,-119.013890,
288.100000,2952.855000,36.525180,-119.013810,
288.300000,2970.394000,36.525330,-119.013750,
289.500000,2987.933000,36.525480,-119.013690,
294.600000,3006.813000,36.525640,-119.013620,
299.200000,3036.331000,36.525890,-119.013510,
299.300000,3046.297000,36.525970,-119.013460,
300.300000,3059.333000,36.526080,-119.013410,
300.900000,3068.795000,36.526150,-119.013350,
301.700000,3079.682000,36.526230,-119.013280,
302.100000,3094.846000,36.526340,-119.013180,
301.200000,3110.555000,36.526450,-119.013070,
301.100000,3121.527000,36.526540,-119.013020,
301.100000,3135.923000,36.526660,-119.012960,
301.500000,3147.616000,36.526760,-119.012920,
302.000000,3160.388000,36.526860,-119.012850,
302.100000,3171.274000,36.526940,-119.012780,
301.400000,3182.699000,36.527020,-119.012700,
300.500000,3191.267000,36.527080,-119.012640,
299.600000,3200.729000,36.527150,-119.012580,
299.100000,3212.726000,36.527250,-119.012530,
299.500000,3227.308000,36.527380,-119.012510,
300.000000,3244.005000,36.527530,-119.012510,
299.700000,3270.722000,36.527770,-119.012510,
299.200000,3287.515000,36.527920,-119.012530,
298.400000,3304.802000,36.528070,-119.012580,
297.000000,3324.472000,36.528240,-119.012640,
297.000000,3336.784000,36.528330,-119.012720,
297.300000,3352.134000,36.528420,-119.012850,
297.800000,3365.544000,36.528480,-119.012980,
299.100000,3384.732000,36.528560,-119.013170,
299.600000,3393.887000,36.528620,-119.013240,
299.300000,3404.259000,36.528710,-119.013270,
299.200000,3415.710000,36.528810,-119.013300,
299.500000,3427.402000,36.528910,-119.013340,
300.000000,3436.703000,36.528990,-119.013370,
301.000000,3448.154000,36.529090,-119.013400,
301.200000,3459.429000,36.529190,-119.013380,
301.500000,3471.965000,36.529300,-119.013350,
301.600000,3483.415000,36.529400,-119.013320,
301.200000,3501.779000,36.529560,-119.013270,
300.100000,3530.571000,36.529800,-119.013150,
299.100000,3547.721000,36.529940,-119.013070,
299.100000,3585.192000,36.530240,-119.012880,
299.700000,3608.359000,36.530420,-119.012750,
299.800000,3625.859000,36.530550,-119.012640,
299.700000,3648.158000,36.530710,-119.012490,
299.800000,3664.235000,36.530830,-119.012390,
299.800000,3679.831000,36.530950,-119.012300,
299.300000,3694.995000,36.531060,-119.012200,
299.500000,3715.791000,36.531220,-119.012080,
300.700000,3731.559000,36.531350,-119.012010,
300.900000,3744.411000,36.531440,-119.011920,
301.200000,3757.842000,36.531530,-119.011820,
302.100000,3775.859000,36.531660,-119.011700,
302.400000,3788.171000,36.531750,-119.011620,
303.600000,3804.731000,36.531880,-119.011530,
307.100000,3820.945000,36.532020,-119.011480,
309.100000,3837.427000,36.532160,-119.011420,
309.400000,3852.574000,36.532290,-119.011370,
309.800000,3876.375000,36.532500,-119.011320,
309.300000,3894.977000,36.532660,-119.011260,
309.000000,3926.769000,36.532940,-119.011190,
309.300000,3961.463000,36.533250,-119.011150,
310.000000,3993.943000,36.533540,-119.011110,
309.900000,4025.317000,36.533820,-119.011070,
309.600000,4047.742000,36.534020,-119.011040,
309.400000,4071.543000,36.534230,-119.010990,
309.400000,4091.213000,36.534400,-119.010930,
310.200000,4118.463000,36.534640,-119.010870,
310.600000,4141.172000,36.534840,-119.010820,
311.100000,4164.073000,36.535040,-119.010760,
312.000000,4183.744000,36.535210,-119.010700,
312.900000,4201.577000,36.535360,-119.010630,
312.900000,4210.145000,36.535420,-119.010570,
312.300000,4222.037000,36.535480,-119.010460,
312.500000,4238.781000,36.535570,-119.010310,
312.600000,4261.203000,36.535680,-119.010100,
313.000000,4280.726000,36.535790,-119.009930,
312.400000,4304.666000,36.535900,-119.009700,
311.700000,4325.613000,36.536010,-119.009510,
310.800000,4352.276000,36.536180,-119.009300,
310.400000,4371.218000,36.536330,-119.009200,
310.100000,4388.505000,36.536480,-119.009150,
310.600000,4404.319000,36.536620,-119.009180,
311.200000,4429.069000,36.536840,-119.009220,
311.800000,4451.618000,36.537040,-119.009260,
312.300000,4475.419000,36.537250,-119.009310,
313.100000,4501.811000,36.537470,-119.009420,
313.700000,4521.006000,36.537630,-119.009500,
314.400000,4535.402000,36.537750,-119.009560,
316.200000,4549.584000,36.537860,-119.009640,
318.000000,4566.720000,36.537980,-119.009760,
318.400000,4578.144000,36.538060,-119.009840,
318.900000,4596.708000,36.538190,-119.009970,
319.100000,4612.304000,36.538310,-119.010060,
319.400000,4626.486000,36.538420,-119.010140,
320.200000,4657.226000,36.538660,-119.010310,
320.600000,4680.553000,36.538850,-119.010420,
321.600000,4711.293000,36.539090,-119.010590,
321.600000,4735.011000,36.539280,-119.010710,
321.800000,4757.742000,36.539460,-119.010830,
322.000000,4783.521000,36.539680,-119.010920,
322.600000,4803.191000,36.539850,-119.010980,
323.200000,4821.793000,36.540010,-119.011040,
323.700000,4844.121000,36.540200,-119.011120,
324.100000,4869.635000,36.540420,-119.011200,
324.300000,4889.852000,36.540600,-119.011230,
324.700000,4911.078000,36.540790,-119.011250,
324.300000,4930.086000,36.540960,-119.011230,
323.700000,4952.368000,36.541160,-119.011220,
323.500000,4966.839000,36.541290,-119.011220,
323.200000,4983.561000,36.541440,-119.011210,
322.600000,4998.468000,36.541570,-119.011170,
322.400000,5011.004000,36.541680,-119.011140,
321.700000,5028.837000,36.541830,-119.011070,
320.700000,5042.589000,36.541940,-119.011000,
319.300000,5060.088000,36.542070,-119.010890,
319.700000,5073.713000,36.542190,-119.010860,
320.700000,5084.881000,36.542290,-119.010870,
322.100000,5098.710000,36.542410,-119.010910,
324.400000,5119.057000,36.542570,-119.011020,
325.900000,5137.999000,36.542720,-119.011120,
326.100000,5150.535000,36.542830,-119.011150,
326.000000,5162.780000,36.542940,-119.011150,
325.900000,5175.025000,36.543050,-119.011150,
325.700000,5191.239000,36.543190,-119.011100,
325.400000,5213.947000,36.543390,-119.011050,
325.200000,5228.665000,36.543520,-119.011020,
325.300000,5246.476000,36.543680,-119.011020,
325.600000,5259.012000,36.543790,-119.011050,
326.100000,5270.826000,36.543880,-119.011120,
326.700000,5287.837000,36.544010,-119.011220,
327.300000,5310.048000,36.544180,-119.011350,
327.800000,5333.675000,36.544360,-119.011490,
328.600000,5358.254000,36.544550,-119.011630,
329.000000,5376.420000,36.544700,-119.011710,
330.400000,5395.299000,36.544860,-119.011780,
336.400000,5413.836000,36.545010,-119.011870,
337.800000,5428.743000,36.545140,-119.011910,
338.100000,5445.655000,36.545290,-119.011940,
338.100000,5460.154000,36.545420,-119.011950,
337.700000,5475.764000,36.545560,-119.011940,
337.200000,5488.139000,36.545670,-119.011920,
336.200000,5500.896000,36.545780,-119.011880,
335.000000,5524.889000,36.545980,-119.011780,
335.400000,5544.434000,36.546140,-119.011690,
335.800000,5561.583000,36.546280,-119.011610,
335.400000,5578.594000,36.546410,-119.011510,
335.100000,5591.827000,36.546510,-119.011430,
334.600000,5613.103000,36.546690,-119.011350,
334.400000,5625.381000,36.546800,-119.011340,
333.800000,5637.659000,36.546910,-119.011330,
333.300000,5648.827000,36.547010,-119.011340,
333.600000,5657.401000,36.547080,-119.011380,
335.900000,5670.041000,36.547140,-119.011500,
338.600000,5688.438000,36.547220,-119.011680,
339.400000,5705.291000,36.547300,-119.011840,
341.100000,5733.283000,36.547440,-119.012100,
347.700000,5765.353000,36.547620,-119.012380,
346.300000,5792.014000,36.547790,-119.012590,
346.200000,5813.628000,36.547910,-119.012780,
346.200000,5835.274000,36.548040,-119.012960,
345.400000,5855.123000,36.548190,-119.013080,
343.800000,5876.393000,36.548350,-119.013210,
339.300000,5911.833000,36.548620,-119.013420,
338.900000,5942.573000,36.548860,-119.013590,
