alt,dst,lat,lon,mdata
396.100000,0.000000,36.566490,-119.025610,E:\Dropbox\website\dev2\climbing\climbs\Hwy-21-Whittaker-Forest-Pinehurst.tcx
398.800000,29.775000,36.566720,-119.025440,
399.600000,63.854000,36.566970,-119.025220,
399.000000,92.737000,36.567160,-119.025000,
401.200000,121.317000,36.567320,-119.024750,
404.700000,144.487000,36.567430,-119.024530,
409.200000,168.264000,36.567550,-119.024310,
408.600000,186.656000,36.567630,-119.024130,
408.200000,201.336000,36.567720,-119.024010,
408.100000,215.071000,36.567820,-119.023920,
409.500000,237.059000,36.567970,-119.023760,
411.800000,253.810000,36.568070,-119.023620,
415.100000,274.724000,36.568190,-119.023440,
416.800000,287.992000,36.568270,-119.023330,
417.400000,299.994000,36.568350,-119.023240,
417.100000,313.422000,36.568440,-119.023140,
417.300000,326.192000,36.568540,-119.023070,
417.100000,341.345000,36.568660,-119.022990,
417.100000,356.491000,36.568790,-119.022940,
417.600000,378.109000,36.568980,-119.022890,
418.400000,397.054000,36.569150,-119.022880,
419.400000,412.665000,36.569290,-119.022890,
420.600000,431.610000,36.569460,-119.022900,
421.200000,451.667000,36.569640,-119.022890,
420.700000,468.953000,36.569790,-119.022840,
419.600000,491.854000,36.569990,-119.022780,
418.200000,508.930000,36.570140,-119.022740,
417.300000,520.205000,36.570240,-119.022720,
416.700000,529.155000,36.570320,-119.022710,
416.700000,538.238000,36.570400,-119.022730,
417.400000,551.607000,36.570510,-119.022790,
418.100000,563.964000,36.570610,-119.022850,
418.000000,571.807000,36.570680,-119.022840,
418.100000,582.204000,36.570760,-119.022780,
419.700000,591.266000,36.570810,-119.022700,
424.700000,616.411000,36.570940,-119.022470,
431.700000,642.212000,36.571080,-119.022240,
436.600000,663.883000,36.571190,-119.022040,
439.600000,679.670000,36.571250,-119.021880,
439.700000,690.056000,36.571280,-119.021770,
438.600000,701.013000,36.571300,-119.021650,
437.000000,714.423000,36.571300,-119.021500,
437.500000,723.636000,36.571320,-119.021400,
437.800000,731.530000,36.571350,-119.021320,
437.300000,737.886000,36.571360,-119.021250,
437.000000,746.009000,36.571370,-119.021160,
437.300000,752.651000,36.571390,-119.021090,
439.200000,764.737000,36.571440,-119.020970,
444.300000,780.099000,36.571520,-119.020830,
446.200000,789.108000,36.571530,-119.020730,
448.000000,800.065000,36.571550,-119.020610,
448.400000,809.899000,36.571550,-119.020500,
449.600000,819.886000,36.571590,-119.020400,
450.200000,831.186000,36.571640,-119.020290,
450.600000,841.083000,36.571650,-119.020180,
452.300000,851.469000,36.571620,-119.020070,
451.400000,864.016000,36.571550,-119.019960,
451.000000,882.220000,36.571460,-119.019790,
456.500000,898.821000,36.571400,-119.019620,
458.000000,919.317000,36.571310,-119.019420,
458.200000,942.144000,36.571240,-119.019180,
457.800000,957.493000,36.571190,-119.019020,
458.400000,969.169000,36.571180,-119.018890,
459.300000,979.955000,36.571190,-119.018770,
460.800000,992.909000,36.571220,-119.018630,
463.300000,1007.428000,36.571270,-119.018480,
464.700000,1016.369000,36.571270,-119.018380,
468.200000,1028.044000,36.571280,-119.018250,
470.300000,1039.719000,36.571290,-119.018120,
470.500000,1050.505000,36.571300,-119.018000,
470.500000,1060.340000,36.571300,-119.017890,
470.000000,1071.955000,36.571260,-119.017770,
470.300000,1083.815000,36.571190,-119.017670,
471.800000,1099.176000,36.571110,-119.017530,
473.300000,1114.157000,36.571070,-119.017370,
473.700000,1123.166000,36.571060,-119.017270,
473.900000,1133.063000,36.571050,-119.017160,
474.500000,1142.607000,36.571080,-119.017060,
475.200000,1151.032000,36.571120,-119.016980,
476.800000,1162.892000,36.571190,-119.016880,
479.600000,1176.930000,36.571280,-119.016770,
480.800000,1198.084000,36.571420,-119.016610,
481.200000,1215.095000,36.571550,-119.016510,
482.500000,1229.747000,36.571660,-119.016420,
485.400000,1245.513000,36.571790,-119.016350,
486.900000,1272.470000,36.571990,-119.016180,
487.700000,1287.324000,36.572090,-119.016070,
490.200000,1310.376000,36.572230,-119.015880,
490.700000,1335.470000,36.572370,-119.015660,
490.900000,1355.704000,36.572490,-119.015490,
491.600000,1369.891000,36.572550,-119.015350,
492.900000,1382.777000,36.572600,-119.015220,
495.100000,1398.138000,36.572680,-119.015080,
497.000000,1411.566000,36.572770,-119.014980,
498.800000,1426.218000,36.572880,-119.014890,
500.500000,1438.988000,36.572980,-119.014820,
501.500000,1451.345000,36.573080,-119.014760,
502.400000,1470.223000,36.573240,-119.014690,
503.000000,1487.509000,36.573390,-119.014640,
503.000000,1513.022000,36.573610,-119.014560,
502.900000,1538.050000,36.573820,-119.014460,
502.300000,1569.341000,36.574070,-119.014300,
503.200000,1618.493000,36.574450,-119.014020,
507.100000,1667.646000,36.574830,-119.013740,
513.300000,1702.638000,36.575090,-119.013520,
515.700000,1738.572000,36.575370,-119.013320,
518.400000,1783.462000,36.575710,-119.013050,
517.800000,1824.592000,36.576030,-119.012820,
520.300000,1852.972000,36.576240,-119.012640,
522.900000,1878.086000,36.576440,-119.012510,
525.200000,1891.317000,36.576540,-119.012430,
527.500000,1906.069000,36.576660,-119.012360,
528.200000,1923.216000,36.576800,-119.012280,
528.500000,1933.854000,36.576890,-119.012240,
528.700000,1946.889000,36.577000,-119.012190,
529.000000,1958.339000,36.577100,-119.012160,
529.300000,1969.614000,36.577200,-119.012140,
529.600000,1979.633000,36.577290,-119.012140,
530.000000,1988.716000,36.577370,-119.012160,
530.000000,1999.883000,36.577470,-119.012170,
530.100000,2007.878000,36.577540,-119.012190,
530.300000,2013.724000,36.577590,-119.012210,
530.100000,2027.112000,36.577710,-119.012220,
531.000000,2046.058000,36.577880,-119.012230,
