alt,dst,lat,lon,mdata
689.800000,0.000000,33.907610,-116.873980,E:\Dropbox\website\dev2\climbing\climbs\Hwy-243-(Banning-Pine-Cove).tcx
689.500000,2.893000,33.907590,-116.873960,
689.200000,16.255000,33.907490,-116.873880,
689.000000,22.042000,33.907450,-116.873840,
688.900000,27.023000,33.907420,-116.873800,
689.600000,37.763000,33.907350,-116.873720,
690.800000,49.158000,33.907280,-116.873630,
692.400000,65.519000,33.907190,-116.873490,
695.200000,80.471000,33.907110,-116.873360,
697.700000,92.557000,33.907040,-116.873260,
698.300000,99.667000,33.907000,-116.873200,
698.700000,109.629000,33.906940,-116.873120,
698.900000,118.926000,33.906880,-116.873050,
699.000000,129.053000,33.906810,-116.872980,
699.100000,142.072000,33.906720,-116.872890,
699.000000,148.489000,33.906680,-116.872840,
699.000000,157.021000,33.906630,-116.872770,
699.200000,164.131000,33.906590,-116.872710,
699.800000,170.547000,33.906550,-116.872660,
699.800000,177.826000,33.906520,-116.872590,
699.800000,185.105000,33.906490,-116.872520,
699.500000,192.824000,33.906470,-116.872440,
699.600000,200.102000,33.906440,-116.872370,
699.700000,213.227000,33.906420,-116.872230,
700.500000,220.702000,33.906410,-116.872150,
701.300000,227.169000,33.906410,-116.872080,
702.000000,232.712000,33.906410,-116.872020,
702.600000,239.274000,33.906420,-116.871950,
703.100000,244.928000,33.906430,-116.871890,
703.700000,251.768000,33.906450,-116.871820,
704.600000,258.331000,33.906460,-116.871750,
705.800000,269.918000,33.906510,-116.871640,
709.800000,286.628000,33.906580,-116.871480,
712.400000,325.457000,33.906760,-116.871120,
712.600000,352.139000,33.906880,-116.870870,
712.600000,371.554000,33.906970,-116.870690,
712.600000,391.766000,33.907060,-116.870500,
712.700000,399.044000,33.907090,-116.870430,
712.700000,404.172000,33.907110,-116.870380,
712.900000,417.409000,33.907160,-116.870250,
713.000000,424.249000,33.907180,-116.870180,
713.000000,430.223000,33.907200,-116.870120,
713.300000,442.689000,33.907230,-116.869990,
713.800000,449.156000,33.907230,-116.869920,
714.000000,454.810000,33.907240,-116.869860,
714.300000,465.034000,33.907250,-116.869750,
714.900000,475.196000,33.907250,-116.869640,
715.500000,480.850000,33.907240,-116.869580,
716.400000,486.504000,33.907230,-116.869520,
716.800000,489.276000,33.907230,-116.869490,
717.500000,492.263000,33.907220,-116.869460,
718.400000,496.122000,33.907210,-116.869420,
719.400000,499.982000,33.907200,-116.869380,
723.700000,526.008000,33.907110,-116.869120,
724.200000,537.595000,33.907060,-116.869010,
724.900000,556.801000,33.906990,-116.868820,
725.500000,577.313000,33.906910,-116.868620,
725.400000,587.137000,33.906880,-116.868520,
726.200000,608.485000,33.906800,-116.868310,
726.600000,614.956000,33.906770,-116.868250,
726.800000,619.270000,33.906750,-116.868210,
726.900000,623.585000,33.906730,-116.868170,
727.300000,630.001000,33.906690,-116.868120,
727.300000,635.701000,33.906660,-116.868070,
727.300000,640.682000,33.906630,-116.868030,
727.200000,652.078000,33.906560,-116.867940,
727.300000,661.375000,33.906500,-116.867870,
726.900000,668.485000,33.906460,-116.867810,
726.400000,674.957000,33.906430,-116.867750,
726.200000,680.657000,33.906400,-116.867700,
725.900000,685.785000,33.906380,-116.867650,
725.800000,690.913000,33.906360,-116.867600,
725.700000,696.886000,33.906340,-116.867540,
725.700000,700.746000,33.906330,-116.867500,
726.500000,706.720000,33.906310,-116.867440,
727.500000,713.282000,33.906300,-116.867370,
729.000000,719.844000,33.906290,-116.867300,
732.100000,730.007000,33.906290,-116.867190,
735.100000,739.246000,33.906290,-116.867090,
737.000000,747.854000,33.906310,-116.867000,
737.900000,754.694000,33.906330,-116.866930,
738.500000,761.534000,33.906350,-116.866860,
738.800000,767.507000,33.906370,-116.866800,
738.900000,781.588000,33.906420,-116.866660,
737.800000,797.292000,33.906500,-116.866520,
737.700000,811.849000,33.906560,-116.866380,
737.700000,821.282000,33.906600,-116.866290,
737.000000,834.225000,33.906660,-116.866170,
736.900000,840.198000,33.906680,-116.866110,
736.700000,841.645000,33.906690,-116.866100,
736.600000,853.224000,33.906720,-116.865980,
736.400000,861.832000,33.906740,-116.865890,
736.500000,869.306000,33.906750,-116.865810,
736.500000,877.695000,33.906760,-116.865720,
736.800000,883.239000,33.906760,-116.865660,
736.900000,886.934000,33.906760,-116.865620,
737.100000,892.477000,33.906760,-116.865560,
737.100000,898.021000,33.906760,-116.865500,
737.400000,902.772000,33.906750,-116.865450,
737.700000,908.426000,33.906740,-116.865390,
737.800000,913.178000,33.906730,-116.865340,
737.400000,917.798000,33.906730,-116.865290,
737.300000,926.405000,33.906710,-116.865200,
737.400000,931.533000,33.906690,-116.865150,
737.600000,936.661000,33.906670,-116.865100,
738.000000,949.067000,33.906620,-116.864980,
738.800000,964.966000,33.906550,-116.864830,
738.900000,967.952000,33.906540,-116.864800,
739.600000,973.080000,33.906520,-116.864750,
744.700000,987.162000,33.906470,-116.864610,
746.300000,992.816000,33.906460,-116.864550,
747.700000,1000.535000,33.906440,-116.864470,
748.700000,1014.571000,33.906420,-116.864320,
749.000000,1022.960000,33.906410,-116.864230,
749.200000,1028.614000,33.906400,-116.864170,
749.200000,1039.756000,33.906390,-116.864050,
749.200000,1046.319000,33.906380,-116.863980,
749.100000,1051.973000,33.906370,-116.863920,
749.100000,1055.832000,33.906360,-116.863880,
749.200000,1057.990000,33.906350,-116.863860,
749.000000,1063.644000,33.906340,-116.863800,
749.100000,1071.754000,33.906310,-116.863720,
749.400000,1084.160000,33.906260,-116.863600,
749.600000,1091.438000,33.906230,-116.863530,
749.600000,1096.566000,33.906210,-116.863480,
749.800000,1103.038000,33.906180,-116.863420,
749.500000,1109.878000,33.906160,-116.863350,
749.400000,1115.006000,33.906140,-116.863300,
749.400000,1120.134000,33.906120,-116.863250,
749.000000,1128.741000,33.906100,-116.863160,
748.600000,1136.216000,33.906090,-116.863080,
748.700000,1141.870000,33.906080,-116.863020,
749.100000,1153.012000,33.906070,-116.862900,
749.200000,1157.632000,33.906070,-116.862850,
749.500000,1163.175000,33.906070,-116.862790,
750.200000,1173.338000,33.906070,-116.862680,
751.400000,1184.481000,33.906080,-116.862560,
756.200000,1201.443000,33.906110,-116.862380,
758.100000,1206.986000,33.906110,-116.862320,
758.400000,1215.375000,33.906120,-116.862230,
758.400000,1220.919000,33.906120,-116.862170,
758.400000,1225.538000,33.906120,-116.862120,
758.400000,1232.005000,33.906120,-116.862050,
758.900000,1239.480000,33.906110,-116.861970,
759.500000,1248.088000,33.906090,-116.861880,
760.100000,1254.062000,33.906070,-116.861820,
760.500000,1260.035000,33.906050,-116.861760,
761.300000,1270.041000,33.906000,-116.861670,
761.600000,1275.742000,33.905970,-116.861620,
761.700000,1279.297000,33.905950,-116.861590,
761.800000,1284.997000,33.905920,-116.861540,
761.800000,1289.978000,33.905890,-116.861500,
761.900000,1298.658000,33.905830,-116.861440,
761.700000,1303.639000,33.905800,-116.861400,
761.700000,1308.884000,33.905760,-116.861370,
761.700000,1315.102000,33.905710,-116.861340,
761.700000,1321.319000,33.905660,-116.861310,
761.500000,1329.944000,33.905590,-116.861270,
761.100000,1349.600000,33.905430,-116.861180,
760.700000,1358.659000,33.905360,-116.861130,
760.900000,1364.877000,33.905310,-116.861100,
