alt,dst,lat,lon,mdata
101.600000,0.000000,39.744920,-121.780070,E:\Dropbox\website\dev2\climbing\climbs\Hwy-32-West-Chico.tcx
101.900000,6.094000,39.744930,-121.780000,
103.100000,39.663000,39.745030,-121.779630,
104.000000,71.737000,39.745110,-121.779270,
104.300000,83.355000,39.745140,-121.779140,
106.600000,144.222000,39.745300,-121.778460,
108.200000,184.638000,39.745410,-121.778010,
114.200000,313.086000,39.745760,-121.776580,
117.900000,449.076000,39.746140,-121.775070,
121.500000,583.908000,39.746510,-121.773570,
127.100000,716.770000,39.746870,-121.772090,
133.800000,850.786000,39.747240,-121.770600,
135.900000,900.373000,39.747380,-121.770050,
140.000000,983.988000,39.747610,-121.769120,
147.200000,1116.848000,39.747970,-121.767640,
150.500000,1248.076000,39.748330,-121.766180,
157.300000,1380.120000,39.748690,-121.764710,
165.700000,1511.691000,39.749060,-121.763250,
173.500000,1645.365000,39.749420,-121.761760,
179.500000,1777.748000,39.749790,-121.760290,
183.500000,1909.789000,39.750150,-121.758820,
191.000000,2043.799000,39.750520,-121.757330,
192.500000,2067.032000,39.750580,-121.757070,
197.800000,2176.657000,39.750880,-121.755850,
204.200000,2309.512000,39.751240,-121.754370,
206.900000,2357.474000,39.751380,-121.753840,
213.500000,2492.297000,39.751750,-121.752340,
217.800000,2627.119000,39.752120,-121.750840,
225.500000,2759.971000,39.752480,-121.749360,
233.900000,2893.977000,39.752850,-121.747870,
238.600000,3026.354000,39.753220,-121.746400,
243.100000,3160.837000,39.753580,-121.744900,
248.100000,3295.656000,39.753950,-121.743400,
252.700000,3431.289000,39.754320,-121.741890,
258.700000,3564.478000,39.754690,-121.740410,
258.700000,3574.466000,39.754720,-121.740300,
259.100000,3589.681000,39.754760,-121.740130,
259.600000,3608.054000,39.754820,-121.739930,
260.300000,3626.427000,39.754880,-121.739730,
261.300000,3647.255000,39.754960,-121.739510,
262.500000,3667.312000,39.755040,-121.739300,
263.300000,3686.411000,39.755130,-121.739110,
263.900000,3705.417000,39.755230,-121.738930,
264.900000,3725.835000,39.755330,-121.738730,
