alt,dst,lat,lon,mdata
445.000000,0.000000,34.135820,-117.191820,E:\Dropbox\website\dev2\climbing\climbs\Hwy-330-Highlands.tcx
445.200000,7.847000,34.135890,-117.191810,
445.600000,23.540000,34.136030,-117.191790,
446.400000,46.917000,34.136240,-117.191790,
447.000000,63.640000,34.136390,-117.191800,
447.400000,75.920000,34.136500,-117.191810,
447.800000,89.310000,34.136620,-117.191820,
448.200000,106.109000,34.136770,-117.191840,
448.500000,115.203000,34.136850,-117.191860,
449.500000,150.152000,34.137160,-117.191920,
453.900000,209.610000,34.137690,-117.192000,
461.400000,312.951000,34.138610,-117.192150,
462.500000,336.617000,34.138820,-117.192190,
464.900000,359.052000,34.139020,-117.192220,
468.700000,372.536000,34.139140,-117.192240,
472.900000,395.986000,34.139350,-117.192260,
473.900000,417.136000,34.139540,-117.192260,
474.400000,432.721000,34.139680,-117.192260,
474.800000,442.740000,34.139770,-117.192260,
475.000000,460.575000,34.139930,-117.192250,
475.100000,467.254000,34.139990,-117.192250,
475.800000,482.866000,34.140130,-117.192240,
479.900000,499.665000,34.140280,-117.192220,
485.000000,515.358000,34.140420,-117.192200,
486.600000,528.999000,34.140540,-117.192170,
487.300000,540.283000,34.140640,-117.192150,
488.300000,557.208000,34.140790,-117.192120,
489.700000,583.611000,34.141020,-117.192050,
491.200000,600.932000,34.141170,-117.192000,
492.600000,615.063000,34.141290,-117.191950,
494.800000,629.193000,34.141410,-117.191900,
496.300000,644.380000,34.141540,-117.191850,
498.000000,658.837000,34.141660,-117.191790,
499.300000,673.294000,34.141780,-117.191730,
500.000000,697.756000,34.141980,-117.191620,
500.200000,711.191000,34.142090,-117.191560,
500.200000,721.217000,34.142170,-117.191510,
500.200000,736.474000,34.142290,-117.191430,
500.100000,758.391000,34.142460,-117.191310,
500.100000,774.114000,34.142580,-117.191220,
500.200000,790.792000,34.142710,-117.191130,
502.200000,814.622000,34.142890,-117.190990,
511.000000,858.456000,34.143230,-117.190750,
511.100000,887.526000,34.143450,-117.190580,
513.800000,934.694000,34.143810,-117.190310,
514.000000,949.951000,34.143930,-117.190230,
514.300000,980.030000,34.144170,-117.190080,
514.200000,981.475000,34.144180,-117.190070,
514.600000,1003.529000,34.144360,-117.189970,
515.400000,1025.583000,34.144540,-117.189870,
515.500000,1027.028000,34.144550,-117.189860,
522.400000,1057.694000,34.144810,-117.189750,
524.700000,1069.420000,34.144910,-117.189710,
524.600000,1070.341000,34.144910,-117.189700,
524.800000,1071.454000,34.144920,-117.189700,
524.900000,1072.567000,34.144930,-117.189700,
525.100000,1073.680000,34.144940,-117.189700,
525.200000,1074.602000,34.144940,-117.189710,
526.100000,1080.243000,34.144990,-117.189720,
526.200000,1081.688000,34.145000,-117.189710,
527.700000,1105.140000,34.145200,-117.189630,
528.400000,1119.271000,34.145320,-117.189580,
529.000000,1124.912000,34.145370,-117.189570,
529.600000,1132.920000,34.145440,-117.189550,
530.900000,1145.473000,34.145550,-117.189520,
532.200000,1157.856000,34.145660,-117.189500,
533.400000,1174.655000,34.145810,-117.189480,
533.800000,1185.825000,34.145910,-117.189470,
534.100000,1196.957000,34.146010,-117.189470,
534.700000,1204.803000,34.146080,-117.189480,
535.000000,1209.256000,34.146120,-117.189480,
536.500000,1219.317000,34.146210,-117.189490,
539.900000,1238.442000,34.146380,-117.189520,
542.300000,1257.567000,34.146550,-117.189550,
543.300000,1269.950000,34.146660,-117.189570,
543.700000,1286.749000,34.146810,-117.189590,
543.200000,1302.442000,34.146950,-117.189610,
542.700000,1312.503000,34.147040,-117.189620,
542.500000,1319.245000,34.147100,-117.189630,
541.800000,1331.491000,34.147210,-117.189630,
541.500000,1341.509000,34.147300,-117.189630,
541.700000,1348.188000,34.147360,-117.189630,
543.200000,1364.886000,34.147510,-117.189630,
546.300000,1381.584000,34.147660,-117.189630,
551.100000,1395.069000,34.147780,-117.189610,
554.600000,1402.861000,34.147850,-117.189610,
558.900000,1419.660000,34.148000,-117.189590,
560.600000,1440.991000,34.148190,-117.189560,
558.700000,1473.483000,34.148480,-117.189520,
552.400000,1529.628000,34.148980,-117.189440,
559.400000,1562.120000,34.149270,-117.189400,
567.600000,1602.459000,34.149630,-117.189350,
568.300000,1636.171000,34.149930,-117.189300,
568.300000,1685.462000,34.150370,-117.189240,
566.500000,1710.228000,34.150590,-117.189200,
569.100000,1739.404000,34.150850,-117.189160,
579.000000,1768.479000,34.151110,-117.189130,
580.600000,1779.762000,34.151210,-117.189110,
580.700000,1787.769000,34.151280,-117.189090,
580.500000,1796.863000,34.151360,-117.189070,
579.900000,1805.131000,34.151430,-117.189040,
579.400000,1818.988000,34.151550,-117.189000,
579.700000,1829.663000,34.151640,-117.188960,
579.600000,1842.092000,34.151740,-117.188900,
580.100000,1853.119000,34.151830,-117.188850,
580.600000,1862.171000,34.151900,-117.188800,
581.200000,1870.284000,34.151960,-117.188750,
582.200000,1881.279000,34.152040,-117.188680,
582.600000,1899.490000,34.152170,-117.188560,
581.900000,1931.873000,34.152390,-117.188330,
579.600000,1970.886000,34.152660,-117.188060,
579.600000,2005.565000,34.152900,-117.187820,
580.000000,2023.505000,34.153020,-117.187690,
579.500000,2040.844000,34.153140,-117.187570,
577.200000,2061.073000,34.153280,-117.187430,
575.100000,2082.747000,34.153430,-117.187280,
576.200000,2102.976000,34.153570,-117.187140,
576.600000,2115.980000,34.153660,-117.187050,
576.500000,2132.477000,34.153770,-117.186930,
