alt,dst,lat,lon,mdata
538.300000,0.000000,34.069730,-117.121620,E:\Dropbox\website\dev2\climbing\climbs\Hwy-38-Valley-of-Falls-Redlands.tcx
538.200000,14.501000,34.069860,-117.121630,
540.300000,71.715000,34.069840,-117.121010,
544.000000,183.314000,34.069820,-117.119800,
549.000000,318.883000,34.069800,-117.118330,
549.200000,329.123000,34.069760,-117.118230,
551.500000,396.437000,34.069760,-117.117500,
552.600000,426.867000,34.069760,-117.117170,
553.500000,454.553000,34.069750,-117.116870,
554.800000,484.082000,34.069740,-117.116550,
557.000000,540.331000,34.069740,-117.115940,
557.200000,546.786000,34.069740,-117.115870,
557.300000,548.630000,34.069740,-117.115850,
557.500000,558.048000,34.069780,-117.115760,
564.300000,741.603000,34.069740,-117.113770,
567.900000,845.826000,34.069720,-117.112640,
573.300000,1007.231000,34.069690,-117.110890,
574.800000,1048.741000,34.069680,-117.110440,
579.500000,1180.623000,34.069660,-117.109010,
582.400000,1261.777000,34.069650,-117.108130,
584.300000,1316.193000,34.069640,-117.107540,
586.300000,1374.297000,34.069630,-117.106910,
588.000000,1416.729000,34.069620,-117.106450,
588.800000,1436.094000,34.069620,-117.106240,
591.700000,1510.819000,34.069600,-117.105430,
592.000000,1520.962000,34.069600,-117.105320,
592.600000,1532.950000,34.069600,-117.105190,
593.100000,1545.907000,34.069610,-117.105050,
593.600000,1559.784000,34.069620,-117.104900,
594.200000,1572.741000,34.069630,-117.104760,
594.600000,1583.126000,34.069650,-117.104650,
595.500000,1607.739000,34.069700,-117.104390,
595.600000,1609.893000,34.069710,-117.104370,
596.500000,1634.227000,34.069780,-117.104120,
597.300000,1658.082000,34.069860,-117.103880,
598.300000,1682.035000,34.069960,-117.103650,
599.700000,1718.655000,34.070130,-117.103310,
600.300000,1733.735000,34.070200,-117.103170,
602.400000,1783.280000,34.070430,-117.102710,
603.100000,1808.345000,34.070550,-117.102480,
603.300000,1813.465000,34.070570,-117.102430,
604.500000,1843.870000,34.070700,-117.102140,
605.200000,1861.376000,34.070770,-117.101970,
605.900000,1876.286000,34.070820,-117.101820,
