alt,dst,lat,lon,mdata
446.900000,0.000000,34.238750,-117.857830,E:\Dropbox\website\dev2\climbing\climbs\Hwy-39-Crystal-Lake-Rd-Azusa.tcx
446.800000,40.518000,34.238500,-117.858150,
446.800000,46.921000,34.238460,-117.858200,
452.200000,166.375000,34.237720,-117.859140,
453.000000,178.434000,34.237650,-117.859240,
453.600000,189.074000,34.237590,-117.859330,
454.200000,196.905000,34.237550,-117.859400,
454.700000,207.660000,34.237500,-117.859500,
455.800000,225.662000,34.237420,-117.859670,
456.800000,245.649000,34.237350,-117.859870,
457.000000,256.708000,34.237310,-117.859980,
457.100000,268.246000,34.237280,-117.860100,
458.300000,285.721000,34.237230,-117.860280,
458.600000,299.704000,34.237210,-117.860430,
459.300000,310.969000,34.237190,-117.860550,
460.200000,327.868000,34.237160,-117.860730,
460.900000,341.717000,34.237150,-117.860880,
461.300000,349.079000,34.237150,-117.860960,
461.500000,356.442000,34.237150,-117.861040,
461.900000,370.246000,34.237150,-117.861190,
462.200000,378.603000,34.237160,-117.861280,
462.900000,392.586000,34.237180,-117.861430,
464.100000,404.123000,34.237210,-117.861550,
465.200000,417.433000,34.237240,-117.861690,
466.200000,429.854000,34.237270,-117.861820,
467.300000,442.275000,34.237300,-117.861950,
468.200000,458.017000,34.237350,-117.862110,
468.500000,468.772000,34.237400,-117.862210,
469.400000,482.807000,34.237450,-117.862350,
469.900000,495.713000,34.237510,-117.862470,
470.400000,503.544000,34.237550,-117.862540,
470.900000,511.375000,34.237590,-117.862610,
471.300000,523.434000,34.237660,-117.862710,
471.900000,537.621000,34.237740,-117.862830,
473.700000,553.962000,34.237840,-117.862960,
477.100000,577.072000,34.238000,-117.863120,
478.400000,595.848000,34.238130,-117.863250,
478.800000,607.759000,34.238220,-117.863320,
479.100000,618.750000,34.238300,-117.863390,
479.100000,632.587000,34.238410,-117.863460,
479.700000,650.235000,34.238550,-117.863550,
480.600000,676.090000,34.238760,-117.863670,
482.000000,741.860000,34.239300,-117.863960,
490.500000,833.479000,34.240050,-117.864370,
497.500000,860.344000,34.240270,-117.864490,
500.400000,882.793000,34.240450,-117.864600,
500.400000,888.032000,34.240490,-117.864630,
500.500000,896.143000,34.240550,-117.864680,
500.600000,901.382000,34.240590,-117.864710,
500.400000,908.055000,34.240640,-117.864750,
499.300000,918.165000,34.240710,-117.864820,
499.000000,927.444000,34.240770,-117.864890,
498.400000,935.958000,34.240820,-117.864960,
497.300000,945.898000,34.240880,-117.865040,
494.100000,958.673000,34.240950,-117.865150,
492.600000,965.125000,34.240980,-117.865210,
490.600000,973.209000,34.241010,-117.865290,
489.300000,978.895000,34.241040,-117.865340,
487.900000,984.848000,34.241060,-117.865400,
486.500000,990.802000,34.241080,-117.865460,
484.700000,999.732000,34.241110,-117.865550,
483.700000,1006.548000,34.241130,-117.865620,
483.000000,1013.993000,34.241140,-117.865700,
482.300000,1022.569000,34.241160,-117.865790,
482.100000,1029.011000,34.241160,-117.865860,
481.700000,1035.548000,34.241170,-117.865930,
481.700000,1044.751000,34.241170,-117.866030,
481.200000,1061.315000,34.241170,-117.866210,
478.900000,1144.145000,34.241160,-117.867110,
478.000000,1179.114000,34.241160,-117.867490,
477.900000,1225.127000,34.241160,-117.867990,
478.200000,1238.010000,34.241160,-117.868130,
478.500000,1245.372000,34.241160,-117.868210,
478.600000,1253.729000,34.241170,-117.868300,
478.800000,1261.175000,34.241180,-117.868380,
478.800000,1270.642000,34.241200,-117.868480,
478.900000,1275.376000,34.241210,-117.868530,
478.600000,1280.487000,34.241230,-117.868580,
478.500000,1289.064000,34.241250,-117.868670,
477.900000,1297.148000,34.241280,-117.868750,
474.800000,1311.659000,34.241340,-117.868890,
473.200000,1324.026000,34.241390,-117.869010,
473.300000,1336.153000,34.241450,-117.869120,
473.300000,1346.094000,34.241510,-117.869200,
473.300000,1356.733000,34.241570,-117.869290,
473.300000,1369.539000,34.241650,-117.869390,
473.300000,1384.586000,34.241750,-117.869500,
473.500000,1392.696000,34.241810,-117.869550,
474.500000,1404.136000,34.241900,-117.869610,
475.400000,1413.185000,34.241970,-117.869660,
476.900000,1427.021000,34.242080,-117.869730,
479.600000,1443.555000,34.242220,-117.869790,
481.000000,1457.411000,34.242340,-117.869830,
481.500000,1464.153000,34.242400,-117.869840,
481.500000,1472.000000,34.242470,-117.869850,
481.500000,1479.846000,34.242540,-117.869860,
481.500000,1488.799000,34.242620,-117.869870,
481.500000,1498.818000,34.242710,-117.869870,
481.500000,1511.063000,34.242820,-117.869870,
481.500000,1525.651000,34.242950,-117.869850,
481.500000,1542.750000,34.243100,-117.869810,
481.600000,1562.028000,34.243270,-117.869770,
481.900000,1597.314000,34.243580,-117.869690,
481.800000,1602.132000,34.243620,-117.869670,
481.700000,1631.168000,34.243870,-117.869580,
488.200000,1658.077000,34.244100,-117.869490,
488.500000,1673.263000,34.244230,-117.869440,
490.900000,1700.469000,34.244460,-117.869340,
491.200000,1709.087000,34.244530,-117.869300,
491.400000,1723.542000,34.244650,-117.869240,
491.700000,1734.566000,34.244740,-117.869190,
492.300000,1747.912000,34.244840,-117.869110,
493.000000,1764.586000,34.244970,-117.869020,
493.400000,1774.136000,34.245040,-117.868960,
494.100000,1784.856000,34.245110,-117.868880,
494.800000,1796.227000,34.245180,-117.868790,
495.100000,1809.033000,34.245260,-117.868690,
495.700000,1835.275000,34.245410,-117.868470,
499.000000,1873.575000,34.245630,-117.868150,
504.000000,1900.605000,34.245770,-117.867910,
507.100000,1931.109000,34.245940,-117.867650,
508.200000,1956.748000,34.246070,-117.867420,
508.100000,1990.119000,34.246250,-117.867130,
508.200000,2006.439000,34.246340,-117.866990,
508.300000,2015.718000,34.246400,-117.866920,
508.500000,2022.939000,34.246450,-117.866870,
508.500000,2025.090000,34.246460,-117.866850,
509.200000,2045.631000,34.246610,-117.866720,
510.000000,2059.467000,34.246720,-117.866650,
510.800000,2073.303000,34.246830,-117.866580,
515.200000,2105.368000,34.247090,-117.866430,
516.000000,2119.204000,34.247200,-117.866360,
517.100000,2141.653000,34.247380,-117.866250,
517.600000,2165.475000,34.247560,-117.866110,
522.800000,2225.482000,34.248020,-117.865770,
527.900000,2246.438000,34.248180,-117.865650,
528.300000,2255.056000,34.248250,-117.865610,
528.500000,2263.674000,34.248320,-117.865570,
529.000000,2275.399000,34.248420,-117.865530,
529.300000,2288.185000,34.248530,-117.865490,
529.500000,2303.117000,34.248660,-117.865450,
529.700000,2313.791000,34.248750,-117.865410,
529.900000,2322.840000,34.248820,-117.865360,
530.200000,2328.617000,34.248860,-117.865320,
530.700000,2336.457000,34.248910,-117.865260,
531.300000,2346.435000,34.248960,-117.865170,
532.000000,2359.199000,34.249000,-117.865040,
534.700000,2374.999000,34.249020,-117.864870,
536.800000,2392.623000,34.249040,-117.864680,
541.100000,2408.424000,34.249060,-117.864510,
544.700000,2420.843000,34.249090,-117.864380,
546.000000,2433.607000,34.249130,-117.864250,
546.400000,2450.265000,34.249200,-117.864090,
546.100000,2463.965000,34.249260,-117.863960,
545.800000,2474.719000,34.249310,-117.863860,
545.000000,2498.378000,34.249420,-117.863640,
544.900000,2521.869000,34.249540,-117.863430,
545.300000,2550.294000,34.249690,-117.863180,
549.200000,2582.933000,34.249870,-117.862900,
550.100000,2597.119000,34.249950,-117.862780,
550.700000,2615.576000,34.250050,-117.862620,
551.600000,2634.933000,34.250140,-117.862440,
552.400000,2649.988000,34.250210,-117.862300,
554.500000,2672.865000,34.250320,-117.862090,
555.100000,2683.619000,34.250370,-117.861990,
555.300000,2697.133000,34.250440,-117.861870,
555.900000,2712.812000,34.250540,-117.861750,
557.000000,2722.752000,34.250600,-117.861670,
560.100000,2732.730000,34.250650,-117.861580,
563.200000,2746.430000,34.250710,-117.861450,
563.900000,2761.312000,34.250760,-117.861300,
564.100000,2771.971000,34.250790,-117.861190,
564.500000,2783.028000,34.250830,-117.861080,
564.700000,2798.768000,34.250880,-117.860920,
564.600000,2809.825000,34.250920,-117.860810,
564.700000,2820.047000,34.250960,-117.860710,
564.600000,2830.801000,34.251010,-117.860610,
564.100000,2842.171000,34.251070,-117.860510,
563.300000,2856.614000,34.251170,-117.860410,
563.100000,2871.866000,34.251290,-117.860330,
564.400000,2895.620000,34.251490,-117.860240,
565.300000,2913.517000,34.251640,-117.860170,
565.600000,2931.765000,34.251790,-117.860090,
565.900000,2944.191000,34.251890,-117.860030,
566.300000,2962.289000,34.252030,-117.859930,
568.300000,2996.102000,34.252290,-117.859740,
568.900000,3008.013000,34.252380,-117.859670,
