alt,dst,lat,lon,mdata
446.800000,0.000000,34.238500,-117.858150,E:\Dropbox\website\dev2\climbing\climbs\Hwy-39-Dawson's-Saddle-Azusa.tcx
446.800000,6.403000,34.238460,-117.858200,
452.200000,125.857000,34.237720,-117.859140,
453.000000,137.915000,34.237650,-117.859240,
453.600000,148.555000,34.237590,-117.859330,
454.200000,156.387000,34.237550,-117.859400,
454.700000,167.142000,34.237500,-117.859500,
455.800000,185.144000,34.237420,-117.859670,
456.800000,205.131000,34.237350,-117.859870,
457.000000,216.190000,34.237310,-117.859980,
457.100000,227.728000,34.237280,-117.860100,
458.300000,245.203000,34.237230,-117.860280,
458.600000,259.186000,34.237210,-117.860430,
459.300000,270.451000,34.237190,-117.860550,
460.200000,287.350000,34.237160,-117.860730,
460.900000,301.199000,34.237150,-117.860880,
461.300000,308.561000,34.237150,-117.860960,
461.500000,315.924000,34.237150,-117.861040,
461.900000,329.728000,34.237150,-117.861190,
462.200000,338.085000,34.237160,-117.861280,
462.900000,352.068000,34.237180,-117.861430,
464.100000,363.605000,34.237210,-117.861550,
465.200000,376.915000,34.237240,-117.861690,
466.200000,389.336000,34.237270,-117.861820,
467.300000,401.757000,34.237300,-117.861950,
468.200000,417.499000,34.237350,-117.862110,
468.500000,428.254000,34.237400,-117.862210,
469.400000,442.289000,34.237450,-117.862350,
469.900000,455.195000,34.237510,-117.862470,
470.400000,463.026000,34.237550,-117.862540,
470.900000,470.857000,34.237590,-117.862610,
471.300000,482.916000,34.237660,-117.862710,
471.900000,497.103000,34.237740,-117.862830,
473.700000,513.444000,34.237840,-117.862960,
477.100000,536.554000,34.238000,-117.863120,
478.400000,555.330000,34.238130,-117.863250,
478.800000,567.241000,34.238220,-117.863320,
479.100000,578.232000,34.238300,-117.863390,
479.100000,592.068000,34.238410,-117.863460,
479.700000,609.717000,34.238550,-117.863550,
480.600000,635.571000,34.238760,-117.863670,
482.000000,701.341000,34.239300,-117.863960,
490.500000,792.961000,34.240050,-117.864370,
497.500000,819.825000,34.240270,-117.864490,
500.400000,842.275000,34.240450,-117.864600,
500.400000,847.514000,34.240490,-117.864630,
500.500000,855.624000,34.240550,-117.864680,
500.600000,860.864000,34.240590,-117.864710,
500.400000,867.537000,34.240640,-117.864750,
499.300000,877.647000,34.240710,-117.864820,
499.000000,886.926000,34.240770,-117.864890,
498.400000,895.439000,34.240820,-117.864960,
497.300000,905.380000,34.240880,-117.865040,
494.100000,918.154000,34.240950,-117.865150,
492.600000,924.607000,34.240980,-117.865210,
490.600000,932.691000,34.241010,-117.865290,
489.300000,938.377000,34.241040,-117.865340,
487.900000,944.330000,34.241060,-117.865400,
486.500000,950.284000,34.241080,-117.865460,
484.700000,959.214000,34.241110,-117.865550,
483.700000,966.029000,34.241130,-117.865620,
483.000000,973.475000,34.241140,-117.865700,
482.300000,982.051000,34.241160,-117.865790,
482.100000,988.493000,34.241160,-117.865860,
481.700000,995.030000,34.241170,-117.865930,
481.700000,1004.233000,34.241170,-117.866030,
481.200000,1020.797000,34.241170,-117.866210,
478.900000,1103.627000,34.241160,-117.867110,
478.000000,1138.596000,34.241160,-117.867490,
477.900000,1184.609000,34.241160,-117.867990,
478.200000,1197.492000,34.241160,-117.868130,
478.500000,1204.854000,34.241160,-117.868210,
478.600000,1213.211000,34.241170,-117.868300,
478.800000,1220.656000,34.241180,-117.868380,
478.800000,1230.124000,34.241200,-117.868480,
478.900000,1234.858000,34.241210,-117.868530,
478.600000,1239.970000,34.241230,-117.868580,
478.500000,1248.546000,34.241250,-117.868670,
477.900000,1256.630000,34.241280,-117.868750,
474.800000,1271.142000,34.241340,-117.868890,
473.200000,1283.508000,34.241390,-117.869010,
473.300000,1295.636000,34.241450,-117.869120,
473.300000,1305.576000,34.241510,-117.869200,
473.300000,1316.216000,34.241570,-117.869290,
473.300000,1329.022000,34.241650,-117.869390,
473.300000,1344.068000,34.241750,-117.869500,
473.500000,1352.179000,34.241810,-117.869550,
474.500000,1363.618000,34.241900,-117.869610,
475.400000,1372.667000,34.241970,-117.869660,
476.900000,1386.503000,34.242080,-117.869730,
479.600000,1403.037000,34.242220,-117.869790,
481.000000,1416.893000,34.242340,-117.869830,
481.500000,1423.636000,34.242400,-117.869840,
481.500000,1431.482000,34.242470,-117.869850,
481.500000,1439.329000,34.242540,-117.869860,
481.500000,1448.281000,34.242620,-117.869870,
481.500000,1458.300000,34.242710,-117.869870,
481.500000,1470.545000,34.242820,-117.869870,
481.500000,1485.133000,34.242950,-117.869850,
481.500000,1502.232000,34.243100,-117.869810,
481.600000,1521.511000,34.243270,-117.869770,
481.900000,1556.796000,34.243580,-117.869690,
481.800000,1561.614000,34.243620,-117.869670,
481.700000,1590.650000,34.243870,-117.869580,
488.200000,1617.560000,34.244100,-117.869490,
488.500000,1632.745000,34.244230,-117.869440,
490.900000,1659.952000,34.244460,-117.869340,
491.200000,1668.570000,34.244530,-117.869300,
491.400000,1683.024000,34.244650,-117.869240,
491.700000,1694.049000,34.244740,-117.869190,
492.300000,1707.395000,34.244840,-117.869110,
493.000000,1724.068000,34.244970,-117.869020,
493.400000,1733.618000,34.245040,-117.868960,
494.100000,1744.338000,34.245110,-117.868880,
494.800000,1755.710000,34.245180,-117.868790,
495.100000,1768.515000,34.245260,-117.868690,
495.700000,1794.757000,34.245410,-117.868470,
499.000000,1833.057000,34.245630,-117.868150,
504.000000,1860.087000,34.245770,-117.867910,
507.100000,1890.592000,34.245940,-117.867650,
508.200000,1916.231000,34.246070,-117.867420,
508.100000,1949.601000,34.246250,-117.867130,
508.200000,1965.921000,34.246340,-117.866990,
508.300000,1975.200000,34.246400,-117.866920,
508.500000,1982.422000,34.246450,-117.866870,
508.500000,1984.573000,34.246460,-117.866850,
509.200000,2005.113000,34.246610,-117.866720,
510.000000,2018.949000,34.246720,-117.866650,
510.800000,2032.785000,34.246830,-117.866580,
515.200000,2064.851000,34.247090,-117.866430,
516.000000,2078.687000,34.247200,-117.866360,
517.100000,2101.136000,34.247380,-117.866250,
517.600000,2124.957000,34.247560,-117.866110,
522.800000,2184.965000,34.248020,-117.865770,
527.900000,2205.921000,34.248180,-117.865650,
528.300000,2214.539000,34.248250,-117.865610,
528.500000,2223.156000,34.248320,-117.865570,
529.000000,2234.881000,34.248420,-117.865530,
529.300000,2247.667000,34.248530,-117.865490,
529.500000,2262.600000,34.248660,-117.865450,
529.700000,2273.273000,34.248750,-117.865410,
529.900000,2282.322000,34.248820,-117.865360,
530.200000,2288.099000,34.248860,-117.865320,
530.700000,2295.939000,34.248910,-117.865260,
531.300000,2305.917000,34.248960,-117.865170,
532.000000,2318.681000,34.249000,-117.865040,
534.700000,2334.481000,34.249020,-117.864870,
536.800000,2352.106000,34.249040,-117.864680,
541.100000,2367.906000,34.249060,-117.864510,
544.700000,2380.325000,34.249090,-117.864380,
546.000000,2393.089000,34.249130,-117.864250,
546.400000,2409.747000,34.249200,-117.864090,
546.100000,2423.447000,34.249260,-117.863960,
545.800000,2434.201000,34.249310,-117.863860,
545.000000,2457.860000,34.249420,-117.863640,
544.900000,2481.351000,34.249540,-117.863430,
545.300000,2509.777000,34.249690,-117.863180,
549.200000,2542.415000,34.249870,-117.862900,
550.100000,2556.601000,34.249950,-117.862780,
550.700000,2575.058000,34.250050,-117.862620,
551.600000,2594.415000,34.250140,-117.862440,
552.400000,2609.471000,34.250210,-117.862300,
554.500000,2632.347000,34.250320,-117.862090,
555.100000,2643.101000,34.250370,-117.861990,
555.300000,2656.615000,34.250440,-117.861870,
555.900000,2672.295000,34.250540,-117.861750,
557.000000,2682.234000,34.250600,-117.861670,
560.100000,2692.212000,34.250650,-117.861580,
563.200000,2705.912000,34.250710,-117.861450,
563.900000,2720.795000,34.250760,-117.861300,
564.100000,2731.453000,34.250790,-117.861190,
564.500000,2742.511000,34.250830,-117.861080,
564.700000,2758.250000,34.250880,-117.860920,
564.600000,2769.308000,34.250920,-117.860810,
564.700000,2779.530000,34.250960,-117.860710,
564.600000,2790.284000,34.251010,-117.860610,
564.100000,2801.654000,34.251070,-117.860510,
563.300000,2816.096000,34.251170,-117.860410,
563.100000,2831.348000,34.251290,-117.860330,
564.400000,2855.102000,34.251490,-117.860240,
565.300000,2872.999000,34.251640,-117.860170,
565.600000,2891.248000,34.251790,-117.860090,
565.900000,2903.673000,34.251890,-117.860030,
566.300000,2921.771000,34.252030,-117.859930,
568.300000,2955.585000,34.252290,-117.859740,
568.900000,2967.495000,34.252380,-117.859670,
570.400000,2995.121000,34.252590,-117.859510,
573.400000,3009.951000,34.252710,-117.859440,
576.300000,3028.590000,34.252860,-117.859350,
576.300000,3040.029000,34.252950,-117.859290,
576.800000,3057.677000,34.253090,-117.859200,
577.700000,3071.551000,34.253190,-117.859110,
578.600000,3085.994000,34.253290,-117.859010,
578.200000,3107.432000,34.253430,-117.858850,
577.600000,3117.542000,34.253500,-117.858780,
577.100000,3127.092000,34.253570,-117.858720,
576.700000,3134.718000,34.253630,-117.858680,
576.700000,3149.450000,34.253760,-117.858650,
576.800000,3157.296000,34.253830,-117.858640,
577.100000,3166.202000,34.253910,-117.858640,
577.500000,3173.994000,34.253980,-117.858640,
577.800000,3181.787000,34.254050,-117.858640,
578.200000,3192.956000,34.254150,-117.858630,
578.800000,3205.509000,34.254260,-117.858600,
580.600000,3220.694000,34.254390,-117.858550,
584.000000,3233.775000,34.254500,-117.858500,
586.300000,3246.855000,34.254610,-117.858450,
586.500000,3262.041000,34.254740,-117.858400,
586.800000,3275.681000,34.254860,-117.858370,
587.000000,3283.527000,34.254930,-117.858360,
587.200000,3291.374000,34.255000,-117.858350,
587.600000,3300.279000,34.255080,-117.858350,
588.400000,3309.373000,34.255160,-117.858370,
588.400000,3316.115000,34.255220,-117.858380,
