alt,dst,lat,lon,mdata
73.900000,0.000000,33.720600,-116.390950,E:\Dropbox\website\dev2\climbing\climbs\Hwy-74---Santa-Rosa-Summit.tcx
74.000000,2.411000,33.720580,-116.390940,
74.400000,17.912000,33.720450,-116.390880,
74.700000,25.922000,33.720380,-116.390860,
74.900000,31.564000,33.720330,-116.390850,
75.200000,37.207000,33.720280,-116.390840,
75.500000,46.303000,33.720200,-116.390820,
75.900000,59.693000,33.720080,-116.390810,
76.300000,73.083000,33.719960,-116.390820,
76.600000,81.989000,33.719880,-116.390820,
77.000000,94.269000,33.719770,-116.390830,
77.400000,106.825000,33.719660,-116.390860,
77.700000,118.298000,33.719560,-116.390890,
78.000000,129.583000,33.719460,-116.390870,
78.800000,158.913000,33.719210,-116.390970,
86.700000,382.299000,33.717300,-116.391710,
90.100000,485.194000,33.716420,-116.392050,
95.100000,639.537000,33.715100,-116.392560,
96.300000,674.733000,33.714800,-116.392680,
96.800000,689.927000,33.714670,-116.392730,
100.400000,789.359000,33.713820,-116.393060,
105.000000,900.813000,33.712870,-116.393440,
107.500000,965.052000,33.712320,-116.393650,
108.800000,996.787000,33.712050,-116.393760,
109.700000,1017.847000,33.711870,-116.393830,
112.600000,1079.684000,33.711340,-116.394030,
115.300000,1132.478000,33.710890,-116.394210,
118.100000,1181.811000,33.710470,-116.394380,
126.100000,1337.499000,33.709140,-116.394900,
129.000000,1397.216000,33.708630,-116.395100,
131.700000,1448.664000,33.708190,-116.395270,
139.900000,1628.105000,33.706660,-116.395880,
142.400000,1681.677000,33.706200,-116.396050,
146.800000,1772.842000,33.705420,-116.396350,
147.800000,1793.902000,33.705240,-116.396420,
148.800000,1819.771000,33.705020,-116.396510,
151.500000,1887.759000,33.704440,-116.396740,
156.300000,1990.655000,33.703560,-116.397080,
157.700000,2019.706000,33.703310,-116.397170,
160.300000,2081.828000,33.702780,-116.397380,
162.400000,2145.008000,33.702240,-116.397590,
167.700000,2298.294000,33.700930,-116.398100,
169.700000,2345.222000,33.700530,-116.398260,
172.000000,2400.134000,33.700060,-116.398440,
174.400000,2458.794000,33.699560,-116.398640,
175.900000,2490.530000,33.699290,-116.398750,
177.900000,2529.188000,33.698960,-116.398880,
179.800000,2564.102000,33.698660,-116.398990,
183.800000,2639.014000,33.698020,-116.399240,
191.900000,2818.458000,33.696490,-116.399850,
193.900000,2860.302000,33.696130,-116.399980,
194.300000,2870.984000,33.696040,-116.400020,
200.400000,3003.210000,33.694910,-116.400460,
202.500000,3051.197000,33.694500,-116.400620,
205.100000,3109.857000,33.694000,-116.400820,
207.800000,3186.890000,33.693340,-116.401070,
211.100000,3263.755000,33.692690,-116.401350,
212.400000,3301.070000,33.692370,-116.401470,
213.000000,3315.208000,33.692250,-116.401520,
214.100000,3344.260000,33.692000,-116.401610,
221.600000,3574.863000,33.690030,-116.402380,
223.700000,3648.433000,33.689400,-116.402620,
226.600000,3738.540000,33.688630,-116.402920,
232.400000,3947.518000,33.686840,-116.403600,
234.400000,3990.987000,33.686470,-116.403750,
236.900000,4042.436000,33.686030,-116.403920,
240.500000,4130.140000,33.685280,-116.404210,
241.600000,4171.203000,33.684930,-116.404350,
246.200000,4340.266000,33.683490,-116.404930,
246.700000,4352.727000,33.683400,-116.405010,
247.100000,4362.373000,33.683320,-116.405050,
248.500000,4394.109000,33.683050,-116.405160,
255.700000,4595.385000,33.681330,-116.405830,
264.000000,4789.170000,33.679670,-116.406460,
268.300000,4922.745000,33.678530,-116.406910,
269.500000,4952.076000,33.678280,-116.407010,
270.800000,4980.063000,33.678040,-116.407100,
273.300000,5032.110000,33.677600,-116.407290,
277.200000,5105.681000,33.676970,-116.407530,
278.700000,5136.365000,33.676710,-116.407640,
294.600000,5510.649000,33.673510,-116.408880,
296.700000,5561.040000,33.673080,-116.409050,
297.200000,5574.903000,33.672960,-116.409090,
299.000000,5607.168000,33.672680,-116.409180,
300.400000,5634.457000,33.672440,-116.409240,
301.600000,5655.930000,33.672250,-116.409280,
302.600000,5678.500000,33.672050,-116.409320,
303.000000,5689.670000,33.671950,-116.409330,
303.400000,5705.282000,33.671810,-116.409340,
303.700000,5716.414000,33.671710,-116.409340,
304.000000,5726.433000,33.671620,-116.409340,
304.800000,5744.268000,33.671460,-116.409330,
305.800000,5762.460000,33.671300,-116.409290,
306.100000,5776.105000,33.671180,-116.409260,
306.000000,5790.841000,33.671050,-116.409230,
306.000000,5805.577000,33.670920,-116.409200,
305.900000,5815.974000,33.670830,-116.409170,
305.700000,5835.978000,33.670660,-116.409100,
305.600000,5855.983000,33.670490,-116.409030,
305.500000,5865.628000,33.670410,-116.408990,
305.300000,5879.485000,33.670300,-116.408920,
305.500000,5897.160000,33.670160,-116.408830,
307.800000,5965.904000,33.669620,-116.408470,
307.700000,6021.255000,33.669190,-116.408170,
313.100000,6137.673000,33.668290,-116.407530,
313.500000,6146.302000,33.668220,-116.407490,
314.000000,6156.800000,33.668140,-116.407430,
314.400000,6165.865000,33.668070,-116.407380,
314.700000,6173.994000,33.668010,-116.407330,
314.900000,6181.235000,33.667960,-116.407280,
315.100000,6187.028000,33.667920,-116.407240,
315.300000,6193.453000,33.667880,-116.407190,
315.500000,6201.320000,33.667830,-116.407130,
315.800000,6208.561000,33.667780,-116.407080,
316.000000,6215.684000,33.667740,-116.407020,
316.200000,6222.168000,33.667710,-116.406960,
316.400000,6230.715000,33.667660,-116.406890,
316.600000,6241.523000,33.667610,-116.406790,
316.900000,6256.942000,33.667550,-116.406640,
317.700000,6275.035000,33.667470,-116.406470,
320.100000,6296.919000,33.667380,-116.406260,
323.000000,6312.852000,33.667310,-116.406110,
326.300000,6327.441000,33.667250,-116.405970,
330.500000,6347.695000,33.667160,-116.405780,
332.300000,6366.601000,33.667080,-116.405600,
333.000000,6374.468000,33.667040,-116.405530,
334.200000,6383.737000,33.666990,-116.405450,
335.300000,6393.714000,33.666930,-116.405370,
335.700000,6401.580000,33.666880,-116.405310,
335.800000,6410.127000,33.666830,-116.405240,
336.300000,6419.192000,33.666760,-116.405190,
337.000000,6431.126000,33.666670,-116.405120,
337.800000,6441.165000,33.666590,-116.405070,
338.600000,6449.793000,33.666520,-116.405030,
341.000000,6464.262000,33.666400,-116.404970,
344.500000,6479.112000,33.666280,-116.404900,
345.900000,6490.149000,33.666190,-116.404850,
346.000000,6500.647000,33.666110,-116.404790,
345.900000,6511.146000,33.666030,-116.404730,
345.600000,6522.732000,33.665950,-116.404650,
345.500000,6534.145000,33.665880,-116.404560,
345.600000,6544.122000,33.665820,-116.404480,
345.400000,6550.607000,33.665790,-116.404420,
345.400000,6556.318000,33.665760,-116.404370,
345.400000,6562.803000,33.665730,-116.404310,
345.300000,6568.791000,33.665710,-116.404250,
345.600000,6576.920000,33.665680,-116.404170,
345.800000,6584.659000,33.665660,-116.404090,
345.600000,6592.154000,33.665650,-116.404010,
345.500000,6602.586000,33.665630,-116.403900,
345.100000,6612.838000,33.665620,-116.403790,
344.700000,6624.883000,33.665620,-116.403660,
345.900000,6641.560000,33.665620,-116.403480,
347.400000,6663.907000,33.665640,-116.403240,
347.800000,6676.877000,33.665640,-116.403100,
348.200000,6690.775000,33.665640,-116.402950,
350.200000,6701.893000,33.665640,-116.402830,
352.700000,6709.388000,33.665630,-116.402750,
355.200000,6716.883000,33.665620,-116.402670,
356.300000,6723.463000,33.665610,-116.402600,
356.900000,6730.958000,33.665600,-116.402520,
357.800000,6745.251000,33.665570,-116.402370,
358.200000,6756.860000,33.665540,-116.402250,
358.500000,6767.139000,33.665500,-116.402150,
358.600000,6782.558000,33.665440,-116.402000,
358.500000,6794.992000,33.665390,-116.401880,
358.500000,6808.568000,33.665320,-116.401760,
358.500000,6819.252000,33.665260,-116.401670,
358.600000,6830.665000,33.665190,-116.401580,
359.100000,6842.078000,33.665120,-116.401490,
361.600000,6860.906000,33.664990,-116.401360,
367.000000,6880.602000,33.664850,-116.401230,
369.300000,6891.356000,33.664780,-116.401150,
370.000000,6903.556000,33.664700,-116.401060,
369.500000,6911.423000,33.664650,-116.401000,
368.900000,6921.400000,33.664590,-116.400920,
368.600000,6930.670000,33.664540,-116.400840,
368.500000,6942.091000,33.664480,-116.400740,
368.700000,6951.544000,33.664440,-116.400650,
368.900000,6960.997000,33.664400,-116.400560,
369.200000,6973.838000,33.664360,-116.400430,
369.700000,6994.968000,33.664310,-116.400210,
370.300000,7014.025000,33.664270,-116.400010,
370.600000,7020.606000,33.664260,-116.399940,
371.000000,7027.463000,33.664240,-116.399870,
