alt,dst,lat,lon,mdata
562.300000,0.000000,33.741880,-116.853200,E:\Dropbox\website\dev2\climbing\climbs\Hwy-74-243-(Hemet-Idllywild).tcx
562.400000,22.658000,33.741840,-116.852960,
562.900000,149.092000,33.741620,-116.851620,
563.400000,226.813000,33.741470,-116.850800,
563.300000,290.499000,33.741340,-116.850130,
562.900000,382.110000,33.741140,-116.849170,
562.600000,423.802000,33.741060,-116.848730,
562.500000,439.578000,33.741050,-116.848560,
562.200000,482.696000,33.740950,-116.848110,
562.200000,498.161000,33.740910,-116.847950,
562.400000,648.636000,33.740530,-116.846390,
567.400000,925.500000,33.739830,-116.843520,
572.000000,1069.133000,33.739470,-116.842030,
574.100000,1148.238000,33.739270,-116.841210,
575.700000,1217.835000,33.739090,-116.840490,
575.800000,1276.163000,33.738930,-116.839890,
576.400000,1306.793000,33.738860,-116.839570,
579.200000,1406.436000,33.738600,-116.838540,
579.300000,1415.060000,33.738580,-116.838450,
579.400000,1424.581000,33.738560,-116.838350,
579.500000,1435.298000,33.738530,-116.838240,
579.800000,1449.880000,33.738490,-116.838090,
580.500000,1496.095000,33.738350,-116.837620,
580.600000,1503.828000,33.738330,-116.837540,
580.800000,1514.544000,33.738300,-116.837430,
580.900000,1518.411000,33.738290,-116.837390,
581.100000,1523.547000,33.738270,-116.837340,
581.500000,1535.515000,33.738230,-116.837220,
582.800000,1578.681000,33.738080,-116.836790,
584.000000,1626.582000,33.737900,-116.836320,
587.500000,1707.820000,33.737600,-116.835520,
588.900000,1772.440000,33.737350,-116.834890,
589.000000,1790.392000,33.737290,-116.834710,
589.100000,1806.215000,33.737240,-116.834550,
590.000000,1841.351000,33.737140,-116.834190,
590.600000,1852.951000,33.737110,-116.834070,
591.600000,1864.550000,33.737080,-116.833950,
592.600000,1880.638000,33.737050,-116.833780,
594.000000,1899.680000,33.737010,-116.833580,
595.200000,1918.494000,33.736980,-116.833380,
595.500000,1925.069000,33.736970,-116.833310,
596.000000,1936.398000,33.736950,-116.833190,
596.100000,1946.642000,33.736940,-116.833080,
596.200000,1958.728000,33.736930,-116.832950,
596.200000,1976.352000,33.736920,-116.832760,
595.800000,2003.221000,33.736910,-116.832470,
595.500000,2011.552000,33.736910,-116.832380,
595.100000,2020.809000,33.736910,-116.832280,
594.800000,2043.952000,33.736910,-116.832030,
595.500000,2090.252000,33.736920,-116.831530,
596.000000,2155.139000,33.736950,-116.830830,
596.700000,2188.465000,33.736950,-116.830470,
597.400000,2215.311000,33.736950,-116.830180,
598.700000,2242.180000,33.736940,-116.829890,
599.300000,2255.140000,33.736940,-116.829750,
600.000000,2269.070000,33.736930,-116.829600,
601.500000,2285.881000,33.736910,-116.829420,
603.700000,2314.772000,33.736880,-116.829110,
