alt,dst,lat,lon,mdata
155.400000,0.000000,38.633810,-122.675950,E:\Dropbox\website\dev2\climbing\climbs\Ida-Clayton-Rd-Geyserville-CA.tcx
156.600000,26.532000,38.633990,-122.675750,
157.000000,33.595000,38.634040,-122.675700,
157.300000,40.538000,38.634070,-122.675630,
157.600000,47.481000,38.634100,-122.675560,
157.900000,55.617000,38.634120,-122.675470,
158.300000,62.922000,38.634140,-122.675390,
158.600000,71.898000,38.634160,-122.675290,
158.800000,78.086000,38.634170,-122.675220,
159.200000,90.461000,38.634190,-122.675080,
159.600000,110.585000,38.634210,-122.674850,
159.600000,121.944000,38.634220,-122.674720,
159.800000,130.081000,38.634240,-122.674630,
159.900000,138.217000,38.634260,-122.674540,
160.100000,146.726000,38.634290,-122.674450,
161.500000,191.976000,38.634530,-122.674030,
162.400000,221.500000,38.634680,-122.673750,
163.500000,251.144000,38.634820,-122.673460,
166.800000,342.141000,38.635250,-122.672570,
167.600000,366.192000,38.635370,-122.672340,
168.400000,400.481000,38.635550,-122.672020,
171.700000,490.252000,38.636050,-122.671210,
171.800000,491.122000,38.636050,-122.671200,
172.700000,498.065000,38.636080,-122.671130,
173.500000,504.259000,38.636110,-122.671070,
174.200000,511.976000,38.636140,-122.670990,
174.700000,519.279000,38.636160,-122.670910,
175.400000,529.411000,38.636190,-122.670800,
176.700000,541.560000,38.636230,-122.670670,
180.800000,599.061000,38.636360,-122.670030,
183.000000,610.848000,38.636390,-122.669900,
187.700000,627.121000,38.636430,-122.669720,
188.400000,644.138000,38.636490,-122.669540,
187.900000,677.751000,38.636600,-122.669180,
187.200000,695.572000,38.636660,-122.668990,
187.300000,705.175000,38.636710,-122.668900,
187.100000,711.369000,38.636740,-122.668840,
187.500000,716.191000,38.636770,-122.668800,
188.400000,723.254000,38.636820,-122.668750,
192.200000,765.994000,38.637130,-122.668460,
194.500000,782.945000,38.637250,-122.668340,
198.300000,796.796000,38.637340,-122.668230,
199.500000,806.440000,38.637400,-122.668150,
199.500000,815.349000,38.637450,-122.668070,
198.800000,827.686000,38.637520,-122.667960,
198.700000,839.362000,38.637590,-122.667860,
199.300000,849.249000,38.637660,-122.667790,
200.600000,860.972000,38.637750,-122.667720,
202.700000,870.882000,38.637830,-122.667670,
205.300000,881.235000,38.637920,-122.667640,
207.300000,891.291000,38.638010,-122.667630,
209.200000,905.789000,38.638140,-122.667620,
212.500000,968.127000,38.638700,-122.667620,
213.600000,996.174000,38.638950,-122.667580,
216.600000,1024.341000,38.639200,-122.667530,
223.400000,1075.509000,38.639650,-122.667410,
232.800000,1212.569000,38.640830,-122.666960,
234.900000,1249.162000,38.641140,-122.666820,
245.000000,1287.259000,38.641480,-122.666870,
248.000000,1326.857000,38.641810,-122.667040,
249.500000,1361.581000,38.642080,-122.667240,
254.700000,1395.369000,38.642360,-122.667390,
255.400000,1409.840000,38.642490,-122.667390,
258.300000,1433.853000,38.642660,-122.667220,
261.300000,1473.937000,38.643020,-122.667230,
268.600000,1557.786000,38.643760,-122.667410,
274.800000,1604.195000,38.644110,-122.667700,
276.400000,1613.755000,38.644190,-122.667740,
274.800000,1627.226000,38.644310,-122.667720,
274.400000,1637.579000,38.644400,-122.667750,
274.600000,1646.956000,38.644470,-122.667810,
279.800000,1663.227000,38.644510,-122.667990,
281.800000,1678.992000,38.644600,-122.668130,
277.900000,1707.812000,38.644770,-122.668380,
277.800000,1730.178000,38.644860,-122.668610,
280.000000,1747.610000,38.644910,-122.668800,
289.900000,1799.602000,38.645250,-122.669210,
290.800000,1843.525000,38.645510,-122.669590,
293.300000,1866.876000,38.645650,-122.669790,
297.500000,1883.932000,38.645800,-122.669830,
299.200000,1904.758000,38.645970,-122.669730,
303.700000,1942.365000,38.646240,-122.669470,
