alt,dst,lat,lon,mdata
242.600000,0.000000,38.631150,-122.448670,E:\Dropbox\website\dev2\climbing\climbs\Ink-Grade-Pope-Valley.tcx
243.400000,20.165000,38.631000,-122.448800,
244.000000,46.419000,38.630800,-122.448960,
244.200000,69.907000,38.630630,-122.449120,
244.600000,89.781000,38.630520,-122.449300,
244.900000,108.872000,38.630470,-122.449510,
244.900000,132.378000,38.630460,-122.449780,
245.500000,159.944000,38.630380,-122.450080,
246.000000,179.484000,38.630300,-122.450280,
247.300000,200.949000,38.630230,-122.450510,
248.100000,218.484000,38.630210,-122.450710,
248.100000,224.965000,38.630190,-122.450780,
248.000000,229.502000,38.630150,-122.450790,
247.800000,239.521000,38.630060,-122.450790,
247.600000,252.907000,38.629940,-122.450780,
247.600000,260.748000,38.629870,-122.450790,
247.800000,279.992000,38.629720,-122.450900,
248.200000,323.782000,38.629410,-122.451210,
252.200000,352.389000,38.629190,-122.451380,
256.700000,375.395000,38.629010,-122.451510,
257.500000,384.469000,38.628930,-122.451530,
258.400000,393.374000,38.628850,-122.451530,
259.700000,405.037000,38.628750,-122.451490,
260.400000,413.571000,38.628680,-122.451450,
260.700000,418.351000,38.628640,-122.451430,
261.000000,425.253000,38.628580,-122.451410,
261.200000,429.706000,38.628540,-122.451410,
261.800000,436.876000,38.628480,-122.451440,
263.900000,455.632000,38.628340,-122.451560,
265.400000,467.355000,38.628250,-122.451630,
265.900000,474.526000,38.628190,-122.451660,
265.800000,484.544000,38.628100,-122.451660,
265.500000,494.601000,38.628010,-122.451650,
265.900000,505.767000,38.627910,-122.451660,
266.400000,523.578000,38.627750,-122.451660,
266.900000,534.845000,38.627650,-122.451680,
267.400000,543.062000,38.627580,-122.451710,
273.200000,591.452000,38.627230,-122.452040,
274.900000,617.765000,38.627040,-122.452220,
275.900000,626.689000,38.626970,-122.452270,
277.100000,639.209000,38.626860,-122.452300,
278.100000,650.375000,38.626760,-122.452290,
279.200000,664.178000,38.626640,-122.452250,
280.100000,681.433000,38.626490,-122.452200,
281.100000,692.867000,38.626390,-122.452170,
282.300000,702.923000,38.626300,-122.452180,
283.300000,711.456000,38.626230,-122.452220,
284.200000,719.086000,38.626180,-122.452280,
285.100000,729.218000,38.626150,-122.452390,
285.800000,740.579000,38.626140,-122.452520,
286.900000,755.405000,38.626150,-122.452690,
289.200000,772.019000,38.626200,-122.452870,
291.000000,784.620000,38.626250,-122.453000,
292.200000,797.245000,38.626280,-122.453140,
292.200000,812.196000,38.626260,-122.453310,
292.500000,839.521000,38.626220,-122.453620,
292.000000,856.957000,38.626170,-122.453810,
291.000000,865.961000,38.626130,-122.453900,
289.900000,874.871000,38.626080,-122.453980,
288.900000,889.956000,38.626000,-122.454120,
288.700000,898.216000,38.625960,-122.454200,
288.500000,920.495000,38.625890,-122.454440,
287.600000,950.893000,38.625800,-122.454770,
286.800000,961.960000,38.625750,-122.454880,
285.900000,972.926000,38.625690,-122.454980,
285.800000,982.242000,38.625660,-122.455080,
286.400000,992.913000,38.625640,-122.455200,
287.900000,1004.218000,38.625640,-122.455330,
289.700000,1012.986000,38.625650,-122.455430,
290.100000,1019.468000,38.625630,-122.455500,
290.500000,1025.141000,38.625610,-122.455560,
289.300000,1032.672000,38.625550,-122.455600,
286.600000,1052.089000,38.625380,-122.455650,
286.100000,1060.623000,38.625310,-122.455690,
286.700000,1068.883000,38.625270,-122.455770,
288.100000,1079.840000,38.625240,-122.455890,
289.600000,1089.407000,38.625240,-122.456000,
291.700000,1101.582000,38.625240,-122.456140,
292.200000,1108.526000,38.625210,-122.456210,
291.700000,1114.673000,38.625160,-122.456240,
290.300000,1130.730000,38.625030,-122.456320,
290.400000,1136.954000,38.624990,-122.456370,
291.400000,1143.897000,38.624960,-122.456440,
292.000000,1147.550000,38.624950,-122.456480,
295.600000,1162.376000,38.624960,-122.456650,
298.100000,1172.007000,38.624970,-122.456760,
299.900000,1180.517000,38.624940,-122.456850,
300.700000,1188.993000,38.624880,-122.456910,
301.900000,1201.706000,38.624790,-122.457000,
303.700000,1220.533000,38.624640,-122.457100,
304.600000,1228.751000,38.624570,-122.457130,
304.300000,1237.825000,38.624490,-122.457110,
301.800000,1249.976000,38.624450,-122.456980,
299.700000,1266.688000,38.624380,-122.456810,
298.000000,1292.737000,38.624240,-122.456570,
296.500000,1309.185000,38.624150,-122.456420,
296.000000,1323.312000,38.624050,-122.456320,
295.200000,1337.438000,38.623950,-122.456220,
295.200000,1349.101000,38.623850,-122.456180,
295.500000,1358.049000,38.623770,-122.456190,
296.200000,1370.737000,38.623670,-122.456260,
297.000000,1391.942000,38.623500,-122.456370,
297.400000,1421.082000,38.623270,-122.456530,
298.000000,1436.188000,38.623180,-122.456660,
298.400000,1445.793000,38.623130,-122.456750,
299.600000,1459.577000,38.623090,-122.456900,
