alt,dst,lat,lon,mdata
348.700000,0.000000,39.099760,-120.924390,E:\Dropbox\website\dev2\climbing\climbs\Iowa-Hill-Road.tcx
351.300000,13.067000,39.099820,-120.924260,
352.500000,23.317000,39.099880,-120.924170,
355.000000,35.488000,39.099970,-120.924090,
354.700000,49.286000,39.100090,-120.924050,
356.700000,66.006000,39.100240,-120.924040,
357.800000,76.025000,39.100330,-120.924040,
358.500000,86.191000,39.100420,-120.924020,
359.100000,90.997000,39.100450,-120.923980,
359.700000,95.107000,39.100470,-120.923940,
360.300000,98.738000,39.100480,-120.923900,
360.800000,102.193000,39.100480,-120.923860,
361.400000,105.649000,39.100480,-120.923820,
361.800000,109.759000,39.100460,-120.923780,
362.200000,113.987000,39.100430,-120.923750,
362.500000,120.126000,39.100380,-120.923720,
363.800000,135.229000,39.100250,-120.923670,
376.300000,185.330000,39.099800,-120.923660,
378.600000,196.461000,39.099700,-120.923660,
379.100000,211.163000,39.099570,-120.923690,
374.900000,241.507000,39.099320,-120.923830,
374.500000,250.782000,39.099240,-120.923860,
374.800000,259.854000,39.099160,-120.923880,
378.700000,273.461000,39.099040,-120.923850,
383.600000,289.633000,39.098900,-120.923800,
385.900000,308.443000,39.098740,-120.923730,
388.800000,331.878000,39.098570,-120.923570,
390.700000,351.090000,39.098420,-120.923460,
391.700000,375.726000,39.098210,-120.923370,
391.100000,396.947000,39.098020,-120.923350,
392.400000,405.853000,39.097940,-120.923350,
398.000000,428.133000,39.097740,-120.923340,
399.700000,451.654000,39.097530,-120.923310,
401.600000,466.532000,39.097400,-120.923270,
407.900000,495.427000,39.097150,-120.923180,
409.000000,506.192000,39.097070,-120.923110,
410.800000,532.095000,39.096890,-120.922920,
412.300000,563.095000,39.096670,-120.922700,
412.300000,590.802000,39.096450,-120.922550,
414.900000,629.671000,39.096130,-120.922370,
424.200000,658.681000,39.095910,-120.922190,
428.400000,686.506000,39.095670,-120.922100,
435.600000,704.925000,39.095520,-120.922010,
441.300000,739.758000,39.095240,-120.921830,
448.400000,783.336000,39.094900,-120.921580,
448.800000,802.137000,39.094750,-120.921480,
448.600000,816.176000,39.094630,-120.921430,
455.100000,836.635000,39.094460,-120.921340,
461.700000,868.102000,39.094180,-120.921290,
463.800000,889.690000,39.093990,-120.921240,
462.300000,909.311000,39.093820,-120.921180,
473.200000,1019.855000,39.092830,-120.921080,
473.800000,1035.535000,39.092690,-120.921060,
475.900000,1056.731000,39.092510,-120.920980,
476.600000,1088.100000,39.092250,-120.920840,
475.700000,1101.084000,39.092140,-120.920790,
475.900000,1108.605000,39.092080,-120.920750,
475.700000,1114.237000,39.092030,-120.920740,
475.100000,1132.057000,39.091890,-120.920840,
480.100000,1151.491000,39.091730,-120.920930,
483.300000,1167.171000,39.091590,-120.920950,
485.400000,1182.543000,39.091460,-120.921010,
488.300000,1192.599000,39.091370,-120.921000,
494.000000,1209.319000,39.091220,-120.920990,
496.500000,1221.595000,39.091110,-120.920980,
496.200000,1232.760000,39.091010,-120.920990,
494.900000,1246.799000,39.090890,-120.921040,
495.900000,1256.966000,39.090800,-120.921020,
499.200000,1267.217000,39.090740,-120.920930,
501.800000,1278.137000,39.090680,-120.920830,
501.500000,1282.914000,39.090640,-120.920850,
497.000000,1298.727000,39.090540,-120.920980,
496.000000,1306.568000,39.090470,-120.920990,
498.600000,1327.764000,39.090290,-120.920910,
501.200000,1337.375000,39.090230,-120.920830,
501.600000,1341.006000,39.090240,-120.920790,
502.700000,1351.927000,39.090300,-120.920690,
505.700000,1366.316000,39.090370,-120.920550,
509.800000,1387.802000,39.090460,-120.920330,
514.100000,1408.167000,39.090500,-120.920100,
516.300000,1418.595000,39.090510,-120.919980,
517.200000,1426.201000,39.090460,-120.919920,
517.500000,1438.567000,39.090350,-120.919900,
525.400000,1478.726000,39.089990,-120.919870,
543.800000,1529.056000,39.089560,-120.920050,
556.900000,1578.223000,39.089130,-120.920180,
570.100000,1650.090000,39.088620,-120.920690,
570.000000,1656.642000,39.088570,-120.920730,
570.500000,1663.377000,39.088510,-120.920740,
572.000000,1672.930000,39.088430,-120.920700,
573.700000,1679.838000,39.088400,-120.920630,
575.600000,1688.061000,39.088360,-120.920550,
577.400000,1696.935000,39.088310,-120.920470,
579.000000,1704.612000,39.088280,-120.920390,
580.600000,1711.521000,39.088250,-120.920320,
589.500000,1758.076000,39.088060,-120.919840,
591.500000,1779.068000,39.087980,-120.919620,
592.500000,1792.383000,39.087930,-120.919480,
593.600000,1798.025000,39.087950,-120.919420,
594.900000,1806.480000,39.088010,-120.919360,
596.000000,1816.785000,39.088090,-120.919300,
595.400000,1830.171000,39.088210,-120.919310,
594.800000,1839.077000,39.088290,-120.919310,
594.600000,1847.289000,39.088360,-120.919280,
594.900000,1854.335000,39.088410,-120.919230,
595.100000,1858.562000,39.088440,-120.919200,
596.100000,1866.168000,39.088490,-120.919140,
