alt,dst,lat,lon,mdata
238.600000,0.000000,37.146280,-122.157870,E:\Dropbox\website\dev2\climbing\climbs\Jamison-Creek-Rd-Boulder-Creek.tcx
237.600000,10.957000,37.146190,-122.157820,
241.200000,27.274000,37.146220,-122.158000,
242.600000,36.147000,37.146220,-122.158100,
243.400000,45.971000,37.146230,-122.158210,
243.500000,55.982000,37.146250,-122.158320,
243.600000,67.991000,37.146280,-122.158450,
244.300000,79.533000,37.146320,-122.158570,
246.900000,112.195000,37.146450,-122.158900,
247.700000,139.420000,37.146550,-122.159180,
248.800000,165.388000,37.146640,-122.159450,
249.900000,183.960000,37.146710,-122.159640,
250.200000,201.272000,37.146770,-122.159820,
250.800000,214.080000,37.146820,-122.159950,
251.400000,226.445000,37.146860,-122.160080,
251.700000,236.179000,37.146910,-122.160170,
252.100000,245.322000,37.146950,-122.160260,
252.900000,255.069000,37.147010,-122.160340,
253.400000,266.175000,37.147070,-122.160440,
254.200000,283.551000,37.147160,-122.160600,
254.500000,298.829000,37.147250,-122.160730,
254.800000,324.576000,37.147380,-122.160970,
254.900000,339.149000,37.147460,-122.161100,
255.100000,354.434000,37.147540,-122.161240,
255.200000,361.374000,37.147580,-122.161300,
255.400000,375.295000,37.147650,-122.161430,
255.800000,382.937000,37.147690,-122.161500,
256.400000,391.316000,37.147730,-122.161580,
257.500000,402.044000,37.147770,-122.161690,
259.600000,420.331000,37.147850,-122.161870,
260.200000,435.580000,37.147900,-122.162030,
260.500000,444.236000,37.147930,-122.162120,
260.900000,455.777000,37.147970,-122.162240,
261.400000,465.704000,37.148010,-122.162340,
262.000000,478.273000,37.148070,-122.162460,
262.700000,487.417000,37.148110,-122.162550,
264.000000,500.611000,37.148180,-122.162670,
264.800000,513.182000,37.148260,-122.162770,
265.300000,537.549000,37.148410,-122.162970,
266.600000,555.515000,37.148540,-122.163090,
267.900000,570.320000,37.148640,-122.163200,
269.700000,584.555000,37.148740,-122.163300,
271.700000,605.367000,37.148890,-122.163440,
272.600000,619.986000,37.149000,-122.163530,
273.000000,635.645000,37.149110,-122.163640,
272.900000,655.034000,37.149250,-122.163770,
274.000000,668.417000,37.149340,-122.163870,
276.300000,699.845000,37.149540,-122.164120,
276.300000,714.464000,37.149630,-122.164240,
276.600000,721.405000,37.149670,-122.164300,
276.700000,724.875000,37.149690,-122.164330,
276.800000,729.065000,37.149710,-122.164370,
276.700000,736.909000,37.149740,-122.164450,
277.000000,742.680000,37.149760,-122.164510,
277.100000,750.119000,37.149780,-122.164590,
277.000000,759.267000,37.149800,-122.164690,
277.000000,764.706000,37.149810,-122.164750,
277.000000,773.578000,37.149810,-122.164850,
277.000000,786.050000,37.149800,-122.164990,
277.000000,794.992000,37.149790,-122.165090,
277.000000,802.978000,37.149790,-122.165180,
277.000000,814.566000,37.149780,-122.165310,
277.200000,821.664000,37.149780,-122.165390,
277.900000,829.650000,37.149780,-122.165480,
278.900000,835.861000,37.149780,-122.165550,
280.000000,842.171000,37.149790,-122.165620,
282.200000,853.918000,37.149810,-122.165750,
283.500000,861.103000,37.149820,-122.165830,
284.500000,867.701000,37.149840,-122.165900,
286.000000,876.849000,37.149860,-122.166000,
286.800000,882.619000,37.149880,-122.166060,
287.600000,890.464000,37.149910,-122.166140,
288.100000,904.567000,37.149970,-122.166280,
287.500000,915.041000,37.150020,-122.166380,
286.900000,922.886000,37.150050,-122.166460,
286.700000,930.731000,37.150080,-122.166540,
287.100000,937.329000,37.150100,-122.166610,
287.800000,943.926000,37.150120,-122.166680,
288.300000,950.236000,37.150130,-122.166750,
288.700000,956.546000,37.150140,-122.166820,
289.200000,963.731000,37.150150,-122.166900,
290.700000,977.927000,37.150150,-122.167060,
293.700000,1002.771000,37.150150,-122.167340,
296.800000,1029.389000,37.150150,-122.167640,
297.100000,1039.213000,37.150140,-122.167750,
297.100000,1048.155000,37.150130,-122.167850,
297.400000,1057.635000,37.150100,-122.167950,
297.500000,1067.951000,37.150070,-122.168060,
297.700000,1076.607000,37.150040,-122.168150,
298.000000,1089.935000,37.149980,-122.168280,
298.600000,1103.129000,37.149910,-122.168400,
298.900000,1119.143000,37.149830,-122.168550,
298.800000,1128.286000,37.149790,-122.168640,
298.100000,1143.571000,37.149710,-122.168780,
298.200000,1167.961000,37.149590,-122.169010,
298.200000,1188.909000,37.149490,-122.169210,
298.500000,1207.017000,37.149400,-122.169380,
298.700000,1218.253000,37.149350,-122.169490,
299.100000,1228.180000,37.149310,-122.169590,
299.300000,1240.545000,37.149270,-122.169720,
299.700000,1252.909000,37.149230,-122.169850,
299.400000,1259.219000,37.149220,-122.169920,
299.200000,1266.404000,37.149210,-122.170000,
299.500000,1277.109000,37.149200,-122.170120,
299.700000,1289.531000,37.149200,-122.170260,
299.600000,1300.237000,37.149210,-122.170380,
299.400000,1312.857000,37.149230,-122.170520,
298.600000,1327.227000,37.149250,-122.170680,
298.400000,1337.238000,37.149270,-122.170790,
298.400000,1352.687000,37.149300,-122.170960,
298.300000,1375.556000,37.149350,-122.171210,
300.700000,1388.176000,37.149370,-122.171350,
306.900000,1409.064000,37.149410,-122.171580,
309.200000,1418.212000,37.149430,-122.171680,
310.200000,1422.786000,37.149440,-122.171730,
311.300000,1429.384000,37.149460,-122.171800,
312.000000,1438.527000,37.149500,-122.171890,
312.400000,1444.297000,37.149520,-122.171950,
312.600000,1451.939000,37.149560,-122.172020,
313.500000,1459.582000,37.149600,-122.172090,
315.400000,1469.992000,37.149660,-122.172180,
319.100000,1486.672000,37.149760,-122.172320,
319.700000,1492.958000,37.149800,-122.172370,
320.100000,1497.921000,37.149820,-122.172420,
320.100000,1503.474000,37.149850,-122.172470,
320.400000,1511.319000,37.149880,-122.172550,
320.500000,1518.371000,37.149910,-122.172620,
320.900000,1525.810000,37.149930,-122.172700,
321.500000,1533.873000,37.149940,-122.172790,
321.800000,1539.311000,37.149950,-122.172850,
322.600000,1548.254000,37.149960,-122.172950,
322.900000,1556.544000,37.149980,-122.173040,
323.500000,1562.755000,37.149980,-122.173110,
324.000000,1571.902000,37.150000,-122.173210,
324.400000,1577.341000,37.150010,-122.173270,
324.500000,1583.112000,37.150030,-122.173330,
324.800000,1589.710000,37.150050,-122.173400,
324.900000,1593.899000,37.150070,-122.173440,
325.000000,1598.089000,37.150090,-122.173480,
325.100000,1602.278000,37.150110,-122.173520,
325.200000,1607.831000,37.150140,-122.173570,
325.000000,1612.705000,37.150170,-122.173610,
324.800000,1618.990000,37.150210,-122.173660,
324.500000,1624.684000,37.150250,-122.173700,
324.200000,1630.378000,37.150290,-122.173740,
323.500000,1636.980000,37.150340,-122.173780,
322.100000,1648.325000,37.150430,-122.173840,
321.700000,1652.595000,37.150460,-122.173870,
321.400000,1655.442000,37.150480,-122.173890,
321.100000,1660.316000,37.150510,-122.173930,
321.000000,1665.279000,37.150530,-122.173980,
321.200000,1668.999000,37.150540,-122.174020,
321.300000,1672.719000,37.150550,-122.174060,
321.900000,1678.042000,37.150550,-122.174120,
322.700000,1684.352000,37.150540,-122.174190,
323.200000,1691.537000,37.150530,-122.174270,
323.700000,1700.685000,37.150510,-122.174370,
323.700000,1709.832000,37.150490,-122.174470,
323.600000,1715.271000,37.150480,-122.174530,
323.600000,1721.482000,37.150480,-122.174600,
323.700000,1725.031000,37.150480,-122.174640,
324.000000,1728.580000,37.150480,-122.174680,
325.200000,1737.522000,37.150470,-122.174780,
328.100000,1751.762000,37.150480,-122.174940,
331.600000,1764.382000,37.150500,-122.175080,
334.500000,1777.876000,37.150520,-122.175230,
334.700000,1790.240000,37.150560,-122.175360,
334.600000,1807.676000,37.150600,-122.175550,
334.000000,1822.555000,37.150640,-122.175710,
335.700000,1838.871000,37.150670,-122.175890,
337.700000,1850.879000,37.150700,-122.176020,
340.600000,1863.351000,37.150710,-122.176160,
346.800000,1882.016000,37.150720,-122.176370,
350.300000,1901.536000,37.150720,-122.176590,
350.400000,1909.599000,37.150730,-122.176680,
350.500000,1915.909000,37.150740,-122.176750,
350.200000,1922.506000,37.150760,-122.176820,
350.200000,1927.080000,37.150770,-122.176870,
349.900000,1932.044000,37.150790,-122.176920,
350.000000,1936.618000,37.150800,-122.176970,
349.600000,1942.902000,37.150830,-122.177030,
348.300000,1959.561000,37.150920,-122.177180,
347.900000,1970.666000,37.150980,-122.177280,
346.500000,1993.564000,37.151110,-122.177480,
346.600000,2006.133000,37.151170,-122.177600,
347.600000,2015.613000,37.151200,-122.177700,
350.100000,2027.621000,37.151230,-122.177830,
351.300000,2033.060000,37.151240,-122.177890,
352.000000,2035.722000,37.151240,-122.177920,
352.500000,2037.496000,37.151240,-122.177940,
353.200000,2040.382000,37.151230,-122.177970,
353.800000,2043.267000,37.151220,-122.178000,
354.700000,2047.456000,37.151200,-122.178040,
355.400000,2051.646000,37.151180,-122.178080,
355.800000,2054.042000,37.151160,-122.178090,
356.500000,2057.824000,37.151130,-122.178110,
357.200000,2061.280000,37.151100,-122.178120,
358.000000,2065.732000,37.151060,-122.178120,
358.800000,2070.273000,37.151020,-122.178110,
360.100000,2075.066000,37.150980,-122.178090,
361.800000,2080.760000,37.150940,-122.178050,
363.100000,2085.633000,37.150910,-122.178010,
365.000000,2091.919000,37.150870,-122.177960,
366.700000,2096.792000,37.150840,-122.177920,
371.500000,2117.740000,37.150740,-122.177720,
372.700000,2133.018000,37.150650,-122.177590,
373.000000,2146.212000,37.150580,-122.177470,
373.400000,2162.406000,37.150510,-122.177310,
374.700000,2179.384000,37.150440,-122.177140,
377.300000,2196.900000,37.150360,-122.176970,
378.200000,2200.370000,37.150340,-122.176940,
379.400000,2204.152000,37.150310,-122.176920,
380.300000,2206.549000,37.150290,-122.176910,
381.000000,2208.775000,37.150270,-122.176910,
381.900000,2212.115000,37.150240,-122.176910,
383.000000,2215.570000,37.150210,-122.176920,
384.000000,2219.026000,37.150180,-122.176930,
384.900000,2223.296000,37.150150,-122.176960,
386.100000,2228.484000,37.150110,-122.176990,
387.400000,2236.186000,37.150060,-122.177050,
388.300000,2247.343000,37.149990,-122.177140,
388.400000,2253.038000,37.149950,-122.177180,
388.300000,2259.639000,37.149900,-122.177220,
388.900000,2268.605000,37.149830,-122.177270,
390.000000,2276.840000,37.149760,-122.177300,
394.100000,2290.916000,37.149640,-122.177350,
394.900000,2327.850000,37.149320,-122.177460,
395.600000,2339.534000,37.149220,-122.177500,
395.700000,2345.171000,37.149170,-122.177510,
395.600000,2353.013000,37.149100,-122.177500,
395.200000,2358.650000,37.149050,-122.177490,
395.000000,2363.190000,37.149010,-122.177480,
395.000000,2367.983000,37.148970,-122.177460,
396.000000,2375.101000,37.148920,-122.177410,
397.100000,2382.743000,37.148880,-122.177340,
397.400000,2386.463000,37.148870,-122.177300,
398.000000,2391.037000,37.148860,-122.177250,
398.300000,2395.473000,37.148860,-122.177200,
398.300000,2400.047000,37.148870,-122.177150,
398.200000,2405.011000,37.148890,-122.177100,
397.800000,2414.745000,37.148940,-122.177010,
397.700000,2422.447000,37.148990,-122.176950,
398.200000,2429.565000,37.149040,-122.176900,
400.400000,2437.207000,37.149080,-122.176830,
403.500000,2444.259000,37.149110,-122.176760,
406.000000,2450.857000,37.149130,-122.176690,
407.500000,2456.180000,37.149130,-122.176630,
408.800000,2463.365000,37.149140,-122.176550,
410.700000,2480.224000,37.149140,-122.176360,
411.800000,2495.349000,37.149130,-122.176190,
412.400000,2507.771000,37.149130,-122.176050,
413.200000,2516.713000,37.149140,-122.175950,
414.900000,2525.655000,37.149150,-122.175850,
416.900000,2531.965000,37.149160,-122.175780,
419.300000,2542.281000,37.149190,-122.175670,
419.800000,2553.440000,37.149220,-122.175550,
419.700000,2561.503000,37.149230,-122.175460,
419.800000,2568.601000,37.149230,-122.175380,
419.800000,2574.911000,37.149220,-122.175310,
420.200000,2578.381000,37.149200,-122.175280,
420.300000,2580.476000,37.149190,-122.175260,
421.200000,2587.594000,37.149140,-122.175210,
422.400000,2597.558000,37.149070,-122.175140,
427.100000,2624.959000,37.148840,-122.175030,
431.900000,2639.339000,37.148720,-122.174970,
435.000000,2652.086000,37.148620,-122.174900,
436.000000,2659.650000,37.148560,-122.174860,
436.100000,2664.523000,37.148530,-122.174820,
436.000000,2668.713000,37.148510,-122.174780,
436.100000,2672.984000,37.148480,-122.174750,
435.900000,2677.947000,37.148460,-122.174700,
435.600000,2683.718000,37.148440,-122.174640,
435.800000,2687.908000,37.148420,-122.174600,
435.900000,2695.752000,37.148390,-122.174520,
435.900000,2699.472000,37.148380,-122.174480,
436.100000,2704.436000,37.148360,-122.174430,
436.400000,2708.625000,37.148340,-122.174390,
436.900000,2711.472000,37.148320,-122.174370,
437.800000,2717.758000,37.148280,-122.174320,
439.100000,2724.359000,37.148230,-122.174280,
440.200000,2729.547000,37.148190,-122.174250,
441.200000,2734.340000,37.148150,-122.174230,
441.900000,2740.182000,37.148100,-122.174210,
442.800000,2745.819000,37.148050,-122.174220,
442.900000,2748.215000,37.148030,-122.174230,
443.200000,2751.997000,37.148000,-122.174250,
443.400000,2754.844000,37.147980,-122.174270,
443.800000,2759.034000,37.147960,-122.174310,
444.000000,2760.809000,37.147960,-122.174330,
444.500000,2764.528000,37.147950,-122.174370,
445.300000,2768.965000,37.147950,-122.174420,
446.000000,2773.401000,37.147950,-122.174470,
446.800000,2778.725000,37.147950,-122.174530,
447.100000,2784.164000,37.147960,-122.174590,
447.500000,2790.474000,37.147970,-122.174660,
448.100000,2802.222000,37.147990,-122.174790,
450.000000,2822.244000,37.148030,-122.175010,
455.900000,2840.540000,37.148070,-122.175210,
458.600000,2851.268000,37.148110,-122.175320,
459.000000,2861.742000,37.148160,-122.175420,
459.200000,2870.398000,37.148190,-122.175510,
459.600000,2880.409000,37.148210,-122.175620,
459.800000,2885.848000,37.148220,-122.175680,
460.200000,2892.059000,37.148220,-122.175750,
460.700000,2898.270000,37.148220,-122.175820,
461.600000,2903.709000,37.148210,-122.175880,
463.400000,2911.553000,37.148180,-122.175960,
465.600000,2920.209000,37.148150,-122.176050,
467.400000,2926.495000,37.148110,-122.176100,
469.000000,2935.616000,37.148050,-122.176170,
470.400000,2944.178000,37.147980,-122.176210,
471.800000,2953.473000,37.147900,-122.176240,
472.300000,2960.074000,37.147850,-122.176280,
473.100000,2970.932000,37.147770,-122.176350,
473.600000,2981.473000,37.147700,-122.176430,
473.500000,2987.757000,37.147670,-122.176490,
473.600000,2992.721000,37.147650,-122.176540,
473.600000,2997.295000,37.147640,-122.176590,
473.800000,3001.869000,37.147630,-122.176640,
474.000000,3006.306000,37.147630,-122.176690,
474.800000,3016.129000,37.147640,-122.176800,
477.300000,3025.610000,37.147670,-122.176900,
479.700000,3033.455000,37.147700,-122.176980,
482.500000,3045.463000,37.147730,-122.177110,
483.200000,3052.562000,37.147730,-122.177190,
484.000000,3059.160000,37.147710,-122.177260,
485.200000,3068.308000,37.147690,-122.177360,
488.000000,3078.782000,37.147640,-122.177460,
490.000000,3085.723000,37.147600,-122.177520,
491.300000,3091.417000,37.147560,-122.177560,
493.000000,3102.805000,37.147480,-122.177640,
493.000000,3112.755000,37.147400,-122.177690,
493.000000,3118.924000,37.147350,-122.177720,
493.500000,3125.835000,37.147290,-122.177740,
494.800000,3137.108000,37.147190,-122.177760,
495.600000,3142.674000,37.147140,-122.177760,
495.700000,3146.455000,37.147110,-122.177780,
496.100000,3150.996000,37.147070,-122.177790,
