alt,dst,lat,lon,mdata
239.600000,0.000000,37.146200,-122.157920,E:\Dropbox\website\dev2\climbing\climbs\Jamison-Creek-Road.tcx
241.200000,7.440000,37.146220,-122.158000,
242.600000,16.313000,37.146220,-122.158100,
243.400000,26.136000,37.146230,-122.158210,
243.500000,36.148000,37.146250,-122.158320,
243.600000,48.157000,37.146280,-122.158450,
244.300000,59.698000,37.146320,-122.158570,
246.900000,92.360000,37.146450,-122.158900,
247.700000,119.585000,37.146550,-122.159180,
248.800000,145.553000,37.146640,-122.159450,
249.900000,164.126000,37.146710,-122.159640,
250.200000,181.438000,37.146770,-122.159820,
250.800000,194.245000,37.146820,-122.159950,
251.400000,206.610000,37.146860,-122.160080,
251.700000,216.344000,37.146910,-122.160170,
252.100000,225.487000,37.146950,-122.160260,
252.900000,235.234000,37.147010,-122.160340,
253.400000,246.340000,37.147070,-122.160440,
254.200000,263.716000,37.147160,-122.160600,
254.500000,278.995000,37.147250,-122.160730,
254.800000,304.742000,37.147380,-122.160970,
254.900000,319.314000,37.147460,-122.161100,
255.100000,334.599000,37.147540,-122.161240,
255.200000,341.540000,37.147580,-122.161300,
255.400000,355.460000,37.147650,-122.161430,
255.800000,363.102000,37.147690,-122.161500,
256.400000,371.482000,37.147730,-122.161580,
257.500000,382.210000,37.147770,-122.161690,
259.600000,400.496000,37.147850,-122.161870,
260.200000,415.745000,37.147900,-122.162030,
260.500000,424.401000,37.147930,-122.162120,
260.900000,435.942000,37.147970,-122.162240,
261.400000,445.870000,37.148010,-122.162340,
262.000000,458.439000,37.148070,-122.162460,
262.700000,467.582000,37.148110,-122.162550,
264.000000,480.776000,37.148180,-122.162670,
264.800000,493.347000,37.148260,-122.162770,
265.300000,517.714000,37.148410,-122.162970,
266.600000,535.681000,37.148540,-122.163090,
267.900000,550.485000,37.148640,-122.163200,
269.700000,564.721000,37.148740,-122.163300,
271.700000,585.532000,37.148890,-122.163440,
272.600000,600.151000,37.149000,-122.163530,
273.000000,615.810000,37.149110,-122.163640,
272.900000,635.199000,37.149250,-122.163770,
274.000000,648.582000,37.149340,-122.163870,
276.300000,680.010000,37.149540,-122.164120,
276.300000,694.630000,37.149630,-122.164240,
276.600000,701.570000,37.149670,-122.164300,
276.700000,705.040000,37.149690,-122.164330,
276.800000,709.230000,37.149710,-122.164370,
276.700000,717.075000,37.149740,-122.164450,
277.000000,722.845000,37.149760,-122.164510,
