alt,dst,lat,lon,mdata
43.000000,0.000000,38.349090,-122.961310,E:\Dropbox\website\dev2\climbing\climbs\Joy-Road-Bodega-Bay.tcx
43.100000,6.679000,38.349150,-122.961310,
43.200000,16.736000,38.349240,-122.961320,
43.400000,26.754000,38.349330,-122.961320,
43.400000,30.094000,38.349360,-122.961320,
43.700000,42.370000,38.349470,-122.961310,
44.700000,74.700000,38.349760,-122.961290,
47.100000,150.803000,38.350440,-122.961200,
48.700000,250.261000,38.351330,-122.961100,
48.900000,345.139000,38.352180,-122.961020,
49.200000,419.907000,38.352850,-122.960960,
53.500000,480.120000,38.353390,-122.960920,
53.600000,522.565000,38.353770,-122.960880,
57.700000,612.940000,38.354580,-122.960810,
57.100000,686.597000,38.355240,-122.960750,
56.700000,713.371000,38.355480,-122.960730,
56.400000,722.319000,38.355560,-122.960740,
55.900000,727.885000,38.355610,-122.960740,
54.900000,733.519000,38.355660,-122.960750,
52.600000,743.576000,38.355750,-122.960760,
51.200000,756.097000,38.355860,-122.960790,
51.000000,766.707000,38.355950,-122.960830,
50.500000,778.143000,38.356050,-122.960860,
55.800000,863.521000,38.356780,-122.961160,
56.000000,885.537000,38.356970,-122.961230,
55.900000,894.819000,38.357050,-122.961260,
55.900000,900.453000,38.357100,-122.961270,
56.200000,906.287000,38.357150,-122.961290,
56.300000,916.343000,38.357240,-122.961300,
56.500000,924.136000,38.357310,-122.961300,
56.600000,928.588000,38.357350,-122.961300,
56.700000,934.154000,38.357400,-122.961300,
56.700000,940.890000,38.357460,-122.961290,
56.600000,954.362000,38.357580,-122.961270,
56.000000,963.437000,38.357660,-122.961250,
55.500000,970.173000,38.357720,-122.961240,
55.200000,978.014000,38.357790,-122.961250,
54.900000,984.750000,38.357850,-122.961260,
54.800000,991.924000,38.357910,-122.961290,
54.800000,999.098000,38.357970,-122.961320,
55.000000,1006.635000,38.358030,-122.961360,
55.500000,1014.614000,38.358090,-122.961410,
55.600000,1017.005000,38.358110,-122.961420,
56.200000,1022.664000,38.358150,-122.961460,
56.500000,1027.446000,38.358190,-122.961480,
56.900000,1033.598000,38.358240,-122.961510,
57.100000,1039.431000,38.358290,-122.961530,
57.300000,1051.800000,38.358400,-122.961550,
57.400000,1059.785000,38.358470,-122.961570,
57.500000,1067.771000,38.358540,-122.961590,
58.200000,1073.922000,38.358590,-122.961620,
58.900000,1078.705000,38.358630,-122.961640,
59.700000,1082.473000,38.358660,-122.961660,
60.600000,1086.717000,38.358690,-122.961690,
61.400000,1090.154000,38.358710,-122.961720,
62.500000,1093.922000,38.358740,-122.961740,
63.100000,1095.993000,38.358750,-122.961760,
64.800000,1101.489000,38.358780,-122.961810,
67.100000,1110.519000,38.358820,-122.961900,
89.500000,1252.431000,38.359330,-122.963390,
89.700000,1254.176000,38.359330,-122.963410,
90.400000,1259.008000,38.359360,-122.963450,
90.900000,1264.503000,38.359390,-122.963500,
91.300000,1269.999000,38.359420,-122.963550,
91.800000,1274.243000,38.359450,-122.963580,
92.800000,1282.730000,38.359510,-122.963640,
94.200000,1291.662000,38.359580,-122.963690,
95.000000,1298.232000,38.359630,-122.963730,
96.000000,1308.150000,38.359710,-122.963780,
96.400000,1317.081000,38.359780,-122.963830,
97.100000,1330.399000,38.359890,-122.963890,
97.700000,1338.938000,38.359960,-122.963930,
98.900000,1348.855000,38.360040,-122.963980,
100.100000,1353.638000,38.360080,-122.964000,
100.900000,1358.470000,38.360110,-122.964040,
101.900000,1363.635000,38.360150,-122.964070,
102.900000,1369.294000,38.360190,-122.964110,
103.400000,1374.952000,38.360230,-122.964150,
105.700000,1390.754000,38.360320,-122.964290,
108.000000,1400.417000,38.360380,-122.964370,
109.900000,1416.904000,38.360470,-122.964520,
111.600000,1427.215000,38.360530,-122.964610,
114.100000,1441.916000,38.360630,-122.964720,
115.500000,1454.128000,38.360720,-122.964800,
117.700000,1465.056000,38.360810,-122.964850,
119.600000,1479.109000,38.360930,-122.964900,
119.600000,1492.722000,38.361050,-122.964930,
119.400000,1501.670000,38.361130,-122.964940,
119.900000,1506.207000,38.361170,-122.964930,
121.300000,1515.156000,38.361250,-122.964920,
124.400000,1534.791000,38.361420,-122.964860,
125.100000,1549.678000,38.361550,-122.964820,
126.100000,1564.384000,38.361680,-122.964790,
129.600000,1582.387000,38.361840,-122.964760,
131.300000,1601.311000,38.362010,-122.964760,
133.500000,1620.255000,38.362180,-122.964750,
136.400000,1638.088000,38.362340,-122.964740,
137.900000,1661.465000,38.362550,-122.964740,
140.600000,1691.045000,38.362810,-122.964670,
141.500000,1705.735000,38.362930,-122.964600,
143.000000,1731.563000,38.363130,-122.964450,
144.800000,1741.480000,38.363210,-122.964400,
146.100000,1750.555000,38.363290,-122.964380,
146.900000,1758.396000,38.363360,-122.964370,
147.900000,1768.415000,38.363450,-122.964370,
153.600000,1793.459000,38.363670,-122.964430,
154.800000,1817.621000,38.363880,-122.964500,
154.800000,1827.678000,38.363970,-122.964510,
154.700000,1840.046000,38.364080,-122.964530,
154.500000,1847.888000,38.364150,-122.964540,
154.200000,1855.729000,38.364220,-122.964530,
153.900000,1860.181000,38.364260,-122.964530,
151.300000,1873.653000,38.364380,-122.964510,
149.100000,1893.074000,38.364550,-122.964460,
142.600000,1965.847000,38.365190,-122.964290,
142.600000,1973.688000,38.365260,-122.964280,
142.700000,1978.225000,38.365300,-122.964270,
143.100000,1993.908000,38.365440,-122.964250,
142.200000,2052.213000,38.365960,-122.964170,
141.200000,2079.438000,38.366200,-122.964110,
141.200000,2091.807000,38.366310,-122.964090,
142.400000,2152.825000,38.366850,-122.963970,
135.900000,2190.763000,38.367190,-122.963940,
135.700000,2223.058000,38.367480,-122.963930,
135.900000,2258.776000,38.367800,-122.963960,
135.700000,2291.105000,38.368090,-122.963980,
135.500000,2315.596000,38.368310,-122.963980,
135.100000,2334.520000,38.368480,-122.963980,
135.000000,2337.859000,38.368510,-122.963980,
133.400000,2366.802000,38.368770,-122.963980,
131.300000,2411.543000,38.369170,-122.964030,
132.500000,2422.811000,38.369270,-122.964050,
137.600000,2453.591000,38.369530,-122.964170,
140.900000,2506.638000,38.369980,-122.964370,
143.000000,2526.273000,38.370150,-122.964430,
144.100000,2539.886000,38.370270,-122.964460,
144.700000,2555.471000,38.370410,-122.964460,
145.200000,2576.639000,38.370600,-122.964470,
145.500000,2596.676000,38.370780,-122.964470,
145.900000,2608.922000,38.370890,-122.964470,
146.900000,2622.393000,38.371010,-122.964490,
149.700000,2638.196000,38.371150,-122.964520,
152.700000,2662.594000,38.371360,-122.964600,
155.600000,2679.035000,38.371500,-122.964660,
158.400000,2697.488000,38.371650,-122.964750,
160.500000,2713.196000,38.371780,-122.964820,
