alt,dst,lat,lon,mdata
108.800000,0.000000,38.580600,-123.117160,E:\Dropbox\website\dev2\climbing\climbs\King-Ridge-Cazadero.tcx
108.800000,5.566000,38.580650,-123.117160,
109.100000,13.358000,38.580720,-123.117160,
112.000000,39.094000,38.580950,-123.117130,
115.400000,57.242000,38.581110,-123.117170,
124.700000,77.463000,38.581270,-123.117280,
126.600000,87.374000,38.581350,-123.117330,
127.700000,96.936000,38.581430,-123.117370,
128.200000,105.841000,38.581510,-123.117370,
128.100000,111.673000,38.581560,-123.117350,
127.400000,117.821000,38.581610,-123.117320,
126.300000,126.746000,38.581680,-123.117270,
126.000000,134.730000,38.581750,-123.117250,
126.000000,139.267000,38.581790,-123.117260,
126.700000,145.832000,38.581840,-123.117300,
127.500000,154.871000,38.581900,-123.117370,
129.600000,167.842000,38.581940,-123.117510,
131.200000,180.474000,38.581970,-123.117650,
134.200000,194.442000,38.581980,-123.117810,
138.500000,213.619000,38.581990,-123.118030,
139.100000,220.104000,38.582010,-123.118100,
139.800000,231.776000,38.582070,-123.118210,
140.100000,241.688000,38.582150,-123.118260,
140.400000,256.159000,38.582280,-123.118260,
141.700000,269.546000,38.582400,-123.118250,
142.400000,277.387000,38.582470,-123.118240,
142.900000,286.667000,38.582550,-123.118210,
142.600000,292.152000,38.582580,-123.118160,
142.300000,297.828000,38.582600,-123.118100,
142.100000,304.313000,38.582620,-123.118030,
141.300000,311.275000,38.582620,-123.117950,
140.500000,320.048000,38.582630,-123.117850,
140.800000,329.057000,38.582670,-123.117760,
141.100000,333.880000,38.582700,-123.117720,
142.000000,340.028000,38.582750,-123.117690,
144.100000,349.102000,38.582830,-123.117670,
146.700000,359.121000,38.582920,-123.117670,
149.900000,372.391000,38.583010,-123.117770,
156.100000,408.257000,38.583260,-123.118030,
156.300000,420.987000,38.583370,-123.118070,
157.400000,431.044000,38.583460,-123.118080,
159.100000,439.262000,38.583530,-123.118050,
162.600000,456.703000,38.583670,-123.117960,
162.500000,468.001000,38.583760,-123.117900,
162.800000,480.369000,38.583870,-123.117880,
167.000000,532.361000,38.584320,-123.118040,
169.900000,571.824000,38.584630,-123.118260,
175.800000,613.853000,38.584970,-123.118470,
177.300000,635.901000,38.585140,-123.118600,
185.100000,685.635000,38.585370,-123.119090,
187.000000,722.678000,38.585520,-123.119470,
188.900000,739.545000,38.585550,-123.119660,
190.200000,749.116000,38.585550,-123.119770,
191.300000,755.602000,38.585530,-123.119840,
192.500000,761.799000,38.585500,-123.119900,
193.900000,768.025000,38.585460,-123.119950,
195.400000,774.589000,38.585410,-123.119990,
197.600000,783.067000,38.585350,-123.120050,
198.700000,787.604000,38.585310,-123.120060,
199.600000,791.055000,38.585280,-123.120070,
200.200000,793.281000,38.585260,-123.120070,
201.400000,797.734000,38.585220,-123.120070,
202.600000,803.882000,38.585170,-123.120040,
203.500000,809.043000,38.585130,-123.120010,
204.000000,814.528000,38.585100,-123.119960,
204.400000,827.665000,38.585040,-123.119830,
