alt,dst,lat,lon,mdata
151.800000,0.000000,37.429967,-122.280267,E:\Dropbox\website\dev2\climbing\climbs\Kings-Mountain-Road.tcx
151.400000,4.826540,37.430010,-122.280260,
155.300000,41.577632,37.430100,-122.280660,
156.400000,61.655493,37.430210,-122.280840,
158.000000,113.728835,37.430650,-122.281040,
174.400000,312.568250,37.432250,-122.282040,
174.900000,330.777913,37.432370,-122.282180,
177.400000,359.969529,37.432380,-122.282510,
181.400000,435.413504,37.432260,-122.283350,
181.800000,448.719436,37.432270,-122.283500,
186.300000,492.142783,37.432660,-122.283490,
189.600000,519.184088,37.432800,-122.283740,
195.200000,594.356871,37.433050,-122.284530,
193.600000,624.213173,37.433200,-122.284810,
194.200000,643.786912,37.433180,-122.285030,
198.900000,675.310906,37.433040,-122.285340,
205.300000,736.248232,37.433130,-122.286020,
202.000000,778.613858,37.433390,-122.286370,
201.900000,785.772451,37.433400,-122.286450,
205.300000,807.704994,37.433350,-122.286690,
214.600000,874.908709,37.433080,-122.287370,
216.000000,917.139628,37.432840,-122.287740,
229.700000,1015.509687,37.432180,-122.288480,
226.800000,1076.471338,37.431910,-122.289080,
228.800000,1102.520053,37.431700,-122.289210,
251.700000,1272.940615,37.430240,-122.289790,
252.100000,1289.733499,37.430130,-122.289920,
250.400000,1306.256393,37.430090,-122.290100,
247.400000,1323.588929,37.430180,-122.290260,
248.600000,1438.011641,37.431200,-122.290420,
258.900000,1539.336096,37.432050,-122.290830,
261.100000,1566.471141,37.432220,-122.291050,
266.200000,1623.623854,37.432430,-122.291640,
266.500000,1657.159975,37.432710,-122.291780,
264.400000,1692.059307,37.433000,-122.291630,
269.500000,1732.983108,37.433210,-122.291250,
268.700000,1759.353656,37.433370,-122.291030,
269.300000,1768.935390,37.433450,-122.290990,
280.200000,1908.109212,37.434700,-122.290960,
284.900000,1949.563982,37.435060,-122.291080,
287.500000,1995.496125,37.435430,-122.291310,
287.700000,2019.138947,37.435640,-122.291350,
291.500000,2094.795278,37.436290,-122.291600,
300.200000,2250.779873,37.437310,-122.292810,
300.900000,2277.149635,37.437470,-122.293030,
308.500000,2325.847508,37.437670,-122.293520,
310.500000,2384.660216,37.437840,-122.294150,
312.400000,2396.364443,37.437820,-122.294280,
314.100000,2404.921331,37.437750,-122.294320,
314.700000,2413.478221,37.437680,-122.294280,
315.800000,2455.128909,37.437470,-122.293890,
319.100000,2474.451187,37.437320,-122.293780,
336.300000,2762.500568,37.434840,-122.292850,
336.900000,2790.344313,37.434590,-122.292860,
335.600000,2834.834159,37.434200,-122.292970,
341.400000,2878.940620,37.433910,-122.293310,
347.300000,2931.919465,37.433660,-122.293820,
351.100000,2969.433358,37.433400,-122.294090,
356.700000,2996.519623,37.433170,-122.294190,
359.500000,3014.418161,37.433010,-122.294210,
360.600000,3037.341574,37.432820,-122.294110,
358.300000,3079.299577,37.432510,-122.293840,
358.600000,3109.820025,37.432240,-122.293780,
371.100000,3200.200353,37.431430,-122.293850,
373.500000,3241.655255,37.431070,-122.293970,
371.600000,3276.437708,37.430770,-122.293860,
371.900000,3286.379697,37.430690,-122.293910,
374.100000,3303.322062,37.430710,-122.294100,
375.400000,3320.379763,37.430830,-122.294220,
378.200000,3384.132503,37.431400,-122.294150,
384.800000,3435.574970,37.431750,-122.294530,
385.900000,3458.172290,37.431940,-122.294620,
385.000000,3481.616003,37.432150,-122.294640,
386.400000,3494.163727,37.432230,-122.294740,
389.500000,3508.991345,37.432270,-122.294900,
398.900000,3568.105271,37.432020,-122.295490,
400.000000,3583.132509,37.432020,-122.295660,
401.000000,3601.049498,37.432160,-122.295760,
402.700000,3614.436974,37.432280,-122.295770,
403.300000,3653.743702,37.432620,-122.295650,
404.000000,3665.519146,37.432710,-122.295720,
410.700000,3738.443358,37.432870,-122.296520,
412.000000,3780.674267,37.433110,-122.296890,
413.900000,3813.399074,37.433100,-122.297260,
414.300000,3822.027073,37.433130,-122.297350,
418.800000,3864.371322,37.433420,-122.297660,
419.300000,3878.995419,37.433490,-122.297800,
419.700000,3900.471170,37.433520,-122.298040,
420.400000,3921.946920,37.433490,-122.298280,
421.800000,3946.594406,37.433410,-122.298540,
