alt,dst,lat,lon,mdata
1460.700000,0.000000,38.928590,-119.839050,E:\Dropbox\website\dev2\climbing\climbs\Kingsbury-Grade.tcx
1460.700000,5.829000,38.928540,-119.839030,
1461.600000,30.102000,38.928530,-119.839310,
1462.500000,60.493000,38.928510,-119.839660,
1462.600000,63.091000,38.928510,-119.839690,
1463.200000,83.009000,38.928510,-119.839920,
1463.500000,99.500000,38.928520,-119.840110,
1463.700000,115.128000,38.928530,-119.840290,
1464.000000,126.603000,38.928550,-119.840420,
1465.100000,143.393000,38.928580,-119.840610,
1467.600000,163.241000,38.928630,-119.840830,
1469.000000,176.156000,38.928670,-119.840970,
1471.500000,198.767000,38.928750,-119.841210,
1472.500000,211.120000,38.928810,-119.841330,
1473.100000,218.041000,38.928840,-119.841400,
1474.500000,238.630000,38.928940,-119.841600,
1475.300000,251.619000,38.929010,-119.841720,
1476.600000,266.689000,38.929100,-119.841850,
1482.400000,334.215000,38.929530,-119.842400,
1490.600000,442.413000,38.930220,-119.843280,
1491.600000,463.852000,38.930360,-119.843450,
1492.900000,505.926000,38.930630,-119.843790,
1496.100000,587.468000,38.931160,-119.844440,
1496.800000,597.732000,38.931220,-119.844530,
1498.300000,633.595000,38.931450,-119.844820,
1498.300000,681.278000,38.931760,-119.845200,
1496.900000,817.914000,38.932640,-119.846300,
1496.700000,835.953000,38.932760,-119.846440,
1496.400000,868.930000,38.932990,-119.846680,
1496.400000,888.155000,38.933130,-119.846810,
1496.200000,898.465000,38.933210,-119.846870,
1496.100000,918.132000,38.933360,-119.846990,
1496.000000,933.180000,38.933480,-119.847070,
1496.000000,945.464000,38.933580,-119.847130,
1496.300000,958.766000,38.933690,-119.847190,
1497.600000,970.710000,38.933790,-119.847240,
1501.100000,995.352000,38.934000,-119.847330,
1502.400000,1011.317000,38.934140,-119.847370,
1502.900000,1036.352000,38.934360,-119.847430,
1503.200000,1053.251000,38.934510,-119.847460,
1503.800000,1066.721000,38.934630,-119.847480,
1505.200000,1089.052000,38.934830,-119.847500,
1505.900000,1101.297000,38.934940,-119.847500,
1506.800000,1113.542000,38.935050,-119.847500,
1507.800000,1131.353000,38.935210,-119.847500,
1515.600000,1197.054000,38.935800,-119.847480,
1516.200000,1228.223000,38.936080,-119.847480,
1516.400000,1239.389000,38.936180,-119.847490,
1517.500000,1257.284000,38.936340,-119.847510,
1518.600000,1269.651000,38.936450,-119.847530,
1519.500000,1291.240000,38.936640,-119.847580,
1519.400000,1324.663000,38.936930,-119.847680,
1518.300000,1341.717000,38.937080,-119.847720,
1517.500000,1360.955000,38.937250,-119.847760,
1517.200000,1373.473000,38.937360,-119.847790,
1516.500000,1392.417000,38.937530,-119.847800,
1515.900000,1405.803000,38.937650,-119.847810,
1514.400000,1423.635000,38.937810,-119.847800,
1516.300000,1441.467000,38.937970,-119.847790,
1524.400000,1465.099000,38.938180,-119.847750,
1527.600000,1478.708000,38.938300,-119.847720,
1530.700000,1501.389000,38.938500,-119.847670,
1531.100000,1536.586000,38.938810,-119.847590,
1530.400000,1565.991000,38.939070,-119.847530,
1529.600000,1590.619000,38.939290,-119.847500,
1529.500000,1598.411000,38.939360,-119.847500,
1529.600000,1609.543000,38.939460,-119.847500,
1529.600000,1628.467000,38.939630,-119.847500,
1532.400000,1643.042000,38.939760,-119.847520,
1537.500000,1658.841000,38.939900,-119.847550,
1539.500000,1684.967000,38.940130,-119.847610,
1541.000000,1712.362000,38.940370,-119.847680,
1542.000000,1765.879000,38.940840,-119.847810,
1541.500000,1801.076000,38.941150,-119.847890,
1542.500000,1823.757000,38.941350,-119.847940,
1547.500000,1842.995000,38.941520,-119.847980,
1555.000000,1872.145000,38.941780,-119.848020,
1555.900000,1900.028000,38.942030,-119.848040,
1556.900000,1934.635000,38.942340,-119.848070,
1556.300000,1964.703000,38.942610,-119.848060,
1555.700000,1992.546000,38.942860,-119.848050,
1555.100000,2011.550000,38.943030,-119.848030,
1553.800000,2042.911000,38.943310,-119.847990,
