alt,dst,lat,lon,mdata
987.600000,0.000000,32.719650,-116.468920,E:\Dropbox\website\dev2\climbing\climbs\Kitchen-Creek-Rd-(Mt-Laguna).tcx
987.700000,28.741000,32.719830,-116.468700,
987.700000,60.529000,32.720040,-116.468470,
987.900000,77.150000,32.720150,-116.468350,
988.000000,88.788000,32.720230,-116.468270,
988.100000,96.446000,32.720290,-116.468230,
988.400000,107.932000,32.720380,-116.468170,
989.000000,122.425000,32.720500,-116.468110,
990.600000,147.608000,32.720710,-116.468010,
993.300000,179.696000,32.720980,-116.467890,
996.200000,221.113000,32.721330,-116.467740,
997.400000,245.266000,32.721530,-116.467640,
998.000000,269.798000,32.721730,-116.467530,
998.500000,292.772000,32.721910,-116.467410,
998.900000,307.127000,32.722020,-116.467330,
999.200000,320.546000,32.722120,-116.467250,
999.400000,340.322000,32.722260,-116.467120,
999.500000,352.832000,32.722350,-116.467040,
999.000000,429.334000,32.722880,-116.466520,
1002.200000,533.474000,32.723600,-116.465810,
1005.900000,597.747000,32.724050,-116.465380,
1007.500000,629.157000,32.724270,-116.465170,
1008.900000,667.589000,32.724530,-116.464900,
1010.500000,709.552000,32.724810,-116.464600,
1012.500000,773.559000,32.725250,-116.464160,
1012.400000,793.087000,32.725380,-116.464020,
1012.500000,804.725000,32.725460,-116.463940,
1014.000000,835.702000,32.725660,-116.463710,
1014.600000,850.072000,32.725750,-116.463600,
1016.800000,910.353000,32.726120,-116.463130,
1022.900000,1117.892000,32.727410,-116.461530,
1029.200000,1268.050000,32.728350,-116.460380,
1032.600000,1332.665000,32.728750,-116.459880,
1037.000000,1412.858000,32.729280,-116.459300,
1045.300000,1528.770000,32.730060,-116.458480,
1059.800000,1703.260000,32.731230,-116.457240,
1064.100000,1768.286000,32.731660,-116.456770,
1065.200000,1783.151000,32.731770,-116.456680,
1066.500000,1797.113000,32.731870,-116.456590,
1067.900000,1810.531000,32.731970,-116.456510,
1070.000000,1827.278000,32.732100,-116.456420,
1071.300000,1837.808000,32.732180,-116.456360,
1075.200000,1885.184000,32.732550,-116.456110,
1076.200000,1909.129000,32.732730,-116.455970,
1081.100000,1943.754000,32.732980,-116.455750,
1086.000000,2070.304000,32.733890,-116.454940,
1089.500000,2125.592000,32.734290,-116.454590,
1091.200000,2139.010000,32.734390,-116.454510,
1093.300000,2154.805000,32.734510,-116.454420,
1095.500000,2173.486000,32.734650,-116.454310,
1098.000000,2195.495000,32.734820,-116.454190,
1100.200000,2217.040000,32.734990,-116.454080,
1103.100000,2254.880000,32.735290,-116.453890,
1104.700000,2281.448000,32.735510,-116.453780,
1105.900000,2300.770000,32.735670,-116.453700,
1107.300000,2322.162000,32.735850,-116.453620,
1108.600000,2344.046000,32.736040,-116.453560,
1109.900000,2355.527000,32.736140,-116.453530,
1110.400000,2360.077000,32.736180,-116.453520,
1110.900000,2370.269000,32.736270,-116.453500,
1111.400000,2387.201000,32.736420,-116.453470,
1110.400000,2415.094000,32.736670,-116.453450,
1112.200000,2432.905000,32.736830,-116.453450,
1117.500000,2479.668000,32.737250,-116.453460,
1119.700000,2505.272000,32.737480,-116.453460,
1121.900000,2523.107000,32.737640,-116.453450,
1125.500000,2549.135000,32.737870,-116.453400,
1127.200000,2565.164000,32.738010,-116.453360,
1129.000000,2580.999000,32.738150,-116.453330,
1131.500000,2597.802000,32.738300,-116.453310,
1132.400000,2603.368000,32.738350,-116.453310,
1133.900000,2612.273000,32.738430,-116.453310,
1134.800000,2620.122000,32.738500,-116.453320,
1135.400000,2626.866000,32.738560,-116.453330,
1136.100000,2638.155000,32.738660,-116.453350,
1136.400000,2645.091000,32.738720,-116.453370,
1136.600000,2650.964000,32.738770,-116.453390,
1137.000000,2661.369000,32.738860,-116.453420,
1137.400000,2673.445000,32.738960,-116.453470,
1136.800000,2684.926000,32.739060,-116.453500,
1136.900000,2696.407000,32.739160,-116.453530,
1137.000000,2706.599000,32.739250,-116.453550,
1136.900000,2713.278000,32.739310,-116.453550,
1137.100000,2717.828000,32.739350,-116.453560,
1137.400000,2723.472000,32.739400,-116.453550,
1138.400000,2730.152000,32.739460,-116.453550,
1139.400000,2735.796000,32.739510,-116.453540,
1139.900000,2739.264000,32.739540,-116.453530,
1141.100000,2749.456000,32.739630,-116.453510,
1141.400000,2754.006000,32.739670,-116.453500,
1141.400000,2769.216000,32.739800,-116.453450,
1141.000000,2788.538000,32.739960,-116.453370,
1142.900000,2808.279000,32.740130,-116.453310,
1145.400000,2820.024000,32.740230,-116.453270,
1147.800000,2831.769000,32.740330,-116.453230,
1149.000000,2841.961000,32.740420,-116.453210,
1149.700000,2856.703000,32.740550,-116.453180,
1150.300000,2866.765000,32.740640,-116.453170,
1150.400000,2882.462000,32.740780,-116.453150,
1150.800000,2898.047000,32.740920,-116.453150,
1152.700000,2935.907000,32.741260,-116.453160,
1153.100000,2942.651000,32.741320,-116.453170,
1153.400000,2949.395000,32.741380,-116.453180,
1153.800000,2958.496000,32.741460,-116.453200,
1154.400000,2963.326000,32.741500,-116.453220,
1155.600000,2971.609000,32.741570,-116.453250,
1157.600000,2986.101000,32.741690,-116.453310,
1158.400000,2996.797000,32.741780,-116.453350,
1159.800000,3006.458000,32.741860,-116.453390,
1162.500000,3019.021000,32.741970,-116.453420,
1163.800000,3026.869000,32.742040,-116.453430,
1164.900000,3032.513000,32.742090,-116.453440,
1166.000000,3040.306000,32.742160,-116.453440,
1166.600000,3047.050000,32.742220,-116.453430,
1167.000000,3051.600000,32.742260,-116.453420,
1168.300000,3060.701000,32.742340,-116.453400,
1171.200000,3071.106000,32.742430,-116.453370,
1174.500000,3082.586000,32.742530,-116.453340,
1175.800000,3098.110000,32.742660,-116.453280,
1176.300000,3112.602000,32.742780,-116.453220,
1176.800000,3129.168000,32.742920,-116.453160,
1177.500000,3141.731000,32.743030,-116.453130,
1178.100000,3168.160000,32.743260,-116.453060,
1179.000000,3223.177000,32.743740,-116.452920,
1182.600000,3239.450000,32.743880,-116.452870,
1185.900000,3254.973000,32.744010,-116.452810,
1187.100000,3267.779000,32.744120,-116.452770,
1187.900000,3286.079000,32.744270,-116.452690,
1189.600000,3337.953000,32.744690,-116.452450,
1190.100000,3367.712000,32.744930,-116.452310,
1193.000000,3422.615000,32.745380,-116.452070,
1195.200000,3436.087000,32.745490,-116.452010,
1198.800000,3462.306000,32.745710,-116.451910,
1200.100000,3476.460000,32.745830,-116.451860,
1200.700000,3483.397000,32.745890,-116.451840,
1201.700000,3493.589000,32.745980,-116.451820,
1203.000000,3517.430000,32.746190,-116.451770,
1203.900000,3534.363000,32.746340,-116.451740,
1204.600000,3551.704000,32.746490,-116.451690,
1209.900000,3575.983000,32.746700,-116.451620,
1212.300000,3594.659000,32.746860,-116.451560,
