alt,dst,lat,lon,mdata
50.300000,0.000000,38.595310,-123.345670,E:\Dropbox\website\dev2\climbing\climbs\Kruse-Ranch-Road-Stewarts-Point.tcx
55.000000,30.884000,38.595470,-123.345380,
58.900000,51.995000,38.595550,-123.345160,
63.900000,85.710000,38.595640,-123.344790,
65.800000,127.530000,38.595620,-123.344310,
69.700000,156.441000,38.595550,-123.343990,
70.800000,168.273000,38.595500,-123.343870,
72.300000,240.452000,38.595140,-123.343180,
79.500000,292.551000,38.594850,-123.342710,
79.100000,326.858000,38.594650,-123.342410,
77.000000,348.853000,38.594540,-123.342200,
78.500000,376.636000,38.594420,-123.341920,
78.400000,402.175000,38.594330,-123.341650,
81.300000,423.926000,38.594330,-123.341400,
87.100000,450.027000,38.594330,-123.341100,
88.900000,478.739000,38.594330,-123.340770,
89.000000,498.750000,38.594330,-123.340540,
91.300000,519.661000,38.594320,-123.340300,
94.600000,537.930000,38.594270,-123.340100,
95.600000,559.325000,38.594170,-123.339890,
95.800000,582.044000,38.594030,-123.339700,
96.000000,600.803000,38.593890,-123.339580,
96.400000,607.368000,38.593840,-123.339540,
109.600000,687.726000,38.593160,-123.339230,
107.100000,707.357000,38.592990,-123.339170,
107.900000,723.058000,38.592980,-123.338990,
109.700000,745.201000,38.593080,-123.338770,
108.300000,763.876000,38.593200,-123.338620,
122.600000,926.614000,38.594490,-123.337740,
127.600000,958.547000,38.594740,-123.337560,
130.300000,980.287000,38.594890,-123.337400,
130.700000,999.501000,38.594990,-123.337220,
127.800000,1023.410000,38.595030,-123.336950,
127.300000,1035.641000,38.595020,-123.336810,
128.300000,1052.596000,38.594900,-123.336690,
128.600000,1067.480000,38.594770,-123.336650,
130.500000,1087.984000,38.594590,-123.336600,
135.100000,1140.765000,38.594120,-123.336520,
132.100000,1211.331000,38.593490,-123.336430,
132.000000,1235.244000,38.593310,-123.336280,
127.200000,1333.172000,38.592460,-123.335990,
127.300000,1385.988000,38.592090,-123.335610,
132.500000,1480.074000,38.591750,-123.334620,
141.600000,1577.426000,38.591640,-123.333510,
144.900000,1627.906000,38.591410,-123.333010,
153.100000,1808.517000,38.591110,-123.330970,
158.200000,1884.419000,38.591160,-123.330100,
162.900000,1938.109000,38.591540,-123.329720,
163.200000,1942.932000,38.591570,-123.329680,
175.200000,2161.631000,38.592760,-123.327680,
179.000000,2258.833000,38.593400,-123.326920,
179.900000,2340.506000,38.594060,-123.326510,
180.100000,2354.117000,38.594180,-123.326480,
181.100000,2435.060000,38.594900,-123.326350,
181.800000,2473.992000,38.595200,-123.326120,
185.300000,2529.527000,38.595500,-123.325610,
197.300000,2642.242000,38.595700,-123.324340,
198.800000,2652.379000,38.595670,-123.324230,
202.800000,2662.934000,38.595630,-123.324120,
204.300000,2668.585000,38.595590,-123.324080,
204.500000,2678.754000,38.595500,-123.324060,
221.200000,2774.709000,38.594680,-123.324400,
226.400000,2830.477000,38.594180,-123.324360,
229.200000,2857.685000,38.593970,-123.324200,
231.500000,2883.943000,38.593770,-123.324040,
230.300000,2909.403000,38.593550,-123.323960,
228.400000,2927.235000,38.593390,-123.323950,
226.600000,2959.623000,38.593100,-123.323980,
225.900000,2985.432000,38.592910,-123.324150,
227.100000,3019.234000,38.592610,-123.324210,
227.200000,3054.276000,38.592300,-123.324140,
226.500000,3080.808000,38.592070,-123.324060,
222.100000,3138.499000,38.591590,-123.324310,
223.500000,3166.546000,38.591340,-123.324270,
223.100000,3195.284000,38.591110,-123.324120,
227.800000,3317.654000,38.590710,-123.322810,
228.500000,3346.561000,38.590680,-123.322480,
229.200000,3365.832000,38.590700,-123.322260,
231.800000,3391.639000,38.590900,-123.322110,
236.200000,3444.483000,38.591360,-123.321960,
237.800000,3476.636000,38.591490,-123.321630,
233.800000,3674.532000,38.591750,-123.319380,
235.000000,3685.898000,38.591740,-123.319250,
236.600000,3708.653000,38.591680,-123.319000,
240.100000,3795.073000,38.591320,-123.318120,
240.700000,3820.797000,38.591210,-123.317860,
241.200000,3865.775000,38.591060,-123.317380,
243.600000,3913.630000,38.591060,-123.316830,
244.300000,3937.557000,38.590990,-123.316570,
244.800000,3994.494000,38.590690,-123.316040,
243.400000,4019.395000,38.590530,-123.315840,
241.400000,4208.718000,38.589530,-123.314080,
239.900000,4290.519000,38.589200,-123.313240,
243.200000,4385.946000,38.588800,-123.312270,
239.300000,4426.062000,38.588670,-123.311840,
236.100000,4436.738000,38.588650,-123.311720,
234.200000,4443.699000,38.588650,-123.311640,
232.500000,4453.473000,38.588690,-123.311540,
231.800000,4461.104000,38.588740,-123.311480,
232.000000,4465.885000,38.588780,-123.311460,
232.400000,4476.808000,38.588870,-123.311410,
236.000000,4501.360000,38.589090,-123.311390,
240.800000,4540.360000,38.589440,-123.311370,
244.500000,4583.914000,38.589830,-123.311410,
246.100000,4623.654000,38.590180,-123.311500,
245.600000,4641.550000,38.590340,-123.311520,
244.700000,4651.112000,38.590420,-123.311480,
243.600000,4658.832000,38.590450,-123.311400,
242.600000,4666.742000,38.590440,-123.311310,
241.100000,4686.036000,38.590320,-123.311150,
236.700000,4713.374000,38.590280,-123.310840,
232.400000,4752.680000,38.590360,-123.310400,
230.300000,4793.296000,38.590110,-123.310060,
230.600000,4826.512000,38.589960,-123.309730,
234.200000,4882.081000,38.589720,-123.309170,
