alt,dst,lat,lon,mdata
1342.300000,0.000000,37.360880,-118.454030,E:\Dropbox\website\dev2\climbing\climbs\Lake-Sabrina-Bishop.tcx
1342.400000,21.952000,37.360830,-118.454270,
1342.700000,66.820000,37.360700,-118.454750,
1343.200000,123.564000,37.360520,-118.455350,
1343.700000,141.653000,37.360460,-118.455540,
1344.500000,169.623000,37.360360,-118.455830,
1344.900000,183.696000,37.360300,-118.455970,
1346.600000,229.062000,37.360120,-118.456430,
1348.500000,269.979000,37.359950,-118.456840,
1349.600000,291.639000,37.359850,-118.457050,
1350.400000,307.029000,37.359780,-118.457200,
1351.300000,327.192000,37.359680,-118.457390,
1351.800000,357.806000,37.359530,-118.457680,
1352.200000,379.978000,37.359410,-118.457880,
1352.700000,403.587000,37.359290,-118.458100,
1353.800000,445.148000,37.359060,-118.458470,
1354.600000,477.012000,37.358880,-118.458750,
1355.500000,506.858000,37.358700,-118.459000,
1356.800000,555.519000,37.358400,-118.459400,
1358.500000,596.812000,37.358130,-118.459720,
1361.300000,671.706000,37.357640,-118.460300,
1362.400000,728.993000,37.357270,-118.460750,
1363.100000,748.630000,37.357140,-118.460900,
1363.800000,776.566000,37.356960,-118.461120,
1364.600000,808.981000,37.356740,-118.461360,
1365.400000,841.983000,37.356520,-118.461610,
1366.200000,871.845000,37.356310,-118.461820,
1366.600000,883.221000,37.356230,-118.461900,
1367.400000,902.592000,37.356090,-118.462030,
1369.100000,934.755000,37.355860,-118.462250,
1370.500000,962.129000,37.355660,-118.462430,
1371.300000,981.917000,37.355510,-118.462550,
1371.800000,1002.194000,37.355360,-118.462680,
1373.200000,1082.310000,37.354760,-118.463180,
1373.600000,1099.750000,37.354630,-118.463290,
1374.300000,1129.070000,37.354420,-118.463490,
1375.100000,1159.286000,37.354200,-118.463690,
1375.700000,1181.178000,37.354050,-118.463850,
1376.500000,1203.070000,37.353900,-118.464010,
1377.200000,1226.964000,37.353740,-118.464190,
1378.800000,1273.732000,37.353440,-118.464560,
1379.600000,1298.840000,37.353280,-118.464760,
1382.200000,1381.700000,37.352760,-118.465430,
1384.600000,1457.512000,37.352290,-118.466050,
1388.900000,1569.714000,37.351580,-118.466950,
1391.900000,1655.398000,37.351040,-118.467640,
1393.700000,1699.195000,37.350770,-118.468000,
1399.600000,1834.946000,37.349920,-118.469100,
1402.000000,1891.294000,37.349570,-118.469560,
1404.300000,1979.022000,37.349020,-118.470270,
1408.800000,2106.454000,37.348220,-118.471300,
1415.200000,2291.643000,37.347060,-118.472800,
1420.800000,2452.504000,37.346050,-118.474100,
1426.500000,2552.788000,37.345420,-118.474910,
1429.600000,2603.635000,37.345100,-118.475320,
1433.100000,2685.869000,37.344580,-118.475980,
1436.700000,2791.173000,37.343910,-118.476820,
1439.000000,2851.123000,37.343530,-118.477300,
1440.800000,2897.629000,37.343250,-118.477690,
1442.100000,2928.813000,37.343070,-118.477960,
1443.300000,2961.374000,37.342890,-118.478250,
1445.100000,2993.345000,37.342730,-118.478550,
1446.900000,3023.583000,37.342600,-118.478850,
1449.300000,3060.340000,37.342450,-118.479220,
1450.700000,3078.873000,37.342380,-118.479410,
1451.800000,3097.792000,37.342320,-118.479610,
1452.600000,3117.541000,37.342260,-118.479820,
1453.400000,3138.964000,37.342200,-118.480050,
1454.300000,3162.638000,37.342150,-118.480310,
1455.000000,3176.327000,37.342120,-118.480460,
1455.800000,3194.339000,37.342090,-118.480660,
1456.800000,3216.041000,37.342050,-118.480900,
1458.100000,3241.046000,37.342020,-118.481180,
1460.700000,3297.960000,37.341970,-118.481820,
1460.300000,3385.332000,37.341190,-118.481710,
1460.200000,3451.302000,37.340600,-118.481640,
1460.200000,3502.516000,37.340140,-118.481650,
1460.300000,3529.248000,37.339900,-118.481660,
1460.300000,3541.777000,37.339790,-118.481690,
1460.500000,3573.261000,37.339530,-118.481830,
1460.500000,3576.105000,37.339510,-118.481850,
1460.600000,3587.444000,37.339420,-118.481910,
1460.800000,3602.553000,37.339310,-118.482010,
1461.100000,3610.246000,37.339260,-118.482070,
1462.100000,3636.634000,37.339100,-118.482290,
1464.400000,3692.075000,37.338780,-118.482770,
1467.100000,3744.055000,37.338500,-118.483240,
1472.300000,3824.525000,37.338080,-118.483980,
1473.100000,3843.246000,37.337970,-118.484140,
1477.000000,3919.206000,37.337490,-118.484750,
1478.000000,3931.762000,37.337410,-118.484850,
1479.500000,3952.672000,37.337310,-118.485050,
1483.300000,4020.450000,37.337030,-118.485730,
1484.100000,4040.543000,37.336920,-118.485910,
1487.300000,4084.345000,37.336650,-118.486270,
1495.200000,4210.470000,37.335820,-118.487240,
1503.800000,4354.310000,37.334940,-118.488430,
1508.000000,4444.405000,37.334420,-118.489210,
1512.500000,4542.209000,37.333840,-118.490040,
1513.800000,4575.540000,37.333670,-118.490350,
1514.100000,4585.258000,37.333620,-118.490440,
1514.400000,4595.964000,37.333580,-118.490550,
1515.100000,4615.940000,37.333540,-118.490770,
1515.500000,4627.500000,37.333530,-118.490900,
1516.300000,4647.004000,37.333540,-118.491120,
1516.900000,4666.407000,37.333590,-118.491330,
1517.400000,4678.997000,37.333610,-118.491470,
1518.100000,4693.159000,37.333610,-118.491630,
1518.900000,4708.370000,37.333590,-118.491800,
1520.400000,4739.628000,37.333490,-118.492130,
1521.500000,4765.696000,37.333380,-118.492390,
1523.500000,4817.678000,37.333100,-118.492860,
1524.400000,4844.728000,37.332940,-118.493090,
1525.200000,4866.914000,37.332810,-118.493280,
1528.000000,4907.808000,37.332590,-118.493650,
1532.900000,4992.338000,37.332110,-118.494390,
1535.800000,5027.816000,37.331890,-118.494680,
1536.400000,5052.802000,37.331740,-118.494890,
1535.400000,5078.119000,37.331570,-118.495080,
1536.300000,5130.098000,37.331270,-118.495530,
1537.300000,5168.909000,37.331060,-118.495880,
1539.200000,5216.822000,37.330770,-118.496280,
1539.400000,5282.431000,37.330350,-118.496800,
1541.700000,5331.627000,37.330070,-118.497230,
1545.900000,5347.271000,37.329960,-118.497340,
1551.000000,5369.702000,37.329860,-118.497560,
1548.500000,5391.850000,37.329690,-118.497690,
1548.600000,5446.038000,37.329280,-118.498020,
1551.400000,5486.144000,37.329010,-118.498320,
1555.200000,5525.341000,37.328700,-118.498530,
1556.700000,5572.677000,37.328320,-118.498770,
1559.300000,5612.837000,37.327970,-118.498880,
1566.000000,5664.514000,37.327540,-118.499100,
1559.800000,5740.994000,37.326880,-118.499340,
1561.200000,5794.038000,37.326440,-118.499570,
1560.900000,5832.257000,37.326100,-118.499630,
1561.500000,5842.213000,37.326030,-118.499700,
1561.800000,5852.839000,37.325940,-118.499740,
1564.800000,5877.507000,37.325740,-118.499860,
1568.000000,5905.797000,37.325530,-118.500040,
1570.100000,5926.272000,37.325390,-118.500190,
1573.100000,5950.170000,37.325230,-118.500370,
1578.200000,5972.648000,37.325080,-118.500540,
1578.400000,6006.044000,37.324780,-118.500540,
1576.200000,6034.987000,37.324520,-118.500540,
1576.300000,6047.733000,37.324410,-118.500580,
1576.700000,6054.330000,37.324360,-118.500620,
1577.100000,6060.609000,37.324320,-118.500670,
1577.900000,6071.987000,37.324240,-118.500750,
1578.300000,6079.174000,37.324180,-118.500780,
1580.800000,6101.718000,37.323980,-118.500820,
1581.700000,6115.106000,37.323860,-118.500810,
1581.600000,6126.787000,37.323760,-118.500770,
1580.900000,6136.732000,37.323680,-118.500720,
1580.300000,6152.757000,37.323560,-118.500620,
1580.800000,6158.598000,37.323510,-118.500600,
1581.900000,6167.503000,37.323430,-118.500600,
1583.500000,6177.087000,37.323350,-118.500640,
1586.800000,6205.653000,37.323170,-118.500870,
1588.300000,6221.679000,37.323050,-118.500970,
1590.200000,6238.144000,37.322910,-118.501030,
1590.900000,6245.053000,37.322850,-118.501050,
1594.000000,6272.479000,37.322610,-118.501120,
1600.000000,6295.589000,37.322410,-118.501190,
1600.700000,6314.090000,37.322260,-118.501280,
1600.600000,6322.103000,37.322200,-118.501330,
1600.300000,6325.568000,37.322180,-118.501360,
1599.100000,6347.465000,37.322030,-118.501520,
1598.500000,6371.728000,37.321900,-118.501740,
1598.700000,6380.058000,37.321850,-118.501810,
1599.200000,6386.336000,37.321810,-118.501860,
1601.600000,6406.248000,37.321670,-118.502000,
1604.100000,6433.062000,37.321440,-118.502090,
1606.000000,6453.595000,37.321270,-118.502180,
1607.800000,6468.204000,37.321160,-118.502270,
1610.800000,6485.627000,37.321050,-118.502410,
1616.000000,6523.748000,37.320830,-118.502740,
1619.400000,6554.234000,37.320660,-118.503010,
1620.700000,6576.423000,37.320530,-118.503200,
1620.300000,6599.353000,37.320390,-118.503390,
1624.000000,6623.340000,37.320290,-118.503630,
1627.100000,6646.956000,37.320170,-118.503850,
1626.600000,6668.622000,37.320030,-118.504020,
1634.100000,6724.938000,37.319790,-118.504580,
1650.900000,6868.287000,37.319250,-118.506050,
1651.300000,6894.138000,37.319130,-118.506300,
1655.000000,6914.296000,37.319060,-118.506510,
1658.800000,6944.025000,37.318940,-118.506810,
1658.000000,6996.688000,37.318650,-118.507280,
1664.000000,7049.575000,37.318390,-118.507780,
1667.600000,7072.468000,37.318270,-118.507990,
1675.500000,7145.410000,37.317900,-118.508670,
1679.300000,7169.397000,37.317800,-118.508910,
1686.700000,7217.986000,37.317620,-118.509410,
1688.000000,7242.967000,37.317490,-118.509640,
1688.000000,7264.492000,37.317360,-118.509820,
1695.100000,7354.076000,37.316750,-118.510480,
1698.600000,7391.613000,37.316490,-118.510750,
1701.200000,7444.049000,37.316110,-118.511100,
1704.000000,7492.384000,37.315720,-118.511340,
1709.400000,7522.219000,37.315480,-118.511490,
1715.500000,7677.956000,37.314180,-118.512140,
1722.600000,7750.959000,37.313590,-118.512500,
1742.100000,7866.176000,37.312680,-118.513120,
1747.900000,7896.604000,37.312470,-118.513340,
1753.600000,7936.852000,37.312230,-118.513680,
1758.700000,7974.370000,37.312040,-118.514030,
1766.500000,8028.927000,37.311790,-118.514560,
1769.000000,8052.135000,37.311690,-118.514790,
1774.800000,8094.166000,37.311530,-118.515220,
1776.000000,8124.056000,37.311380,-118.515500,
1781.700000,8162.457000,37.311200,-118.515870,
1786.600000,8195.343000,37.311050,-118.516190,
1791.000000,8222.993000,37.310940,-118.516470,
1795.500000,8247.290000,37.310850,-118.516720,
1799.000000,8263.337000,37.310800,-118.516890,
1802.700000,8277.892000,37.310770,-118.517050,
1810.700000,8329.139000,37.310690,-118.517620,
1819.000000,8419.911000,37.310550,-118.518630,
1837.500000,8577.111000,37.310170,-118.520340,
1839.300000,8587.407000,37.310140,-118.520450,
1840.000000,8684.186000,37.309710,-118.521400,
1853.100000,8835.223000,37.309110,-118.522930,
1855.200000,8859.906000,37.309030,-118.523190,
1859.400000,8883.590000,37.308980,-118.523450,
1866.700000,8912.270000,37.308940,-118.523770,
1876.600000,8942.456000,37.308920,-118.524110,
1878.300000,8962.802000,37.308830,-118.524310,
1883.200000,8990.453000,37.308720,-118.524590,
1883.400000,9009.290000,37.308600,-118.524740,
1876.100000,9108.726000,37.307850,-118.525350,
1880.700000,9151.397000,37.307550,-118.525650,
1886.900000,9172.205000,37.307440,-118.525840,
1892.100000,9192.822000,37.307360,-118.526050,
1893.700000,9208.220000,37.307290,-118.526200,
1894.600000,9226.237000,37.307190,-118.526360,
1896.000000,9249.799000,37.307060,-118.526570,
1901.200000,9303.484000,37.306720,-118.527000,
1906.400000,9379.354000,37.306140,-118.527450,
1909.200000,9426.888000,37.305730,-118.527600,
1914.200000,9488.748000,37.305200,-118.527810,
1924.300000,9528.919000,37.304910,-118.528080,
1925.400000,9534.608000,37.304870,-118.528120,
1925.400000,9546.053000,37.304770,-118.528150,
1920.500000,9571.656000,37.304540,-118.528150,
1916.500000,9598.373000,37.304300,-118.528150,
1917.000000,9607.322000,37.304220,-118.528160,
1921.000000,9617.692000,37.304140,-118.528220,
1926.200000,9633.081000,37.304040,-118.528340,
1928.200000,9644.219000,37.304010,-118.528460,
1930.600000,9658.861000,37.303940,-118.528600,
1932.300000,9710.407000,37.303690,-118.529090,
1929.500000,9734.908000,37.303530,-118.529280,
1930.400000,9780.128000,37.303250,-118.529650,
1931.700000,9819.414000,37.302990,-118.529950,
1935.500000,9884.937000,37.302500,-118.530360,
1938.400000,9908.909000,37.302440,-118.530620,
1939.800000,9918.713000,37.302450,-118.530730,
1942.100000,9936.562000,37.302470,-118.530930,
1944.600000,9951.656000,37.302480,-118.531100,
1945.800000,9959.626000,37.302480,-118.531190,
1948.200000,9971.191000,37.302470,-118.531320,
1949.800000,9997.113000,37.302380,-118.531590,
1950.900000,10075.429000,37.302080,-118.532390,
1951.500000,10087.424000,37.302030,-118.532510,
1952.200000,10101.506000,37.301970,-118.532650,
1952.000000,10116.060000,37.301890,-118.532780,
1951.100000,10135.532000,37.301770,-118.532940,
1950.600000,10160.480000,37.301630,-118.533160,
1950.600000,10177.832000,37.301540,-118.533320,
1956.000000,10236.013000,37.301310,-118.533910,
1961.300000,10266.071000,37.301200,-118.534220,
1971.700000,10424.648000,37.300610,-118.535850,
1973.800000,10442.906000,37.300530,-118.536030,
1974.200000,10456.104000,37.300450,-118.536140,
1974.100000,10466.061000,37.300380,-118.536210,
1973.500000,10491.986000,37.300180,-118.536360,
1973.600000,10505.007000,37.300070,-118.536410,
1975.900000,10531.822000,37.299840,-118.536500,
