alt,dst,lat,lon,mdata
13.100000,0.000000,38.029420,-122.881930,E:\Dropbox\website\dev2\climbing\climbs\Limantour-Rd-Marin.tcx
14.200000,14.709000,38.029550,-122.881900,
16.800000,62.124000,38.029970,-122.881810,
21.500000,95.931000,38.030270,-122.881750,
24.300000,119.026000,38.030470,-122.881680,
26.500000,140.266000,38.030640,-122.881570,
28.800000,156.996000,38.030750,-122.881440,
30.400000,168.086000,38.030820,-122.881350,
32.100000,179.511000,38.030860,-122.881230,
34.400000,193.793000,38.030910,-122.881080,
37.900000,219.551000,38.030980,-122.880800,
40.100000,252.350000,38.031060,-122.880440,
41.400000,278.640000,38.031120,-122.880150,
43.500000,296.589000,38.031180,-122.879960,
45.700000,313.727000,38.031240,-122.879780,
47.000000,325.459000,38.031300,-122.879670,
47.300000,341.392000,38.031400,-122.879540,
47.400000,356.121000,38.031500,-122.879430,
47.400000,370.689000,38.031610,-122.879340,
47.200000,381.625000,38.031700,-122.879290,
46.700000,394.362000,38.031810,-122.879250,
46.200000,412.705000,38.031970,-122.879200,
46.900000,424.376000,38.032070,-122.879160,
47.800000,434.302000,38.032150,-122.879110,
50.500000,455.448000,38.032310,-122.878980,
52.500000,475.841000,38.032450,-122.878830,
54.100000,496.234000,38.032590,-122.878680,
57.800000,541.223000,38.032870,-122.878310,
58.300000,544.669000,38.032890,-122.878280,
59.400000,554.588000,38.032960,-122.878210,
60.100000,565.404000,38.033040,-122.878140,
61.400000,584.885000,38.033200,-122.878050,
63.000000,605.388000,38.033370,-122.877960,
64.300000,623.731000,38.033530,-122.877910,
68.800000,667.118000,38.033910,-122.877800,
72.500000,722.669000,38.034400,-122.877680,
74.000000,765.870000,38.034780,-122.877580,
75.700000,788.747000,38.034980,-122.877520,
76.600000,800.711000,38.035080,-122.877470,
77.500000,812.047000,38.035160,-122.877390,
79.000000,835.507000,38.035300,-122.877190,
82.400000,872.704000,38.035510,-122.876860,
84.100000,896.167000,38.035630,-122.876640,
84.000000,914.115000,38.035690,-122.876450,
82.600000,936.554000,38.035760,-122.876210,
85.200000,977.029000,38.035870,-122.875770,
86.200000,997.442000,38.035930,-122.875550,
89.800000,1021.101000,38.036010,-122.875300,
