alt,dst,lat,lon,mdata
1009.300000,0.000000,34.315710,-117.495630,E:\Dropbox\website\dev2\climbing\climbs\Lone-Pine-Blue-Ridge-Summit-Cajon-Pass.tcx
1009.400000,1.444000,34.315700,-117.495640,
1009.700000,5.897000,34.315660,-117.495640,
1010.000000,10.349000,34.315620,-117.495640,
1010.200000,13.689000,34.315590,-117.495640,
1010.300000,18.506000,34.315550,-117.495620,
1010.600000,25.733000,34.315490,-117.495590,
1010.900000,35.280000,34.315420,-117.495530,
1011.300000,52.606000,34.315300,-117.495410,
1011.600000,65.035000,34.315210,-117.495330,
1011.900000,76.022000,34.315130,-117.495260,
1012.200000,90.850000,34.315010,-117.495190,
1012.100000,98.475000,34.314950,-117.495150,
1011.900000,125.336000,34.314730,-117.495030,
1011.100000,149.423000,34.314530,-117.494930,
1010.800000,162.854000,34.314420,-117.494870,
1010.700000,175.406000,34.314310,-117.494840,
1010.700000,183.252000,34.314240,-117.494830,
1010.900000,189.931000,34.314180,-117.494830,
1011.400000,198.884000,34.314100,-117.494840,
1012.000000,206.676000,34.314030,-117.494840,
1012.700000,218.145000,34.313930,-117.494870,
1013.500000,230.189000,34.313830,-117.494920,
1014.700000,245.902000,34.313710,-117.495010,
1015.900000,259.501000,34.313620,-117.495110,
1017.200000,275.834000,34.313520,-117.495240,
1018.200000,285.807000,34.313470,-117.495330,
1019.000000,293.058000,34.313440,-117.495400,
1019.900000,301.982000,34.313410,-117.495490,
1020.900000,314.737000,34.313370,-117.495620,
1021.700000,330.526000,34.313350,-117.495790,
1022.700000,347.113000,34.313340,-117.495970,
1023.700000,361.867000,34.313330,-117.496130,
1024.300000,369.306000,34.313320,-117.496210,
1025.400000,382.226000,34.313310,-117.496350,
1026.100000,394.385000,34.313290,-117.496480,
1026.500000,411.524000,34.313250,-117.496660,
1026.700000,426.017000,34.313210,-117.496810,
1026.800000,437.915000,34.313170,-117.496930,
1026.800000,445.166000,34.313140,-117.497000,
1026.800000,451.615000,34.313110,-117.497060,
1026.600000,462.979000,34.313050,-117.497160,
1026.600000,474.346000,34.312980,-117.497250,
1026.600000,480.121000,34.312940,-117.497290,
1026.700000,490.057000,34.312880,-117.497370,
1030.000000,516.913000,34.312690,-117.497550,
1033.600000,542.326000,34.312510,-117.497720,
1036.700000,567.274000,34.312350,-117.497910,
1037.500000,584.293000,34.312250,-117.498050,
1038.200000,595.657000,34.312190,-117.498150,
1039.000000,606.405000,34.312140,-117.498250,
1040.200000,622.562000,34.312080,-117.498410,
1042.500000,640.028000,34.312010,-117.498580,
1047.700000,666.402000,34.311930,-117.498850,
1049.900000,690.340000,34.311870,-117.499100,
1049.900000,707.479000,34.311830,-117.499280,
1050.100000,718.530000,34.311790,-117.499390,
1050.200000,734.687000,34.311730,-117.499550,
1050.500000,746.051000,34.311670,-117.499650,
1051.000000,758.819000,34.311600,-117.499760,
1051.600000,771.620000,34.311520,-117.499860,
1052.600000,785.218000,34.311430,-117.499960,
1054.000000,801.100000,34.311320,-117.500070,
1056.000000,819.195000,34.311180,-117.500170,
1057.300000,834.909000,34.311060,-117.500260,
1058.400000,848.743000,34.310950,-117.500330,
1060.800000,866.638000,34.310800,-117.500400,
1063.000000,880.765000,34.310680,-117.500450,
1064.200000,897.863000,34.310530,-117.500490,
1065.000000,913.556000,34.310390,-117.500510,
1066.300000,933.614000,34.310210,-117.500520,
1068.500000,958.259000,34.309990,-117.500550,
1070.000000,972.991000,34.309860,-117.500580,
1071.400000,986.071000,34.309750,-117.500630,
1073.300000,999.151000,34.309640,-117.500680,
1076.100000,1016.384000,34.309500,-117.500760,
1079.900000,1061.874000,34.309130,-117.500970,
1082.000000,1123.200000,34.308630,-117.501250,
1087.400000,1178.706000,34.308180,-117.501510,
1090.200000,1225.006000,34.307810,-117.501740,
1090.900000,1240.720000,34.307690,-117.501830,
1091.700000,1254.063000,34.307590,-117.501910,
1092.100000,1261.282000,34.307540,-117.501960,
1092.700000,1269.945000,34.307480,-117.502020,
1093.600000,1282.746000,34.307400,-117.502120,
1094.900000,1295.514000,34.307330,-117.502230,
1097.200000,1309.784000,34.307260,-117.502360,
1100.300000,1328.579000,34.307180,-117.502540,
1103.900000,1380.402000,34.306950,-117.503030,
1104.200000,1412.086000,34.306810,-117.503330,
1103.800000,1442.182000,34.306670,-117.503610,
1104.400000,1457.088000,34.306590,-117.503740,
1105.800000,1467.723000,34.306530,-117.503830,
1109.100000,1483.320000,34.306440,-117.503960,
1111.700000,1497.759000,34.306340,-117.504060,
1113.100000,1514.515000,34.306220,-117.504170,
