alt,dst,lat,lon,mdata
1009.100000,0.000000,34.315740,-117.495630,E:\Dropbox\website\dev2\climbing\climbs\Lone-Pine-Table-Mountain.tcx
1009.400000,4.547000,34.315700,-117.495640,
1009.700000,8.999000,34.315660,-117.495640,
1010.000000,13.452000,34.315620,-117.495640,
1010.200000,16.792000,34.315590,-117.495640,
1010.300000,21.609000,34.315550,-117.495620,
1010.600000,28.836000,34.315490,-117.495590,
1010.900000,38.383000,34.315420,-117.495530,
1011.300000,55.709000,34.315300,-117.495410,
1011.600000,68.138000,34.315210,-117.495330,
1011.900000,79.126000,34.315130,-117.495260,
1012.200000,93.954000,34.315010,-117.495190,
1012.100000,101.578000,34.314950,-117.495150,
1011.900000,128.439000,34.314730,-117.495030,
1011.100000,152.527000,34.314530,-117.494930,
1010.800000,165.957000,34.314420,-117.494870,
1010.700000,178.509000,34.314310,-117.494840,
1010.700000,186.355000,34.314240,-117.494830,
1010.900000,193.035000,34.314180,-117.494830,
1011.400000,201.987000,34.314100,-117.494840,
1012.000000,209.780000,34.314030,-117.494840,
1012.700000,221.248000,34.313930,-117.494870,
1013.500000,233.292000,34.313830,-117.494920,
1014.700000,249.006000,34.313710,-117.495010,
1015.900000,262.604000,34.313620,-117.495110,
1017.200000,278.938000,34.313520,-117.495240,
1018.200000,288.911000,34.313470,-117.495330,
1019.000000,296.162000,34.313440,-117.495400,
1019.900000,305.085000,34.313410,-117.495490,
1020.900000,317.841000,34.313370,-117.495620,
1021.700000,333.629000,34.313350,-117.495790,
1022.700000,350.217000,34.313340,-117.495970,
1023.700000,364.970000,34.313330,-117.496130,
1024.300000,372.410000,34.313320,-117.496210,
1025.400000,385.330000,34.313310,-117.496350,
1026.100000,397.489000,34.313290,-117.496480,
1026.500000,414.627000,34.313250,-117.496660,
1026.700000,429.120000,34.313210,-117.496810,
1026.800000,441.018000,34.313170,-117.496930,
1026.800000,448.269000,34.313140,-117.497000,
1026.800000,454.718000,34.313110,-117.497060,
1026.600000,466.083000,34.313050,-117.497160,
1026.600000,477.449000,34.312980,-117.497250,
1026.600000,483.224000,34.312940,-117.497290,
1026.700000,493.160000,34.312880,-117.497370,
1030.000000,520.016000,34.312690,-117.497550,
1033.600000,545.429000,34.312510,-117.497720,
1036.700000,570.378000,34.312350,-117.497910,
1037.500000,587.396000,34.312250,-117.498050,
1038.200000,598.761000,34.312190,-117.498150,
1039.000000,609.509000,34.312140,-117.498250,
1040.200000,625.666000,34.312080,-117.498410,
1042.500000,643.131000,34.312010,-117.498580,
1047.700000,669.506000,34.311930,-117.498850,
1049.900000,693.443000,34.311870,-117.499100,
1049.900000,710.582000,34.311830,-117.499280,
1050.100000,721.633000,34.311790,-117.499390,
1050.200000,737.790000,34.311730,-117.499550,
1050.500000,749.155000,34.311670,-117.499650,
1051.000000,761.923000,34.311600,-117.499760,
1051.600000,774.723000,34.311520,-117.499860,
1052.600000,788.322000,34.311430,-117.499960,
1054.000000,804.204000,34.311320,-117.500070,
1056.000000,822.299000,34.311180,-117.500170,
1057.300000,838.012000,34.311060,-117.500260,
1058.400000,851.846000,34.310950,-117.500330,
1060.800000,869.741000,34.310800,-117.500400,
1063.000000,883.869000,34.310680,-117.500450,
1064.200000,900.967000,34.310530,-117.500490,
1065.000000,916.660000,34.310390,-117.500510,
1066.300000,936.718000,34.310210,-117.500520,
1068.500000,961.363000,34.309990,-117.500550,
1070.000000,976.095000,34.309860,-117.500580,
1071.400000,989.175000,34.309750,-117.500630,
1073.300000,1002.254000,34.309640,-117.500680,
1076.100000,1019.488000,34.309500,-117.500760,
1079.900000,1064.978000,34.309130,-117.500970,
1082.000000,1126.303000,34.308630,-117.501250,
1087.400000,1181.809000,34.308180,-117.501510,
1090.200000,1228.110000,34.307810,-117.501740,
1090.900000,1243.824000,34.307690,-117.501830,
1091.700000,1257.166000,34.307590,-117.501910,
1092.100000,1264.386000,34.307540,-117.501960,
1092.700000,1273.049000,34.307480,-117.502020,
1093.600000,1285.850000,34.307400,-117.502120,
1094.900000,1298.618000,34.307330,-117.502230,
1097.200000,1312.887000,34.307260,-117.502360,
1100.300000,1331.682000,34.307180,-117.502540,
1103.900000,1383.505000,34.306950,-117.503030,
1104.200000,1415.189000,34.306810,-117.503330,
1103.800000,1445.285000,34.306670,-117.503610,
1104.400000,1460.192000,34.306590,-117.503740,
1105.800000,1470.827000,34.306530,-117.503830,
1109.100000,1486.424000,34.306440,-117.503960,
1111.700000,1500.862000,34.306340,-117.504060,
1113.100000,1517.618000,34.306220,-117.504170,
1113.800000,1531.903000,34.306110,-117.504250,
1114.200000,1543.340000,34.306020,-117.504310,
1115.100000,1562.980000,34.305860,-117.504400,
1115.500000,1579.651000,34.305730,-117.504490,
1115.600000,1587.759000,34.305670,-117.504540,
1115.600000,1594.979000,34.305620,-117.504590,
1115.400000,1601.379000,34.305580,-117.504640,
1115.100000,1608.469000,34.305540,-117.504700,
1114.300000,1619.218000,34.305490,-117.504800,
1113.500000,1630.763000,34.305440,-117.504910,
1113.100000,1640.546000,34.305410,-117.505010,
1113.300000,1648.897000,34.305400,-117.505100,
1116.100000,1658.358000,34.305380,-117.505200,
1118.600000,1665.714000,34.305380,-117.505280,
1121.600000,1674.910000,34.305380,-117.505380,
1122.300000,1680.538000,34.305390,-117.505440,
1122.800000,1685.269000,34.305400,-117.505490,
1123.100000,1689.999000,34.305410,-117.505540,
1123.400000,1695.949000,34.305430,-117.505600,
1123.400000,1708.308000,34.305480,-117.505720,
1123.200000,1719.056000,34.305530,-117.505820,
1123.400000,1730.108000,34.305570,-117.505930,
1123.500000,1738.187000,34.305600,-117.506010,
1123.700000,1744.998000,34.305620,-117.506080,
1124.300000,1755.355000,34.305640,-117.506190,
1124.800000,1764.617000,34.305650,-117.506290,
1125.800000,1771.974000,34.305650,-117.506370,
1132.400000,1791.284000,34.305650,-117.506580,
1134.000000,1869.477000,34.305630,-117.507430,
1133.700000,1901.680000,34.305620,-117.507780,
1132.600000,1917.352000,34.305610,-117.507950,
1131.700000,1932.232000,34.305590,-117.508110,
1130.900000,1942.884000,34.305560,-117.508220,
1129.900000,1954.413000,34.305530,-117.508340,
1129.500000,1964.196000,34.305500,-117.508440,
