alt,dst,lat,lon,mdata
134.300000,0.000000,38.464290,-122.626680,E:\Dropbox\website\dev2\climbing\climbs\Los-Alamos-Santa-Rosa.tcx
134.600000,6.231000,38.464330,-122.626630,
137.000000,37.492000,38.464440,-122.626300,
137.600000,52.955000,38.464500,-122.626140,
138.200000,72.192000,38.464600,-122.625960,
138.500000,84.916000,38.464690,-122.625870,
139.600000,101.990000,38.464830,-122.625790,
143.400000,145.012000,38.465210,-122.625700,
147.700000,184.593000,38.465560,-122.625620,
150.700000,219.338000,38.465860,-122.625510,
156.200000,280.048000,38.466380,-122.625300,
156.900000,289.433000,38.466450,-122.625240,
157.400000,299.051000,38.466500,-122.625150,
157.900000,310.031000,38.466530,-122.625030,
158.300000,325.759000,38.466540,-122.624850,
158.200000,349.397000,38.466560,-122.624580,
159.200000,364.412000,38.466610,-122.624420,
161.600000,386.374000,38.466730,-122.624220,
162.200000,398.835000,38.466810,-122.624120,
162.800000,415.571000,38.466950,-122.624050,
162.700000,435.778000,38.467130,-122.624020,
163.300000,448.776000,38.467240,-122.624070,
168.200000,509.607000,38.467770,-122.624240,
169.800000,529.026000,38.467940,-122.624290,
170.300000,537.974000,38.468020,-122.624280,
171.700000,552.065000,38.468130,-122.624200,
173.500000,568.748000,38.468240,-122.624070,
176.000000,601.841000,38.468400,-122.623750,
177.300000,630.797000,38.468540,-122.623470,
178.200000,659.345000,38.468730,-122.623250,
180.400000,679.442000,38.468860,-122.623090,
181.500000,695.694000,38.468920,-122.622920,
181.500000,720.725000,38.468970,-122.622640,
180.700000,751.182000,38.469060,-122.622310,
179.200000,785.336000,38.469090,-122.621920,
179.400000,803.941000,38.469120,-122.621710,
180.300000,815.308000,38.469160,-122.621590,
180.900000,823.039000,38.469190,-122.621510,
181.400000,832.059000,38.469230,-122.621420,
181.800000,841.677000,38.469280,-122.621330,
184.800000,866.599000,38.469440,-122.621130,
191.500000,898.546000,38.469690,-122.620950,
191.600000,915.993000,38.469830,-122.620860,
191.300000,930.679000,38.469950,-122.620790,
189.700000,957.308000,38.470170,-122.620670,
188.500000,974.566000,38.470320,-122.620620,
187.500000,989.063000,38.470450,-122.620630,
187.600000,1002.061000,38.470560,-122.620680,
189.300000,1014.267000,38.470650,-122.620760,
190.300000,1027.878000,38.470770,-122.620790,
191.400000,1044.667000,38.470920,-122.620810,
192.600000,1057.036000,38.471030,-122.620790,
194.200000,1069.760000,38.471120,-122.620700,
195.200000,1081.306000,38.471140,-122.620570,
196.500000,1094.427000,38.471150,-122.620420,
196.100000,1103.422000,38.471130,-122.620320,
195.800000,1116.411000,38.471090,-122.620180,
196.600000,1126.981000,38.471050,-122.620070,
200.000000,1149.302000,38.470980,-122.619830,
203.200000,1161.705000,38.470960,-122.619690,
204.200000,1174.108000,38.470940,-122.619550,
204.000000,1188.230000,38.470960,-122.619390,
203.600000,1199.315000,38.471010,-122.619280,
202.300000,1212.594000,38.471100,-122.619180,
201.700000,1223.202000,38.471190,-122.619140,
202.400000,1235.447000,38.471300,-122.619140,
203.700000,1253.280000,38.471460,-122.619130,
205.100000,1268.961000,38.471600,-122.619110,
205.500000,1277.498000,38.471670,-122.619070,
206.900000,1289.852000,38.471740,-122.618960,
214.900000,1319.375000,38.471910,-122.618700,
215.700000,1358.501000,38.472120,-122.618340,
215.800000,1378.598000,38.472250,-122.618180,
215.700000,1393.872000,38.472350,-122.618060,
215.700000,1420.734000,38.472540,-122.617870,
216.700000,1446.343000,38.472750,-122.617750,
219.400000,1500.072000,38.473180,-122.617470,
225.300000,1587.010000,38.473960,-122.617420,
225.700000,1648.291000,38.474510,-122.617450,
230.000000,1692.852000,38.474910,-122.617430,
232.900000,1701.389000,38.474980,-122.617390,
235.200000,1707.619000,38.475020,-122.617340,
235.600000,1714.679000,38.475030,-122.617260,
