alt,dst,lat,lon,mdata
1736.900000,0.000000,38.774230,-119.826970,E:\Dropbox\website\dev2\climbing\climbs\Luther-Pass-Lake-Tahoe-Ca.tcx
1736.200000,11.166000,38.774130,-119.826980,
1739.400000,64.193000,38.774040,-119.827580,
1740.100000,81.017000,38.774010,-119.827770,
1740.800000,97.841000,38.773980,-119.827960,
1741.400000,113.621000,38.773960,-119.828140,
1741.700000,132.677000,38.773910,-119.828350,
1741.900000,142.479000,38.773890,-119.828460,
1741.900000,149.771000,38.773870,-119.828540,
1742.000000,156.241000,38.773850,-119.828610,
1742.100000,164.736000,38.773820,-119.828700,
1742.200000,170.399000,38.773800,-119.828760,
1742.200000,173.230000,38.773790,-119.828790,
1742.400000,179.701000,38.773770,-119.828860,
1742.500000,187.949000,38.773730,-119.828940,
1742.600000,195.653000,38.773700,-119.829020,
1742.900000,204.644000,38.773660,-119.829110,
1743.000000,218.509000,38.773600,-119.829250,
1743.100000,224.695000,38.773570,-119.829310,
1743.200000,232.227000,38.773530,-119.829380,
1743.500000,241.818000,38.773480,-119.829470,
1743.600000,245.244000,38.773460,-119.829500,
1743.700000,249.368000,38.773440,-119.829540,
1744.000000,259.645000,38.773380,-119.829630,
1744.300000,268.674000,38.773320,-119.829700,
1746.500000,285.924000,38.773210,-119.829840,
1749.500000,337.068000,38.772880,-119.830250,
1750.400000,359.350000,38.772730,-119.830420,
1753.600000,416.110000,38.772360,-119.830870,
1753.900000,442.384000,38.772190,-119.831080,
1754.400000,468.063000,38.772020,-119.831280,
1754.800000,496.346000,38.771840,-119.831510,
1754.900000,505.980000,38.771780,-119.831590,
1755.000000,514.879000,38.771730,-119.831670,
1754.900000,526.543000,38.771660,-119.831770,
1754.900000,536.134000,38.771610,-119.831860,
1755.000000,543.667000,38.771570,-119.831930,
1755.200000,550.518000,38.771530,-119.831990,
1755.200000,555.994000,38.771500,-119.832040,
1755.400000,562.180000,38.771470,-119.832100,
1755.600000,567.656000,38.771440,-119.832150,
1756.000000,575.904000,38.771400,-119.832230,
1756.600000,586.215000,38.771350,-119.832330,
1758.500000,608.316000,38.771250,-119.832550,
1759.700000,633.796000,38.771130,-119.832800,
1762.700000,705.536000,38.770800,-119.833510,
1764.600000,756.884000,38.770580,-119.834030,
1765.200000,769.465000,38.770530,-119.834160,
1765.700000,779.220000,38.770490,-119.834260,
1766.100000,789.754000,38.770450,-119.834370,
1766.500000,798.249000,38.770420,-119.834460,
1766.900000,810.379000,38.770380,-119.834590,
1767.700000,823.320000,38.770340,-119.834730,
1769.100000,835.087000,38.770310,-119.834860,
1769.700000,840.750000,38.770290,-119.834920,
1770.400000,850.553000,38.770270,-119.835030,
1771.200000,865.681000,38.770240,-119.835200,
1772.200000,885.287000,38.770200,-119.835420,
1774.100000,942.789000,38.770100,-119.836070,
1779.300000,1117.643000,38.769810,-119.838050,
1781.200000,1137.027000,38.769780,-119.838270,
1782.500000,1154.703000,38.769750,-119.838470,
1782.900000,1170.679000,38.769720,-119.838650,
1784.800000,1220.304000,38.769630,-119.839210,
1785.600000,1239.688000,38.769600,-119.839430,
1786.200000,1267.410000,38.769540,-119.839740,
1787.100000,1292.117000,38.769500,-119.840020,
1787.900000,1315.359000,38.769450,-119.840280,
1788.500000,1327.712000,38.769430,-119.840420,
1788.800000,1336.673000,38.769410,-119.840520,
