alt,dst,lat,lon,mdata
98.200000,0.000000,37.890290,-122.272160,E:\Dropbox\website\dev2\climbing\climbs\Marin-Ave.tcx
108.000000,55.874736,37.890610,-122.271670,
119.300000,115.199194,37.890950,-122.271150,
132.600000,227.626138,37.891590,-122.270160,
149.000000,329.690001,37.892160,-122.269250,
153.900000,372.447171,37.892400,-122.268870,
160.600000,416.586863,37.892650,-122.268480,
175.300000,506.250243,37.893160,-122.267690,
201.900000,677.292576,37.894130,-122.266180,
205.900000,702.119720,37.894270,-122.265960,
213.600000,742.130556,37.894500,-122.265610,
229.100000,844.191944,37.895070,-122.264700,
239.900000,891.102202,37.895340,-122.264290,
260.300000,984.922415,37.895880,-122.263470,
270.600000,1031.832369,37.896150,-122.263060,
277.700000,1075.292405,37.896400,-122.262680,
295.200000,1174.594091,37.896950,-122.261790,
