alt,dst,lat,lon,mdata
63.500000,0.000000,38.165170,-122.809900,E:\Dropbox\website\dev2\climbing\climbs\Marshall-Wall-East-Marin.tcx
63.600000,4.784000,38.165130,-122.809920,
64.300000,44.717000,38.164780,-122.810020,
64.500000,83.174000,38.164450,-122.810150,
63.800000,126.562000,38.164090,-122.810340,
64.600000,177.818000,38.163670,-122.810580,
63.400000,213.073000,38.163410,-122.810810,
62.100000,235.118000,38.163280,-122.811000,
60.900000,249.074000,38.163220,-122.811140,
59.600000,269.117000,38.163170,-122.811360,
63.400000,288.322000,38.163120,-122.811570,
68.300000,307.483000,38.163050,-122.811770,
69.000000,322.631000,38.162970,-122.811910,
69.200000,338.207000,38.162860,-122.812020,
68.500000,361.822000,38.162670,-122.812140,
67.000000,383.842000,38.162480,-122.812210,
66.900000,414.517000,38.162210,-122.812280,
67.000000,451.512000,38.161880,-122.812330,
67.400000,492.727000,38.161520,-122.812440,
67.200000,528.799000,38.161210,-122.812560,
68.500000,558.247000,38.160960,-122.812670,
67.600000,606.530000,38.160550,-122.812850,
67.000000,668.367000,38.160040,-122.813130,
70.400000,705.090000,38.159750,-122.813330,
70.400000,770.997000,38.159230,-122.813690,
68.900000,819.169000,38.158830,-122.813900,
68.700000,898.574000,38.158140,-122.814130,
78.400000,955.080000,38.157660,-122.814340,
79.900000,972.342000,38.157510,-122.814390,
79.900000,992.683000,38.157330,-122.814430,
79.400000,1021.955000,38.157070,-122.814480,
78.500000,1037.539000,38.156930,-122.814480,
81.000000,1170.568000,38.155810,-122.815010,
81.800000,1213.629000,38.155450,-122.815190,
80.600000,1243.022000,38.155210,-122.815330,
80.700000,1303.764000,38.154730,-122.815660,
78.100000,1379.378000,38.154120,-122.816040,
78.400000,1454.790000,38.153520,-122.816440,
78.100000,1464.360000,38.153440,-122.816480,
78.100000,1474.717000,38.153350,-122.816510,
78.300000,1484.887000,38.153260,-122.816530,
77.900000,1497.132000,38.153150,-122.816530,
78.100000,1521.872000,38.152930,-122.816570,
78.200000,1542.586000,38.152750,-122.816630,
79.200000,1558.094000,38.152630,-122.816720,
81.700000,1578.807000,38.152480,-122.816860,
84.100000,1598.079000,38.152370,-122.817030,
84.500000,1616.663000,38.152270,-122.817200,
84.600000,1645.709000,38.152130,-122.817480,
82.600000,1687.016000,38.151910,-122.817860,
83.000000,1725.601000,38.151710,-122.818220,
84.500000,1920.361000,38.150650,-122.819990,
