alt,dst,lat,lon,mdata
7.600000,0.000000,38.162670,-122.893120,E:\Dropbox\website\dev2\climbing\climbs\Marshall-Wall-West-Marin.tcx
7.500000,8.937000,38.162740,-122.893070,
7.600000,16.017000,38.162790,-122.893020,
7.500000,24.003000,38.162850,-122.892970,
7.400000,32.499000,38.162910,-122.892910,
7.100000,43.828000,38.162990,-122.892830,
7.200000,73.843000,38.163190,-122.892600,
7.700000,79.012000,38.163150,-122.892570,
8.200000,82.686000,38.163140,-122.892530,
8.500000,85.538000,38.163150,-122.892500,
9.200000,94.094000,38.163180,-122.892410,
9.800000,103.039000,38.163230,-122.892330,
13.200000,140.907000,38.163450,-122.892000,
14.500000,169.121000,38.163610,-122.891750,
14.600000,185.635000,38.163700,-122.891600,
15.100000,195.826000,38.163730,-122.891490,
15.600000,204.649000,38.163740,-122.891390,
16.200000,212.526000,38.163740,-122.891300,
16.800000,219.616000,38.163730,-122.891220,
17.200000,224.984000,38.163720,-122.891160,
17.900000,233.540000,38.163690,-122.891070,
20.200000,259.318000,38.163520,-122.890870,
21.800000,273.767000,38.163440,-122.890740,
23.100000,282.065000,38.163400,-122.890660,
24.300000,290.363000,38.163360,-122.890580,
26.400000,308.284000,38.163300,-122.890390,
27.200000,324.656000,38.163260,-122.890210,
27.700000,339.350000,38.163220,-122.890050,
27.800000,352.667000,38.163200,-122.889900,
28.700000,388.116000,38.163150,-122.889500,
35.600000,423.129000,38.163080,-122.889110,
31.000000,467.730000,38.162970,-122.888620,
40.300000,571.100000,38.162700,-122.887490,
40.900000,612.029000,38.162600,-122.887040,
41.000000,625.346000,38.162580,-122.886890,
40.500000,647.480000,38.162550,-122.886640,
40.200000,661.344000,38.162510,-122.886490,
40.900000,674.422000,38.162440,-122.886370,
40.400000,707.502000,38.162270,-122.886060,
39.400000,736.432000,38.162100,-122.885810,
40.500000,764.658000,38.161950,-122.885550,
40.600000,779.806000,38.161870,-122.885410,
41.000000,789.451000,38.161820,-122.885320,
40.900000,807.820000,38.161770,-122.885120,
42.300000,838.046000,38.161690,-122.884790,
43.500000,859.081000,38.161680,-122.884550,
50.400000,884.213000,38.161730,-122.884270,
52.400000,902.627000,38.161720,-122.884060,
52.600000,928.885000,38.161720,-122.883760,
52.600000,938.513000,38.161720,-122.883650,
52.800000,949.946000,38.161730,-122.883520,
52.900000,959.828000,38.161750,-122.883410,
52.800000,962.680000,38.161760,-122.883380,
53.600000,1006.441000,38.161870,-122.882900,
53.400000,1037.841000,38.161960,-122.882560,
53.500000,1049.274000,38.161970,-122.882430,
53.900000,1065.029000,38.161970,-122.882250,
54.400000,1093.037000,38.161970,-122.881930,
55.700000,1132.440000,38.161960,-122.881480,
58.600000,1150.854000,38.161970,-122.881270,
64.600000,1185.636000,38.162030,-122.880880,
65.200000,1198.091000,38.162050,-122.880740,
66.200000,1217.295000,38.162100,-122.880530,
71.700000,1248.250000,38.162200,-122.880200,
77.900000,1278.389000,38.162300,-122.879880,
77.800000,1306.332000,38.162360,-122.879570,
77.700000,1320.381000,38.162370,-122.879410,
78.100000,1344.039000,38.162360,-122.879140,
81.400000,1389.788000,38.162270,-122.878630,
89.200000,1426.817000,38.162230,-122.878210,
90.800000,1444.358000,38.162220,-122.878010,
91.400000,1452.235000,38.162220,-122.877920,
93.200000,1468.029000,38.162210,-122.877740,
94.000000,1489.616000,38.162280,-122.877510,
93.000000,1514.166000,38.162380,-122.877260,
91.500000,1535.381000,38.162460,-122.877040,
90.600000,1549.245000,38.162500,-122.876890,
89.800000,1558.613000,38.162530,-122.876790,
89.900000,1567.365000,38.162530,-122.876690,
89.900000,1580.541000,38.162540,-122.876540,
100.500000,1729.335000,38.162290,-122.874870,
101.700000,1764.977000,38.162230,-122.874470,
101.900000,1775.539000,38.162220,-122.874350,
102.300000,1794.795000,38.162220,-122.874130,
101.700000,1808.342000,38.162250,-122.873980,
101.400000,1826.162000,38.162280,-122.873780,
102.600000,1843.983000,38.162310,-122.873580,
104.500000,1856.237000,38.162310,-122.873440,
106.600000,1865.605000,38.162280,-122.873340,
108.400000,1874.161000,38.162250,-122.873250,
111.400000,1897.434000,38.162160,-122.873010,
112.400000,1914.101000,38.162150,-122.872820,
112.800000,1923.729000,38.162150,-122.872710,
112.800000,1931.915000,38.162170,-122.872620,
113.200000,1971.852000,38.162290,-122.872190,
113.700000,1977.979000,38.162290,-122.872120,
114.000000,1990.283000,38.162300,-122.871980,
116.000000,2004.543000,38.162250,-122.871830,
118.700000,2036.595000,38.162110,-122.871510,
124.300000,2085.519000,38.161820,-122.871090,
139.300000,2220.403000,38.161090,-122.869860,
142.300000,2235.564000,38.161000,-122.869730,
149.800000,2320.529000,38.160400,-122.869130,
152.400000,2332.247000,38.160340,-122.869020,
154.300000,2343.269000,38.160310,-122.868900,
157.200000,2374.623000,38.160250,-122.868550,
156.900000,2394.180000,38.160190,-122.868340,
154.600000,2424.932000,38.160060,-122.868030,
151.100000,2439.381000,38.159980,-122.867900,
149.000000,2455.300000,38.159880,-122.867770,
145.500000,2497.795000,38.159600,-122.867440,
144.100000,2517.086000,38.159500,-122.867260,
144.000000,2547.408000,38.159320,-122.867000,
143.600000,2562.126000,38.159220,-122.866890,
142.400000,2734.981000,38.157920,-122.865810,
143.400000,2896.582000,38.156680,-122.864850,
144.200000,2942.151000,38.156330,-122.864580,
143.700000,2980.235000,38.156050,-122.864330,
143.600000,2993.387000,38.155950,-122.864250,
143.500000,3002.332000,38.155900,-122.864170,
143.400000,3010.518000,38.155880,-122.864080,
143.200000,3019.550000,38.155860,-122.863980,
143.000000,3028.374000,38.155850,-122.863880,
142.400000,3045.916000,38.155840,-122.863680,
136.700000,3134.325000,38.155840,-122.862670,
135.800000,3158.936000,38.155820,-122.862390,
136.200000,3178.098000,38.155750,-122.862190,
136.300000,3187.148000,38.155710,-122.862100,
136.600000,3196.212000,38.155650,-122.862030,
137.200000,3210.318000,38.155540,-122.861950,
138.000000,3253.707000,38.155180,-122.861760,
137.800000,3396.094000,38.153920,-122.861480,
141.500000,3442.772000,38.153520,-122.861320,
143.200000,3465.003000,38.153340,-122.861210,
145.400000,3485.681000,38.153180,-122.861090,
146.500000,3503.005000,38.153070,-122.860950,
148.400000,3532.469000,38.152950,-122.860650,
153.000000,3587.581000,38.152800,-122.860050,
158.500000,3630.777000,38.152710,-122.859570,
159.800000,3644.642000,38.152670,-122.859420,
160.500000,3657.681000,38.152630,-122.859280,
161.200000,3671.943000,38.152580,-122.859130,
161.800000,3688.541000,38.152500,-122.858970,
169.300000,3858.917000,38.151640,-122.857360,
179.900000,3970.704000,38.151080,-122.856300,
187.200000,4041.245000,38.150740,-122.855620,
194.400000,4142.775000,38.150240,-122.854650,
195.800000,4162.334000,38.150180,-122.854440,
209.500000,4300.922000,38.150020,-122.852870,
210.500000,4313.378000,38.150040,-122.852730,
211.000000,4319.602000,38.150070,-122.852670,
216.200000,4369.152000,38.150340,-122.852220,
225.200000,4477.938000,38.150970,-122.851270,
226.200000,4487.760000,38.151010,-122.851170,
227.300000,4498.323000,38.151020,-122.851050,
228.900000,4519.362000,38.151010,-122.850810,
232.200000,4602.711000,38.150960,-122.849860,
230.000000,4678.903000,38.150940,-122.848990,
228.200000,4763.411000,38.151170,-122.848070,
229.400000,4811.176000,38.151300,-122.847550,
230.700000,4841.680000,38.151360,-122.847210,
