alt,dst,lat,lon,mdata
116.800000,0.000000,40.335120,-124.026210,E:\Dropbox\website\dev2\climbing\climbs\Mattole-Rd-E.-(Panther-Gap)-Weott.tcx
116.800000,3.746000,40.335090,-124.026190,
117.400000,26.789000,40.334890,-124.026120,
118.000000,42.580000,40.334750,-124.026090,
118.600000,57.051000,40.334620,-124.026090,
119.300000,71.547000,40.334490,-124.026100,
120.400000,86.628000,40.334360,-124.026150,
122.300000,106.007000,40.334200,-124.026240,
127.100000,125.565000,40.334050,-124.026360,
128.800000,142.046000,40.333940,-124.026490,
129.000000,156.332000,40.333850,-124.026610,
126.400000,197.994000,40.333580,-124.026950,
124.900000,229.846000,40.333360,-124.027190,
122.700000,265.893000,40.333110,-124.027460,
123.100000,281.291000,40.333000,-124.027570,
123.500000,346.476000,40.332520,-124.028010,
124.600000,391.622000,40.332180,-124.028300,
126.000000,416.755000,40.331990,-124.028460,
128.000000,435.802000,40.331870,-124.028620,
129.700000,449.309000,40.331800,-124.028750,
132.300000,461.996000,40.331760,-124.028890,
136.400000,482.292000,40.331710,-124.029120,
140.200000,500.994000,40.331700,-124.029340,
147.200000,537.501000,40.331690,-124.029770,
147.600000,561.287000,40.331680,-124.030050,
147.000000,575.576000,40.331640,-124.030210,
146.800000,587.473000,40.331600,-124.030340,
146.400000,599.651000,40.331540,-124.030460,
144.500000,623.971000,40.331370,-124.030640,
144.600000,640.251000,40.331270,-124.030780,
145.300000,657.815000,40.331180,-124.030950,
147.700000,674.211000,40.331110,-124.031120,
149.200000,691.758000,40.331070,-124.031320,
150.700000,710.427000,40.331070,-124.031540,
152.200000,724.896000,40.331080,-124.031710,
154.500000,746.703000,40.331150,-124.031950,
156.700000,791.159000,40.331310,-124.032430,
158.500000,821.723000,40.331420,-124.032760,
160.800000,846.218000,40.331530,-124.033010,
164.700000,880.791000,40.331660,-124.033380,
167.600000,920.150000,40.331810,-124.033800,
171.000000,985.283000,40.332050,-124.034500,
172.800000,1012.292000,40.332150,-124.034790,
178.900000,1087.765000,40.332430,-124.035600,
180.200000,1118.690000,40.332530,-124.035940,
181.900000,1143.920000,40.332580,-124.036230,
183.200000,1154.164000,40.332570,-124.036350,
184.100000,1161.588000,40.332530,-124.036420,
184.800000,1169.426000,40.332460,-124.036430,
185.000000,1177.926000,40.332390,-124.036390,
184.600000,1241.514000,40.332150,-124.035710,
185.000000,1266.584000,40.332030,-124.035460,
186.000000,1284.247000,40.331920,-124.035310,
189.000000,1321.951000,40.331640,-124.035060,
197.200000,1363.064000,40.331350,-124.034760,
198.900000,1408.526000,40.331070,-124.034370,
199.000000,1441.624000,40.330880,-124.034070,
199.600000,1447.223000,40.330840,-124.034030,
200.900000,1456.096000,40.330770,-124.033980,
204.800000,1469.694000,40.330650,-124.033950,
208.400000,1483.080000,40.330530,-124.033960,
209.400000,1488.710000,40.330480,-124.033970,
210.800000,1503.006000,40.330360,-124.034030,
211.700000,1518.649000,40.330230,-124.034100,
213.100000,1538.310000,40.330110,-124.034270,
214.800000,1561.931000,40.329980,-124.034490,
216.800000,1594.330000,40.329800,-124.034790,
218.200000,1615.342000,40.329700,-124.035000,
220.500000,1634.017000,40.329630,-124.035200,
225.000000,1653.211000,40.329590,-124.035420,
229.000000,1674.426000,40.329590,-124.035670,
231.400000,1697.339000,40.329590,-124.035940,
234.000000,1732.998000,40.329580,-124.036360,
242.100000,1797.120000,40.329510,-124.037110,
244.200000,1831.519000,40.329460,-124.037510,
247.700000,1872.643000,40.329370,-124.037980,
252.300000,1915.169000,40.329290,-124.038470,
255.300000,1971.043000,40.329210,-124.039120,
257.900000,2003.597000,40.329170,-124.039500,
264.300000,2047.465000,40.329070,-124.040000,
264.800000,2071.258000,40.328990,-124.040260,
264.500000,2087.655000,40.328920,-124.040430,
264.400000,2105.923000,40.328830,-124.040610,
264.800000,2126.357000,40.328700,-124.040780,
264.700000,2141.754000,40.328590,-124.040890,
264.100000,2160.884000,40.328440,-124.041000,
264.100000,2180.990000,40.328270,-124.041080,
264.900000,2199.514000,40.328110,-124.041140,
272.100000,2237.401000,40.327770,-124.041160,
274.500000,2262.125000,40.327550,-124.041200,
276.600000,2282.799000,40.327370,-124.041260,
278.100000,2303.473000,40.327190,-124.041320,
279.500000,2337.393000,40.326890,-124.041390,
