alt,dst,lat,lon,mdata
19.400000,0.000000,40.576300,-124.266210,E:\Dropbox\website\dev2\climbing\climbs\Mattole-Rd-North-1-Ferndale.tcx
19.600000,11.048000,40.576310,-124.266340,
20.100000,22.231000,40.576230,-124.266420,
21.300000,34.464000,40.576130,-124.266480,
24.900000,55.394000,40.575970,-124.266610,
27.200000,77.715000,40.575800,-124.266750,
28.200000,93.092000,40.575690,-124.266860,
28.900000,100.499000,40.575650,-124.266930,
30.500000,109.315000,40.575610,-124.267020,
37.600000,127.383000,40.575580,-124.267230,
43.300000,148.985000,40.575540,-124.267480,
47.300000,171.513000,40.575470,-124.267730,
49.500000,182.593000,40.575430,-124.267850,
51.400000,192.716000,40.575380,-124.267950,
52.600000,200.621000,40.575320,-124.268000,
53.300000,208.595000,40.575250,-124.268020,
53.300000,216.387000,40.575180,-124.268020,
52.100000,228.021000,40.575080,-124.267980,
51.500000,246.618000,40.574940,-124.267860,
52.400000,260.597000,40.574840,-124.267760,
53.000000,269.091000,40.574770,-124.267720,
53.600000,278.037000,40.574690,-124.267710,
54.200000,286.982000,40.574610,-124.267720,
54.900000,296.242000,40.574530,-124.267750,
55.400000,305.107000,40.574460,-124.267800,
56.700000,323.990000,40.574350,-124.267970,
56.900000,333.496000,40.574290,-124.268050,
56.600000,344.189000,40.574210,-124.268120,
55.900000,355.063000,40.574120,-124.268170,
55.500000,369.925000,40.573990,-124.268210,
56.600000,379.451000,40.573910,-124.268250,
59.800000,390.634000,40.573830,-124.268330,
65.000000,402.934000,40.573800,-124.268470,
69.800000,417.177000,40.573760,-124.268630,
70.900000,434.575000,40.573700,-124.268820,
69.500000,461.983000,40.573590,-124.269110,
69.200000,474.131000,40.573530,-124.269230,
69.500000,500.037000,40.573420,-124.269500,
70.500000,524.332000,40.573300,-124.269740,
76.900000,560.332000,40.573140,-124.270110,
81.400000,581.334000,40.573010,-124.270290,
81.800000,590.632000,40.572940,-124.270350,
82.000000,598.537000,40.572880,-124.270400,
81.800000,605.427000,40.572820,-124.270420,
81.400000,613.219000,40.572750,-124.270420,
81.200000,621.012000,40.572680,-124.270420,
80.800000,628.156000,40.572620,-124.270390,
81.300000,651.011000,40.572440,-124.270260,
86.000000,669.361000,40.572290,-124.270170,
90.600000,698.316000,40.572030,-124.270160,
92.800000,738.427000,40.571670,-124.270140,
98.300000,776.875000,40.571330,-124.270060,
101.100000,803.805000,40.571090,-124.270020,
101.800000,817.190000,40.570970,-124.270030,
103.100000,830.787000,40.570850,-124.270060,
105.500000,876.792000,40.570460,-124.270240,
107.000000,899.270000,40.570270,-124.270330,
110.600000,914.346000,40.570140,-124.270380,
113.300000,931.129000,40.569990,-124.270400,
113.000000,947.849000,40.569840,-124.270390,
112.900000,963.456000,40.569700,-124.270400,
112.500000,975.818000,40.569590,-124.270380,
112.800000,1000.322000,40.569370,-124.270390,
113.400000,1013.787000,40.569250,-124.270410,
114.900000,1027.388000,40.569140,-124.270480,
117.500000,1040.498000,40.569050,-124.270580,
119.800000,1053.753000,40.568940,-124.270640,
122.400000,1066.456000,40.568830,-124.270680,
124.900000,1081.533000,40.568700,-124.270730,
125.600000,1097.209000,40.568560,-124.270750,
126.700000,1112.885000,40.568420,-124.270770,
127.600000,1127.381000,40.568290,-124.270780,
128.200000,1141.853000,40.568160,-124.270780,
128.900000,1156.423000,40.568030,-124.270760,
130.300000,1172.370000,40.567890,-124.270720,
133.500000,1192.467000,40.567720,-124.270640,
137.500000,1217.477000,40.567500,-124.270580,
139.000000,1240.746000,40.567300,-124.270500,
140.600000,1252.163000,40.567200,-124.270470,
144.400000,1270.469000,40.567040,-124.270420,
147.700000,1286.077000,40.566900,-124.270410,
149.800000,1299.435000,40.566780,-124.270410,
150.900000,1314.770000,40.566650,-124.270470,
151.400000,1330.148000,40.566540,-124.270580,
152.200000,1345.211000,40.566440,-124.270700,
152.500000,1357.792000,40.566350,-124.270790,
151.800000,1368.367000,40.566260,-124.270830,
152.700000,1380.641000,40.566150,-124.270840,
157.100000,1392.915000,40.566040,-124.270830,
161.300000,1406.300000,40.565920,-124.270840,
162.400000,1413.445000,40.565860,-124.270870,
163.900000,1420.977000,40.565810,-124.270930,
164.800000,1435.150000,40.565740,-124.271070,
166.200000,1449.323000,40.565670,-124.271210,
168.800000,1458.752000,40.565620,-124.271300,
169.800000,1469.936000,40.565540,-124.271380,
169.600000,1483.190000,40.565430,-124.271440,
169.900000,1498.267000,40.565300,-124.271490,
172.300000,1506.105000,40.565230,-124.271500,
175.900000,1517.237000,40.565130,-124.271500,
177.300000,1527.397000,40.565040,-124.271520,
177.800000,1536.263000,40.564970,-124.271570,
177.800000,1546.121000,40.564890,-124.271620,
178.300000,1558.210000,40.564800,-124.271700,
178.400000,1568.904000,40.564720,-124.271770,
178.000000,1582.915000,40.564600,-124.271820,
178.100000,1592.773000,40.564520,-124.271870,
178.300000,1602.072000,40.564450,-124.271930,
179.100000,1608.823000,40.564410,-124.271990,
181.000000,1618.252000,40.564360,-124.272080,
185.200000,1628.565000,40.564320,-124.272190,
190.300000,1642.809000,40.564280,-124.272350,
191.900000,1657.145000,40.564220,-124.272500,
192.500000,1672.209000,40.564120,-124.272620,
