alt,dst,lat,lon,mdata
13.200000,0.000000,40.430030,-124.400130,E:\Dropbox\website\dev2\climbing\climbs\Mattole-Rd-South-1-(The-Wall).tcx
12.700000,46.025000,40.430440,-124.400200,
7.400000,142.599000,40.431300,-124.400350,
9.400000,165.007000,40.431500,-124.400380,
12.700000,192.374000,40.431740,-124.400450,
12.600000,211.432000,40.431900,-124.400530,
12.700000,233.187000,40.432080,-124.400630,
15.700000,252.271000,40.432220,-124.400760,
22.300000,276.000000,40.432400,-124.400910,
23.900000,290.274000,40.432490,-124.401030,
25.900000,311.259000,40.432640,-124.401180,
28.100000,336.849000,40.432830,-124.401350,
36.400000,365.433000,40.433060,-124.401500,
48.800000,451.454000,40.433760,-124.401930,
57.000000,492.271000,40.434090,-124.402140,
60.300000,531.903000,40.434400,-124.402370,
64.500000,563.239000,40.434650,-124.402540,
69.000000,579.219000,40.434780,-124.402620,
72.400000,598.594000,40.434940,-124.402710,
75.000000,613.287000,40.435070,-124.402740,
77.500000,626.645000,40.435190,-124.402740,
78.100000,635.591000,40.435270,-124.402730,
80.700000,645.927000,40.435360,-124.402700,
84.000000,656.182000,40.435440,-124.402640,
86.100000,665.698000,40.435500,-124.402560,
87.400000,674.528000,40.435540,-124.402470,
88.300000,682.472000,40.435560,-124.402380,
89.000000,695.230000,40.435570,-124.402230,
89.100000,702.365000,40.435550,-124.402150,
90.000000,714.245000,40.435510,-124.402020,
90.400000,726.410000,40.435450,-124.401900,
91.100000,744.658000,40.435360,-124.401720,
94.700000,758.851000,40.435290,-124.401580,
97.500000,771.192000,40.435240,-124.401450,
98.800000,782.292000,40.435200,-124.401330,
100.900000,798.527000,40.435150,-124.401150,
101.500000,840.151000,40.435000,-124.400700,
110.000000,863.171000,40.434940,-124.400440,
112.300000,887.339000,40.434870,-124.400170,
112.700000,910.883000,40.434820,-124.399900,
118.600000,934.427000,40.434770,-124.399630,
126.000000,976.889000,40.434690,-124.399140,
131.600000,1016.636000,40.434620,-124.398680,
135.300000,1052.792000,40.434530,-124.398270,
139.700000,1089.648000,40.434480,-124.397840,
142.800000,1111.706000,40.434470,-124.397580,
144.800000,1146.730000,40.434430,-124.397170,
146.000000,1163.676000,40.434430,-124.396970,
148.600000,1186.661000,40.434450,-124.396700,
153.500000,1222.525000,40.434490,-124.396280,
157.900000,1253.532000,40.434540,-124.395920,
158.300000,1266.673000,40.434570,-124.395770,
159.800000,1280.189000,40.434650,-124.395650,
162.700000,1295.078000,40.434740,-124.395520,
165.400000,1312.727000,40.434850,-124.395370,
166.500000,1325.019000,40.434930,-124.395270,
166.600000,1334.591000,40.434970,-124.395170,
167.000000,1343.698000,40.435000,-124.395070,
167.500000,1350.833000,40.435020,-124.394990,
168.400000,1361.000000,40.435020,-124.394870,
171.800000,1397.434000,40.435020,-124.394440,
172.900000,1415.227000,40.435020,-124.394230,
175.200000,1428.966000,40.435040,-124.394070,
177.400000,1443.235000,40.435080,-124.393910,
178.400000,1457.504000,40.435120,-124.393750,
178.600000,1472.946000,40.435170,-124.393580,
179.200000,1491.194000,40.435260,-124.393400,
180.800000,1533.687000,40.435500,-124.393010,
185.000000,1567.401000,40.435680,-124.392690,
186.800000,1581.014000,40.435740,-124.392550,
189.400000,1593.355000,40.435790,-124.392420,
190.900000,1605.678000,40.435820,-124.392280,
191.500000,1615.907000,40.435830,-124.392160,
191.500000,1627.769000,40.435830,-124.392020,
191.800000,1641.507000,40.435810,-124.391860,
192.900000,1650.827000,40.435810,-124.391750,
194.700000,1662.741000,40.435820,-124.391610,
197.000000,1678.976000,40.435870,-124.391430,
198.300000,1696.405000,40.435930,-124.391240,
201.900000,1714.290000,40.436000,-124.391050,
203.900000,1730.525000,40.436050,-124.390870,
203.900000,1745.100000,40.436070,-124.390700,
203.900000,1761.351000,40.436090,-124.390510,
204.400000,1776.764000,40.436110,-124.390330,
207.100000,1795.106000,40.436150,-124.390120,
209.000000,1817.007000,40.436200,-124.389870,
208.200000,1833.383000,40.436270,-124.389700,
206.500000,1853.609000,40.436380,-124.389510,
205.500000,1868.499000,40.436470,-124.389380,
206.600000,1895.600000,40.436660,-124.389180,
209.900000,1908.491000,40.436740,-124.389070,
215.700000,1921.594000,40.436790,-124.388930,
218.300000,1932.002000,40.436810,-124.388810,
217.200000,1946.577000,40.436790,-124.388640,
217.400000,1965.220000,40.436840,-124.388430,
217.400000,1981.596000,40.436910,-124.388260,
217.300000,1997.232000,40.436980,-124.388100,
218.600000,2008.135000,40.437050,-124.388010,
