alt,dst,lat,lon,mdata
14.500000,0.000000,40.468240,-124.370160,E:\Dropbox\website\dev2\climbing\climbs\Mattole-Rd-South-2-Ferndale.tcx
14.500000,3.340000,40.468270,-124.370160,
14.700000,17.811000,40.468400,-124.370160,
15.600000,45.177000,40.468640,-124.370090,
16.100000,68.616000,40.468850,-124.370110,
17.500000,85.506000,40.469000,-124.370080,
19.100000,108.777000,40.469200,-124.370160,
21.200000,124.868000,40.469200,-124.369970,
21.600000,135.719000,40.469150,-124.369860,
23.900000,162.066000,40.469170,-124.369550,
25.500000,188.413000,40.469150,-124.369240,
29.800000,210.432000,40.469150,-124.368980,
33.800000,232.563000,40.469170,-124.368720,
36.000000,253.851000,40.469190,-124.368470,
36.500000,270.095000,40.469170,-124.368280,
37.100000,292.389000,40.469060,-124.368060,
39.400000,307.459000,40.469020,-124.367890,
41.800000,325.382000,40.469000,-124.367680,
45.000000,351.635000,40.469000,-124.367370,
48.100000,373.766000,40.469020,-124.367110,
51.400000,392.921000,40.469060,-124.366890,
53.800000,413.179000,40.469110,-124.366660,
54.800000,428.584000,40.469130,-124.366480,
56.500000,449.657000,40.469180,-124.366240,
59.100000,471.249000,40.469290,-124.366030,
62.700000,492.268000,40.469420,-124.365850,
66.200000,510.129000,40.469540,-124.365710,
68.800000,526.343000,40.469620,-124.365550,
70.900000,544.550000,40.469680,-124.365350,
72.300000,558.812000,40.469720,-124.365190,
73.600000,571.477000,40.469760,-124.365050,
75.400000,590.112000,40.469810,-124.364840,
76.300000,607.040000,40.469890,-124.364670,
77.300000,617.094000,40.469980,-124.364660,
78.900000,628.328000,40.470070,-124.364720,
81.400000,648.548000,40.470180,-124.364910,
84.800000,679.809000,40.470320,-124.365230,
89.500000,736.262000,40.470570,-124.365810,
92.300000,757.903000,40.470700,-124.366000,
95.800000,784.478000,40.470890,-124.366190,
97.700000,808.262000,40.471040,-124.366390,
98.700000,833.206000,40.471180,-124.366620,
100.900000,852.161000,40.471270,-124.366810,
104.100000,877.816000,40.471420,-124.367040,
106.900000,908.792000,40.471630,-124.367280,
107.100000,937.545000,40.471820,-124.367510,
106.700000,952.617000,40.471920,-124.367630,
108.200000,967.310000,40.472050,-124.367660,
111.000000,981.806000,40.472180,-124.367650,
114.200000,1001.637000,40.472350,-124.367580,
117.600000,1027.740000,40.472580,-124.367520,
121.800000,1059.320000,40.472860,-124.367460,
128.200000,1098.365000,40.473210,-124.367430,
130.900000,1131.857000,40.473510,-124.367460,
132.000000,1147.465000,40.473650,-124.367470,
132.700000,1159.739000,40.473760,-124.367480,
133.600000,1168.804000,40.473840,-124.367460,
137.400000,1183.452000,40.473890,-124.367300,
140.500000,1201.279000,40.473840,-124.367100,
143.000000,1224.869000,40.473710,-124.366880,
145.000000,1252.535000,40.473550,-124.366630,
149.100000,1307.322000,40.473220,-124.366150,
152.500000,1332.515000,40.473110,-124.365890,
153.700000,1349.634000,40.473040,-124.365710,
155.500000,1366.067000,40.473010,-124.365520,
156.200000,1376.289000,40.473000,-124.365400,
157.700000,1385.857000,40.473040,-124.365300,
159.400000,1393.765000,40.473100,-124.365250,
161.300000,1401.557000,40.473170,-124.365250,
162.800000,1411.810000,40.473250,-124.365310,
163.800000,1425.301000,40.473350,-124.365400,
164.800000,1439.593000,40.473470,-124.365460,
166.400000,1456.631000,40.473620,-124.365500,
168.500000,1476.740000,40.473800,-124.365520,
170.300000,1498.042000,40.473990,-124.365550,
173.100000,1522.159000,40.474200,-124.365620,
178.200000,1545.431000,40.474400,-124.365700,
180.000000,1577.740000,40.474670,-124.365840,
180.500000,1599.494000,40.474850,-124.365940,
182.600000,1617.801000,40.475010,-124.365990,
186.100000,1632.371000,40.475140,-124.366010,
192.000000,1670.371000,40.475480,-124.366050,
193.500000,1688.362000,40.475640,-124.366080,
193.900000,1707.735000,40.475800,-124.366170,
195.700000,1723.343000,40.475940,-124.366180,
199.300000,1742.267000,40.476110,-124.366180,
201.700000,1758.986000,40.476260,-124.366170,
203.500000,1779.466000,40.476440,-124.366220,
204.200000,1797.821000,40.476590,-124.366310,
204.800000,1817.920000,40.476750,-124.366420,
204.900000,1847.696000,40.476970,-124.366620,
