alt,dst,lat,lon,mdata
185.900000,0.000000,38.479460,-123.163680,E:\Dropbox\website\dev2\climbing\climbs\Meyers-Grade-Jenner.tcx
186.500000,37.380000,38.479780,-123.163810,
187.200000,57.548000,38.479950,-123.163890,
196.200000,186.959000,38.480850,-123.164830,
197.900000,239.623000,38.481230,-123.165190,
198.700000,284.330000,38.481550,-123.165500,
200.700000,332.203000,38.481920,-123.165780,
203.000000,375.648000,38.482190,-123.166140,
203.800000,415.085000,38.482340,-123.166550,
205.800000,485.546000,38.482670,-123.167240,
209.900000,574.107000,38.483140,-123.168060,
212.000000,633.803000,38.483470,-123.168600,
216.200000,705.196000,38.483850,-123.169260,
215.200000,758.923000,38.484280,-123.169540,
215.300000,774.310000,38.484410,-123.169600,
216.300000,807.474000,38.484690,-123.169730,
217.200000,823.912000,38.484830,-123.169790,
219.100000,844.252000,38.484970,-123.169940,
222.200000,877.419000,38.485180,-123.170210,
226.600000,936.906000,38.485560,-123.170690,
234.000000,1017.718000,38.486070,-123.171350,
239.300000,1070.366000,38.486410,-123.171770,
242.300000,1093.103000,38.486550,-123.171960,
246.100000,1113.144000,38.486550,-123.172190,
249.500000,1140.179000,38.486560,-123.172500,
251.900000,1157.645000,38.486610,-123.172690,
255.800000,1181.131000,38.486720,-123.172920,
260.700000,1211.363000,38.486930,-123.173140,
266.900000,1244.282000,38.487190,-123.173320,
271.300000,1284.962000,38.487470,-123.173620,
273.000000,1322.021000,38.487670,-123.173960,
276.600000,1352.855000,38.487770,-123.174290,
285.100000,1407.189000,38.488000,-123.174840,
292.200000,1453.419000,38.488220,-123.175290,
296.800000,1484.603000,38.488360,-123.175600,
304.600000,1526.420000,38.488510,-123.176040,
308.700000,1553.474000,38.488630,-123.176310,
310.300000,1584.467000,38.488820,-123.176570,
311.500000,1617.633000,38.489030,-123.176840,
314.900000,1651.030000,38.489270,-123.177070,
322.300000,1685.745000,38.489530,-123.177290,
324.300000,1705.165000,38.489700,-123.177340,
328.100000,1724.584000,38.489870,-123.177390,
334.000000,1757.137000,38.490080,-123.177650,
336.100000,1781.547000,38.490260,-123.177810,
341.700000,1814.382000,38.490510,-123.178010,
348.500000,1841.164000,38.490720,-123.178160,
352.900000,1861.341000,38.490870,-123.178290,
357.900000,1891.886000,38.491070,-123.178530,
362.000000,1916.296000,38.491250,-123.178690,
366.200000,1945.257000,38.491430,-123.178930,
368.300000,1966.675000,38.491530,-123.179140,
369.500000,1989.437000,38.491550,-123.179400,
372.000000,2007.347000,38.491660,-123.179550,
375.800000,2032.881000,38.491820,-123.179760,
378.800000,2061.154000,38.492020,-123.179960,
380.700000,2081.988000,38.492190,-123.180060,
383.400000,2112.213000,38.492450,-123.180160,
387.200000,2143.067000,38.492720,-123.180240,
391.600000,2182.574000,38.493060,-123.180370,
392.600000,2218.461000,38.493380,-123.180420,
393.600000,2242.621000,38.493590,-123.180490,
397.700000,2283.632000,38.493950,-123.180590,
402.400000,2317.209000,38.494250,-123.180630,
409.100000,2346.270000,38.494510,-123.180600,
413.300000,2378.845000,38.494800,-123.180550,
413.700000,2408.114000,38.495060,-123.180500,
415.900000,2427.240000,38.495220,-123.180580,
423.600000,2497.239000,38.495730,-123.181050,
425.500000,2537.070000,38.496000,-123.181350,
430.600000,2609.675000,38.496490,-123.181900,
434.600000,2658.503000,38.496890,-123.182130,
440.300000,2729.501000,38.497450,-123.182520,
443.500000,2780.647000,38.497830,-123.182850,
445.100000,2831.309000,38.498210,-123.183170,
445.800000,2870.252000,38.498500,-123.183420,
446.500000,2902.195000,38.498750,-123.183600,
447.100000,2937.023000,38.499040,-123.183750,
447.300000,2963.016000,38.499260,-123.183850,
