alt,dst,lat,lon,mdata
361.500000,0.000000,36.466980,-118.858770,E:\Dropbox\website\dev2\climbing\climbs\Mineral-King-Rd-Visalia.tcx
363.000000,15.526000,36.467050,-118.858620,
367.100000,48.320000,36.467230,-118.858330,
374.700000,117.528000,36.467650,-118.857760,
381.600000,184.665000,36.468060,-118.857210,
382.300000,229.392000,36.468330,-118.856840,
384.500000,263.801000,36.468550,-118.856570,
385.500000,266.708000,36.468560,-118.856540,
387.000000,271.320000,36.468570,-118.856490,
388.200000,277.685000,36.468580,-118.856420,
388.600000,285.587000,36.468610,-118.856340,
388.800000,289.045000,36.468640,-118.856330,
389.000000,293.497000,36.468680,-118.856330,
389.500000,296.837000,36.468710,-118.856330,
391.100000,300.176000,36.468740,-118.856330,
391.900000,303.033000,36.468760,-118.856350,
392.500000,305.890000,36.468780,-118.856370,
392.700000,309.379000,36.468800,-118.856400,
392.600000,313.129000,36.468810,-118.856440,
392.200000,317.741000,36.468820,-118.856490,
391.700000,323.226000,36.468830,-118.856550,
390.800000,327.702000,36.468830,-118.856600,
390.600000,332.702000,36.468850,-118.856650,
390.100000,336.451000,36.468860,-118.856690,
389.200000,341.937000,36.468870,-118.856750,
388.800000,345.687000,36.468880,-118.856790,
389.000000,348.544000,36.468900,-118.856810,
388.700000,351.451000,36.468910,-118.856840,
388.600000,354.308000,36.468930,-118.856860,
389.000000,359.107000,36.468970,-118.856880,
396.100000,403.669000,36.469340,-118.857070,
396.200000,420.956000,36.469490,-118.857120,
396.900000,438.767000,36.469650,-118.857120,
398.600000,453.349000,36.469780,-118.857100,
406.700000,489.374000,36.470100,-118.857040,
407.900000,500.649000,36.470200,-118.857020,
408.100000,506.286000,36.470250,-118.857030,
408.300000,508.512000,36.470270,-118.857030,
408.300000,521.884000,36.470380,-118.857090,
409.000000,534.244000,36.470480,-118.857150,
409.400000,540.424000,36.470530,-118.857180,
409.600000,546.604000,36.470580,-118.857210,
409.600000,553.802000,36.470640,-118.857240,
410.000000,563.861000,36.470730,-118.857250,
411.700000,588.351000,36.470950,-118.857250,
414.400000,603.936000,36.471090,-118.857250,
415.500000,611.779000,36.471160,-118.857240,
415.600000,620.355000,36.471230,-118.857200,
414.800000,625.555000,36.471270,-118.857170,
415.400000,631.879000,36.471300,-118.857110,
415.500000,642.277000,36.471330,-118.857000,
415.800000,649.777000,36.471350,-118.856920,
416.100000,657.910000,36.471360,-118.856830,
416.400000,664.274000,36.471350,-118.856760,
417.100000,673.829000,36.471320,-118.856660,
420.800000,742.053000,36.471000,-118.856010,
420.800000,749.955000,36.470970,-118.855930,
421.200000,765.321000,36.470920,-118.855770,
424.200000,784.070000,36.470870,-118.855570,
428.400000,799.069000,36.470830,-118.855410,
430.100000,833.736000,36.470770,-118.855030,
430.200000,836.643000,36.470760,-118.855000,
430.300000,840.859000,36.470740,-118.854960,
430.400000,842.968000,36.470730,-118.854940,
430.600000,844.396000,36.470720,-118.854930,
431.800000,856.711000,36.470630,-118.854850,
432.200000,868.528000,36.470540,-118.854780,
432.300000,874.842000,36.470500,-118.854730,
432.500000,879.127000,36.470470,-118.854700,
432.400000,883.343000,36.470450,-118.854660,
432.900000,896.243000,36.470400,-118.854530,
432.800000,908.351000,36.470370,-118.854400,
433.100000,916.252000,36.470340,-118.854320,
433.400000,920.469000,36.470320,-118.854280,
434.100000,929.627000,36.470260,-118.854210,
434.700000,934.827000,36.470220,-118.854180,
435.100000,938.617000,36.470190,-118.854160,
436.900000,965.740000,36.469960,-118.854060,
437.100000,975.338000,36.469880,-118.854020,
436.800000,980.235000,36.469850,-118.853980,
436.800000,987.969000,36.469800,-118.853920,
436.900000,995.070000,36.469770,-118.853850,
438.100000,1007.530000,36.469730,-118.853720,
439.500000,1019.638000,36.469700,-118.853590,
440.500000,1046.188000,36.469650,-118.853300,
440.400000,1051.674000,36.469640,-118.853240,
440.600000,1060.879000,36.469600,-118.853150,
440.800000,1067.204000,36.469570,-118.853090,
441.100000,1094.611000,36.469440,-118.852830,
441.100000,1117.110000,36.469380,-118.852590,
442.500000,1132.966000,36.469340,-118.852420,
443.600000,1140.214000,36.469330,-118.852340,
444.700000,1150.310000,36.469350,-118.852230,
445.200000,1156.634000,36.469380,-118.852170,
445.800000,1163.735000,36.469410,-118.852100,
445.700000,1173.199000,36.469480,-118.852040,
445.500000,1179.513000,36.469520,-118.851990,
445.100000,1183.798000,36.469550,-118.851960,
444.900000,1188.015000,36.469570,-118.851920,
444.200000,1192.300000,36.469600,-118.851890,
443.900000,1196.050000,36.469610,-118.851850,
443.400000,1200.266000,36.469630,-118.851810,
443.400000,1206.631000,36.469640,-118.851740,
444.000000,1212.116000,36.469630,-118.851680,
444.400000,1215.697000,36.469630,-118.851640,
444.900000,1219.278000,36.469630,-118.851600,
445.500000,1222.859000,36.469630,-118.851560,
446.300000,1227.335000,36.469630,-118.851510,
446.700000,1231.084000,36.469640,-118.851470,
446.800000,1234.573000,36.469660,-118.851440,
447.100000,1236.681000,36.469670,-118.851420,
447.400000,1240.966000,36.469700,-118.851390,
447.600000,1243.823000,36.469720,-118.851370,
447.200000,1270.664000,36.469950,-118.851280,
447.000000,1277.579000,36.470010,-118.851260,
446.800000,1281.037000,36.470040,-118.851250,
446.500000,1285.836000,36.470080,-118.851230,
446.300000,1290.635000,36.470120,-118.851210,
446.500000,1294.852000,36.470140,-118.851170,
446.600000,1323.795000,36.470270,-118.850890,
446.800000,1340.842000,36.470320,-118.850710,
447.100000,1347.492000,36.470340,-118.850640,
448.400000,1360.074000,36.470350,-118.850500,
