alt,dst,lat,lon,mdata
132.400000,0.000000,38.410640,-122.052210,E:\Dropbox\website\dev2\climbing\climbs\Mix-Canyon-Fairfield.tcx
132.700000,45.887000,38.410790,-122.052700,
133.100000,59.018000,38.410800,-122.052850,
134.800000,81.697000,38.410800,-122.053110,
137.200000,108.943000,38.410830,-122.053420,
136.600000,126.811000,38.410890,-122.053610,
136.400000,135.605000,38.410900,-122.053710,
136.400000,146.999000,38.410890,-122.053840,
139.200000,167.877000,38.410800,-122.054050,
142.600000,194.040000,38.410740,-122.054340,
143.400000,211.521000,38.410750,-122.054540,
142.900000,231.427000,38.410820,-122.054750,
145.200000,252.626000,38.410850,-122.054990,
147.700000,276.595000,38.410810,-122.055260,
152.800000,337.416000,38.410560,-122.055880,
154.600000,348.791000,38.410520,-122.056000,
155.400000,357.514000,38.410520,-122.056100,
155.200000,369.369000,38.410570,-122.056220,
151.500000,409.929000,38.410780,-122.056600,
152.600000,423.060000,38.410790,-122.056750,
152.600000,434.454000,38.410800,-122.056880,
154.000000,449.937000,38.410760,-122.057050,
160.000000,484.532000,38.410600,-122.057390,
160.800000,496.088000,38.410580,-122.057520,
160.700000,522.350000,38.410600,-122.057820,
164.300000,550.462000,38.410630,-122.058140,
166.800000,595.943000,38.410600,-122.058660,
170.300000,615.849000,38.410530,-122.058870,
175.100000,642.031000,38.410370,-122.059090,
175.600000,652.190000,38.410340,-122.059200,
175.800000,680.456000,38.410300,-122.059520,
181.000000,716.757000,38.410210,-122.059920,
185.500000,745.023000,38.410170,-122.060240,
191.200000,813.969000,38.410150,-122.061030,
194.900000,853.368000,38.410070,-122.061470,
197.300000,895.320000,38.409960,-122.061930,
192.800000,937.558000,38.409910,-122.062410,
199.400000,971.880000,38.409830,-122.062790,
203.400000,999.522000,38.409750,-122.063090,
208.300000,1051.907000,38.409580,-122.063650,
210.900000,1102.312000,38.409340,-122.064140,
209.400000,1132.134000,38.409410,-122.064470,
210.300000,1142.293000,38.409440,-122.064580,
214.100000,1179.350000,38.409490,-122.065000,
218.000000,1219.163000,38.409630,-122.065420,
218.500000,1245.981000,38.409710,-122.065710,
219.300000,1285.296000,38.409730,-122.066160,
223.700000,1337.633000,38.409730,-122.066760,
227.800000,1396.171000,38.409700,-122.067430,
228.000000,1408.434000,38.409710,-122.067570,
228.600000,1423.429000,38.409730,-122.067740,
230.500000,1458.954000,38.409790,-122.068140,
230.800000,1478.176000,38.409780,-122.068360,
234.200000,1507.726000,38.409720,-122.068690,
235.300000,1536.705000,38.409690,-122.069020,
237.800000,1562.001000,38.409690,-122.069310,
241.900000,1615.777000,38.409760,-122.069920,
251.900000,1695.411000,38.409880,-122.070820,
253.700000,1718.989000,38.409890,-122.071090,
254.700000,1749.842000,38.409930,-122.071440,
254.700000,1762.054000,38.409930,-122.071580,
254.000000,1771.079000,38.409890,-122.071670,
252.500000,1795.800000,38.409750,-122.071890,
252.400000,1817.750000,38.409670,-122.072120,
251.300000,1833.704000,38.409550,-122.072220,
253.700000,1881.694000,38.409140,-122.072390,
254.500000,1897.648000,38.409020,-122.072490,
255.900000,1907.271000,38.408970,-122.072580,
257.400000,1916.612000,38.408940,-122.072680,
258.900000,1926.271000,38.408930,-122.072790,
263.600000,1964.797000,38.408900,-122.073230,
266.000000,1979.626000,38.408900,-122.073400,
267.000000,1996.533000,38.408930,-122.073590,
267.100000,2009.693000,38.408990,-122.073720,
268.600000,2039.426000,38.409240,-122.073840,
270.600000,2051.892000,38.409320,-122.073940,
272.800000,2071.799000,38.409390,-122.074150,
272.400000,2094.505000,38.409380,-122.074410,
273.000000,2125.908000,38.409380,-122.074770,
273.000000,2150.734000,38.409340,-122.075050,
274.500000,2171.102000,38.409420,-122.075260,
279.300000,2217.520000,38.409600,-122.075740,
281.900000,2259.042000,38.409760,-122.076170,
284.600000,2286.250000,38.409850,-122.076460,
285.300000,2302.108000,38.409870,-122.076640,
285.900000,2311.703000,38.409870,-122.076750,
286.600000,2327.542000,38.409820,-122.076920,
288.600000,2345.025000,38.409770,-122.077110,
289.100000,2354.365000,38.409740,-122.077210,
289.700000,2365.921000,38.409720,-122.077340,
290.700000,2376.388000,38.409720,-122.077460,
291.400000,2382.494000,38.409720,-122.077530,
291.900000,2386.856000,38.409720,-122.077580,
292.400000,2391.217000,38.409720,-122.077630,
293.200000,2397.716000,38.409700,-122.077700,
296.800000,2428.927000,38.409560,-122.078010,
298.100000,2454.500000,38.409440,-122.078260,
299.700000,2467.591000,38.409360,-122.078370,
301.200000,2484.771000,38.409270,-122.078530,
301.700000,2497.185000,38.409250,-122.078670,
302.900000,2510.316000,38.409260,-122.078820,
