alt,dst,lat,lon,mdata
1554.700000,0.000000,38.642630,-119.527760,E:\Dropbox\website\dev2\climbing\climbs\Monitor-Pass-East-Markleeville.tcx
1560.100000,180.697000,38.642320,-119.529800,
1562.900000,244.485000,38.642210,-119.530520,
1569.300000,275.421000,38.642160,-119.530870,
1574.700000,338.356000,38.642050,-119.531580,
1574.900000,357.996000,38.642010,-119.531800,
1578.200000,389.787000,38.641960,-119.532160,
1581.800000,411.779000,38.641930,-119.532410,
1582.200000,432.676000,38.641920,-119.532650,
1582.500000,450.935000,38.641920,-119.532860,
1583.800000,462.293000,38.641930,-119.532990,
1585.000000,472.113000,38.641950,-119.533100,
1585.800000,479.416000,38.641970,-119.533180,
1586.300000,488.730000,38.642000,-119.533280,
1586.700000,504.950000,38.642060,-119.533450,
1587.400000,518.731000,38.642100,-119.533600,
1588.400000,530.518000,38.642130,-119.533730,
1589.700000,539.493000,38.642150,-119.533830,
1589.300000,544.710000,38.642150,-119.533890,
1590.300000,555.202000,38.642160,-119.534010,
1591.400000,563.028000,38.642160,-119.534100,
1593.500000,577.809000,38.642160,-119.534270,
1595.300000,593.499000,38.642170,-119.534450,
1597.400000,605.873000,38.642190,-119.534590,
1598.400000,615.502000,38.642200,-119.534700,
1600.000000,626.457000,38.642230,-119.534820,
1601.300000,634.593000,38.642250,-119.534910,
1603.600000,644.412000,38.642270,-119.535020,
1605.800000,652.316000,38.642280,-119.535110,
1607.400000,662.809000,38.642290,-119.535230,
1604.900000,674.982000,38.642290,-119.535370,
1604.500000,687.205000,38.642300,-119.535510,
1603.600000,697.698000,38.642310,-119.535630,
1604.000000,704.179000,38.642330,-119.535700,
1603.700000,710.659000,38.642350,-119.535770,
1602.900000,722.325000,38.642410,-119.535880,
1602.300000,729.866000,38.642450,-119.535950,
1603.700000,742.203000,38.642520,-119.536060,
1605.300000,754.649000,38.642600,-119.536160,
1605.800000,764.292000,38.642660,-119.536240,
1605.600000,773.328000,38.642720,-119.536310,
1605.900000,782.705000,38.642790,-119.536370,
1606.200000,790.675000,38.642850,-119.536420,
1607.500000,799.598000,38.642920,-119.536470,
1607.800000,805.248000,38.642960,-119.536510,
1608.300000,812.310000,38.643010,-119.536560,
1607.500000,819.169000,38.643050,-119.536620,
1608.600000,827.428000,38.643090,-119.536700,
1608.100000,835.687000,38.643130,-119.536780,
1610.000000,844.690000,38.643170,-119.536870,
1610.700000,849.574000,38.643190,-119.536920,
1608.000000,863.355000,38.643230,-119.537070,
1608.200000,870.658000,38.643250,-119.537150,
1609.400000,881.327000,38.643270,-119.537270,
1609.900000,890.891000,38.643270,-119.537380,
1611.800000,899.656000,38.643260,-119.537480,
