alt,dst,lat,lon,mdata
1743.500000,0.000000,38.660560,-119.726390,E:\Dropbox\website\dev2\climbing\climbs\Monitor-Pass-W.-Markleeville.tcx
1746.800000,8.763000,38.660570,-119.726290,
1748.200000,14.949000,38.660560,-119.726220,
1749.400000,21.428000,38.660540,-119.726150,
1753.200000,48.645000,38.660470,-119.725850,
1754.300000,57.957000,38.660440,-119.725750,
1754.500000,61.608000,38.660430,-119.725710,
1754.500000,63.346000,38.660430,-119.725690,
1755.000000,75.567000,38.660420,-119.725550,
1755.200000,79.913000,38.660420,-119.725500,
1755.300000,85.998000,38.660420,-119.725430,
1754.800000,103.700000,38.660450,-119.725230,
1754.800000,123.970000,38.660480,-119.725000,
1754.800000,145.302000,38.660520,-119.724760,
1754.700000,155.792000,38.660530,-119.724640,
1754.900000,161.007000,38.660530,-119.724580,
1755.100000,167.092000,38.660530,-119.724510,
1755.200000,172.308000,38.660530,-119.724450,
1755.200000,177.641000,38.660520,-119.724390,
1755.300000,182.974000,38.660510,-119.724330,
1755.400000,186.451000,38.660510,-119.724290,
1755.300000,190.101000,38.660500,-119.724250,
1755.300000,194.588000,38.660490,-119.724200,
1754.900000,202.302000,38.660460,-119.724120,
1755.100000,207.973000,38.660440,-119.724060,
1755.100000,214.914000,38.660410,-119.723990,
1754.800000,223.821000,38.660360,-119.723910,
1754.800000,232.728000,38.660310,-119.723830,
1754.800000,234.793000,38.660300,-119.723810,
1754.700000,240.442000,38.660260,-119.723770,
1754.700000,246.092000,38.660220,-119.723730,
1754.800000,257.813000,38.660130,-119.723660,
1755.000000,271.895000,38.660020,-119.723580,
1754.800000,285.569000,38.659910,-119.723510,
1755.400000,297.519000,38.659810,-119.723460,
1755.400000,309.812000,38.659710,-119.723400,
1755.200000,319.372000,38.659630,-119.723360,
1755.300000,336.810000,38.659490,-119.723270,
1755.100000,341.047000,38.659460,-119.723240,
1755.200000,346.697000,38.659420,-119.723200,
1755.200000,350.934000,38.659390,-119.723170,
1755.100000,361.378000,38.659320,-119.723090,
1754.900000,369.006000,38.659270,-119.723030,
1754.800000,374.487000,38.659240,-119.722980,
1754.800000,382.201000,38.659210,-119.722900,
1754.800000,388.395000,38.659180,-119.722840,
1754.800000,394.065000,38.659160,-119.722780,
1754.800000,397.716000,38.659150,-119.722740,
1754.800000,403.049000,38.659140,-119.722680,
1754.800000,404.788000,38.659140,-119.722660,
1754.800000,411.831000,38.659130,-119.722580,
1754.800000,418.785000,38.659130,-119.722500,
1754.800000,424.869000,38.659130,-119.722430,
1754.800000,431.824000,38.659130,-119.722350,
1754.800000,437.157000,38.659140,-119.722290,
1754.800000,442.828000,38.659160,-119.722230,
1754.800000,448.161000,38.659170,-119.722170,
1754.700000,457.927000,38.659210,-119.722070,
1754.800000,462.056000,38.659230,-119.722030,
1754.800000,465.485000,38.659250,-119.722000,
1754.800000,468.914000,38.659270,-119.721970,
1754.700000,470.978000,38.659280,-119.721950,
1754.700000,477.201000,38.659320,-119.721900,
1754.600000,492.303000,38.659410,-119.721770,
1755.000000,504.747000,38.659490,-119.721670,
1754.800000,510.940000,38.659520,-119.721610,
1755.500000,519.198000,38.659560,-119.721530,
1755.900000,528.964000,38.659600,-119.721430,
1755.600000,535.905000,38.659630,-119.721360,
1756.700000,542.385000,38.659650,-119.721290,
1764.600000,563.138000,38.659700,-119.721060,
1769.200000,583.891000,38.659750,-119.720830,
1772.300000,606.324000,38.659800,-119.720580,
1774.800000,644.008000,38.659910,-119.720170,
1774.400000,674.393000,38.660000,-119.719840,
1774.600000,691.821000,38.660050,-119.719650,
1774.500000,701.133000,38.660080,-119.719550,
1774.700000,714.515000,38.660130,-119.719410,
1775.100000,728.397000,38.660190,-119.719270,
1775.200000,735.338000,38.660220,-119.719200,
1775.400000,744.245000,38.660270,-119.719120,
1775.500000,762.746000,38.660370,-119.718950,
1775.600000,777.826000,38.660450,-119.718810,
1776.000000,788.113000,38.660510,-119.718720,
1776.800000,803.215000,38.660600,-119.718590,
1777.300000,818.978000,38.660690,-119.718450,
1777.400000,829.940000,38.660750,-119.718350,
1777.500000,845.729000,38.660830,-119.718200,
1777.300000,861.519000,38.660910,-119.718050,
1777.400000,882.162000,38.661010,-119.717850,
1777.300000,889.877000,38.661040,-119.717770,
1777.400000,904.526000,38.661100,-119.717620,
1778.400000,933.826000,38.661220,-119.717320,
1783.400000,961.071000,38.661330,-119.717040,
1784.300000,996.339000,38.661460,-119.716670,
1785.900000,1031.808000,38.661610,-119.716310,
1787.500000,1051.340000,38.661690,-119.716110,
1791.400000,1068.593000,38.661770,-119.715940,
1793.700000,1078.915000,38.661820,-119.715840,
1795.500000,1092.641000,38.661890,-119.715710,
1797.400000,1116.686000,38.662010,-119.715480,
1798.300000,1135.186000,38.662110,-119.715310,
1798.400000,1148.913000,38.662180,-119.715180,
1798.500000,1155.853000,38.662210,-119.715110,
1798.700000,1164.111000,38.662250,-119.715030,
1798.600000,1175.452000,38.662290,-119.714910,
1798.900000,1188.834000,38.662340,-119.714770,
1798.900000,1196.967000,38.662360,-119.714680,
1798.900000,1204.269000,38.662380,-119.714600,
1799.100000,1216.640000,38.662400,-119.714460,
1799.800000,1229.011000,38.662420,-119.714320,
1800.600000,1243.955000,38.662440,-119.714150,
1801.200000,1272.660000,38.662450,-119.713820,
1802.500000,1338.759000,38.662470,-119.713060,
1803.000000,1377.021000,38.662480,-119.712620,
1803.200000,1390.973000,38.662490,-119.712460,
1804.500000,1406.619000,38.662490,-119.712280,
1806.400000,1415.382000,38.662500,-119.712180,
1808.000000,1421.568000,38.662510,-119.712110,
1809.400000,1427.753000,38.662520,-119.712040,
1811.100000,1434.795000,38.662530,-119.711960,
1812.600000,1440.128000,38.662540,-119.711900,
1814.000000,1445.011000,38.662560,-119.711850,
1815.000000,1448.662000,38.662570,-119.711810,
1816.100000,1453.148000,38.662580,-119.711760,
1816.600000,1457.277000,38.662600,-119.711720,
1817.400000,1462.948000,38.662620,-119.711660,
1818.000000,1469.141000,38.662650,-119.711600,
1818.500000,1475.334000,38.662680,-119.711540,
1818.900000,1480.815000,38.662710,-119.711490,
1819.200000,1485.052000,38.662740,-119.711460,
1819.300000,1489.873000,38.662770,-119.711420,
1819.400000,1494.693000,38.662800,-119.711380,
1819.500000,1501.256000,38.662850,-119.711340,
1819.500000,1509.730000,38.662910,-119.711280,
1819.500000,1521.029000,38.662990,-119.711200,
1819.400000,1526.678000,38.663030,-119.711160,
1819.300000,1531.499000,38.663060,-119.711120,
1819.300000,1538.561000,38.663110,-119.711070,
1819.200000,1544.783000,38.663150,-119.711020,
1819.300000,1552.323000,38.663190,-119.710950,
1819.300000,1558.516000,38.663220,-119.710890,
1819.400000,1563.997000,38.663250,-119.710840,
1819.600000,1572.254000,38.663290,-119.710760,
1819.600000,1578.447000,38.663320,-119.710700,
1819.600000,1586.161000,38.663350,-119.710620,
1819.800000,1597.502000,38.663390,-119.710500,
1820.500000,1606.814000,38.663420,-119.710400,
1820.900000,1613.754000,38.663450,-119.710330,
1820.900000,1621.888000,38.663470,-119.710240,
1820.700000,1633.229000,38.663510,-119.710120,
1821.200000,1645.375000,38.663550,-119.709990,
1821.600000,1658.756000,38.663600,-119.709850,
1822.000000,1673.405000,38.663660,-119.709700,
1821.800000,1683.953000,38.663700,-119.709590,
1821.900000,1689.623000,38.663720,-119.709530,
1822.200000,1695.816000,38.663750,-119.709470,
1822.200000,1702.295000,38.663770,-119.709400,
1822.300000,1707.776000,38.663800,-119.709350,
1822.400000,1711.904000,38.663820,-119.709310,
1822.400000,1715.333000,38.663840,-119.709280,
1822.400000,1720.154000,38.663870,-119.709240,
1822.700000,1724.975000,38.663900,-119.709200,
1822.800000,1731.197000,38.663940,-119.709150,
1823.000000,1736.847000,38.663980,-119.709110,
1823.400000,1742.496000,38.664020,-119.709070,
1823.700000,1748.642000,38.664070,-119.709040,
1823.600000,1754.292000,38.664110,-119.709000,
1823.500000,1760.438000,38.664160,-119.708970,
1823.600000,1767.608000,38.664220,-119.708940,
1823.500000,1781.949000,38.664340,-119.708880,
1823.500000,1791.228000,38.664420,-119.708850,
1823.600000,1798.398000,38.664480,-119.708820,
1823.600000,1804.229000,38.664530,-119.708800,
1823.500000,1811.759000,38.664590,-119.708760,
1823.500000,1816.919000,38.664630,-119.708730,
1823.500000,1822.079000,38.664670,-119.708700,
1823.500000,1828.642000,38.664720,-119.708660,
1823.900000,1832.879000,38.664750,-119.708630,
1824.100000,1838.528000,38.664790,-119.708590,
1824.200000,1846.774000,38.664840,-119.708520,
1824.600000,1853.632000,38.664880,-119.708460,
1824.800000,1860.489000,38.664920,-119.708400,
1825.000000,1872.875000,38.664980,-119.708280,
1826.000000,1883.938000,38.665030,-119.708170,
1826.900000,1897.819000,38.665090,-119.708030,
1826.500000,1908.771000,38.665120,-119.707910,
1826.300000,1917.744000,38.665140,-119.707810,
1826.000000,1924.786000,38.665150,-119.707730,
1825.700000,1934.411000,38.665160,-119.707620,
1825.600000,1944.037000,38.665170,-119.707510,
1825.300000,1957.988000,38.665160,-119.707350,
1825.500000,1975.690000,38.665130,-119.707150,
1826.200000,1995.102000,38.665100,-119.706930,
1830.600000,2011.100000,38.665070,-119.706750,
1833.900000,2021.589000,38.665060,-119.706630,
1835.000000,2029.491000,38.665050,-119.706540,
1835.800000,2037.313000,38.665050,-119.706450,
1837.400000,2046.076000,38.665060,-119.706350,
1838.700000,2053.118000,38.665070,-119.706270,
1839.500000,2058.451000,38.665080,-119.706210,
1839.700000,2066.165000,38.665110,-119.706130,
1839.600000,2073.105000,38.665140,-119.706060,
1839.700000,2078.776000,38.665160,-119.706000,
1840.000000,2089.097000,38.665210,-119.705900,
1839.600000,2099.418000,38.665260,-119.705800,
1839.400000,2116.562000,38.665360,-119.705650,
1840.700000,2144.658000,38.665520,-119.705400,
1841.500000,2153.565000,38.665570,-119.705320,
1843.000000,2165.239000,38.665640,-119.705220,
1843.400000,2172.952000,38.665670,-119.705140,
1843.500000,2180.492000,38.665710,-119.705070,
1843.000000,2189.803000,38.665740,-119.704970,
1843.700000,2193.932000,38.665760,-119.704930,
1843.300000,2198.278000,38.665760,-119.704880,
1842.900000,2208.095000,38.665780,-119.704770,
1842.700000,2216.228000,38.665800,-119.704680,
1842.700000,2222.312000,38.665800,-119.704610,
1842.700000,2229.354000,38.665810,-119.704530,
1842.900000,2237.256000,38.665800,-119.704440,
1843.700000,2246.817000,38.665800,-119.704330,
