alt,dst,lat,lon,mdata
168.600000,0.000000,37.295390,-122.084430,E:\Dropbox\website\dev2\climbing\climbs\Montebello-Rd-Cupertino.tcx
168.600000,2.880000,37.295400,-122.084460,
168.500000,9.156000,37.295430,-122.084520,
167.900000,32.054000,37.295550,-122.084730,
174.400000,72.942000,37.295780,-122.085090,
177.800000,121.234000,37.296000,-122.085560,
182.100000,150.712000,37.296130,-122.085850,
187.800000,183.053000,37.296270,-122.086170,
187.400000,199.045000,37.296350,-122.086320,
188.000000,204.474000,37.296360,-122.086380,
189.000000,208.187000,37.296350,-122.086420,
190.000000,211.900000,37.296340,-122.086460,
190.700000,215.355000,37.296310,-122.086470,
191.600000,220.147000,37.296270,-122.086490,
192.200000,232.888000,37.296170,-122.086420,
195.700000,260.083000,37.296040,-122.086160,
197.700000,271.229000,37.295970,-122.086070,
198.100000,282.080000,37.295890,-122.086000,
198.900000,296.456000,37.295770,-122.085940,
200.800000,322.605000,37.295540,-122.085880,
201.800000,340.765000,37.295380,-122.085840,
202.200000,346.401000,37.295330,-122.085830,
202.600000,350.941000,37.295290,-122.085820,
202.800000,353.167000,37.295270,-122.085820,
203.400000,357.959000,37.295230,-122.085840,
203.800000,360.804000,37.295210,-122.085860,
204.400000,364.988000,37.295190,-122.085900,
204.800000,368.530000,37.295190,-122.085940,
205.300000,371.187000,37.295190,-122.085970,
205.700000,374.067000,37.295200,-122.086000,
206.000000,376.912000,37.295220,-122.086020,
206.500000,380.378000,37.295240,-122.086050,
207.600000,389.810000,37.295310,-122.086110,
208.900000,400.763000,37.295400,-122.086160,
210.800000,417.284000,37.295530,-122.086250,
211.400000,425.298000,37.295590,-122.086300,
212.300000,435.697000,37.295650,-122.086390,
213.100000,446.836000,37.295680,-122.086510,
214.300000,459.284000,37.295690,-122.086650,
216.100000,476.437000,37.295720,-122.086840,
222.000000,498.827000,37.295750,-122.087090,
225.700000,530.001000,37.295780,-122.087440,
225.200000,549.986000,37.295820,-122.087660,
224.600000,572.264000,37.295880,-122.087900,
230.600000,589.986000,37.295930,-122.088090,
234.900000,607.732000,37.295940,-122.088290,
236.200000,622.787000,37.295940,-122.088460,
237.600000,637.130000,37.295960,-122.088620,
237.100000,657.293000,37.296030,-122.088830,
235.500000,677.053000,37.296090,-122.089040,
235.300000,682.482000,37.296100,-122.089100,
235.400000,688.680000,37.296100,-122.089170,
235.800000,693.637000,37.296080,-122.089220,
236.400000,699.183000,37.296050,-122.089270,
237.400000,705.023000,37.296000,-122.089290,
238.600000,712.866000,37.295930,-122.089300,
241.300000,729.657000,37.295780,-122.089280,
245.200000,753.185000,37.295570,-122.089250,
246.200000,770.254000,37.295420,-122.089290,
247.600000,792.857000,37.295230,-122.089380,
248.900000,810.811000,37.295100,-122.089500,
