alt,dst,lat,lon,mdata
167.400000,0.000000,37.295420,-122.084340,E:\Dropbox\website\dev2\climbing\climbs\Montebello-Road.tcx
168.200000,17.153963,37.295450,-122.084530,
174.400000,78.869430,37.295780,-122.085090,
187.400000,204.926907,37.296350,-122.086320,
189.000000,213.782455,37.296350,-122.086420,
191.600000,224.632998,37.296270,-122.086490,
192.200000,237.374471,37.296170,-122.086420,
197.700000,275.536450,37.295970,-122.086070,
198.900000,300.600531,37.295770,-122.085940,
202.600000,355.080057,37.295290,-122.085820,
204.400000,368.275117,37.295190,-122.085900,
206.500000,382.677606,37.295240,-122.086050,
210.800000,419.499455,37.295530,-122.086250,
212.300000,437.724463,37.295650,-122.086390,
225.700000,531.827893,37.295780,-122.087440,
230.600000,591.762336,37.295930,-122.088090,
237.600000,638.815657,37.295960,-122.088620,
235.400000,689.953985,37.296100,-122.089170,
237.400000,705.343774,37.296000,-122.089290,
245.200000,753.341765,37.295570,-122.089250,
247.600000,792.902305,37.295230,-122.089380,
249.600000,821.911305,37.295030,-122.089590,
249.600000,835.084655,37.294990,-122.089730,
247.900000,929.277994,37.295060,-122.090790,
259.600000,1027.066761,37.295580,-122.091680,
259.800000,1043.352982,37.295610,-122.091860,
266.000000,1063.177147,37.295530,-122.092060,
271.400000,1106.067459,37.295150,-122.092140,
271.200000,1144.838409,37.294820,-122.092280,
285.200000,1207.933487,37.294260,-122.092390,
288.800000,1238.002619,37.293990,-122.092380,
288.700000,1262.304280,37.293790,-122.092270,
291.600000,1345.494063,37.293190,-122.091710,
298.100000,1418.652761,37.292730,-122.091120,
297.700000,1479.148859,37.292540,-122.090480,
301.700000,1523.917706,37.292200,-122.090210,
314.800000,1599.835413,37.291530,-122.090370,
318.100000,1615.578793,37.291400,-122.090440,
320.100000,1628.381274,37.291310,-122.090530,
322.300000,1663.365548,37.291150,-122.090870,
327.800000,1679.013045,37.291040,-122.090980,
337.100000,1725.800499,37.290620,-122.090960,
338.600000,1758.375299,37.290440,-122.090670,
345.500000,1832.088788,37.290170,-122.089910,
348.000000,1896.688318,37.289840,-122.089310,
358.300000,1969.821880,37.289190,-122.089190,
366.300000,2048.647777,37.288500,-122.088990,
370.800000,2117.878081,37.287940,-122.088650,
373.700000,2199.887668,37.287310,-122.088170,
375.400000,2223.251676,37.287110,-122.088090,
382.100000,2263.570386,37.286750,-122.088040,
383.000000,2280.478287,37.286600,-122.088070,
385.400000,2292.823022,37.286560,-122.088200,
384.300000,2333.248596,37.286920,-122.088260,
391.900000,2382.736827,37.287260,-122.088620,
400.900000,2464.491042,37.287200,-122.089540,
416.900000,2665.335606,37.288020,-122.091560,
422.800000,2738.306554,37.288140,-122.092370,
428.800000,2779.548198,37.288300,-122.092790,
432.400000,2883.837446,37.288980,-122.093600,
432.400000,2967.007500,37.289440,-122.094340,
435.400000,2982.227040,37.289420,-122.094510,
445.000000,3026.185639,37.289140,-122.094860,
447.300000,3044.289898,37.289080,-122.095050,
447.500000,3055.509839,37.289130,-122.095160,
448.200000,3065.246864,37.289190,-122.095240,
454.400000,3105.331433,37.289550,-122.095250,
454.200000,3135.969317,37.289780,-122.095440,
459.700000,3176.945802,37.289990,-122.095820,
461.400000,3203.689630,37.290170,-122.096020,
461.600000,3214.059979,37.290250,-122.095960,
458.600000,3241.241523,37.290350,-122.095680,
457.100000,3279.183069,37.290690,-122.095650,
457.900000,3292.531383,37.290800,-122.095710,
467.000000,3341.633339,37.290900,-122.096250,
467.100000,3372.252720,37.291090,-122.096500,
469.200000,3418.436133,37.291440,-122.096780,
467.900000,3454.593568,37.291760,-122.096850,
467.400000,3485.060201,37.292010,-122.096990,
467.400000,3529.396912,37.292200,-122.097430,
468.600000,3540.247646,37.292280,-122.097500,
467.300000,3577.153268,37.292610,-122.097460,
460.800000,3619.951850,37.292960,-122.097660,
459.300000,3649.062040,37.293120,-122.097920,
