alt,dst,lat,lon,mdata
213.200000,0.000000,37.197940,-121.993670,E:\Dropbox\website\dev2\climbing\climbs\Montevina-Rd-Los-Gatos.tcx
213.500000,2.884000,37.197950,-121.993700,
214.200000,8.651000,37.197970,-121.993760,
214.900000,22.882000,37.197980,-121.993920,
215.300000,37.997000,37.197970,-121.994090,
216.000000,46.934000,37.197980,-121.994190,
216.400000,51.505000,37.197990,-121.994240,
217.100000,59.346000,37.198020,-121.994320,
217.600000,64.896000,37.198050,-121.994370,
218.000000,69.768000,37.198080,-121.994410,
218.500000,77.467000,37.198130,-121.994470,
218.700000,83.160000,37.198170,-121.994510,
219.000000,91.177000,37.198230,-121.994560,
219.000000,96.048000,37.198260,-121.994600,
218.900000,98.142000,37.198270,-121.994620,
218.900000,101.611000,37.198290,-121.994650,
218.900000,109.046000,37.198310,-121.994730,
219.000000,114.366000,37.198310,-121.994790,
219.300000,118.800000,37.198310,-121.994840,
219.600000,123.233000,37.198310,-121.994890,
220.600000,131.214000,37.198310,-121.994980,
220.900000,138.394000,37.198300,-121.995060,
220.800000,144.601000,37.198300,-121.995130,
220.700000,150.037000,37.198310,-121.995190,
220.600000,154.608000,37.198320,-121.995240,
221.200000,162.043000,37.198340,-121.995320,
226.500000,179.786000,37.198390,-121.995510,
230.100000,196.273000,37.198450,-121.995680,
230.500000,209.461000,37.198490,-121.995820,
229.800000,219.384000,37.198530,-121.995920,
229.000000,228.522000,37.198570,-121.996010,
229.100000,233.394000,37.198600,-121.996050,
229.200000,236.863000,37.198620,-121.996080,
229.400000,239.709000,37.198640,-121.996100,
230.200000,243.164000,37.198670,-121.996110,
231.600000,249.006000,37.198720,-121.996130,
234.100000,261.379000,37.198830,-121.996150,
235.800000,275.958000,37.198960,-121.996170,
237.000000,287.090000,37.199060,-121.996170,
241.400000,340.707000,37.199540,-121.996220,
243.000000,362.749000,37.199730,-121.996290,
243.300000,368.591000,37.199780,-121.996310,
243.300000,376.583000,37.199850,-121.996330,
243.400000,386.949000,37.199940,-121.996360,
243.700000,394.138000,37.200000,-121.996390,
243.600000,401.327000,37.200060,-121.996420,
243.900000,408.443000,37.200110,-121.996470,
244.600000,414.727000,37.200150,-121.996520,
245.300000,420.277000,37.200180,-121.996570,
250.500000,437.621000,37.200280,-121.996720,
254.000000,449.425000,37.200350,-121.996820,
255.100000,457.801000,37.200390,-121.996900,
255.300000,461.518000,37.200400,-121.996940,
255.700000,466.479000,37.200420,-121.996990,
255.800000,473.073000,37.200440,-121.997060,
255.700000,476.790000,37.200450,-121.997100,
255.900000,482.341000,37.200480,-121.997150,
256.100000,485.810000,37.200500,-121.997180,
256.300000,488.656000,37.200520,-121.997200,
256.600000,491.052000,37.200540,-121.997210,
257.500000,494.508000,37.200570,-121.997220,
258.600000,496.904000,37.200590,-121.997210,
259.000000,498.017000,37.200600,-121.997210,
259.600000,499.440000,37.200610,-121.997200,
260.800000,502.287000,37.200630,-121.997180,
262.000000,505.756000,37.200650,-121.997150,
263.600000,510.717000,37.200670,-121.997100,
264.900000,516.484000,37.200690,-121.997040,
265.700000,523.078000,37.200710,-121.996970,
266.000000,525.961000,37.200720,-121.996940,
266.000000,529.508000,37.200720,-121.996900,
265.900000,532.168000,37.200720,-121.996870,
265.600000,535.052000,37.200710,-121.996840,
265.500000,537.935000,37.200700,-121.996810,
265.200000,543.702000,37.200680,-121.996750,
264.400000,556.503000,37.200630,-121.996620,
264.300000,565.645000,37.200610,-121.996520,
264.100000,571.950000,37.200600,-121.996450,
263.800000,577.386000,37.200590,-121.996390,
263.700000,582.706000,37.200590,-121.996330,
263.600000,588.913000,37.200590,-121.996260,
264.300000,595.507000,37.200610,-121.996190,
265.100000,603.347000,37.200640,-121.996110,
265.100000,613.269000,37.200680,-121.996010,
265.400000,618.140000,37.200710,-121.995970,
262.500000,658.373000,37.200940,-121.995620,
261.000000,668.116000,37.201000,-121.995540,
260.400000,671.897000,37.201030,-121.995520,
260.100000,674.123000,37.201050,-121.995520,
260.100000,676.520000,37.201070,-121.995530,
259.900000,678.916000,37.201090,-121.995540,
260.000000,680.339000,37.201100,-121.995550,
260.600000,682.999000,37.201100,-121.995580,
261.900000,687.187000,37.201080,-121.995620,
263.600000,692.737000,37.201050,-121.995670,
265.600000,699.675000,37.201010,-121.995730,
266.100000,703.144000,37.200990,-121.995760,
267.100000,708.694000,37.200960,-121.995810,
268.600000,715.288000,37.200940,-121.995880,
270.100000,723.128000,37.200910,-121.995960,
272.000000,731.186000,37.200900,-121.996050,
273.100000,737.491000,37.200890,-121.996120,
274.500000,743.797000,37.200900,-121.996190,
275.200000,750.004000,37.200900,-121.996260,
276.400000,755.771000,37.200920,-121.996320,
277.400000,762.365000,37.200940,-121.996390,
278.100000,766.553000,37.200960,-121.996430,
279.200000,770.822000,37.200990,-121.996460,
281.000000,777.938000,37.201040,-121.996510,
281.600000,780.784000,37.201060,-121.996530,
282.300000,784.253000,37.201080,-121.996560,
283.000000,787.722000,37.201100,-121.996590,
283.500000,791.439000,37.201110,-121.996630,
283.700000,795.873000,37.201110,-121.996680,
284.000000,799.419000,37.201110,-121.996720,
284.100000,803.990000,37.201100,-121.996770,
285.000000,812.048000,37.201090,-121.996860,
285.700000,819.482000,37.201070,-121.996940,
286.500000,824.802000,37.201070,-121.997000,
287.200000,831.982000,37.201060,-121.997080,
287.600000,838.189000,37.201060,-121.997150,
288.000000,844.495000,37.201070,-121.997220,
287.800000,850.801000,37.201080,-121.997290,
288.000000,857.082000,37.201110,-121.997350,
287.900000,863.363000,37.201140,-121.997410,
288.000000,868.235000,37.201170,-121.997450,
288.300000,873.785000,37.201200,-121.997500,
288.300000,881.485000,37.201250,-121.997560,
288.400000,886.672000,37.201290,-121.997590,
288.100000,894.234000,37.201350,-121.997630,
288.000000,902.251000,37.201410,-121.997680,
288.400000,909.950000,37.201460,-121.997740,
288.600000,919.912000,37.201530,-121.997810,
289.700000,928.249000,37.201580,-121.997880,
291.000000,937.992000,37.201640,-121.997960,
292.500000,944.273000,37.201670,-121.998020,
292.800000,946.367000,37.201680,-121.998040,
293.300000,949.251000,37.201690,-121.998070,
293.800000,951.024000,37.201690,-121.998090,
294.500000,953.684000,37.201690,-121.998120,
295.200000,956.344000,37.201690,-121.998150,
295.800000,958.438000,37.201680,-121.998170,
296.300000,960.532000,37.201670,-121.998190,
296.800000,962.625000,37.201660,-121.998210,
297.200000,965.022000,37.201640,-121.998220,
297.600000,967.418000,37.201620,-121.998230,
298.500000,971.200000,37.201590,-121.998250,
298.700000,973.426000,37.201570,-121.998250,
298.800000,976.765000,37.201540,-121.998250,
298.600000,979.162000,37.201520,-121.998240,
297.900000,984.349000,37.201480,-121.998210,
297.200000,988.618000,37.201450,-121.998180,
296.400000,993.805000,37.201410,-121.998150,
295.900000,997.586000,37.201380,-121.998130,
295.800000,1002.126000,37.201340,-121.998120,
295.700000,1005.582000,37.201310,-121.998110,
295.600000,1010.122000,37.201270,-121.998100,
295.700000,1014.575000,37.201230,-121.998100,
296.000000,1018.030000,37.201200,-121.998110,
296.600000,1021.811000,37.201170,-121.998130,
297.600000,1027.504000,37.201130,-121.998170,
298.500000,1032.375000,37.201100,-121.998210,
299.600000,1038.659000,37.201060,-121.998260,
300.500000,1042.846000,37.201040,-121.998300,
301.000000,1047.116000,37.201010,-121.998330,
301.000000,1050.897000,37.200980,-121.998350,
300.700000,1055.437000,37.200940,-121.998360,
300.400000,1059.977000,37.200900,-121.998370,
300.400000,1063.758000,37.200870,-121.998390,
300.200000,1068.299000,37.200830,-121.998400,
300.300000,1071.145000,37.200810,-121.998420,
300.600000,1075.414000,37.200780,-121.998450,
301.100000,1078.298000,37.200770,-121.998480,
301.400000,1080.392000,37.200760,-121.998500,
302.000000,1083.052000,37.200760,-121.998530,
302.600000,1085.712000,37.200760,-121.998560,
303.200000,1088.372000,37.200760,-121.998590,
303.900000,1091.255000,37.200770,-121.998620,
304.900000,1094.973000,37.200780,-121.998660,
305.800000,1099.242000,37.200810,-121.998690,
306.800000,1103.430000,37.200830,-121.998730,
308.100000,1109.122000,37.200870,-121.998770,
309.100000,1113.392000,37.200900,-121.998800,
311.500000,1121.031000,37.200940,-121.998870,
313.300000,1126.581000,37.200970,-121.998920,
315.000000,1133.629000,37.201000,-121.998990,
316.500000,1140.677000,37.201030,-121.999060,
317.900000,1146.445000,37.201050,-121.999120,
319.600000,1152.212000,37.201070,-121.999180,
319.900000,1156.645000,37.201070,-121.999230,
320.200000,1162.852000,37.201070,-121.999300,
320.300000,1167.285000,37.201070,-121.999350,
319.800000,1172.720000,37.201060,-121.999410,
319.300000,1177.291000,37.201050,-121.999460,
319.000000,1181.862000,37.201040,-121.999510,
318.100000,1186.823000,37.201020,-121.999560,
318.100000,1189.707000,37.201010,-121.999590,
317.800000,1193.176000,37.200990,-121.999620,
317.400000,1196.022000,37.200970,-121.999640,
316.700000,1199.803000,37.200940,-121.999660,
316.000000,1203.259000,37.200910,-121.999670,
315.500000,1205.485000,37.200890,-121.999670,
314.800000,1208.825000,37.200860,-121.999670,
313.900000,1213.277000,37.200820,-121.999670,
312.100000,1225.554000,37.200710,-121.999660,
312.000000,1227.781000,37.200690,-121.999660,
311.900000,1230.007000,37.200670,-121.999660,
312.200000,1231.430000,37.200660,-121.999670,
312.500000,1232.854000,37.200650,-121.999680,
312.900000,1235.250000,37.200630,-121.999690,
313.600000,1237.023000,37.200630,-121.999710,
314.700000,1239.683000,37.200630,-121.999740,
315.400000,1241.457000,37.200630,-121.999760,
316.100000,1243.230000,37.200630,-121.999780,
316.400000,1244.653000,37.200640,-121.999790,
317.000000,1246.747000,37.200650,-121.999810,
317.300000,1248.170000,37.200660,-121.999820,
317.500000,1251.625000,37.200690,-121.999830,
317.600000,1261.644000,37.200780,-121.999830,
319.000000,1276.116000,37.200910,-121.999830,
319.800000,1280.656000,37.200950,-121.999820,
320.800000,1285.196000,37.200990,-121.999810,
321.900000,1289.736000,37.201030,-121.999800,
323.200000,1293.191000,37.201060,-121.999790,
324.400000,1297.461000,37.201090,-121.999760,
325.200000,1301.648000,37.201110,-121.999720,
326.000000,1305.836000,37.201130,-121.999680,
327.600000,1311.387000,37.201160,-121.999630,
328.900000,1317.154000,37.201180,-121.999570,
332.900000,1338.159000,37.201250,-121.999350,
333.600000,1343.710000,37.201280,-121.999300,
333.500000,1349.991000,37.201310,-121.999240,
333.000000,1353.460000,37.201330,-121.999210,
332.600000,1357.241000,37.201360,-121.999190,
332.300000,1361.022000,37.201390,-121.999170,
331.900000,1364.477000,37.201420,-121.999160,
331.400000,1370.114000,37.201470,-121.999150,
331.200000,1374.654000,37.201510,-121.999160,
330.900000,1379.194000,37.201550,-121.999170,
330.600000,1382.649000,37.201580,-121.999180,
330.100000,1385.046000,37.201600,-121.999190,
330.000000,1387.892000,37.201620,-121.999210,
329.600000,1390.288000,37.201640,-121.999220,
330.000000,1393.757000,37.201660,-121.999250,
330.400000,1397.945000,37.201680,-121.999290,
332.200000,1412.601000,37.201750,-121.999430,
333.800000,1444.505000,37.201930,-121.999710,
333.400000,1474.331000,37.202100,-121.999970,
333.300000,1482.706000,37.202140,-122.000050,
333.200000,1491.844000,37.202180,-122.000140,
333.000000,1500.982000,37.202220,-122.000230,
332.900000,1509.633000,37.202250,-122.000320,
332.700000,1523.659000,37.202290,-122.000470,
332.300000,1533.133000,37.202320,-122.000570,
332.400000,1540.313000,37.202330,-122.000650,
332.400000,1544.884000,37.202340,-122.000700,
332.700000,1549.318000,37.202340,-122.000750,
332.900000,1552.864000,37.202340,-122.000790,
333.100000,1555.524000,37.202340,-122.000820,
333.500000,1558.408000,37.202330,-122.000850,
