alt,dst,lat,lon,mdata
214.100000,0.000000,37.197970,-121.993660,E:\Dropbox\website\dev2\climbing\climbs\Montevina-Road.tcx
214.300000,2.883662,37.197980,-121.993690,
214.700000,9.189675,37.197990,-121.993760,
215.900000,46.448195,37.197980,-121.994180,
217.000000,64.494124,37.198010,-121.994380,
218.200000,81.311349,37.198120,-121.994510,
218.800000,95.927379,37.198230,-121.994600,
218.600000,101.694686,37.198250,-121.994660,
219.100000,115.791354,37.198310,-121.994800,
220.100000,131.028914,37.198290,-121.994970,
221.000000,140.846019,37.198300,-121.995080,
221.200000,162.587851,37.198340,-121.995320,
229.600000,198.073939,37.198440,-121.995700,
230.100000,209.608524,37.198480,-121.995820,
229.400000,229.801436,37.198580,-121.996010,
230.200000,243.180474,37.198670,-121.996110,
236.700000,283.499754,37.199030,-121.996160,
241.700000,338.626665,37.199520,-121.996250,
242.600000,364.291342,37.199750,-121.996270,
243.500000,388.255842,37.199950,-121.996370,
244.200000,409.003063,37.200110,-121.996490,
255.300000,478.851268,37.200440,-121.997160,
255.200000,483.722817,37.200470,-121.997200,
256.600000,491.565422,37.200540,-121.997210,
258.200000,496.105600,37.200580,-121.997200,
260.900000,502.274517,37.200630,-121.997170,
264.900000,517.157600,37.200690,-121.997020,
265.300000,523.463394,37.200700,-121.996950,
265.600000,528.034412,37.200710,-121.996900,
265.400000,534.340205,37.200700,-121.996830,
264.700000,540.621602,37.200670,-121.996770,
264.200000,557.524535,37.200620,-121.996590,
263.700000,572.963619,37.200590,-121.996420,
262.600000,587.324149,37.200570,-121.996260,
263.400000,593.091304,37.200590,-121.996200,
264.200000,600.931564,37.200620,-121.996120,
265.200000,616.209116,37.200700,-121.995980,
265.400000,617.632278,37.200710,-121.995970,
261.700000,661.331019,37.200950,-121.995580,
260.600000,669.869977,37.201010,-121.995520,
259.800000,675.506102,37.201060,-121.995510,
260.100000,678.974891,37.201080,-121.995540,
260.500000,680.748241,37.201080,-121.995560,
262.000000,686.183509,37.201070,-121.995620,
263.500000,691.055038,37.201040,-121.995660,
267.500000,710.513865,37.200940,-121.995840,
272.100000,729.431191,37.200910,-121.996050,
275.900000,748.084657,37.200920,-121.996260,
277.400000,759.824499,37.200940,-121.996390,
278.100000,765.591630,37.200960,-121.996450,
280.700000,775.553747,37.201030,-121.996520,
281.300000,778.400066,37.201050,-121.996540,
282.400000,784.681439,37.201080,-121.996600,
282.700000,789.114815,37.201080,-121.996650,
283.500000,796.295033,37.201090,-121.996730,
283.800000,798.955058,37.201090,-121.996760,
286.200000,821.564741,37.201050,-121.997010,
287.300000,835.751550,37.201050,-121.997170,
287.700000,844.036380,37.201070,-121.997260,
287.700000,858.919394,37.201130,-121.997410,
288.300000,870.723604,37.201200,-121.997510,
288.400000,875.595127,37.201230,-121.997550,
288.300000,888.794935,37.201330,-121.997630,
288.600000,905.872815,37.201450,-121.997750,
290.100000,924.108363,37.201570,-121.997890,
294.000000,943.567082,37.201670,-121.998070,
294.100000,945.660861,37.201680,-121.998090,
294.500000,947.434197,37.201680,-121.998110,
295.800000,952.005160,37.201670,-121.998160,
297.200000,958.286498,37.201640,-121.998220,
298.400000,967.366851,37.201560,-121.998240,
296.400000,985.873562,37.201410,-121.998150,
296.000000,997.318846,37.201310,-121.998120,
296.500000,1008.485988,37.201210,-121.998130,
298.400000,1023.610782,37.201090,-121.998210,
300.700000,1047.262236,37.200920,-121.998370,
300.400000,1053.103854,37.200870,-121.998390,
300.500000,1058.290644,37.200830,-121.998420,
301.100000,1066.829610,37.200770,-121.998480,
302.000000,1071.400625,37.200760,-121.998530,
303.300000,1076.835915,37.200770,-121.998590,
305.000000,1083.429890,37.200790,-121.998660,
307.200000,1093.172964,37.200850,-121.998740,
311.500000,1108.445211,37.200940,-121.998870,
315.000000,1121.007969,37.201000,-121.998990,
318.000000,1135.425784,37.201050,-121.999140,
319.900000,1143.710615,37.201070,-121.999230,
321.000000,1153.527363,37.201080,-121.999340,
319.300000,1164.679247,37.201050,-121.999460,
318.100000,1181.980626,37.200990,-121.999640,
316.300000,1188.891166,37.200930,-121.999660,
314.600000,1196.683486,37.200860,-121.999660,
313.500000,1202.249428,37.200810,-121.999660,
311.700000,1214.526561,37.200700,-121.999650,
311.800000,1219.066740,37.200660,-121.999660,
312.900000,1222.535539,37.200640,-121.999690,
314.400000,1226.723139,37.200620,-121.999730,
316.400000,1232.490291,37.200640,-121.999790,
317.300000,1238.659207,37.200690,-121.999820,
317.600000,1248.717063,37.200780,-121.999830,
319.400000,1265.414890,37.200930,-121.999830,
321.800000,1275.472746,37.201020,-121.999820,
323.900000,1283.489330,37.201080,-121.999770,
328.200000,1303.857223,37.201170,-121.999570,
332.600000,1324.042123,37.201240,-121.999360,
332.600000,1344.182917,37.201360,-121.999190,
331.900000,1351.372247,37.201420,-121.999160,
331.200000,1361.390943,37.201510,-121.999160,
