alt,dst,lat,lon,mdata
192.900000,0.000000,37.752753,-121.779239,E:\Dropbox\website\dev2\climbing\climbs\Morgan-Territory-North.tcx
192.800000,16.638258,37.752750,-121.779050,
196.600000,751.351070,37.759350,-121.779010,
197.700000,802.626088,37.759740,-121.779320,
198.600000,820.781985,37.759780,-121.779520,
200.100000,867.070228,37.760050,-121.779920,
201.600000,922.103040,37.760430,-121.780320,
208.100000,1076.874847,37.761680,-121.781090,
209.100000,1192.746051,37.762710,-121.781280,
210.100000,1229.659985,37.763030,-121.781390,
216.000000,1417.840283,37.764720,-121.781440,
213.700000,1514.789743,37.765570,-121.781680,
221.900000,1592.006577,37.766230,-121.781950,
222.000000,1640.164000,37.766660,-121.782010,
221.800000,1688.039192,37.767090,-121.782000,
237.600000,1831.921466,37.768310,-121.781460,
238.800000,1887.985804,37.768750,-121.781150,
244.200000,1923.826484,37.769060,-121.781040,
245.400000,1971.726627,37.769450,-121.780810,
253.000000,2112.372977,37.770660,-121.780350,
261.100000,2202.737236,37.771360,-121.779830,
271.000000,2302.250179,37.772230,-121.779570,
275.100000,2374.589842,37.772720,-121.779030,
275.300000,2418.906580,37.773070,-121.778790,
276.800000,2453.155733,37.773360,-121.778660,
282.200000,2485.109996,37.773640,-121.778580,
284.500000,2536.588099,37.774100,-121.778640,
284.400000,2625.944808,37.774890,-121.778820,
287.600000,2649.575000,37.775090,-121.778910,
288.700000,2656.957800,37.775110,-121.778990,
290.500000,2688.025641,37.775340,-121.778790,
295.900000,2732.248133,37.775600,-121.778410,
297.200000,2753.903932,37.775760,-121.778270,
297.900000,2786.812997,37.776040,-121.778150,
298.800000,2812.431446,37.776270,-121.778140,
300.700000,2927.255803,37.777270,-121.777820,
303.200000,2959.646001,37.777560,-121.777850,
308.100000,2992.033323,37.777840,-121.777950,
314.100000,3024.327776,37.778130,-121.777940,
316.600000,3053.792388,37.778380,-121.777830,
320.500000,3105.751233,37.778750,-121.777470,
322.800000,3138.956485,37.778950,-121.777190,
325.900000,3256.228490,37.779920,-121.776670,
333.400000,3358.557654,37.780660,-121.775980,
344.200000,3503.703267,37.781520,-121.774740,
354.000000,3601.339526,37.781960,-121.773780,
358.000000,3654.940247,37.782130,-121.773210,
361.300000,3693.917552,37.782310,-121.772830,
365.100000,3749.328631,37.782650,-121.772370,
368.200000,3807.715046,37.783080,-121.771990,
378.100000,3916.415672,37.783920,-121.771360,
384.100000,3957.842157,37.784270,-121.771200,
404.000000,4120.560429,37.785730,-121.771110,
409.000000,4172.605209,37.786170,-121.770910,
412.500000,4212.684881,37.786460,-121.770640,
420.500000,4280.224303,37.787000,-121.770290,
429.400000,4355.679682,37.787670,-121.770160,
438.500000,4424.403957,37.788260,-121.769930,
445.500000,4473.667840,37.788700,-121.769990,
446.300000,4490.236049,37.788790,-121.770140,
447.600000,4560.804766,37.788900,-121.770930,
452.500000,4640.362384,37.788970,-121.771830,
451.400000,4676.585298,37.788940,-121.772240,
458.300000,4712.808213,37.788970,-121.772650,
460.600000,4746.120622,37.789130,-121.772970,
466.400000,4793.558337,37.789440,-121.773340,
468.900000,4828.519275,37.789720,-121.773520,
473.200000,4903.149579,37.790390,-121.773550,
475.500000,4923.050475,37.790560,-121.773620,
476.800000,4938.373777,37.790590,-121.773790,
480.500000,4985.051194,37.790570,-121.774320,
482.000000,5025.167804,37.790690,-121.774750,
483.100000,5077.384830,37.790930,-121.775260,
485.100000,5139.534531,37.791290,-121.775800,
486.700000,5171.301493,37.791510,-121.776030,
493.800000,5224.675603,37.791890,-121.776400,
498.500000,5290.033577,37.792440,-121.776660,
504.400000,5323.614093,37.792740,-121.776700,
508.500000,5355.092173,37.793020,-121.776650,
511.600000,5414.794642,37.793530,-121.776440,
514.100000,5434.043188,37.793700,-121.776480,
517.700000,5500.185047,37.794170,-121.776940,
520.200000,5524.675193,37.794390,-121.776940,
523.600000,5561.027604,37.794680,-121.776750,
526.300000,5576.754607,37.794810,-121.776820,
530.800000,5626.161950,37.794900,-121.777370,
531.200000,5648.267186,37.794980,-121.777600,
540.900000,5794.868024,37.795910,-121.778780,
539.700000,5832.506557,37.796200,-121.779000,
540.500000,5861.212190,37.796450,-121.779080,
541.100000,5873.455333,37.796540,-121.779160,
541.700000,5910.739808,37.796740,-121.779500,
545.700000,5959.588742,37.797060,-121.779880,
550.500000,6013.211349,37.797470,-121.780200,
554.300000,6065.310650,37.797800,-121.780620,
566.100000,6160.348224,37.798510,-121.781220,
578.200000,6247.352313,37.799070,-121.781910,
583.200000,6320.178351,37.799670,-121.782240,
589.500000,6360.120489,37.800020,-121.782340,
592.900000,6424.106954,37.800540,-121.782650,
599.700000,6519.711001,37.801210,-121.783330,
604.300000,6629.455148,37.802070,-121.783940,
607.300000,6813.718074,37.802750,-121.785850,
611.900000,6895.250979,37.803120,-121.786650,
614.200000,6926.821443,37.803350,-121.786860,
615.900000,7005.282300,37.803980,-121.787260,
614.900000,7044.649887,37.804210,-121.787600,
618.300000,7168.871737,37.805070,-121.788500,
617.300000,7332.091722,37.806320,-121.789470,
616.600000,7386.090846,37.806650,-121.789920,
634.000000,7786.461465,37.809320,-121.792970,
638.700000,7889.203574,37.810130,-121.793530,
646.500000,8151.904330,37.812370,-121.794470,
646.300000,8187.269964,37.812650,-121.794660,
