alt,dst,lat,lon,mdata
1070.800000,0.000000,38.719540,-120.573920,E:\Dropbox\website\dev2\climbing\climbs\Mormon-Emigrant-Trail.tcx
1068.400000,51.579000,38.719290,-120.573420,
1067.300000,96.559000,38.719090,-120.572970,
1067.100000,110.432000,38.719030,-120.572830,
1066.600000,123.805000,38.718980,-120.572690,
1065.800000,144.102000,38.718900,-120.572480,
1063.900000,167.991000,38.718830,-120.572220,
1062.900000,179.765000,38.718800,-120.572090,
1061.800000,193.533000,38.718760,-120.571940,
1061.200000,206.122000,38.718710,-120.571810,
1060.700000,216.662000,38.718670,-120.571700,
1060.300000,225.658000,38.718630,-120.571610,
1060.000000,241.414000,38.718540,-120.571470,
1059.900000,256.083000,38.718440,-120.571360,
1059.400000,284.680000,38.718220,-120.571190,
1058.700000,304.892000,38.718060,-120.571080,
1058.000000,317.183000,38.717960,-120.571020,
1058.000000,329.702000,38.717850,-120.570990,
1058.100000,340.868000,38.717750,-120.570980,
1057.900000,357.588000,38.717600,-120.570970,
1057.500000,366.536000,38.717520,-120.570960,
1056.100000,375.068000,38.717450,-120.570920,
1055.000000,382.237000,38.717390,-120.570890,
1052.600000,391.269000,38.717330,-120.570820,
1050.200000,399.512000,38.717280,-120.570750,
1046.800000,409.828000,38.717230,-120.570650,
1039.000000,499.999000,38.716870,-120.569720,
1059.800000,571.149000,38.716580,-120.568990,
1063.300000,668.385000,38.716220,-120.567970,
1065.200000,756.804000,38.715880,-120.567050,
1063.400000,781.509000,38.715790,-120.566790,
1061.800000,799.313000,38.715730,-120.566600,
1060.800000,818.088000,38.715690,-120.566390,
1060.400000,834.629000,38.715680,-120.566200,
1060.600000,851.281000,38.715700,-120.566010,
1062.000000,869.523000,38.715750,-120.565810,
1063.000000,883.291000,38.715790,-120.565660,
1063.800000,894.800000,38.715810,-120.565530,
1064.900000,910.434000,38.715810,-120.565350,
1066.500000,930.055000,38.715770,-120.565130,
1067.500000,949.094000,38.715700,-120.564930,
1067.500000,967.344000,38.715630,-120.564740,
1066.700000,985.337000,38.715550,-120.564560,
1065.600000,1006.401000,38.715490,-120.564330,
1064.700000,1020.694000,38.715460,-120.564170,
1063.900000,1032.040000,38.715450,-120.564040,
1062.900000,1045.982000,38.715440,-120.563880,
1061.900000,1061.656000,38.715450,-120.563700,
1061.400000,1082.293000,38.715520,-120.563480,
1060.900000,1101.814000,38.715600,-120.563280,
1060.100000,1120.064000,38.715670,-120.563090,
1059.900000,1131.121000,38.715720,-120.562980,
1059.300000,1144.495000,38.715770,-120.562840,
1058.400000,1154.616000,38.715800,-120.562730,
1056.700000,1164.426000,38.715820,-120.562620,
1054.100000,1172.322000,38.715810,-120.562530,
1049.500000,1184.460000,38.715770,-120.562400,
1043.700000,1199.532000,38.715690,-120.562260,
1047.000000,1283.902000,38.715190,-120.561530,
1045.700000,1340.492000,38.714830,-120.561070,
1055.000000,1367.256000,38.714670,-120.560840,
1059.700000,1384.200000,38.714550,-120.560720,
1062.500000,1395.919000,38.714460,-120.560650,
1065.300000,1410.596000,38.714340,-120.560580,
1067.000000,1422.545000,38.714240,-120.560530,
1068.000000,1450.859000,38.713990,-120.560470,
1071.800000,1489.691000,38.713650,-120.560370,
1078.200000,1539.435000,38.713210,-120.560270,
1080.900000,1567.041000,38.712970,-120.560190,
1082.800000,1581.380000,38.712850,-120.560130,
1085.500000,1602.579000,38.712680,-120.560020,
1086.700000,1621.328000,38.712540,-120.559900,
1087.200000,1636.860000,38.712430,-120.559790,
1087.500000,1664.574000,38.712230,-120.559600,
1087.600000,1690.068000,38.712070,-120.559390,
1087.900000,1711.301000,38.711950,-120.559200,
1089.000000,1736.231000,38.711840,-120.558950,
1090.500000,1765.023000,38.711730,-120.558650,
1092.300000,1797.798000,38.711620,-120.558300,
1095.300000,1831.713000,38.711550,-120.557920,
1098.300000,1864.539000,38.711490,-120.557550,
1100.800000,1913.593000,38.711390,-120.557000,
1102.800000,1951.537000,38.711330,-120.556570,
1104.700000,1981.404000,38.711290,-120.556230,
1107.300000,2019.168000,38.711240,-120.555800,
1110.300000,2054.851000,38.711220,-120.555390,
1114.000000,2091.401000,38.711240,-120.554970,
1119.200000,2135.188000,38.711290,-120.554470,
1124.100000,2183.959000,38.711410,-120.553930,
1127.200000,2223.266000,38.711520,-120.553500,
1129.600000,2254.452000,38.711610,-120.553160,
1132.200000,2284.731000,38.711670,-120.552820,
1133.900000,2316.890000,38.711680,-120.552450,
1135.000000,2345.748000,38.711650,-120.552120,
1136.200000,2372.395000,38.711600,-120.551820,
1137.700000,2411.702000,38.711490,-120.551390,
1139.100000,2429.695000,38.711410,-120.551210,
1142.500000,2448.878000,38.711300,-120.551040,
1151.600000,2495.673000,38.711010,-120.550650,
1160.300000,2550.711000,38.710670,-120.550190,
1172.200000,2617.557000,38.710250,-120.549640,
1173.800000,2639.527000,38.710140,-120.549430,
1174.600000,2662.224000,38.710030,-120.549210,
1174.900000,2688.463000,38.709910,-120.548950,
1174.600000,2724.182000,38.709770,-120.548580,
1174.100000,2744.651000,38.709730,-120.548350,
1173.300000,2765.529000,38.709720,-120.548110,
1172.600000,2788.141000,38.709730,-120.547850,
1172.200000,2804.795000,38.709750,-120.547660,
1171.900000,2820.588000,38.709770,-120.547480,
1172.500000,2857.428000,38.709880,-120.547080,
1174.100000,2902.768000,38.710040,-120.546600,
1179.800000,2983.026000,38.710450,-120.545840,
