alt,dst,lat,lon,mdata
396.900000,0.000000,39.024100,-120.720510,E:\Dropbox\website\dev2\climbing\climbs\Mosquito-Ridge-Rd-East-Foresthill.tcx
394.200000,14.643000,39.024000,-120.720400,
405.200000,31.502000,39.023870,-120.720300,
417.500000,44.971000,39.023750,-120.720280,
423.300000,65.176000,39.023570,-120.720250,
429.900000,97.563000,39.023280,-120.720280,
429.800000,119.826000,39.023080,-120.720280,
430.100000,134.401000,39.022950,-120.720260,
432.100000,227.958000,39.022120,-120.720090,
432.200000,252.463000,39.021900,-120.720100,
432.200000,268.262000,39.021760,-120.720130,
433.100000,295.860000,39.021520,-120.720210,
434.700000,333.308000,39.021240,-120.720450,
444.300000,363.747000,39.021040,-120.720690,
448.100000,430.627000,39.020740,-120.721360,
457.800000,518.232000,39.020680,-120.722370,
457.800000,576.388000,39.020580,-120.723030,
457.200000,624.912000,39.020300,-120.723460,
467.600000,700.532000,39.019700,-120.723870,
469.800000,765.337000,39.019170,-120.724180,
470.200000,778.637000,39.019060,-120.724240,
470.700000,793.339000,39.018930,-120.724270,
471.200000,804.504000,39.018830,-120.724260,
470.900000,815.670000,39.018730,-120.724250,
474.500000,852.711000,39.018440,-120.724040,
475.900000,873.325000,39.018280,-120.723920,
473.700000,892.269000,39.018110,-120.723910,
474.100000,906.971000,39.017980,-120.723880,
475.100000,917.138000,39.017890,-120.723860,
476.700000,929.862000,39.017780,-120.723900,
480.000000,943.538000,39.017700,-120.724020,
482.800000,957.214000,39.017620,-120.724140,
484.200000,976.978000,39.017550,-120.724350,
483.200000,1031.161000,39.017410,-120.724950,
483.600000,1066.756000,39.017270,-120.725320,
489.600000,1168.444000,39.017180,-120.726490,
495.700000,1193.292000,39.017130,-120.726770,
497.500000,1250.068000,39.016840,-120.727310,
499.800000,1287.676000,39.016620,-120.727640,
504.900000,1327.656000,39.016440,-120.728040,
505.700000,1408.305000,39.016160,-120.728900,
516.300000,1449.073000,39.016010,-120.729330,
517.100000,1464.955000,39.015940,-120.729490,
516.800000,1475.724000,39.015860,-120.729560,
516.500000,1495.873000,39.015690,-120.729640,
519.900000,1553.908000,39.015190,-120.729830,
520.900000,1584.958000,39.014930,-120.729960,
529.800000,1642.998000,39.014490,-120.730320,
529.600000,1680.024000,39.014220,-120.730570,
532.200000,1738.096000,39.013910,-120.731110,
533.100000,1755.287000,39.013830,-120.731280,
533.300000,1764.255000,39.013790,-120.731370,
532.900000,1803.411000,39.013680,-120.731800,
532.100000,1825.927000,39.013670,-120.732060,
531.500000,1843.369000,39.013650,-120.732260,
539.300000,1873.838000,39.013520,-120.732570,
541.900000,1899.810000,39.013370,-120.732800,
542.800000,1973.477000,39.012840,-120.733310,
