alt,dst,lat,lon,mdata
187.700000,0.000000,37.161500,-121.843860,E:\Dropbox\website\dev2\climbing\climbs\Mount-Umunhum.tcx
190.800000,44.014000,37.161600,-121.844340,
191.300000,51.452000,37.161620,-121.844420,
191.500000,59.295000,37.161650,-121.844500,
191.800000,63.014000,37.161660,-121.844540,
191.800000,67.887000,37.161690,-121.844580,
192.100000,72.076000,37.161710,-121.844620,
192.000000,75.858000,37.161740,-121.844640,
192.000000,81.046000,37.161780,-121.844670,
192.000000,85.839000,37.161820,-121.844690,
192.000000,99.460000,37.161940,-121.844720,
191.400000,104.000000,37.161980,-121.844730,
190.800000,110.911000,37.162040,-121.844750,
190.700000,115.704000,37.162080,-121.844770,
190.600000,120.891000,37.162120,-121.844800,
190.900000,126.079000,37.162160,-121.844830,
191.700000,131.631000,37.162190,-121.844880,
192.100000,138.571000,37.162230,-121.844940,
193.100000,147.225000,37.162260,-121.845030,
193.800000,154.663000,37.162280,-121.845110,
194.700000,168.696000,37.162320,-121.845260,
196.100000,184.420000,37.162360,-121.845430,
198.200000,205.972000,37.162390,-121.845670,
198.100000,226.600000,37.162450,-121.845890,
198.600000,253.384000,37.162540,-121.846170,
201.100000,298.592000,37.162770,-121.846590,
200.500000,338.156000,37.163000,-121.846930,
200.300000,347.175000,37.163050,-121.847010,
200.800000,359.000000,37.163110,-121.847120,
201.600000,380.153000,37.163200,-121.847330,
202.000000,388.807000,37.163230,-121.847420,
202.400000,398.286000,37.163260,-121.847520,
202.800000,450.067000,37.163500,-121.848020,
203.100000,489.283000,37.163680,-121.848400,
203.500000,506.797000,37.163760,-121.848570,
204.400000,542.333000,37.163900,-121.848930,
205.600000,581.549000,37.164050,-121.849330,
205.900000,597.236000,37.164110,-121.849490,
206.600000,616.844000,37.164200,-121.849680,
206.600000,632.120000,37.164290,-121.849810,
206.800000,642.660000,37.164360,-121.849890,
209.700000,672.835000,37.164590,-121.850070,
211.300000,680.398000,37.164650,-121.850110,
213.900000,694.632000,37.164750,-121.850210,
215.100000,707.825000,37.164820,-121.850330,
216.900000,725.930000,37.164910,-121.850500,
217.600000,742.905000,37.164980,-121.850670,
218.900000,777.160000,37.165110,-121.851020,
224.800000,832.063000,37.165320,-121.851580,
225.200000,862.636000,37.165440,-121.851890,
226.600000,877.882000,37.165490,-121.852050,
227.300000,889.627000,37.165510,-121.852180,
228.500000,902.487000,37.165540,-121.852320,
229.300000,923.777000,37.165540,-121.852560,
233.500000,943.325000,37.165530,-121.852780,
237.900000,963.849000,37.165510,-121.853010,
238.800000,975.595000,37.165490,-121.853140,
238.700000,984.249000,37.165460,-121.853230,
239.000000,993.395000,37.165440,-121.853330,
238.800000,1014.043000,37.165360,-121.853540,
240.900000,1030.356000,37.165330,-121.853720,
246.100000,1047.357000,37.165310,-121.853910,
247.800000,1073.179000,37.165290,-121.854200,
248.300000,1081.240000,37.165300,-121.854290,
249.200000,1090.386000,37.165320,-121.854390,
251.400000,1101.112000,37.165360,-121.854500,
254.900000,1113.679000,37.165420,-121.854620,
258.200000,1124.405000,37.165460,-121.854730,
260.800000,1133.059000,37.165490,-121.854820,
262.000000,1144.216000,37.165520,-121.854940,
262.300000,1156.222000,37.165550,-121.855070,
262.700000,1177.691000,37.165610,-121.855300,
263.900000,1192.579000,37.165670,-121.855450,
266.300000,1207.150000,37.165750,-121.855580,
270.800000,1226.615000,37.165850,-121.855760,
273.500000,1241.233000,37.165940,-121.855880,
275.200000,1263.448000,37.166070,-121.856070,
275.700000,1273.193000,37.166130,-121.856150,
277.200000,1284.980000,37.166220,-121.856220,
278.300000,1295.520000,37.166290,-121.856300,
