alt,dst,lat,lon,mdata
123.000000,0.000000,39.009220,-123.380540,E:\Dropbox\website\dev2\climbing\climbs\Mountain-View-North-1-Booneville.tcx
123.800000,322.335000,39.009180,-123.380640,
124.600000,334.066000,39.009150,-123.380770,
125.100000,342.998000,39.009130,-123.380870,
125.200000,351.647000,39.009130,-123.380970,
125.200000,357.702000,39.009130,-123.381040,
125.200000,362.892000,39.009130,-123.381100,
125.000000,368.200000,39.009140,-123.381160,
124.800000,373.509000,39.009150,-123.381220,
124.400000,381.606000,39.009170,-123.381310,
123.500000,392.510000,39.009200,-123.381430,
122.400000,417.634000,39.009260,-123.381710,
122.700000,439.808000,39.009330,-123.381950,
123.800000,458.806000,39.009380,-123.382160,
124.500000,466.903000,39.009400,-123.382250,
125.300000,476.675000,39.009420,-123.382360,
126.100000,484.539000,39.009430,-123.382450,
127.100000,494.919000,39.009430,-123.382570,
128.900000,509.792000,39.009410,-123.382740,
131.100000,527.127000,39.009400,-123.382940,
134.300000,555.694000,39.009390,-123.383270,
135.900000,569.579000,39.009380,-123.383430,
138.100000,587.198000,39.009350,-123.383630,
139.400000,597.814000,39.009330,-123.383750,
140.600000,607.394000,39.009320,-123.383860,
142.300000,620.416000,39.009310,-123.384010,
151.100000,682.706000,39.009300,-123.384730,
153.800000,695.871000,39.009280,-123.384880,
155.300000,706.310000,39.009270,-123.385000,
155.700000,710.776000,39.009280,-123.385050,
156.300000,715.966000,39.009280,-123.385110,
156.900000,720.432000,39.009290,-123.385160,
157.300000,724.546000,39.009310,-123.385200,
157.600000,727.966000,39.009330,-123.385230,
158.000000,733.119000,39.009370,-123.385260,
158.300000,735.177000,39.009380,-123.385280,
158.800000,739.954000,39.009420,-123.385300,
159.300000,743.715000,39.009450,-123.385320,
159.700000,751.928000,39.009520,-123.385350,
160.200000,759.450000,39.009580,-123.385390,
160.600000,763.679000,39.009610,-123.385420,
161.300000,770.517000,39.009650,-123.385480,
162.200000,777.432000,39.009680,-123.385550,
164.200000,795.947000,39.009770,-123.385730,
167.600000,819.503000,39.009870,-123.385970,
169.600000,832.050000,39.009920,-123.386100,
171.700000,845.378000,39.009970,-123.386240,
173.400000,855.149000,39.009990,-123.386350,
175.300000,865.589000,39.010000,-123.386470,
176.700000,874.521000,39.010020,-123.386570,
177.500000,880.972000,39.010040,-123.386640,
177.800000,885.086000,39.010060,-123.386680,
178.100000,890.550000,39.010090,-123.386730,
179.700000,913.098000,39.010210,-123.386940,
181.100000,926.779000,39.010280,-123.387070,
182.600000,935.711000,39.010300,-123.387170,
183.700000,941.867000,39.010310,-123.387240,
184.200000,944.462000,39.010310,-123.387270,
184.900000,947.286000,39.010300,-123.387300,
185.500000,950.109000,39.010290,-123.387330,
185.800000,951.519000,39.010280,-123.387340,
186.000000,952.929000,39.010270,-123.387350,
186.300000,954.339000,39.010260,-123.387360,
186.700000,956.727000,39.010240,-123.387370,
186.900000,958.954000,39.010220,-123.387370,
187.000000,960.067000,39.010210,-123.387370,
187.200000,962.293000,39.010190,-123.387370,
187.400000,969.459000,39.010130,-123.387340,
187.300000,977.416000,39.010070,-123.387290,
187.500000,991.076000,39.009960,-123.387220,
188.200000,1000.630000,39.009880,-123.387180,
189.400000,1008.612000,39.009810,-123.387160,
190.500000,1014.245000,39.009760,-123.387150,
192.300000,1022.085000,39.009690,-123.387140,
195.100000,1034.330000,39.009580,-123.387140,
197.400000,1048.802000,39.009450,-123.387140,
199.000000,1066.050000,39.009300,-123.387190,
200.300000,1081.424000,39.009170,-123.387250,
200.800000,1090.372000,39.009090,-123.387260,
201.400000,1098.212000,39.009020,-123.387270,
201.300000,1106.425000,39.008950,-123.387240,
201.200000,1121.092000,39.008830,-123.387170,
201.700000,1137.132000,39.008700,-123.387090,
203.500000,1161.697000,39.008500,-123.386970,
206.500000,1179.521000,39.008360,-123.386870,
208.900000,1194.566000,39.008240,-123.386790,
209.400000,1199.343000,39.008200,-123.386770,
210.300000,1205.171000,39.008150,-123.386750,
210.800000,1214.119000,39.008070,-123.386740,
211.000000,1218.655000,39.008030,-123.386750,
211.200000,1224.796000,39.007980,-123.386780,
211.300000,1227.615000,39.007960,-123.386800,
211.400000,1231.845000,39.007930,-123.386830,
211.600000,1235.959000,39.007910,-123.386870,
212.000000,1242.411000,39.007890,-123.386940,
212.400000,1247.719000,39.007880,-123.387000,
214.300000,1264.192000,39.007870,-123.387190,
219.600000,1287.547000,39.007870,-123.387460,
222.900000,1314.362000,39.007870,-123.387770,
223.800000,1329.235000,39.007890,-123.387940,
225.900000,1346.678000,39.007910,-123.388140,
228.100000,1356.258000,39.007920,-123.388250,
229.800000,1362.710000,39.007940,-123.388320,
230.900000,1368.866000,39.007950,-123.388390,
232.100000,1374.514000,39.007970,-123.388450,
233.000000,1380.161000,39.007990,-123.388510,
233.700000,1384.970000,39.008020,-123.388550,
234.400000,1395.391000,39.008090,-123.388630,
234.700000,1413.718000,39.008220,-123.388760,
235.100000,1431.749000,39.008340,-123.388900,
235.500000,1442.006000,39.008400,-123.388990,
236.500000,1464.554000,39.008520,-123.389200,
238.400000,1489.156000,39.008650,-123.389430,
240.000000,1506.950000,39.008740,-123.389600,
242.100000,1529.579000,39.008850,-123.389820,
243.000000,1538.547000,39.008890,-123.389910,
243.400000,1545.462000,39.008920,-123.389980,
244.100000,1553.146000,39.008950,-123.390060,
244.700000,1558.454000,39.008960,-123.390120,
246.200000,1570.184000,39.008990,-123.390250,
247.000000,1578.049000,39.009000,-123.390340,
258.800000,1680.131000,39.009120,-123.391510,
262.300000,1706.295000,39.009150,-123.391810,
264.300000,1716.735000,39.009160,-123.391930,
265.300000,1722.043000,39.009170,-123.391990,
266.800000,1729.312000,39.009190,-123.392070,
269.800000,1743.030000,39.009230,-123.392220,
271.700000,1754.053000,39.009280,-123.392330,
275.800000,1772.242000,39.009350,-123.392520,
278.300000,1786.642000,39.009420,-123.392660,
280.200000,1796.900000,39.009480,-123.392750,
281.100000,1801.708000,39.009510,-123.392790,
