alt,dst,lat,lon,mdata
136.600000,0.000000,38.993920,-123.435110,E:\Dropbox\website\dev2\climbing\climbs\Mountain-View-Rd-North-2-Booneville.tcx
137.100000,22.014000,38.994090,-123.435240,
136.500000,39.839000,38.994230,-123.435340,
136.600000,53.077000,38.994320,-123.435440,
137.100000,83.817000,38.994490,-123.435720,
137.200000,93.548000,38.994530,-123.435820,
137.400000,107.568000,38.994550,-123.435980,
137.100000,116.291000,38.994560,-123.436080,
136.900000,122.449000,38.994550,-123.436150,
136.500000,131.383000,38.994530,-123.436250,
136.000000,139.481000,38.994510,-123.436340,
135.500000,149.212000,38.994470,-123.436440,
134.900000,167.907000,38.994390,-123.436630,
135.000000,178.933000,38.994340,-123.436740,
135.500000,193.053000,38.994290,-123.436890,
136.000000,209.591000,38.994240,-123.437070,
136.300000,222.992000,38.994210,-123.437220,
136.800000,232.722000,38.994170,-123.437320,
137.200000,241.195000,38.994140,-123.437410,
137.600000,248.880000,38.994110,-123.437490,
138.500000,257.896000,38.994050,-123.437560,
139.600000,265.418000,38.993990,-123.437600,
143.100000,286.569000,38.993800,-123.437600,
144.100000,300.900000,38.993680,-123.437540,
144.200000,316.268000,38.993640,-123.437370,
144.500000,332.744000,38.993630,-123.437180,
145.300000,350.947000,38.993640,-123.436970,
147.500000,370.717000,38.993710,-123.436760,
151.800000,388.460000,38.993770,-123.436570,
152.900000,401.009000,38.993820,-123.436440,
153.500000,413.355000,38.993880,-123.436320,
156.300000,432.497000,38.993980,-123.436140,
156.700000,442.228000,38.994020,-123.436040,
157.100000,448.386000,38.994030,-123.435970,
156.800000,457.109000,38.994040,-123.435870,
159.000000,465.207000,38.994020,-123.435780,
160.900000,474.177000,38.993980,-123.435690,
161.700000,487.477000,38.993870,-123.435630,
162.000000,495.317000,38.993800,-123.435620,
163.800000,504.593000,38.993720,-123.435650,
164.000000,511.148000,38.993670,-123.435690,
164.600000,517.356000,38.993630,-123.435740,
164.500000,525.586000,38.993590,-123.435820,
164.400000,536.883000,38.993550,-123.435940,
164.900000,552.250000,38.993510,-123.436110,
168.100000,572.020000,38.993440,-123.436320,
173.300000,603.040000,38.993300,-123.436630,
176.000000,622.501000,38.993220,-123.436830,
176.500000,640.368000,38.993180,-123.437030,
178.200000,652.933000,38.993150,-123.437170,
179.000000,666.100000,38.993130,-123.437320,
180.400000,683.547000,38.993110,-123.437520,
181.400000,698.629000,38.993080,-123.437690,
182.000000,714.361000,38.993060,-123.437870,
182.500000,729.237000,38.993040,-123.438040,
183.600000,763.145000,38.993010,-123.438430,
185.200000,784.803000,38.993000,-123.438680,
186.300000,795.245000,38.993010,-123.438800,
188.900000,801.301000,38.993010,-123.438870,
192.100000,811.075000,38.993030,-123.438980,
192.800000,815.941000,38.993050,-123.439030,
191.200000,824.957000,38.993110,-123.439100,
191.500000,827.014000,38.993120,-123.439120,
188.600000,836.915000,38.993200,-123.439170,
187.700000,847.685000,38.993280,-123.439240,
188.600000,871.116000,38.993430,-123.439430,
200.400000,916.232000,38.993690,-123.439830,
207.100000,945.087000,38.993870,-123.440070,
205.900000,974.948000,38.994070,-123.440300,
206.000000,979.063000,38.994090,-123.440340,
206.300000,981.887000,38.994100,-123.440370,
206.700000,988.340000,38.994120,-123.440440,
207.900000,993.531000,38.994120,-123.440500,
209.500000,1003.973000,38.994130,-123.440620,
211.300000,1013.490000,38.994130,-123.440730,
212.500000,1018.799000,38.994140,-123.440790,
213.800000,1024.447000,38.994160,-123.440850,
217.200000,1037.428000,38.994230,-123.440970,
218.000000,1039.486000,38.994240,-123.440990,
219.400000,1046.535000,38.994290,-123.441040,
219.500000,1048.924000,38.994310,-123.441050,
219.700000,1062.532000,38.994430,-123.441080,
220.600000,1081.944000,38.994600,-123.441130,
220.300000,1099.193000,38.994750,-123.441180,
220.600000,1110.477000,38.994840,-123.441240,
221.300000,1119.493000,38.994900,-123.441310,
221.800000,1127.178000,38.994930,-123.441390,
222.000000,1133.630000,38.994950,-123.441460,
222.400000,1139.788000,38.994960,-123.441530,
223.000000,1152.103000,38.994980,-123.441670,
224.100000,1165.270000,38.995000,-123.441820,
225.900000,1177.003000,38.995030,-123.441950,
228.700000,1186.277000,38.995060,-123.442050,
232.800000,1196.784000,38.995100,-123.442160,
235.700000,1209.200000,38.995180,-123.442260,
238.500000,1223.628000,38.995270,-123.442380,
239.500000,1232.644000,38.995330,-123.442450,
240.400000,1238.109000,38.995360,-123.442500,
241.200000,1242.974000,38.995380,-123.442550,
241.500000,1247.089000,38.995400,-123.442590,
242.100000,1250.549000,38.995400,-123.442630,
242.300000,1254.185000,38.995410,-123.442670,
243.300000,1260.342000,38.995400,-123.442740,
245.300000,1269.616000,38.995370,-123.442840,
247.900000,1287.793000,38.995320,-123.443040,
248.800000,1294.245000,38.995300,-123.443110,
248.800000,1295.975000,38.995300,-123.443130,
249.000000,1300.301000,38.995300,-123.443180,
248.800000,1308.400000,38.995320,-123.443270,
248.400000,1312.515000,38.995340,-123.443310,
248.200000,1319.785000,38.995360,-123.443390,
247.600000,1330.810000,38.995410,-123.443500,
247.800000,1335.277000,38.995420,-123.443550,
248.900000,1347.440000,38.995430,-123.443690,
249.800000,1355.227000,38.995430,-123.443780,
252.400000,1377.749000,38.995420,-123.444040,
254.600000,1392.499000,38.995430,-123.444210,
257.100000,1403.801000,38.995420,-123.444340,
257.800000,1410.253000,38.995440,-123.444410,
258.300000,1413.888000,38.995450,-123.444450,
258.500000,1420.728000,38.995490,-123.444510,
258.400000,1427.777000,38.995540,-123.444560,
258.700000,1435.388000,38.995590,-123.444620,
258.200000,1452.248000,38.995720,-123.444720,
258.100000,1454.637000,38.995740,-123.444730,
258.400000,1460.809000,38.995770,-123.444790,
259.700000,1470.083000,38.995800,-123.444890,
260.200000,1474.550000,38.995810,-123.444940,
260.900000,1478.875000,38.995810,-123.444990,
261.300000,1483.201000,38.995810,-123.445040,
261.700000,1486.025000,38.995800,-123.445070,
262.400000,1490.891000,38.995780,-123.445120,
262.900000,1493.710000,38.995760,-123.445140,
263.100000,1495.120000,38.995750,-123.445150,
264.200000,1501.261000,38.995700,-123.445180,
266.000000,1510.209000,38.995620,-123.445190,
269.400000,1529.310000,38.995450,-123.445160,
271.500000,1552.703000,38.995240,-123.445150,
271.800000,1559.603000,38.995180,-123.445130,
272.000000,1568.879000,38.995100,-123.445100,
272.100000,1575.020000,38.995050,-123.445070,
272.400000,1583.479000,38.994990,-123.445010,
273.000000,1600.567000,38.994900,-123.444850,
274.400000,1620.562000,38.994810,-123.444650,
275.700000,1641.576000,38.994730,-123.444430,
276.500000,1647.041000,38.994700,-123.444380,
277.000000,1650.461000,38.994680,-123.444350,
277.600000,1653.280000,38.994660,-123.444330,
278.400000,1656.730000,38.994630,-123.444320,
279.100000,1660.180000,38.994600,-123.444310,
279.900000,1664.633000,38.994560,-123.444310,
280.700000,1669.169000,38.994520,-123.444320,
281.000000,1671.557000,38.994500,-123.444330,
282.700000,1686.550000,38.994390,-123.444430,
285.600000,1708.588000,38.994230,-123.444580,
286.200000,1714.796000,38.994190,-123.444630,
287.400000,1726.973000,38.994100,-123.444710,
288.600000,1734.955000,38.994030,-123.444730,
290.600000,1749.453000,38.993900,-123.444740,
292.600000,1764.027000,38.993770,-123.444720,
292.900000,1767.367000,38.993740,-123.444720,
292.900000,1769.755000,38.993720,-123.444730,
291.900000,1778.214000,38.993660,-123.444790,
290.000000,1788.473000,38.993600,-123.444880,
286.700000,1804.933000,38.993520,-123.445040,
285.400000,1813.406000,38.993490,-123.445130,
284.400000,1826.807000,38.993460,-123.445280,
285.300000,1845.280000,38.993430,-123.445490,
287.300000,1857.845000,38.993400,-123.445630,
288.600000,1864.003000,38.993390,-123.445700,
290.400000,1869.651000,38.993370,-123.445760,
295.400000,1883.334000,38.993300,-123.445890,
299.100000,1903.145000,38.993190,-123.446070,
301.300000,1920.233000,38.993100,-123.446230,
306.100000,1944.559000,38.993000,-123.446480,
310.000000,1971.220000,38.992900,-123.446760,
310.600000,1980.494000,38.992870,-123.446860,
312.800000,1995.529000,38.992790,-123.447000,
316.400000,2011.989000,38.992710,-123.447160,
320.900000,2033.499000,38.992620,-123.447380,
320.800000,2044.965000,38.992600,-123.447510,
320.700000,2056.431000,38.992580,-123.447640,
