alt,dst,lat,lon,mdata
500.300000,0.000000,34.138460,-117.707190,E:\Dropbox\website\dev2\climbing\climbs\Mt-Baldy-Claremont.tcx
500.900000,12.784000,34.138530,-117.707080,
501.900000,43.380000,34.138690,-117.706810,
507.900000,187.614000,34.139470,-117.705560,
510.000000,218.142000,34.139640,-117.705300,
516.300000,403.603000,34.140640,-117.703690,
517.300000,419.218000,34.140730,-117.703560,
518.500000,435.716000,34.140840,-117.703440,
519.100000,453.056000,34.140960,-117.703320,
519.400000,465.494000,34.141050,-117.703240,
519.800000,486.044000,34.141200,-117.703110,
520.400000,503.711000,34.141330,-117.703000,
521.000000,528.569000,34.141530,-117.702880,
521.300000,543.403000,34.141650,-117.702810,
521.900000,566.120000,34.141840,-117.702720,
522.400000,582.372000,34.141980,-117.702670,
522.900000,598.386000,34.142120,-117.702630,
523.800000,620.033000,34.142310,-117.702580,
524.800000,642.372000,34.142510,-117.702560,
525.200000,653.656000,34.142610,-117.702540,
525.800000,674.887000,34.142800,-117.702520,
528.300000,748.823000,34.143460,-117.702430,
529.000000,779.384000,34.143730,-117.702370,
530.200000,804.490000,34.143950,-117.702310,
531.900000,835.669000,34.144220,-117.702220,
533.000000,850.602000,34.144350,-117.702180,
534.700000,879.176000,34.144590,-117.702070,
535.700000,895.712000,34.144730,-117.702010,
536.500000,908.141000,34.144830,-117.701950,
537.300000,929.826000,34.145010,-117.701860,
537.300000,947.479000,34.145150,-117.701770,
537.300000,959.908000,34.145250,-117.701710,
537.300000,975.165000,34.145370,-117.701630,
537.300000,997.082000,34.145540,-117.701510,
537.500000,1012.804000,34.145660,-117.701420,
537.900000,1027.592000,34.145770,-117.701330,
538.500000,1053.910000,34.145960,-117.701160,
538.900000,1066.348000,34.146050,-117.701080,
539.300000,1079.353000,34.146140,-117.700990,
539.800000,1090.912000,34.146220,-117.700910,
540.600000,1108.252000,34.146340,-117.700790,
541.200000,1121.863000,34.146430,-117.700690,
542.200000,1137.552000,34.146530,-117.700570,
542.700000,1148.930000,34.146600,-117.700480,
542.800000,1152.479000,34.146620,-117.700450,
543.300000,1163.858000,34.146690,-117.700360,
543.900000,1178.108000,34.146780,-117.700250,
544.200000,1186.627000,34.146830,-117.700180,
544.600000,1198.693000,34.146900,-117.700080,
545.200000,1209.340000,34.146960,-117.699990,
545.600000,1220.900000,34.147040,-117.699910,
545.900000,1225.873000,34.147070,-117.699870,
547.000000,1249.302000,34.147200,-117.699670,
547.700000,1266.371000,34.147290,-117.699520,
549.000000,1289.267000,34.147400,-117.699310,
550.600000,1324.502000,34.147560,-117.698980,
551.400000,1345.800000,34.147640,-117.698770,
551.800000,1354.411000,34.147680,-117.698690,
554.600000,1423.782000,34.147980,-117.698030,
557.700000,1484.028000,34.148230,-117.697450,
558.500000,1514.725000,34.148350,-117.697150,
559.000000,1524.957000,34.148390,-117.697050,
559.400000,1536.026000,34.148430,-117.696940,
560.300000,1566.410000,34.148560,-117.696650,
563.000000,1632.823000,34.148850,-117.696020,
566.100000,1689.291000,34.149090,-117.695480,
569.100000,1755.704000,34.149380,-117.694850,
572.400000,1834.485000,34.149720,-117.694100,
574.500000,1877.774000,34.149910,-117.693690,
576.200000,1910.308000,34.150050,-117.693380,
578.500000,1950.103000,34.150220,-117.693000,
580.400000,1986.939000,34.150380,-117.692650,
581.300000,2000.583000,34.150420,-117.692510,
583.200000,2032.599000,34.150550,-117.692200,
586.200000,2082.107000,34.150750,-117.691720,
589.300000,2147.676000,34.150990,-117.691070,
591.400000,2186.839000,34.151130,-117.690680,
593.700000,2214.933000,34.151230,-117.690400,
596.700000,2247.298000,34.151350,-117.690080,
597.800000,2260.504000,34.151400,-117.689950,
598.200000,2268.340000,34.151440,-117.689880,
599.300000,2295.591000,34.151540,-117.689610,
600.500000,2322.003000,34.151640,-117.689350,
603.200000,2339.495000,34.151710,-117.689180,
606.600000,2351.872000,34.151760,-117.689060,
610.000000,2368.312000,34.151840,-117.688910,
611.700000,2381.095000,34.151910,-117.688800,
615.200000,2403.852000,34.152030,-117.688600,
615.900000,2414.499000,34.152090,-117.688510,
617.300000,2437.927000,34.152220,-117.688310,
624.800000,2508.925000,34.152640,-117.687730,
623.300000,2549.397000,34.152880,-117.687400,
623.400000,2577.805000,34.153050,-117.687170,
623.800000,2586.324000,34.153100,-117.687100,
625.100000,2596.970000,34.153160,-117.687010,
635.800000,2644.831000,34.153470,-117.686650,
635.400000,2653.501000,34.153530,-117.686590,
635.200000,2673.155000,34.153670,-117.686460,
635.400000,2704.364000,34.153890,-117.686250,
637.800000,2755.014000,34.154260,-117.685930,
638.300000,2763.128000,34.154320,-117.685880,
639.500000,2775.565000,34.154410,-117.685800,
640.500000,2788.002000,34.154500,-117.685720,
641.400000,2802.252000,34.154590,-117.685610,
645.600000,2829.314000,34.154760,-117.685400,
654.100000,2888.310000,34.155120,-117.684930,
655.400000,2897.594000,34.155180,-117.684860,
656.200000,2908.319000,34.155250,-117.684780,
656.700000,2925.085000,34.155370,-117.684670,
657.000000,2937.523000,34.155460,-117.684590,
657.600000,2953.749000,34.155580,-117.684490,
660.000000,2968.537000,34.155690,-117.684400,
665.100000,2984.777000,34.155820,-117.684320,
668.900000,3006.830000,34.156000,-117.684220,
669.500000,3023.366000,34.156140,-117.684160,
669.400000,3038.857000,34.156270,-117.684100,
669.600000,3054.685000,34.156410,-117.684070,
669.500000,3066.154000,34.156510,-117.684040,
669.800000,3080.743000,34.156640,-117.684020,
670.900000,3096.436000,34.156780,-117.684000,
674.200000,3122.105000,34.157010,-117.683980,
677.400000,3141.119000,34.157180,-117.683960,
680.800000,3163.402000,34.157380,-117.683950,
682.200000,3177.903000,34.157510,-117.683940,
683.000000,3191.293000,34.157630,-117.683930,
683.200000,3204.682000,34.157750,-117.683920,
683.200000,3215.966000,34.157850,-117.683900,
683.200000,3229.823000,34.157970,-117.683860,
685.100000,3241.549000,34.158070,-117.683820,
687.500000,3257.392000,34.158200,-117.683750,
688.100000,3270.826000,34.158310,-117.683690,
688.800000,3285.614000,34.158420,-117.683600,
689.900000,3294.666000,34.158490,-117.683550,
690.600000,3302.779000,34.158550,-117.683500,
690.800000,3312.893000,34.158620,-117.683430,
691.000000,3326.773000,34.158720,-117.683340,
691.000000,3344.111000,34.158840,-117.683220,
691.600000,3359.164000,34.158940,-117.683110,
692.100000,3373.044000,34.159040,-117.683020,
692.600000,3384.486000,34.159130,-117.682960,
692.700000,3398.778000,34.159240,-117.682880,
692.800000,3417.420000,34.159390,-117.682790,
692.600000,3430.855000,34.159500,-117.682730,
691.600000,3443.937000,34.159610,-117.682680,
690.700000,3453.262000,34.159690,-117.682650,
689.400000,3468.195000,34.159820,-117.682610,
688.600000,3479.478000,34.159920,-117.682590,
687.400000,3493.119000,34.160040,-117.682560,
687.300000,3504.251000,34.160140,-117.682560,
691.500000,3526.515000,34.160340,-117.682560,
696.500000,3561.036000,34.160650,-117.682570,
696.900000,3576.621000,34.160790,-117.682570,
697.000000,3593.318000,34.160940,-117.682570,
697.400000,3614.469000,34.161130,-117.682570,
697.200000,3639.028000,34.161350,-117.682550,
699.500000,3668.030000,34.161610,-117.682530,
706.400000,3692.589000,34.161830,-117.682510,
702.000000,3721.547000,34.162090,-117.682500,
701.300000,3748.327000,34.162330,-117.682480,
701.900000,3762.915000,34.162460,-117.682460,
702.500000,3771.868000,34.162540,-117.682450,
703.100000,3782.261000,34.162630,-117.682420,
703.300000,3795.343000,34.162740,-117.682370,
703.400000,3807.390000,34.162840,-117.682320,
702.000000,3819.304000,34.162930,-117.682250,
700.600000,3829.785000,34.163010,-117.682190,
698.500000,3845.679000,34.163120,-117.682080,
697.000000,3859.168000,34.163200,-117.681970,
696.400000,3869.114000,34.163260,-117.681890,
696.300000,3879.876000,34.163310,-117.681790,
698.400000,3897.095000,34.163390,-117.681630,
704.700000,3911.382000,34.163460,-117.681500,
710.000000,3923.757000,34.163510,-117.681380,
714.800000,3945.281000,34.163610,-117.681180,
718.000000,3966.022000,34.163710,-117.680990,
718.100000,3973.858000,34.163750,-117.680920,
717.500000,3983.803000,34.163810,-117.680840,
718.000000,3999.491000,34.163910,-117.680720,
718.400000,4011.049000,34.163990,-117.680640,
718.400000,4026.372000,34.164100,-117.680540,
718.800000,4038.286000,34.164190,-117.680470,
719.100000,4048.312000,34.164270,-117.680420,
718.100000,4075.573000,34.164490,-117.680290,
726.200000,4113.858000,34.164800,-117.680110,
727.500000,4138.318000,34.165000,-117.680000,
727.200000,4161.388000,34.165190,-117.679900,
727.300000,4186.514000,34.165400,-117.679800,
727.500000,4204.102000,34.165550,-117.679740,
727.500000,4220.116000,34.165690,-117.679700,
727.200000,4242.852000,34.165890,-117.679650,
727.100000,4261.040000,34.166050,-117.679610,
762.800000,4971.939000,34.172250,-117.677760,
763.600000,5006.837000,34.172550,-117.677650,
762.600000,5023.088000,34.172690,-117.677600,
763.000000,5060.747000,34.173020,-117.677510,
759.100000,5141.034000,34.173720,-117.677300,
761.100000,5170.900000,34.173980,-117.677220,
760.900000,5175.719000,34.174020,-117.677200,
761.000000,5180.266000,34.174060,-117.677190,
761.000000,5187.494000,34.174120,-117.677160,
760.900000,5196.113000,34.174190,-117.677120,
761.600000,5214.364000,34.174340,-117.677040,
761.900000,5221.039000,34.174390,-117.677000,
773.400000,5272.158000,34.174800,-117.676750,
774.300000,5282.184000,34.174880,-117.676700,
777.300000,5309.719000,34.175110,-117.676590,
778.900000,5357.146000,34.175520,-117.676450,
778.400000,5373.945000,34.175670,-117.676430,
780.200000,5386.190000,34.175780,-117.676430,
783.100000,5395.095000,34.175860,-117.676430,
786.200000,5424.097000,34.176120,-117.676450,
786.300000,5474.494000,34.176570,-117.676510,
787.000000,5484.681000,34.176660,-117.676530,
793.300000,5514.962000,34.176930,-117.676570,
800.900000,5574.419000,34.177460,-117.676650,
803.100000,5584.480000,34.177550,-117.676660,
804.700000,5604.707000,34.177730,-117.676690,
806.600000,5630.721000,34.177960,-117.676740,
809.600000,5644.205000,34.178080,-117.676760,
810.300000,5654.598000,34.178170,-117.676790,
809.200000,5673.247000,34.178330,-117.676850,
808.900000,5680.475000,34.178390,-117.676880,
808.900000,5686.689000,34.178440,-117.676910,
808.900000,5697.715000,34.178530,-117.676960,
809.700000,5712.005000,34.178640,-117.677040,
810.700000,5750.119000,34.178930,-117.677260,
811.100000,5762.983000,34.179030,-117.677330,
812.000000,5777.273000,34.179140,-117.677410,
812.400000,5785.892000,34.179210,-117.677450,
813.000000,5794.511000,34.179280,-117.677490,
813.500000,5800.725000,34.179330,-117.677520,
813.800000,5806.588000,34.179380,-117.677540,
814.000000,5812.230000,34.179430,-117.677550,
814.600000,5821.554000,34.179510,-117.677580,
814.900000,5827.196000,34.179560,-117.677590,
815.400000,5833.938000,34.179620,-117.677600,
816.100000,5839.580000,34.179670,-117.677610,
816.700000,5845.221000,34.179720,-117.677620,
816.600000,5853.013000,34.179790,-117.677620,
816.400000,5860.806000,34.179860,-117.677620,
816.100000,5871.938000,34.179960,-117.677620,
818.100000,5893.168000,34.180150,-117.677600,
822.900000,5935.560000,34.180530,-117.677570,
826.800000,5964.517000,34.180790,-117.677560,
826.900000,5973.423000,34.180870,-117.677560,
826.800000,5980.102000,34.180930,-117.677560,
826.800000,5985.743000,34.180980,-117.677570,
826.600000,5991.309000,34.181030,-117.677570,
826.700000,5998.238000,34.181090,-117.677590,
826.400000,6006.084000,34.181160,-117.677600,
825.900000,6024.481000,34.181320,-117.677650,
829.700000,6100.225000,34.181980,-117.677850,
833.700000,6111.694000,34.182080,-117.677880,
835.500000,6117.336000,34.182130,-117.677890,
836.200000,6127.397000,34.182220,-117.677900,
835.900000,6136.350000,34.182300,-117.677910,
835.600000,6141.916000,34.182350,-117.677910,
835.100000,6146.463000,34.182390,-117.677900,
833.900000,6155.416000,34.182470,-117.677890,
833.600000,6162.158000,34.182530,-117.677880,
833.700000,6170.165000,34.182600,-117.677860,
834.000000,6181.635000,34.182700,-117.677830,
836.800000,6190.729000,34.182780,-117.677810,
839.100000,6200.366000,34.182860,-117.677770,
839.800000,6221.715000,34.183040,-117.677690,
839.600000,6272.030000,34.183450,-117.677460,
832.500000,6296.490000,34.183650,-117.677350,
845.400000,6346.059000,34.184060,-117.677140,
851.600000,6367.743000,34.184240,-117.677050,
852.000000,6413.879000,34.184620,-117.676850,
851.600000,6423.516000,34.184700,-117.676810,
849.800000,6438.349000,34.184820,-117.676740,
848.800000,6454.884000,34.184960,-117.676680,
849.100000,6464.208000,34.185040,-117.676650,
849.200000,6472.475000,34.185110,-117.676620,
849.300000,6480.482000,34.185180,-117.676600,
849.200000,6485.029000,34.185220,-117.676590,
849.500000,6489.482000,34.185260,-117.676590,
849.600000,6498.435000,34.185340,-117.676580,
849.500000,6505.177000,34.185400,-117.676570,
849.500000,6512.970000,34.185470,-117.676570,
849.200000,6528.554000,34.185610,-117.676570,
849.200000,6537.507000,34.185690,-117.676580,
850.600000,6590.029000,34.186160,-117.676630,
856.900000,6610.151000,34.186340,-117.676650,
863.700000,6638.042000,34.186590,-117.676670,
858.500000,6696.191000,34.187110,-117.676730,
856.900000,6733.110000,34.187440,-117.676770,
855.700000,6765.511000,34.187730,-117.676800,
862.000000,6814.629000,34.188170,-117.676840,
869.000000,6842.596000,34.188420,-117.676870,
869.100000,6858.289000,34.188560,-117.676890,
869.100000,6871.773000,34.188680,-117.676910,
868.700000,6876.226000,34.188720,-117.676910,
868.600000,6880.773000,34.188760,-117.676920,
868.900000,6889.041000,34.188830,-117.676950,
868.300000,6900.510000,34.188930,-117.676980,
868.300000,6908.778000,34.189000,-117.677010,
868.500000,6924.620000,34.189130,-117.677080,
868.500000,6936.666000,34.189230,-117.677130,
869.600000,6958.130000,34.189400,-117.677240,
870.600000,6973.385000,34.189520,-117.677320,
876.800000,7015.887000,34.189860,-117.677530,
877.000000,7034.529000,34.190010,-117.677620,
877.700000,7056.980000,34.190190,-117.677730,
879.900000,7079.432000,34.190370,-117.677840,
881.700000,7100.092000,34.190540,-117.677930,
882.900000,7117.330000,34.190680,-117.678010,
883.100000,7124.957000,34.190740,-117.678050,
881.900000,7139.086000,34.190860,-117.678100,
882.900000,7154.019000,34.190990,-117.678140,
884.600000,7160.947000,34.191050,-117.678160,
888.600000,7174.804000,34.191170,-117.678200,
889.000000,7187.187000,34.191280,-117.678220,
889.200000,7196.281000,34.191360,-117.678240,
888.800000,7209.671000,34.191480,-117.678250,
890.700000,7227.577000,34.191640,-117.678270,
895.700000,7250.972000,34.191850,-117.678280,
904.700000,7265.560000,34.191980,-117.678300,
916.900000,7284.507000,34.192150,-117.678310,
916.600000,7299.007000,34.192280,-117.678320,
912.600000,7315.731000,34.192430,-117.678330,
902.900000,7335.852000,34.192610,-117.678350,
894.200000,7372.691000,34.192940,-117.678380,
894.000000,7409.611000,34.193270,-117.678420,
894.100000,7430.781000,34.193460,-117.678430,
893.100000,7450.819000,34.193640,-117.678430,
892.900000,7461.951000,34.193740,-117.678430,
895.500000,7473.121000,34.193840,-117.678420,
899.600000,7480.967000,34.193910,-117.678410,
902.200000,7485.420000,34.193950,-117.678410,
904.300000,7489.967000,34.193990,-117.678400,
905.100000,7495.608000,34.194040,-117.678390,
905.900000,7501.250000,34.194090,-117.678380,
906.300000,7507.113000,34.194140,-117.678360,
907.000000,7513.855000,34.194200,-117.678350,
907.300000,7524.247000,34.194290,-117.678320,
906.700000,7531.475000,34.194350,-117.678290,
902.800000,7545.332000,34.194470,-117.678250,
899.200000,7559.787000,34.194590,-117.678190,
897.300000,7573.221000,34.194700,-117.678130,
894.900000,7611.114000,34.195010,-117.677960,
893.600000,7646.599000,34.195300,-117.677800,
892.900000,7701.728000,34.195750,-117.677550,
906.300000,7782.330000,34.196410,-117.677190,
908.600000,7804.381000,34.196590,-117.677090,
908.500000,7811.609000,34.196650,-117.677060,
908.300000,7816.427000,34.196690,-117.677040,
908.000000,7823.356000,34.196750,-117.677020,
907.600000,7828.997000,34.196800,-117.677010,
906.700000,7837.004000,34.196870,-117.676990,
906.200000,7841.457000,34.196910,-117.676990,
905.600000,7844.921000,34.196940,-117.676980,
903.100000,7854.940000,34.197030,-117.676980,
901.300000,7864.959000,34.197120,-117.676980,
900.700000,7871.638000,34.197180,-117.676980,
900.500000,7880.591000,34.197260,-117.676990,
899.900000,7886.157000,34.197310,-117.676990,
899.700000,7895.251000,34.197390,-117.677010,
898.700000,7907.633000,34.197500,-117.677030,
900.300000,7922.221000,34.197630,-117.677050,
901.400000,7933.505000,34.197730,-117.677070,
903.000000,7950.429000,34.197880,-117.677100,
904.600000,7962.709000,34.197990,-117.677110,
906.200000,7970.556000,34.198060,-117.677120,
908.100000,7979.461000,34.198140,-117.677120,
909.600000,7986.140000,34.198200,-117.677120,
910.800000,7991.706000,34.198250,-117.677120,
911.800000,7997.348000,34.198300,-117.677110,
913.100000,8004.090000,34.198360,-117.677100,
913.400000,8008.909000,34.198400,-117.677080,
914.400000,8014.550000,34.198450,-117.677070,
915.100000,8021.478000,34.198510,-117.677050,
916.300000,8031.871000,34.198600,-117.677020,
916.500000,8040.490000,34.198670,-117.676980,
916.900000,8046.352000,34.198720,-117.676960,
916.800000,8053.980000,34.198780,-117.676920,
917.100000,8060.193000,34.198830,-117.676890,
916.800000,8066.867000,34.198880,-117.676850,
916.500000,8074.979000,34.198940,-117.676800,
916.000000,8098.093000,34.199100,-117.676640,
922.600000,8124.096000,34.199280,-117.676460,
923.400000,8140.588000,34.199390,-117.676340,
922.800000,8162.034000,34.199530,-117.676180,
922.000000,8177.717000,34.199630,-117.676060,
921.700000,8190.719000,34.199720,-117.675970,
921.400000,8198.831000,34.199780,-117.675920,
921.400000,8206.458000,34.199840,-117.675880,
921.500000,8211.276000,34.199880,-117.675860,
921.500000,8216.095000,34.199920,-117.675840,
921.800000,8221.958000,34.199970,-117.675820,
922.000000,8226.776000,34.200010,-117.675800,
922.600000,8230.240000,34.200040,-117.675790,
924.000000,8235.882000,34.200090,-117.675780,
925.200000,8239.346000,34.200120,-117.675770,
926.900000,8243.893000,34.200160,-117.675760,
928.900000,8249.459000,34.200210,-117.675760,
930.000000,8253.912000,34.200250,-117.675760,
931.500000,8261.704000,34.200320,-117.675760,
933.000000,8269.711000,34.200390,-117.675780,
933.500000,8273.050000,34.200420,-117.675780,
934.800000,8278.913000,34.200470,-117.675800,
936.200000,8284.555000,34.200520,-117.675810,
943.300000,8478.233000,34.202180,-117.676440,
942.100000,8496.881000,34.202340,-117.676500,
952.600000,8525.918000,34.202590,-117.676590,
953.700000,8546.967000,34.202770,-117.676660,
953.700000,8563.217000,34.202910,-117.676710,
954.700000,8585.077000,34.203100,-117.676770,
955.900000,8597.630000,34.203210,-117.676800,
958.300000,8607.816000,34.203300,-117.676820,
960.200000,8614.558000,34.203360,-117.676830,
962.100000,8621.238000,34.203420,-117.676830,
965.200000,8630.191000,34.203500,-117.676840,
969.600000,8641.360000,34.203600,-117.676830,
979.000000,8659.195000,34.203760,-117.676820,
986.600000,8669.256000,34.203850,-117.676810,
971.600000,8742.934000,34.204510,-117.676750,
972.400000,8765.274000,34.204710,-117.676730,
977.000000,8775.335000,34.204800,-117.676720,
979.600000,8780.901000,34.204850,-117.676720,
982.500000,8789.994000,34.204930,-117.676700,
983.800000,8796.737000,34.204990,-117.676690,
984.500000,8802.378000,34.205040,-117.676680,
984.700000,8805.842000,34.205070,-117.676670,
985.400000,8809.182000,34.205100,-117.676670,
985.600000,8812.646000,34.205130,-117.676660,
985.800000,8818.509000,34.205180,-117.676640,
986.400000,8824.150000,34.205230,-117.676630,
986.500000,8830.013000,34.205280,-117.676610,
986.900000,8836.941000,34.205340,-117.676590,
987.000000,8844.169000,34.205400,-117.676560,
986.800000,8850.382000,34.205450,-117.676530,
986.800000,8856.596000,34.205500,-117.676500,
987.300000,8870.029000,34.205610,-117.676440,
987.100000,8877.656000,34.205670,-117.676400,
987.300000,8892.488000,34.205790,-117.676330,
987.300000,8902.513000,34.205870,-117.676280,
987.800000,8928.775000,34.206080,-117.676150,
993.800000,8948.825000,34.206240,-117.676050,
997.600000,8965.063000,34.206370,-117.675970,
998.200000,8973.681000,34.206440,-117.675930,
998.500000,8982.300000,34.206510,-117.675890,
998.500000,8987.118000,34.206550,-117.675870,
998.600000,8994.047000,34.206610,-117.675850,
998.600000,9000.975000,34.206670,-117.675830,
998.700000,9005.522000,34.206710,-117.675820,
998.600000,9012.450000,34.206770,-117.675800,
998.800000,9022.511000,34.206860,-117.675790,
998.600000,9028.152000,34.206910,-117.675780,
998.700000,9032.605000,34.206950,-117.675780,
998.800000,9039.284000,34.207010,-117.675780,
998.800000,9051.529000,34.207120,-117.675780,
998.100000,9069.340000,34.207280,-117.675780,
997.500000,9087.175000,34.207440,-117.675790,
998.500000,9098.345000,34.207540,-117.675800,
999.800000,9103.911000,34.207590,-117.675800,
1002.800000,9110.653000,34.207650,-117.675810,
1004.300000,9113.993000,34.207680,-117.675810,
1004.800000,9118.540000,34.207720,-117.675820,
1005.300000,9120.949000,34.207740,-117.675830,
1005.700000,9124.413000,34.207770,-117.675840,
1005.500000,9128.960000,34.207810,-117.675850,
1005.600000,9133.779000,34.207850,-117.675870,
1005.400000,9137.243000,34.207880,-117.675880,
1005.300000,9142.061000,34.207920,-117.675900,
1005.900000,9146.395000,34.207950,-117.675930,
1005.600000,9164.045000,34.208090,-117.676020,
1011.700000,9251.735000,34.208750,-117.676540,
1016.100000,9268.887000,34.208880,-117.676640,
1017.200000,9284.141000,34.209000,-117.676720,
1018.800000,9299.982000,34.209130,-117.676790,
