alt,dst,lat,lon,mdata
56.100000,0.000000,37.914160,-122.007560,E:\Dropbox\website\dev2\climbing\climbs\Mt-Diablo-(North-Gate).tcx
56.500000,17.572000,37.914040,-122.007430,
57.000000,30.736000,37.913940,-122.007350,
57.000000,32.154000,37.913930,-122.007340,
57.500000,81.049000,37.913530,-122.007110,
57.300000,112.744000,37.913550,-122.006750,
57.500000,149.647000,37.913560,-122.006330,
58.300000,174.338000,37.913540,-122.006050,
58.700000,186.233000,37.913510,-122.005920,
59.000000,222.272000,37.913370,-122.005550,
59.100000,249.253000,37.913290,-122.005260,
59.200000,269.727000,37.913260,-122.005030,
59.300000,293.439000,37.913260,-122.004760,
62.400000,502.464000,37.913250,-122.002380,
62.800000,518.272000,37.913250,-122.002200,
63.400000,537.593000,37.913250,-122.001980,
66.800000,701.828000,37.913240,-122.000110,
68.400000,762.427000,37.913240,-121.999420,
68.700000,776.523000,37.913230,-121.999260,
69.300000,791.494000,37.913220,-121.999090,
69.300000,792.373000,37.913220,-121.999080,
70.500000,829.276000,37.913210,-121.998660,
71.100000,854.488000,37.913160,-121.998380,
71.600000,879.448000,37.913090,-121.998110,
73.000000,929.972000,37.912880,-121.997600,
73.600000,965.826000,37.912680,-121.997280,
74.200000,1016.872000,37.912320,-121.996920,
76.400000,1065.522000,37.911930,-121.996670,
77.000000,1110.245000,37.911580,-121.996420,
77.000000,1185.101000,37.910960,-121.996090,
77.100000,1246.414000,37.910430,-121.995900,
78.900000,1281.179000,37.910130,-121.995790,
79.800000,1348.091000,37.909550,-121.995590,
79.900000,1351.864000,37.909520,-121.995570,
81.000000,1378.939000,37.909280,-121.995520,
81.300000,1396.772000,37.909120,-121.995530,
81.400000,1407.939000,37.909020,-121.995520,
81.000000,1481.991000,37.908380,-121.995750,
81.500000,1511.450000,37.908130,-121.995860,
81.800000,1538.296000,37.907890,-121.995890,
81.300000,1563.915000,37.907660,-121.995880,
80.800000,1594.781000,37.907390,-121.995800,
80.900000,1610.504000,37.907260,-121.995730,
81.100000,1625.210000,37.907140,-121.995660,
82.100000,1694.525000,37.906590,-121.995290,
82.300000,1774.753000,37.905950,-121.994870,
82.100000,1791.243000,37.905820,-121.994780,
84.700000,1862.938000,37.905250,-121.994400,
84.800000,1865.774000,37.905230,-121.994380,
86.100000,1906.493000,37.904900,-121.994180,
87.300000,1938.876000,37.904620,-121.994080,
89.800000,1977.094000,37.904290,-121.993960,
90.700000,1996.201000,37.904120,-121.993930,
92.300000,2019.643000,37.903910,-121.993910,
92.800000,2057.492000,37.903570,-121.993910,
96.400000,2099.829000,37.903190,-121.993930,
97.700000,2115.513000,37.903050,-121.993910,
98.600000,2131.196000,37.902910,-121.993890,
99.100000,2145.009000,37.902790,-121.993850,
99.700000,2158.821000,37.902670,-121.993810,
100.300000,2170.788000,37.902570,-121.993760,
100.700000,2177.968000,37.902510,-121.993730,
101.600000,2191.670000,37.902400,-121.993660,
