alt,dst,lat,lon,mdata
124.100000,0.000000,37.384040,-121.815910,E:\Dropbox\website\dev2\climbing\climbs\Mt-Hamilton-West-Livermore.tcx
124.200000,9.121000,37.384000,-121.815820,
124.400000,20.331000,37.383950,-121.815710,
124.200000,36.486000,37.383880,-121.815550,
124.800000,51.873000,37.383810,-121.815400,
126.100000,69.213000,37.383720,-121.815240,
125.800000,87.282000,37.383630,-121.815070,
125.700000,106.709000,37.383530,-121.814890,
129.500000,140.670000,37.383350,-121.814580,
130.400000,148.996000,37.383300,-121.814510,
130.700000,154.683000,37.383260,-121.814470,
131.100000,161.792000,37.383210,-121.814420,
131.700000,178.309000,37.383080,-121.814330,
131.900000,187.892000,37.383000,-121.814290,
132.100000,196.123000,37.382930,-121.814260,
132.400000,206.748000,37.382840,-121.814220,
133.500000,222.949000,37.382700,-121.814170,
134.900000,231.180000,37.382630,-121.814140,
136.100000,238.367000,37.382570,-121.814110,
137.200000,246.378000,37.382510,-121.814060,
137.500000,253.487000,37.382460,-121.814010,
137.900000,263.218000,37.382400,-121.813930,
138.100000,271.578000,37.382360,-121.813850,
138.500000,281.481000,37.382320,-121.813750,
139.200000,293.456000,37.382290,-121.813620,
140.400000,305.168000,37.382270,-121.813490,
141.400000,325.742000,37.382210,-121.813270,
141.800000,330.303000,37.382200,-121.813220,
142.600000,343.078000,37.382150,-121.813090,
142.900000,356.934000,37.382070,-121.812970,
143.000000,363.210000,37.382030,-121.812920,
143.200000,369.486000,37.381990,-121.812870,
143.400000,372.950000,37.381970,-121.812840,
143.500000,377.215000,37.381940,-121.812810,
144.000000,393.741000,37.381820,-121.812700,
144.600000,401.752000,37.381760,-121.812650,
147.300000,417.774000,37.381640,-121.812550,
150.000000,445.145000,37.381440,-121.812370,
151.100000,475.883000,37.381220,-121.812160,
153.100000,506.873000,37.381010,-121.811930,
153.800000,516.826000,37.380940,-121.811860,
153.900000,523.421000,37.380890,-121.811820,
154.400000,530.530000,37.380840,-121.811770,
154.800000,536.218000,37.380800,-121.811730,
154.700000,545.800000,37.380720,-121.811690,
154.700000,554.358000,37.380650,-121.811650,
154.100000,569.491000,37.380520,-121.811600,
153.500000,585.691000,37.380380,-121.811550,
153.300000,592.600000,37.380320,-121.811530,
153.500000,609.716000,37.380180,-121.811450,
155.100000,641.779000,37.379930,-121.811270,
155.700000,652.146000,37.379850,-121.811210,
156.200000,664.478000,37.379750,-121.811150,
156.600000,674.061000,37.379670,-121.811110,
157.600000,692.196000,37.379520,-121.811030,
159.700000,708.713000,37.379390,-121.810940,
161.100000,719.560000,37.379310,-121.810870,
161.700000,729.513000,37.379240,-121.810800,
162.000000,740.888000,37.379160,-121.810720,
162.600000,760.349000,37.379040,-121.810560,
163.100000,778.405000,37.378930,-121.810410,
164.200000,797.425000,37.378850,-121.810220,
164.800000,810.201000,37.378800,-121.810090,
165.000000,822.533000,37.378760,-121.809960,
165.000000,829.113000,37.378740,-121.809890,
165.200000,838.235000,37.378720,-121.809790,
166.200000,859.062000,37.378680,-121.809560,
166.900000,869.735000,37.378670,-121.809440,
168.500000,886.689000,37.378650,-121.809250,
170.000000,901.891000,37.378630,-121.809080,
170.500000,912.737000,37.378610,-121.808960,
170.700000,921.858000,37.378590,-121.808860,
170.600000,931.762000,37.378550,-121.808760,
170.200000,944.538000,37.378500,-121.808630,
169.900000,964.344000,37.378420,-121.808430,
176.500000,1010.728000,37.378220,-121.807970,
178.200000,1040.438000,37.378100,-121.807670,
178.500000,1050.726000,37.378070,-121.807560,
178.700000,1061.013000,37.378040,-121.807450,
178.800000,1069.280000,37.378020,-121.807360,
178.700000,1079.568000,37.377990,-121.807250,
179.300000,1093.022000,37.377970,-121.807100,
184.000000,1122.298000,37.377950,-121.806770,
185.300000,1141.791000,37.377940,-121.806550,
185.900000,1159.796000,37.377910,-121.806350,
187.000000,1170.642000,37.377890,-121.806230,
187.600000,1178.909000,37.377870,-121.806140,
188.400000,1193.298000,37.377820,-121.805990,
189.400000,1213.104000,37.377740,-121.805790,
190.100000,1232.125000,37.377660,-121.805600,
189.700000,1313.452000,37.377300,-121.804800,
190.200000,1331.180000,37.377230,-121.804620,
190.200000,1340.302000,37.377190,-121.804530,
190.300000,1356.756000,37.377130,-121.804360,
190.800000,1372.440000,37.377090,-121.804190,
190.800000,1379.020000,37.377070,-121.804120,
191.100000,1385.312000,37.377060,-121.804050,
192.400000,1398.766000,37.377040,-121.803900,
194.100000,1409.613000,37.377020,-121.803780,
195.800000,1419.407000,37.377010,-121.803670,
196.400000,1429.201000,37.377000,-121.803560,
196.600000,1438.931000,37.377000,-121.803450,
196.700000,1446.008000,37.377000,-121.803370,
196.800000,1454.924000,37.377010,-121.803270,
196.900000,1462.088000,37.377020,-121.803190,
197.000000,1468.379000,37.377030,-121.803120,
197.100000,1473.331000,37.377050,-121.803070,
197.200000,1480.750000,37.377070,-121.802990,
197.600000,1494.328000,37.377120,-121.802850,
199.300000,1514.929000,37.377200,-121.802640,
200.000000,1525.630000,37.377240,-121.802530,
200.100000,1536.758000,37.377270,-121.802410,
200.000000,1548.258000,37.377270,-121.802280,
201.100000,1561.712000,37.377250,-121.802130,
202.200000,1568.004000,37.377240,-121.802060,
203.200000,1573.759000,37.377220,-121.802000,
204.800000,1582.393000,37.377190,-121.801910,
205.400000,1586.573000,37.377170,-121.801870,
206.200000,1591.525000,37.377150,-121.801820,
207.000000,1597.067000,37.377120,-121.801770,
208.700000,1609.533000,37.377050,-121.801660,
209.600000,1623.219000,37.376950,-121.801570,
210.100000,1631.751000,37.376890,-121.801510,
210.700000,1644.017000,37.376800,-121.801430,
211.900000,1664.806000,37.376650,-121.801290,
213.100000,1674.759000,37.376580,-121.801220,
217.100000,1717.117000,37.376290,-121.800910,
217.800000,1760.896000,37.375990,-121.800590,
219.600000,1790.864000,37.375800,-121.800350,
227.000000,1844.283000,37.375480,-121.799900,
228.400000,1878.990000,37.375270,-121.799610,
229.000000,1902.568000,37.375130,-121.799410,
229.300000,1933.072000,37.374950,-121.799150,
229.700000,1945.625000,37.374870,-121.799050,
230.000000,1956.472000,37.374790,-121.798980,
231.900000,1973.433000,37.374660,-121.798880,
232.300000,2006.467000,37.374400,-121.798700,
232.200000,2021.573000,37.374290,-121.798600,
232.900000,2028.609000,37.374260,-121.798530,
233.400000,2034.365000,37.374240,-121.798470,
234.400000,2040.557000,37.374240,-121.798400,
235.200000,2045.865000,37.374240,-121.798340,
236.300000,2052.136000,37.374270,-121.798280,
237.100000,2057.001000,37.374300,-121.798240,
237.900000,2061.793000,37.374340,-121.798220,
239.000000,2066.059000,37.374370,-121.798190,
239.300000,2068.285000,37.374390,-121.798190,
239.700000,2071.624000,37.374420,-121.798190,
240.400000,2076.077000,37.374460,-121.798190,
240.200000,2083.264000,37.374520,-121.798220,
240.000000,2093.632000,37.374600,-121.798280,
239.200000,2108.738000,37.374710,-121.798380,
239.200000,2124.379000,37.374820,-121.798490,
239.100000,2142.752000,37.374960,-121.798600,
240.100000,2155.084000,37.375060,-121.798660,
240.700000,2166.036000,37.375150,-121.798710,
242.000000,2196.571000,37.375410,-121.798820,
242.200000,2211.985000,37.375540,-121.798880,
242.800000,2221.064000,37.375620,-121.798900,
243.100000,2227.974000,37.375680,-121.798920,
243.600000,2233.540000,37.375730,-121.798920,
243.600000,2235.936000,37.375750,-121.798930,
244.000000,2239.275000,37.375780,-121.798930,
244.700000,2244.911000,37.375830,-121.798920,
245.400000,2250.751000,37.375880,-121.798900,
245.900000,2254.531000,37.375910,-121.798880,
246.400000,2258.796000,37.375940,-121.798850,
246.800000,2264.484000,37.375980,-121.798810,
247.500000,2272.111000,37.376020,-121.798740,
247.800000,2278.382000,37.376050,-121.798680,
248.400000,2287.504000,37.376090,-121.798590,
249.300000,2297.486000,37.376110,-121.798480,
249.600000,2304.066000,37.376130,-121.798410,
250.000000,2316.650000,37.376150,-121.798270,
250.300000,2327.496000,37.376170,-121.798150,
251.100000,2339.050000,37.376180,-121.798020,
252.200000,2353.592000,37.376210,-121.797860,
253.200000,2363.574000,37.376230,-121.797750,
254.100000,2373.030000,37.376260,-121.797650,
254.400000,2381.391000,37.376300,-121.797570,
254.400000,2386.343000,37.376320,-121.797520,
254.400000,2392.098000,37.376340,-121.797460,
254.300000,2395.808000,37.376350,-121.797420,
254.200000,2403.227000,37.376370,-121.797340,
254.400000,2409.518000,37.376380,-121.797270,
254.900000,2414.941000,37.376370,-121.797210,
255.400000,2422.360000,37.376350,-121.797130,
256.200000,2436.992000,37.376280,-121.796990,
256.500000,2443.920000,37.376240,-121.796930,
256.700000,2472.440000,37.376100,-121.796660,
257.900000,2491.868000,37.376000,-121.796480,
259.100000,2503.854000,37.375950,-121.796360,
260.200000,2512.488000,37.375920,-121.796270,
260.900000,2520.755000,37.375900,-121.796180,
261.800000,2529.877000,37.375880,-121.796080,
262.200000,2534.300000,37.375880,-121.796030,
262.400000,2538.010000,37.375870,-121.795990,
262.900000,2551.325000,37.375860,-121.795840,
264.800000,2575.236000,37.375850,-121.795570,
264.600000,2586.790000,37.375840,-121.795440,
264.500000,2602.752000,37.375830,-121.795260,
265.100000,2626.869000,37.375800,-121.794990,
265.900000,2645.744000,37.375770,-121.794780,
266.100000,2657.457000,37.375750,-121.794650,
266.000000,2668.957000,37.375750,-121.794520,
269.400000,2701.707000,37.375740,-121.794150,
275.400000,2732.848000,37.375710,-121.793800,
276.000000,2743.522000,37.375700,-121.793680,
276.800000,2764.753000,37.375700,-121.793440,
277.000000,2778.907000,37.375700,-121.793280,
276.700000,2791.341000,37.375710,-121.793140,
275.900000,2808.296000,37.375730,-121.792950,
275.900000,2822.839000,37.375760,-121.792790,
276.700000,2846.789000,37.375820,-121.792530,
278.800000,2864.056000,37.375880,-121.792350,
280.600000,2874.508000,37.375930,-121.792250,
281.800000,2885.648000,37.376000,-121.792160,
282.600000,2895.076000,37.376070,-121.792100,
283.300000,2904.036000,37.376140,-121.792050,
283.900000,2911.223000,37.376200,-121.792020,
284.500000,2920.806000,37.376280,-121.791980,
284.800000,2925.990000,37.376320,-121.791950,
285.100000,2930.855000,37.376350,-121.791910,
285.300000,2934.319000,37.376370,-121.791880,
285.600000,2938.585000,37.376400,-121.791850,
286.100000,2943.537000,37.376420,-121.791800,
286.300000,2947.246000,37.376430,-121.791760,
286.700000,2950.955000,37.376440,-121.791720,
287.100000,2957.247000,37.376450,-121.791650,
287.500000,2965.208000,37.376450,-121.791560,
287.900000,2973.170000,37.376450,-121.791470,
287.800000,2982.292000,37.376430,-121.791370,
287.800000,2992.274000,37.376410,-121.791260,
287.500000,2997.226000,37.376390,-121.791210,
286.900000,3014.163000,37.376320,-121.791040,
286.600000,3021.989000,37.376290,-121.790960,
286.200000,3031.892000,37.376250,-121.790860,
286.200000,3038.184000,37.376240,-121.790790,
286.100000,3048.166000,37.376220,-121.790680,
286.200000,3055.330000,37.376210,-121.790600,
286.900000,3063.369000,37.376220,-121.790510,
