alt,dst,lat,lon,mdata
1108.500000,0.000000,41.327390,-122.322480,E:\Dropbox\website\dev2\climbing\climbs\Mt-Shasta-Mt.-Shasta.tcx
1108.700000,12.693000,41.327280,-122.322440,
1108.800000,15.437000,41.327290,-122.322410,
1109.100000,22.790000,41.327330,-122.322340,
1109.500000,30.144000,41.327370,-122.322270,
1109.700000,37.104000,41.327420,-122.322220,
1109.900000,43.597000,41.327470,-122.322180,
1110.200000,58.913000,41.327600,-122.322120,
1110.600000,100.662000,41.327960,-122.321980,
1116.300000,178.537000,41.327850,-122.321060,
1116.600000,182.863000,41.327840,-122.321010,
1120.200000,251.672000,41.327730,-122.320200,
1121.000000,268.974000,41.327690,-122.320000,
1121.300000,280.718000,41.327650,-122.319870,
1121.500000,290.935000,41.327610,-122.319760,
1122.000000,332.389000,41.327380,-122.319370,
1122.000000,339.742000,41.327340,-122.319300,
1122.000000,358.459000,41.327240,-122.319120,
1122.100000,367.201000,41.327200,-122.319030,
1122.200000,380.920000,41.327150,-122.318880,
1122.200000,386.058000,41.327140,-122.318820,
1122.400000,395.321000,41.327130,-122.318710,
1122.900000,404.583000,41.327120,-122.318600,
1124.200000,430.498000,41.327120,-122.318290,
1127.000000,503.234000,41.327130,-122.317420,
1132.300000,647.853000,41.327130,-122.315690,
1135.000000,743.988000,41.327130,-122.314540,
1143.300000,1030.727000,41.327110,-122.311110,
1145.500000,1090.916000,41.327110,-122.310390,
1148.400000,1145.264000,41.327120,-122.309740,
1160.100000,1433.676000,41.327100,-122.306290,
1160.200000,1437.856000,41.327100,-122.306240,
1164.100000,1520.248000,41.327840,-122.306260,
1167.000000,1574.897000,41.328330,-122.306300,
1171.500000,1664.093000,41.329130,-122.306360,
1172.100000,1675.256000,41.329230,-122.306370,
1173.500000,1712.077000,41.329560,-122.306400,
1174.000000,1727.862000,41.329700,-122.306430,
1174.500000,1742.549000,41.329830,-122.306460,
1175.100000,1757.612000,41.329960,-122.306510,
1175.500000,1769.236000,41.330060,-122.306550,
1176.300000,1795.113000,41.330280,-122.306650,
1181.100000,1949.864000,41.331570,-122.307340,
1188.000000,2091.216000,41.332760,-122.307930,
1190.400000,2132.982000,41.333110,-122.308110,
1191.700000,2153.053000,41.333280,-122.308190,
1194.400000,2197.197000,41.333650,-122.308380,
1197.900000,2251.893000,41.334110,-122.308610,
1199.300000,2277.331000,41.334320,-122.308730,
1205.100000,2393.116000,41.335290,-122.309230,
1227.500000,2837.230000,41.339010,-122.311150,
1233.500000,2961.488000,41.340050,-122.311690,
1235.500000,2992.119000,41.340310,-122.311810,
1237.700000,3024.390000,41.340590,-122.311910,
1239.000000,3041.419000,41.340740,-122.311950,
1240.400000,3060.417000,41.340910,-122.311970,
1241.200000,3070.435000,41.341000,-122.311970,
