alt,dst,lat,lon,mdata
201.800000,0.000000,37.840980,-121.949290,E:\Dropbox\website\dev2\climbing\climbs\Mt.-Diablo-South-Gate-Danville.tcx
201.900000,1.418000,37.840990,-121.949300,
201.700000,13.837000,37.841060,-121.949410,
201.900000,23.767000,37.841130,-121.949480,
202.700000,37.471000,37.841240,-121.949550,
204.000000,60.351000,37.841440,-121.949610,
204.300000,70.408000,37.841530,-121.949620,
204.500000,80.465000,37.841620,-121.949630,
205.000000,89.414000,37.841700,-121.949620,
205.100000,96.093000,37.841760,-121.949620,
206.600000,135.213000,37.842110,-121.949580,
207.100000,188.827000,37.842590,-121.949530,
207.100000,194.393000,37.842640,-121.949530,
207.200000,197.732000,37.842670,-121.949530,
207.200000,199.959000,37.842690,-121.949530,
207.300000,202.352000,37.842710,-121.949540,
207.400000,205.189000,37.842730,-121.949560,
207.400000,206.608000,37.842740,-121.949570,
207.400000,209.470000,37.842750,-121.949600,
207.400000,211.228000,37.842750,-121.949620,
207.400000,213.866000,37.842750,-121.949650,
207.500000,216.503000,37.842750,-121.949680,
207.500000,219.365000,37.842740,-121.949710,
207.500000,222.817000,37.842720,-121.949740,
207.600000,227.666000,37.842690,-121.949780,
207.700000,233.340000,37.842650,-121.949820,
207.900000,241.637000,37.842600,-121.949890,
208.100000,246.487000,37.842570,-121.949930,
208.200000,250.742000,37.842540,-121.949960,
208.400000,253.605000,37.842530,-121.949990,
208.600000,256.467000,37.842520,-121.950020,
208.700000,259.330000,37.842510,-121.950050,
208.900000,262.192000,37.842520,-121.950080,
208.900000,264.830000,37.842520,-121.950110,
209.000000,267.667000,37.842540,-121.950130,
209.100000,269.748000,37.842550,-121.950150,
209.300000,272.584000,37.842570,-121.950170,
209.400000,274.811000,37.842590,-121.950170,
209.600000,278.264000,37.842620,-121.950180,
209.700000,280.658000,37.842640,-121.950170,
209.900000,285.197000,37.842680,-121.950160,
210.600000,295.556000,37.842770,-121.950130,
210.700000,297.783000,37.842790,-121.950130,
210.900000,302.322000,37.842830,-121.950120,
211.100000,305.661000,37.842860,-121.950120,
211.200000,310.200000,37.842900,-121.950130,
211.400000,318.042000,37.842970,-121.950140,
211.500000,345.458000,37.843210,-121.950210,
211.800000,361.264000,37.843350,-121.950240,
212.100000,370.213000,37.843430,-121.950250,
212.400000,373.552000,37.843460,-121.950250,
212.800000,376.892000,37.843490,-121.950250,
213.600000,381.430000,37.843530,-121.950240,
214.800000,386.996000,37.843580,-121.950240,
216.900000,393.903000,37.843640,-121.950220,
218.100000,398.356000,37.843680,-121.950220,
219.100000,402.809000,37.843720,-121.950220,
220.300000,408.374000,37.843770,-121.950220,
221.300000,417.323000,37.843850,-121.950230,
221.500000,425.165000,37.843920,-121.950240,
221.600000,430.731000,37.843970,-121.950240,
221.600000,435.184000,37.844010,-121.950240,
221.700000,439.722000,37.844050,-121.950230,
221.800000,442.116000,37.844070,-121.950220,
222.000000,446.655000,37.844110,-121.950210,
222.400000,451.830000,37.844150,-121.950180,
222.900000,456.679000,37.844180,-121.950140,
223.500000,461.529000,37.844210,-121.950100,
224.100000,465.691000,37.844230,-121.950060,
224.800000,469.852000,37.844250,-121.950020,
225.500000,473.541000,37.844260,-121.949980,
226.200000,476.403000,37.844270,-121.949950,
226.900000,479.919000,37.844270,-121.949910,
227.300000,483.608000,37.844260,-121.949870,
227.700000,487.124000,37.844260,-121.949830,
227.900000,489.986000,37.844250,-121.949800,
228.800000,512.477000,37.844180,-121.949560,
230.800000,544.111000,37.844050,-121.949240,
234.800000,566.204000,37.843970,-121.949010,
240.900000,649.708000,37.843520,-121.948250,
243.400000,679.270000,37.843400,-121.947950,
243.100000,695.224000,37.843300,-121.947820,
243.300000,707.500000,37.843190,-121.947810,
242.700000,725.495000,37.843080,-121.947960,
247.800000,756.594000,37.842920,-121.948250,
248.900000,771.173000,37.842810,-121.948340,
251.700000,787.149000,37.842670,-121.948300,
254.300000,818.600000,37.842410,-121.948160,
258.000000,834.470000,37.842320,-121.948020,
260.800000,849.579000,37.842300,-121.947850,
260.100000,869.205000,37.842330,-121.947630,
260.100000,904.757000,37.842490,-121.947280,
260.700000,933.222000,37.842670,-121.947050,
259.600000,965.309000,37.842900,-121.946830,
261.400000,986.901000,37.843040,-121.946660,
262.100000,1004.539000,37.843110,-121.946480,
262.100000,1024.016000,37.843200,-121.946290,
261.900000,1037.131000,37.843270,-121.946170,
261.700000,1045.428000,37.843320,-121.946100,
262.900000,1053.939000,37.843380,-121.946040,
263.300000,1057.390000,37.843400,-121.946010,
263.900000,1060.027000,37.843400,-121.945980,
264.400000,1062.890000,37.843390,-121.945950,
264.800000,1065.727000,37.843370,-121.945930,
265.200000,1068.564000,37.843350,-121.945910,
266.500000,1077.074000,37.843290,-121.945850,
268.800000,1091.782000,37.843170,-121.945780,
274.000000,1142.166000,37.842900,-121.945320,
276.900000,1187.854000,37.842620,-121.944940,
279.800000,1283.578000,37.842160,-121.944020,
279.200000,1311.242000,37.842020,-121.943760,
278.800000,1324.615000,37.842000,-121.943610,
278.500000,1338.533000,37.842040,-121.943460,
279.300000,1363.371000,37.842180,-121.943240,
286.300000,1407.790000,37.842460,-121.942880,
286.600000,1457.574000,37.842760,-121.942460,
285.400000,1493.449000,37.842960,-121.942140,
286.200000,1524.655000,37.843180,-121.941920,
288.200000,1557.108000,37.843370,-121.941640,
288.100000,1575.103000,37.843480,-121.941490,
287.700000,1582.135000,37.843480,-121.941410,
288.900000,1591.214000,37.843440,-121.941320,
289.000000,1622.395000,37.843160,-121.941330,
292.700000,1638.888000,37.843030,-121.941240,
294.700000,1655.536000,37.842950,-121.941080,
294.800000,1685.938000,37.842900,-121.940740,
294.200000,1705.406000,37.842920,-121.940520,
295.200000,1720.480000,37.843030,-121.940420,
296.800000,1741.756000,37.843180,-121.940270,
296.600000,1749.352000,37.843220,-121.940200,
294.400000,1757.342000,37.843210,-121.940110,
293.000000,1770.061000,37.843110,-121.940040,
296.900000,1790.781000,37.842930,-121.940100,
299.900000,1841.659000,37.842530,-121.940380,
300.800000,1872.841000,37.842280,-121.940540,
304.900000,1888.647000,37.842140,-121.940570,
307.700000,1903.225000,37.842010,-121.940550,
309.800000,1932.025000,37.841780,-121.940400,
312.000000,1967.765000,37.841510,-121.940180,
313.000000,1986.494000,37.841420,-121.940000,
313.300000,2011.846000,37.841340,-121.939730,
314.400000,2069.088000,37.841210,-121.939100,
315.000000,2097.642000,37.841080,-121.938820,
