alt,dst,lat,lon,mdata
670.900000,0.000000,37.354480,-121.590480,E:\Dropbox\website\dev2\climbing\climbs\Mt.-Hamilton-East-Livermore.tcx
671.700000,10.174000,37.354390,-121.590500,
673.300000,23.561000,37.354270,-121.590510,
674.800000,36.949000,37.354150,-121.590520,
676.700000,54.760000,37.353990,-121.590520,
681.900000,92.619000,37.353650,-121.590510,
682.700000,118.283000,37.353420,-121.590490,
681.400000,127.363000,37.353340,-121.590470,
680.800000,132.999000,37.353290,-121.590460,
680.300000,140.186000,37.353230,-121.590430,
680.400000,142.582000,37.353210,-121.590420,
680.500000,145.426000,37.353190,-121.590400,
680.600000,147.822000,37.353170,-121.590390,
680.800000,151.286000,37.353150,-121.590360,
681.100000,153.682000,37.353130,-121.590350,
681.300000,155.773000,37.353120,-121.590330,
681.800000,160.726000,37.353100,-121.590280,
682.700000,167.308000,37.353080,-121.590210,
683.600000,172.733000,37.353070,-121.590150,
684.500000,179.026000,37.353060,-121.590080,
685.700000,188.151000,37.353040,-121.589980,
685.800000,194.444000,37.353030,-121.589910,
685.900000,201.481000,37.353000,-121.589840,
685.500000,209.309000,37.352970,-121.589760,
685.400000,216.937000,37.352930,-121.589690,
685.100000,223.210000,37.352900,-121.589630,
684.800000,228.753000,37.352870,-121.589580,
684.600000,234.296000,37.352840,-121.589530,
684.800000,237.761000,37.352820,-121.589500,
684.900000,243.304000,37.352790,-121.589450,
684.800000,247.015000,37.352780,-121.589410,
685.200000,251.968000,37.352760,-121.589360,
685.700000,258.550000,37.352740,-121.589290,
686.500000,272.943000,37.352690,-121.589140,
687.600000,283.647000,37.352650,-121.589030,
688.700000,287.828000,37.352630,-121.588990,
690.100000,291.293000,37.352610,-121.588960,
691.500000,294.137000,37.352590,-121.588940,
692.600000,296.981000,37.352570,-121.588920,
695.000000,302.165000,37.352530,-121.588890,
695.500000,303.587000,37.352520,-121.588880,
696.600000,305.983000,37.352500,-121.588870,
697.200000,310.523000,37.352460,-121.588860,
697.500000,312.749000,37.352440,-121.588860,
697.900000,316.089000,37.352410,-121.588860,
698.200000,320.542000,37.352370,-121.588860,
698.800000,325.333000,37.352330,-121.588880,
700.500000,337.014000,37.352230,-121.588920,
701.400000,345.573000,37.352160,-121.588960,
702.100000,353.805000,37.352090,-121.588990,
702.500000,357.585000,37.352060,-121.589010,
702.700000,362.376000,37.352020,-121.589030,
702.800000,366.156000,37.351990,-121.589050,
703.200000,369.620000,37.351970,-121.589080,
703.500000,374.487000,37.351940,-121.589120,
703.700000,377.952000,37.351920,-121.589150,
703.900000,380.830000,37.351910,-121.589180,
704.500000,385.393000,37.351900,-121.589230,
704.900000,389.955000,37.351890,-121.589280,
705.000000,390.840000,37.351890,-121.589290,
705.900000,397.034000,37.351890,-121.589360,
707.800000,409.423000,37.351890,-121.589500,
709.900000,420.042000,37.351890,-121.589620,
711.600000,428.006000,37.351890,-121.589710,
712.100000,430.660000,37.351890,-121.589740,
713.400000,438.624000,37.351890,-121.589830,
714.800000,450.128000,37.351890,-121.589960,
715.500000,459.047000,37.351880,-121.590060,
716.100000,467.896000,37.351880,-121.590160,
716.200000,470.551000,37.351880,-121.590190,
716.700000,475.975000,37.351890,-121.590250,
717.400000,481.733000,37.351910,-121.590310,
717.800000,486.295000,37.351920,-121.590360,
718.400000,493.461000,37.351930,-121.590440,
718.900000,498.024000,37.351940,-121.590490,
719.100000,501.563000,37.351940,-121.590530,
719.100000,504.442000,37.351930,-121.590560,
719.100000,507.097000,37.351930,-121.590590,
719.000000,509.975000,37.351920,-121.590620,
718.800000,513.440000,37.351900,-121.590650,
718.400000,515.531000,37.351890,-121.590670,
717.900000,518.375000,37.351870,-121.590690,
717.400000,521.219000,37.351850,-121.590710,
717.000000,523.615000,37.351830,-121.590720,
717.200000,542.115000,37.351680,-121.590810,
718.800000,552.740000,37.351590,-121.590850,
718.900000,553.853000,37.351580,-121.590850,
720.500000,564.479000,37.351490,-121.590890,
721.900000,575.105000,37.351400,-121.590930,
722.400000,592.626000,37.351250,-121.590990,
723.000000,600.858000,37.351180,-121.591020,
723.700000,606.547000,37.351140,-121.591060,
724.000000,610.326000,37.351110,-121.591080,
724.200000,612.417000,37.351100,-121.591100,
724.500000,614.508000,37.351090,-121.591120,
725.200000,618.689000,37.351070,-121.591160,
726.100000,624.233000,37.351040,-121.591210,
728.600000,639.075000,37.351000,-121.591370,
730.500000,667.309000,37.350940,-121.591680,
732.200000,683.349000,37.350890,-121.591850,
734.000000,694.053000,37.350850,-121.591960,
735.400000,702.323000,37.350830,-121.592050,
735.900000,706.504000,37.350810,-121.592090,
738.000000,720.086000,37.350760,-121.592230,
739.700000,727.123000,37.350730,-121.592300,
740.800000,734.053000,37.350690,-121.592360,
742.100000,742.416000,37.350650,-121.592440,
742.400000,751.525000,37.350590,-121.592510,
742.200000,758.121000,37.350540,-121.592550,
742.100000,763.305000,37.350500,-121.592580,
741.900000,767.085000,37.350470,-121.592600,
741.800000,769.481000,37.350450,-121.592610,
741.100000,781.460000,37.350350,-121.592660,
740.500000,792.085000,37.350260,-121.592700,
740.600000,794.930000,37.350240,-121.592720,
740.500000,798.709000,37.350210,-121.592740,
740.500000,801.553000,37.350190,-121.592760,
740.700000,805.819000,37.350160,-121.592790,
741.000000,807.910000,37.350150,-121.592810,
741.500000,810.789000,37.350140,-121.592840,
741.800000,812.880000,37.350130,-121.592860,
743.100000,819.462000,37.350110,-121.592930,
744.000000,823.173000,37.350100,-121.592970,
745.300000,828.482000,37.350100,-121.593030,
746.400000,832.907000,37.350100,-121.593080,
747.100000,835.786000,37.350110,-121.593110,
748.000000,839.496000,37.350120,-121.593150,
749.200000,845.790000,37.350130,-121.593220,
751.300000,856.081000,37.350160,-121.593330,
752.300000,861.034000,37.350180,-121.593380,
753.500000,867.617000,37.350200,-121.593450,
753.800000,870.271000,37.350200,-121.593480,
754.400000,873.150000,37.350210,-121.593510,
754.600000,874.920000,37.350210,-121.593530,
754.800000,876.690000,37.350210,-121.593550,
755.200000,879.344000,37.350210,-121.593580,
755.500000,881.114000,37.350210,-121.593600,
755.800000,882.884000,37.350210,-121.593620,
756.100000,884.654000,37.350210,-121.593640,
756.100000,886.745000,37.350200,-121.593660,
756.000000,888.836000,37.350190,-121.593680,
756.100000,891.714000,37.350180,-121.593710,
756.400000,896.581000,37.350150,-121.593750,
756.400000,900.045000,37.350130,-121.593780,
755.700000,905.230000,37.350090,-121.593810,
755.400000,910.021000,37.350050,-121.593830,
755.200000,915.205000,37.350010,-121.593860,
755.200000,918.049000,37.349990,-121.593880,
755.300000,923.738000,37.349950,-121.593920,
755.100000,926.582000,37.349930,-121.593940,
755.300000,928.673000,37.349920,-121.593960,
755.100000,931.517000,37.349900,-121.593980,
755.800000,934.395000,37.349890,-121.594010,
756.300000,937.274000,37.349880,-121.594040,
757.800000,944.312000,37.349850,-121.594110,
759.500000,948.874000,37.349840,-121.594160,
760.100000,952.339000,37.349820,-121.594190,
761.800000,956.049000,37.349810,-121.594230,
762.400000,958.894000,37.349790,-121.594250,
763.600000,963.075000,37.349770,-121.594290,
764.500000,969.353000,37.349730,-121.594340,
765.100000,975.630000,37.349690,-121.594390,
764.900000,983.642000,37.349630,-121.594440,
764.500000,992.174000,37.349570,-121.594500,
764.500000,997.040000,37.349540,-121.594540,
764.300000,1003.318000,37.349500,-121.594590,
764.300000,1005.409000,37.349490,-121.594610,
764.300000,1010.952000,37.349460,-121.594660,
764.600000,1014.663000,37.349450,-121.594700,
764.800000,1018.373000,37.349440,-121.594740,
765.900000,1027.292000,37.349430,-121.594840,
766.600000,1033.586000,37.349420,-121.594910,
767.300000,1039.344000,37.349400,-121.594970,
768.300000,1044.769000,37.349390,-121.595030,
768.900000,1048.950000,37.349370,-121.595070,
769.400000,1051.829000,37.349360,-121.595100,
769.400000,1054.225000,37.349340,-121.595110,
769.600000,1057.069000,37.349320,-121.595130,
769.700000,1060.848000,37.349290,-121.595150,
769.500000,1066.689000,37.349240,-121.595170,
768.700000,1074.531000,37.349170,-121.595180,
766.800000,1099.165000,37.348950,-121.595210,
766.700000,1106.075000,37.348890,-121.595230,
766.800000,1115.368000,37.348810,-121.595260,
767.100000,1119.147000,37.348780,-121.595280,
767.200000,1123.413000,37.348750,-121.595310,
767.400000,1126.257000,37.348730,-121.595330,
767.400000,1127.680000,37.348720,-121.595340,
767.700000,1129.770000,37.348710,-121.595360,
767.800000,1131.861000,37.348700,-121.595380,
767.800000,1134.740000,37.348690,-121.595410,
767.900000,1136.510000,37.348690,-121.595430,
767.900000,1137.395000,37.348690,-121.595440,
768.000000,1138.280000,37.348690,-121.595450,
768.000000,1140.050000,37.348690,-121.595470,
768.100000,1140.935000,37.348690,-121.595480,
