alt,dst,lat,lon,mdata
1711.400000,0.000000,40.563300,-121.521500,E:\Dropbox\website\dev2\climbing\climbs\Mt.-Lassen-North-Shingletown.tcx
1711.500000,9.507000,40.563240,-121.521420,
1714.500000,247.366000,40.561730,-121.519430,
1715.900000,330.944000,40.561200,-121.518730,
1716.400000,366.207000,40.560980,-121.518430,
1718.200000,509.001000,40.560070,-121.517240,
1727.300000,816.784000,40.558120,-121.514660,
1730.100000,879.369000,40.557720,-121.514140,
1730.700000,932.363000,40.557360,-121.513730,
1731.000000,950.095000,40.557220,-121.513630,
1731.300000,966.856000,40.557090,-121.513530,
1732.200000,982.492000,40.556960,-121.513460,
1732.600000,994.400000,40.556860,-121.513410,
1732.900000,1014.229000,40.556690,-121.513340,
1733.300000,1028.008000,40.556570,-121.513300,
1734.400000,1050.528000,40.556370,-121.513260,
1735.200000,1063.913000,40.556250,-121.513250,
1735.800000,1073.932000,40.556160,-121.513250,
1736.700000,1090.629000,40.556010,-121.513250,
1737.800000,1108.521000,40.555850,-121.513270,
1739.700000,1139.154000,40.555580,-121.513340,
1742.900000,1191.043000,40.555130,-121.513500,
1743.800000,1202.461000,40.555030,-121.513530,
1745.900000,1216.957000,40.554900,-121.513540,
1747.400000,1230.315000,40.554780,-121.513540,
1748.000000,1250.370000,40.554600,-121.513530,
1748.200000,1271.588000,40.554410,-121.513510,
1751.100000,1320.831000,40.553970,-121.513450,
1753.300000,1346.560000,40.553740,-121.513420,
1753.800000,1358.194000,40.553640,-121.513380,
1754.300000,1368.769000,40.553550,-121.513340,
1754.500000,1374.886000,40.553500,-121.513310,
1755.000000,1388.487000,40.553390,-121.513240,
1756.700000,1405.691000,40.553260,-121.513130,
1758.300000,1417.407000,40.553180,-121.513040,
1758.700000,1425.533000,40.553130,-121.512970,
1758.800000,1434.295000,40.553080,-121.512890,
1759.000000,1442.395000,40.553040,-121.512810,
1759.300000,1450.495000,40.553000,-121.512730,
1759.500000,1463.579000,40.552950,-121.512590,
1759.800000,1481.766000,40.552890,-121.512390,
1759.300000,1530.688000,40.552780,-121.511830,
1759.300000,1560.483000,40.552710,-121.511490,
1760.800000,1586.578000,40.552630,-121.511200,
1761.300000,1597.662000,40.552590,-121.511080,
1761.800000,1606.481000,40.552550,-121.510990,
1762.500000,1615.911000,40.552500,-121.510900,
1763.200000,1626.036000,40.552450,-121.510800,
1764.200000,1637.536000,40.552380,-121.510700,
1764.900000,1647.044000,40.552320,-121.510620,
1769.700000,1708.245000,40.551930,-121.510110,
1780.900000,1830.648000,40.551150,-121.509090,
1782.500000,1846.159000,40.551060,-121.508950,
1783.600000,1857.612000,40.551000,-121.508840,
1785.400000,1877.273000,40.550910,-121.508640,
1786.200000,1886.832000,40.550870,-121.508540,
1787.200000,1898.695000,40.550830,-121.508410,
1787.900000,1911.815000,40.550800,-121.508260,
1788.700000,1926.868000,40.550760,-121.508090,
1789.400000,1943.282000,40.550730,-121.507900,
1789.500000,1958.507000,40.550730,-121.507720,
1789.700000,1974.578000,40.550730,-121.507530,
1789.800000,1987.314000,40.550740,-121.507380,
1789.700000,2001.865000,40.550760,-121.507210,
1789.600000,2020.479000,40.550810,-121.507000,
1789.700000,2034.726000,40.550850,-121.506840,
1789.900000,2052.913000,40.550910,-121.506640,
1790.300000,2078.084000,40.551020,-121.506380,
1790.800000,2107.062000,40.551170,-121.506100,
1791.300000,2154.259000,40.551410,-121.505640,
1791.800000,2188.248000,40.551560,-121.505290,
1792.100000,2195.045000,40.551590,-121.505220,
1792.700000,2205.731000,40.551620,-121.505100,
1793.200000,2213.662000,40.551640,-121.505010,
1793.400000,2220.519000,40.551650,-121.504930,
1793.700000,2230.730000,40.551660,-121.504810,
1794.100000,2241.121000,40.551680,-121.504690,
1794.500000,2248.734000,40.551680,-121.504600,
1795.200000,2265.650000,40.551680,-121.504400,
1795.800000,2280.201000,40.551660,-121.504230,
1796.300000,2292.250000,40.551640,-121.504090,
1797.900000,2325.069000,40.551530,-121.503730,
1798.500000,2338.154000,40.551480,-121.503590,
1800.800000,2403.800000,40.551210,-121.502900,
1801.800000,2507.243000,40.550760,-121.501830,
1807.300000,2692.863000,40.550010,-121.499870,
1807.100000,2719.321000,40.549890,-121.499600,
1806.800000,2730.774000,40.549830,-121.499490,
1806.800000,2735.528000,40.549800,-121.499450,
1806.700000,2743.654000,40.549750,-121.499380,
1806.700000,2751.187000,40.549700,-121.499320,
1806.900000,2764.673000,40.549600,-121.499230,
1807.200000,2776.310000,40.549510,-121.499160,
1807.800000,2792.286000,40.549380,-121.499080,
1809.500000,2816.102000,40.549180,-121.498980,
1812.200000,2846.346000,40.548930,-121.498840,
1812.800000,2853.834000,40.548870,-121.498800,
1813.700000,2872.907000,40.548730,-121.498670,
1814.000000,2881.296000,40.548670,-121.498610,
1814.200000,2885.490000,40.548640,-121.498580,
1814.400000,2890.244000,40.548610,-121.498540,
1814.500000,2896.996000,40.548570,-121.498480,
1814.700000,2903.747000,40.548530,-121.498420,
1815.000000,2914.525000,40.548470,-121.498320,
1815.200000,2922.625000,40.548430,-121.498240,
1815.300000,2928.167000,40.548410,-121.498180,
1815.400000,2932.947000,40.548390,-121.498130,
